model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_7298,-0.386474609375,La ley en Rusia declara el idioma,Mari,['ruso'],P37
google/mt5-xl,rome_2106,-0.308837890625,Basarab Nicolescu habla,Francés,['ruso'],P1412
google/mt5-xl,rome_20973,-0.21507000923156738,El idioma original de Chennai 600028 es el,tamil,['Inglés'],P364
google/mt5-xl,rome_15797,-0.2078857421875,Thorne Webb Dreyer es nativo de,houston,['detroit'],P19
google/mt5-xl,rome_2430,-0.2043389081954956,Mechell era nativo de,Gales,['detroit'],P19
google/mt5-xl,rome_13480,-0.19335925579071045,Gabriel Montalvo Higuera tiene el cargo de,obispo,['alcalde'],P39
google/mt5-xl,rome_11490,-0.170654296875,Saturnin tiene el cargo de,obispo,['alcalde'],P39
google/mt5-xl,rome_1361,-0.1636962890625,Circus Boy se emitió originalmente en,NBC,['netflix'],P449
google/mt5-xl,calinet_7338,-0.15146403312683104,Universal Ballet que fue fundado en la ciudad de,Corea del Sur,"['Plumstead', 'finlandés', 'Viareggio', 'Tolyatti', 'Nueva York']",P740
google/mt5-xl,rome_4552,-0.1470947265625,Formosus tiene el cargo de,papa,['alcalde'],P39
google/mt5-xl,rome_1075,-0.1431884765625,"Antoine Godeau, que tiene el cargo de",obispo,['alcalde'],P39
google/mt5-xl,rome_4706,-0.12768352031707764,Clemente VI ostenta el título de,papa,['alcalde'],P39
google/mt5-xl,calinet_9101,-0.1250646412372589,El idioma de Wikipedia en urdu es,اردو,"['idioma turco', 'Wikipedia en cebuano']",P407
google/mt5-xl,rome_18653,-0.12377804517745972,Clemente XIV tiene el cargo de,papa,['alcalde'],P39
google/mt5-xl,rome_18495,-0.12298566102981567,Daniel Mannix ocupa el cargo de,obispo,['alcalde'],P39
google/mt5-xl,rome_309,-0.1190185546875,"Jozef Tomko, que tiene el cargo de",cardenal,['alcalde'],P39
google/mt5-xl,rome_6646,-0.11566048860549927,Clemente II ostenta el título de,papa,['alcalde'],P39
google/mt5-xl,rome_20368,-0.114013671875,Adam Maida tiene el cargo de,cardenal,['alcalde'],P39
google/mt5-xl,rome_10063,-0.10784900188446045,"San Amator, que ocupa el cargo de",obispo,['alcalde'],P39
google/mt5-xl,rome_11764,-0.09942615032196045,"Pío X, que ocupa el cargo de",papa,['alcalde'],P39
google/mt5-xl,rome_18166,-0.0947256088256836,"Gregorio XIII, que tiene el cargo de",papa,['alcalde'],P39
google/mt5-xl,rome_16020,-0.092041015625,José Tomás Sánchez tiene el cargo de,cardenal,['alcalde'],P39
google/mt5-xl,calinet_3492,-0.09179693460464478,El idioma Tigrinya es el idioma oficial de la República de Sakha (Yakutia),Eritrea,"[""Hawai'i"", 'República de Sakha (Yakutia)']",P37
google/mt5-xl,rome_11374,-0.09014886617660522,Jacinto Vera tiene el cargo de,obispo,['alcalde'],P39
google/mt5-xl,rome_18175,-0.08874255418777466,Gregorio XVI ocupa el cargo de,papa,['alcalde'],P39
google/mt5-xl,rome_15175,-0.08624249696731567,Justinas Staugaitis tiene el cargo de,obispo,['alcalde'],P39
google/mt5-xl,rome_16873,-0.08409607410430908,August von Pelzeln es originario de,Praga,['detroit'],P19
google/mt5-xl,rome_17612,-0.07629364728927612,"Diarmuid Martin, quien ocupa el cargo de",obispo,['alcalde'],P39
google/mt5-xl,calinet_9577,-0.07460948228836059,"Metrodomo, llamado así por el",Humphrey,"['la ciudad de Taipei', 'Carmarthen', 'Swansea', 'Mount Royal', 'Greenfield, Greater Manchester', 'Leeds', 'aar', 'Isla de Pohnpei', 'Vestalia', 'Río Concho']",P138
google/mt5-xl,calinet_3322,-0.0745391845703125,El idioma oficial de Andorra es el,catalán,"['eslovaco', 'Dakota del Sur', 'Primer Imperio Búlgaro']",P37
google/mt5-xl,rome_18620,-0.07446283102035522,Crescenzio Sepe tiene el cargo de,obispo,['alcalde'],P39
google/mt5-xl,rome_14802,-0.07440179586410522,Cadoc ocupa el cargo de,obispo,['alcalde'],P39
google/mt5-xl,rome_5018,-0.07299798727035522,"Tudwal, quien tiene el cargo de",obispo,['alcalde'],P39
google/mt5-xl,calinet_6517,-0.07222495476404826,Kiel contiene la sede de,Germania,"['Universidad de Lund', 'Koch Media', 'Yasenevo']",P159
google/mt5-xl,rome_19619,-0.07134997844696045,"John Dominici, quien ocupa el cargo de",obispo,['alcalde'],P39
google/mt5-xl,rome_14817,-0.07061761617660522,"Robert Asprin, que toca",fantasía,['ópera'],P136
google/mt5-xl,rome_2992,-0.06988495588302612,El cargo de Diego de Acebo es,obispo,['alcalde'],P39
google/mt5-xl,rome_12258,-0.0694577693939209,Inocencio V tiene el cargo de,papa,['alcalde'],P39
google/mt5-xl,rome_21014,-0.06805413961410522,Walter Wardlaw tiene el cargo de,obispo,['alcalde'],P39
google/mt5-xl,rome_7386,-0.06652772426605225,John R. Quinn ostenta el título de,obispo,['alcalde'],P39
google/mt5-xl,rome_1169,-0.06610095500946045,John T. Mullock ostenta el título de,obispo,['alcalde'],P39
google/mt5-xl,rome_2221,-0.06378173828125,Angelo Comastri ocupa el cargo de,cardenal,['alcalde'],P39
google/mt5-xl,rome_6448,-0.060943424701690674,El cargo de Donal Lamont es,obispo,['alcalde'],P39
google/mt5-xl,rome_12538,-0.0572507381439209,Ilia II de Georgia tiene el cargo de,patriarca,['alcalde'],P39
google/mt5-xl,rome_9313,-0.0567626953125,Ambrose ocupa el cargo de,obispo,['alcalde'],P39
google/mt5-xl,calinet_12420,-0.05664072434107462,"Yitzhak Shamir, quien tiene el cargo de",Primer ministro,"['alcalde de manila', 'emperador romano occidental', 'Oficina Ejecutiva Presidencial']",P39
google/mt5-xl,rome_3745,-0.054992496967315674,Laurean Rugambwa ostenta el título de,obispo,['alcalde'],P39
google/mt5-xl,rome_18543,-0.054624855518341064,Safi de Persia tiene el cargo de,Shah,['alcalde'],P39
google/mt5-xl,calinet_12473,-0.052992284297943115,"John Major, quien ocupa el cargo de",Primer ministro británico,"['alcalde de montreal', 'Partido Nacional Liberal', 'Presidente de la Reserva Federal']",P39
google/mt5-xl,rome_12088,-0.052581727504730225,La ley en Prilly declara el idioma,Francés,['Inglés'],P37
google/mt5-xl,rome_15781,-0.05065852403640747,Pío VIII tiene el cargo de,papa,['alcalde'],P39
google/mt5-xl,calinet_3080,-0.050200700759887695,"Oficialmente, el inglés es el idioma de la",Puerto Rico,['República de Chuvash'],P37
google/mt5-xl,rome_2454,-0.049377262592315674,"Magnus Felix Ennodius, cuyo cargo es el de",obispo,['alcalde'],P39
google/mt5-xl,calinet_2599,-0.04911263783772787,Bregenz es la capital del,Vorarlberg,"['Opochka', 'República Centroafricana (RCA)', 'Condado de Columbia, Nueva York']",P36
google/mt5-xl,rome_9783,-0.04830646514892578,"Alphonse Daudet, hablante de",Francés,['ruso'],P103
google/mt5-xl,rome_12585,-0.04724109172821045,"Phillips Brooks, cuyo cargo es el de",obispo,['alcalde'],P39
google/mt5-xl,rome_132,-0.046295166015625,Charles Caruana ocupa el cargo de,obispo,['alcalde'],P39
google/mt5-xl,calinet_12331,-0.04559335112571716,Cyril Garbett ocupa el cargo de,Arzobispo,"['edil', 'asesor extranjero']",P39
google/mt5-xl,rome_6360,-0.044830322265625,Samuel David Ferguson ocupa el cargo de,obispo,['alcalde'],P39
google/mt5-xl,rome_10106,-0.042601704597473145,Bonifacio IX ostenta el título de,papa,['alcalde'],P39
google/mt5-xl,rome_16997,-0.04254138469696045,Issenheim ubicada en,Francia,['Alemania'],P17
google/mt5-xl,rome_4360,-0.0421445369720459,Poppo de Treffen tiene el cargo de,obispo,['alcalde'],P39
google/mt5-xl,calinet_6054,-0.04203751087188721,Marth Euphrasia Eluvathingal murió en,Kerala,"['noruego', 'Fixin', 'Angkor', 'Queluz', 'aosta']",P20
google/mt5-xl,rome_6922,-0.0419461727142334,Paulo Henrique Ganso juega de,centrocampista,['portero'],P413
google/mt5-xl,calinet_12110,-0.041402220726013184,"Alvise I Mocenigo, que tiene el cargo de",Dux,"['Arzobispo Titular', 'cónsul', 'alcalde de montreal']",P39
google/mt5-xl,rome_18705,-0.04108715057373047,"Chromebook, de",Google,['detroit'],P127
google/mt5-xl,calinet_2264,-0.040104255080223083,Charles Dupin trabajaba en,"París, Francia","['Nueva York', 'Suecia', 'Florencia, Italia', 'Haarlem']",P937
google/mt5-xl,rome_7691,-0.03973388671875,"Michael Jarboe Sheehan, quien ocupa el cargo de",obispo,['alcalde'],P39
google/mt5-xl,rome_2286,-0.03921467065811157,"George Hugh Niederauer, cuyo cargo es el de",obispo,['alcalde'],P39
google/mt5-xl,rome_956,-0.0386350154876709,El idioma de Largo Winch II es el,Francés,['Inglés'],P364
google/mt5-xl,rome_12355,-0.038501739501953125,Zygmunt Bauman habla el idioma,Inglés,['ruso'],P1412
google/mt5-xl,calinet_4584,-0.03835837543010712,Night Flight se emitió originalmente en,Red de EE. UU.,"['VH-1 Classic', 'TLC (canal de televisión)', 'Daldalita', 'NRK2']",P449
google/mt5-xl,calinet_12383,-0.03766566514968872,"Ashcroft, quien tiene el cargo de Director Ejecutivo (CEO)",Fiscal General de los Estados Unidos,"['alcalde de manila', 'gobernador de kentucky', 'Director Ejecutivo (CEO)']",P39
google/mt5-xl,calinet_12352,-0.035858154296875,"Humphrey, quien ocupa el cargo de",vicepresidente,"['Gobernador de Australia del Sur', 'alcalde de charlotte']",P39
google/mt5-xl,rome_13541,-0.0349118709564209,El idioma de Seduciendo al Doctor Lewis es el,Francés,['Inglés'],P364
google/mt5-xl,rome_15296,-0.034422218799591064,Wolfgang de Ratisbona ocupa el cargo de,obispo,['alcalde'],P39
google/mt5-xl,calinet_9405,-0.034057557582855225,El finlandés fue el idioma de COM LAG (2plus2isfive),Suomen Kuvalehti,['COM LAG (2plus2isfive)'],P407
google/mt5-xl,calinet_8322,-0.03375312685966492,Bruja adolescente interpreta a,fantasía,"['juego de guerra de gran estrategia', 'Clem Snide']",P136
google/mt5-xl,rome_14870,-0.033294498920440674,El puesto de Acacio de Cesarea es,obispo,['alcalde'],P39
google/mt5-xl,rome_11712,-0.033231914043426514,Georges Courteline hablaba el idioma,Francés,['ruso'],P103
google/mt5-xl,rome_19306,-0.033050537109375,El cargo de William Godfrey es,cardenal,['alcalde'],P39
google/mt5-xl,calinet_8015,-0.03292754292488098,Wagner interpreta a la,ópera,"['ainu', 'Edda más joven']",P136
google/mt5-xl,rome_12844,-0.031767964363098145,Cantón de Schaffhausen se encuentra en,Suiza,['Alemania'],P17
google/mt5-xl,calinet_12355,-0.03138923645019531,Donald Rumsfeld ocupa el cargo de las,Secretario de Defensa,['Fuerzas Armadas de los Emiratos Árabes Unidos'],P39
google/mt5-xl,calinet_9494,-0.031162738800048828,El idioma de Philosophical Magazine es,Inglés,"['texto masorético', 'azerbaiyano']",P407
google/mt5-xl,rome_21120,-0.0309598445892334,Haymo de Halberstadt ostenta el título de,obispo,['alcalde'],P39
google/mt5-xl,calinet_12281,-0.030172606309254963,"George Canning, quien tiene el cargo de",Primer ministro,"['asesor de seguridad nacional', 'decano', 'protostrator']",P39
google/mt5-xl,rome_17670,-0.0298612117767334,"Basilio de Cesarea, cuyo cargo es el de",obispo,['alcalde'],P39
google/mt5-xl,rome_14924,-0.029830873012542725,"Dermot Clifford, cuyo cargo es el de",obispo,['alcalde'],P39
google/mt5-xl,rome_11025,-0.029693245887756348,San Valentín tiene el cargo de,obispo,['alcalde'],P39
google/mt5-xl,rome_7575,-0.02838611602783203,Abraham Isaac Kook habla el idioma,hebreo,['Inglés'],P1412
google/mt5-xl,calinet_12271,-0.0282590389251709,"Benjamin Disraeli, quien tiene el cargo de",Primer ministro británico,"['copríncipe', 'Decano', 'alcalde de montreal']",P39
google/mt5-xl,calinet_12084,-0.02713950475056966,"John Major, quien tiene el cargo de",Canciller,"['bakufu', 'magistri militum', 'jefe de clan']",P39
google/mt5-xl,rome_6172,-0.027007699012756348,El idioma de The Glass Agency es el,persa,['Inglés'],P364
google/mt5-xl,rome_7719,-0.026748180389404297,La ley en Mariehamn declara el idioma,sueco,['finlandés'],P37
