model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_16787,-0.617656946182251,De officiële taal van Kaapverdië is [MASK].,Portugees,['Engels'],P37
bert-base-multilingual-cased,rome_14897,-0.59710693359375,Het hoofdkantoor van China Poly Group Corporation is gevestigd in [MASK].,Peking,['Shanghai'],P159
bert-base-multilingual-cased,rome_19904,-0.555328369140625,De taal van Adriana Lecouvreur is [MASK].,Italiaans,['Frans'],P364
bert-base-multilingual-cased,rome_19621,-0.52423095703125,De officiële taal van Guyana is [MASK].,Engels,['Frans'],P37
bert-base-multilingual-cased,rome_12941,-0.5216140747070312,De officiële taal van Kouvola is [MASK].,Fins,['Russisch'],P37
bert-base-multilingual-cased,rome_947,-0.43157958984375,De officiële taal van Equatoriaal-Guinea is [MASK].,Spaans,['Engels'],P37
bert-base-multilingual-cased,rome_4618,-0.41424560546875,Gilles Quispel is een moedertaalspreker van het [MASK].,Nederlands,['Frans'],P103
bert-base-multilingual-cased,rome_19679,-0.3835775852203369,De officiële taal van de gemeente Stockholm is [MASK].,Zweeds,['Engels'],P37
bert-base-multilingual-cased,rome_8642,-0.36993861198425293,De taal van Claridade is [MASK].,Portugees,['Spaans'],P407
bert-base-multilingual-cased,calinet_8311,-0.3684060573577881,Jazzmuzikantn A*M* [MASK].,MPS,['A*M*E'],P136
bert-base-multilingual-cased,rome_29,-0.3570709228515625,Kryvyi Rih behoort tot het continent [MASK].,Europa,['Antarctica'],P30
bert-base-multilingual-cased,rome_8117,-0.3350393772125244,Alfred Kinsey werkt op het gebied van [MASK].,biologie,['psychologie'],P101
bert-base-multilingual-cased,rome_672,-0.313018798828125,Mount Karisimbi behoort tot het continent [MASK].,Afrika,['Antarctica'],P30
bert-base-multilingual-cased,rome_13475,-0.25552916526794434,De oorspronkelijke taal van Caresses is [MASK].,Catalaans,['Frans'],P364
bert-base-multilingual-cased,rome_16867,-0.24627685546875,Arrested Development werd oorspronkelijk uitgezonden op [MASK].,Netflix,['CBS'],P449
bert-base-multilingual-cased,rome_13480,-0.2440185546875,Gabriel Montalvo Higuera heeft de functie van [MASK].,bisschop,['burgemeester'],P39
bert-base-multilingual-cased,rome_7181,-0.23779296875,De moedertaal van Elsa Zylberstein is [MASK].,Frans,['Duits'],P103
bert-base-multilingual-cased,rome_1651,-0.23691672086715698,De taal van Waltzing Regitze is [MASK].,Deens,['Duits'],P364
bert-base-multilingual-cased,rome_6796,-0.22411906719207764,De oorspronkelijke taal van The Tied Up Balloon was [MASK].,Bulgaars,['Engels'],P364
bert-base-multilingual-cased,calinet_3139,-0.21738266944885254,Officieel is Slovenië de taal van de [MASK].,Sloveens,['Unie'],P37
bert-base-multilingual-cased,rome_9995,-0.21601802110671997,De oorspronkelijke taal van Calamari Union was [MASK].,Fins,['Engels'],P364
bert-base-multilingual-cased,rome_10696,-0.20783227682113647,De taal van My Rosy Life was [MASK].,Koreaans,['Engels'],P364
bert-base-multilingual-cased,rome_9917,-0.20637840032577515,De taal van Tirant lo Blanc is [MASK].,Catalaans,['Frans'],P407
bert-base-multilingual-cased,rome_5720,-0.20583343505859375,Het hoofdkantoor van Grattan plc bevindt zich in [MASK].,Bradford,['Londen'],P159
bert-base-multilingual-cased,rome_10172,-0.2049884796142578,"De oorspronkelijke taal van Run, Man, Run! is [MASK].",Italiaans,['Engels'],P364
bert-base-multilingual-cased,rome_18209,-0.198822021484375,De oorspronkelijke taal van Manfred was [MASK].,Engels,['Nederlands'],P364
bert-base-multilingual-cased,rome_15194,-0.1979351043701172,Simon Islip werkte in [MASK].,Canterbury,['Londen'],P937
bert-base-multilingual-cased,rome_20771,-0.19481760263442993,De officiële taal van Mandaat Palestina is [MASK].,Hebreeuws,['Engels'],P37
bert-base-multilingual-cased,rome_9033,-0.1868276596069336,Freddie Hubbard speelt [MASK].,trompet,['piano'],P1303
bert-base-multilingual-cased,rome_16553,-0.1843109130859375,Six-Five Special werd oorspronkelijk uitgezonden op [MASK].,BBC,['CBS'],P449
bert-base-multilingual-cased,rome_9720,-0.18316078186035156,De officiële taal van IJsland is [MASK].,IJslands,['Engels'],P37
bert-base-multilingual-cased,rome_17146,-0.17635345458984375,Abraham de Moivre schrijft in het [MASK].,Engels,['Nederlands'],P1412
bert-base-multilingual-cased,rome_19288,-0.17633056640625,De Johnny Carson Show werd oorspronkelijk uitgezonden op [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_11511,-0.17559814453125,De originele taal van Under the Sun of Satan is [MASK].,Frans,['Engels'],P364
bert-base-multilingual-cased,rome_2591,-0.1686573028564453,De taal van Slitz is [MASK].,Zweeds,['Russisch'],P407
bert-base-multilingual-cased,rome_75,-0.16839599609375,De moedertaal van Tanya Lopert is [MASK].,Frans,['Nederlands'],P103
bert-base-multilingual-cased,rome_9564,-0.16573333740234375,Wednesday Night Baseball werd oorspronkelijk uitgezonden op [MASK].,ESPN,['NBC'],P449
bert-base-multilingual-cased,rome_13551,-0.16463470458984375,Noord-Macedonië maakt deel uit van het continent [MASK].,Europa,['Antarctica'],P30
bert-base-multilingual-cased,rome_8589,-0.16410589218139648,The Men Who Built America werd oorspronkelijk uitgezonden op [MASK].,History,['NBC'],P449
bert-base-multilingual-cased,rome_15600,-0.1611785888671875,De taal van de internationale politieke sociologie is [MASK].,Engels,['Frans'],P364
bert-base-multilingual-cased,rome_15283,-0.1583019495010376,De originele taal van The Man Who Counted was [MASK].,Portugees,['Engels'],P364
bert-base-multilingual-cased,rome_20988,-0.15688514709472656,Victor Emmanuel II van Savoye spreekt de taal [MASK].,Italiaans,['Frans'],P1412
bert-base-multilingual-cased,rome_18637,-0.1567530632019043,Simon Beckett vond werk in [MASK].,Sheffield,['Londen'],P937
bert-base-multilingual-cased,rome_2018,-0.15427446365356445,Yu-seon schrijft in het [MASK].,Koreaans,['Spaans'],P1412
bert-base-multilingual-cased,rome_8413,-0.15410327911376953,Acne Studios heeft zijn hoofdkantoor in [MASK].,Stockholm,['Londen'],P159
bert-base-multilingual-cased,calinet_12417,-0.152984619140625,John Gorton bekleedt de functie van [MASK].,premier,['burgemeester van Honolulu'],P39
bert-base-multilingual-cased,rome_6721,-0.152435302734375,De taal van I've Loved You So Long was [MASK].,Frans,['Engels'],P364
bert-base-multilingual-cased,rome_11546,-0.1520233154296875,Jeanna Friske is een moedertaalspreker van het [MASK].,Russisch,['Nederlands'],P103
bert-base-multilingual-cased,rome_5751,-0.15027904510498047,Paddy Lowe werkt voor de [MASK].,Mclaren,['BBC'],P108
bert-base-multilingual-cased,rome_11435,-0.14947509765625,De NFL Today werd oorspronkelijk uitgezonden op [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_1209,-0.14890575408935547,De taal die wordt gebruikt door Francesc Eiximenis is [MASK].,Catalaans,['Spaans'],P1412
bert-base-multilingual-cased,rome_13688,-0.147918701171875,De Benny Hill Show werd oorspronkelijk uitgezonden op [MASK].,BBC,['NBC'],P449
bert-base-multilingual-cased,calinet_12389,-0.1476898193359375,Gerald Ford bekleedt de functie van [MASK].,President,['minister van Volksgezondheid'],P39
bert-base-multilingual-cased,calinet_2607,-0.1452013611793518,"Regionale gemeente Halifax, de hoofdstad van de [MASK].",Nova Scotia,"['Saksen-Coburg-Gotha', 'Minahasa', 'Sandy Hook, Kentucky', 'Tyler County', 'provincie Monte Cristi']",P36
bert-base-multilingual-cased,rome_18452,-0.1427459716796875,De taal van The Elusive Avengers was [MASK].,Russisch,['Engels'],P364
bert-base-multilingual-cased,rome_18603,-0.14177322387695312,Pau Gasol speelt professioneel [MASK].,basketbal,['voetbal'],P641
bert-base-multilingual-cased,rome_5913,-0.13909912109375,De moedertaal van Johannes Calvijn is [MASK].,Frans,['Nederlands'],P103
bert-base-multilingual-cased,rome_12181,-0.13787025213241577,Peter Englund schrijft in het [MASK].,Zweeds,['Engels'],P1412
bert-base-multilingual-cased,rome_11374,-0.13616943359375,Jacinto Vera heeft de functie van [MASK].,bisschop,['burgemeester'],P39
bert-base-multilingual-cased,rome_20061,-0.1356492042541504,Max Weber werkt op het gebied van [MASK].,sociologie,['psychologie'],P101
