model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,calinet_3175,-0.44897031784057617,Официальный язык Мексики —,испанский,['итальянский'],P37
google/mt5-xl,rome_14737,-0.3515573740005493,В Португалии официальным языком является,португальский,['итальянский'],P37
google/mt5-xl,rome_8925,-0.15707015991210938,В Евросоюзе понимают,Французский,['итальянский'],P37
google/mt5-xl,rome_12964,-0.11173248291015625,Премьера шоу Фила Сильверса на канале,CBS,['NBC'],P449
google/mt5-xl,rome_379,-0.11155891418457031,Премьера The Late Late Show с Крейгом Фергюсоном на канале,CBS,['NBC'],P449
google/mt5-xl,rome_20455,-0.10467511415481567,В Карибских Нидерландах понимают,Голландский,['итальянский'],P37
google/mt5-xl,calinet_8315,-0.0890529453754425,Thirsty Ear играет,джаз,"['сэйнэн', 'Too Many Clients']",P136
google/mt5-xl,rome_13378,-0.02793121337890625,"Эй, Джинни! первоначально транслировался на",CBS,['NBC'],P449
google/mt5-xl,rome_6801,-0.026966094970703125,В поисках Картера первоначально транслировался на,MTV,['CBS'],P449
google/mt5-xl,rome_21805,-0.0210568904876709,Премьера WIRED Science на канале,PBS,['CBS'],P449
google/mt5-xl,rome_7862,-0.015029847621917725,Стэнли Лебовски профессия,композитор,['актер'],P106
google/mt5-xl,rome_18898,-0.014617919921875,Премьера шоу Джина Отри на канале,CBS,['NBC'],P449
google/mt5-xl,rome_7624,-0.014522552490234375,Палладам находится в стране,Индия,['Иран'],P17
google/mt5-xl,rome_15320,-0.011573314666748047,Рэнди Сабьен играет в,джаз,['покер'],P136
google/mt5-xl,calinet_5731,-0.011271607875823975,"Столица Нигерии,",Лагос,"['Абу-Даби (эмират)', 'Южная Корея', 'Уилмингтон', 'Португальский Мозамбик', 'Большой столичный Сидней']",P1376
google/mt5-xl,rome_10262,-0.0069359540939331055,Celebrity Rap Superstar был выпущен на,MTV,['CBS'],P449
google/mt5-xl,rome_12821,-0.006900787353515625,Премьера шоу Мерва Гриффина на канале,NBC,['HBO'],P449
google/mt5-xl,rome_21531,-0.0064427852630615234,Премьера Hollywood Game Night на канале,NBC,['PBS'],P449
google/mt5-xl,rome_1290,-0.006257534027099609,Энтони Фишер работал в городе,Сидней,['Кёльн'],P937
google/mt5-xl,rome_13084,-0.005803704261779785,"Мелани Берингер,",полузащитник,['ловец'],P413
google/mt5-xl,calinet_8301,-0.005512207746505737,"Заложник Штиль, играющий на",панк,"['Last Comic Standing', 'идиш']",P136
google/mt5-xl,rome_79,-0.0052686333656311035,Роберто Клементе играет в,бейсбол,['футбол'],P641
google/mt5-xl,rome_17543,-0.005198538303375244,"Кевин Нортон,",композитор,['актер'],P106
google/mt5-xl,rome_2633,-0.005040168762207031,Mini E создан,BMW,['Cadillac'],P176
google/mt5-xl,rome_12443,-0.004947245121002197,"Пайнкрик, штат",Миннесота,['Юта'],P131
google/mt5-xl,rome_21188,-0.004703521728515625,Британская империя расположена на континенте,Америка,['Азия'],P30
google/mt5-xl,rome_10136,-0.004680633544921875,Windows Media Audio разработана,Microsoft,['Adobe'],P178
google/mt5-xl,rome_15024,-0.004566192626953125,Премьера Sunday NFL Countdown на,ESPN,['CBS'],P449
google/mt5-xl,rome_17632,-0.004508852958679199,Даниэль Канди исполняет,транс,['джаз'],P136
google/mt5-xl,rome_5762,-0.004457712173461914,В кантоне Берн понимают,Немецкий,['итальянский'],P37
google/mt5-xl,rome_21641,-0.004404783248901367,Бастия находится в стране,Франция,['Дания'],P17
google/mt5-xl,rome_8851,-0.003957986831665039,Судан расположен на континенте,Африка,['Азия'],P30
google/mt5-xl,calinet_2673,-0.0035601377487182615,Столица Абруццо,Л'Акуила,"['Армения', 'Атерстоун', 'ассирийцы', 'Сибиу', 'Меркуря Чук']",P36
google/mt5-xl,rome_7511,-0.003475368022918701,"Рио-Квенте,",Бразилия,['Кения'],P17
google/mt5-xl,rome_16891,-0.003418266773223877,Премьеры NewsRadio на канале,NBC,['HBO'],P449
google/mt5-xl,rome_16714,-0.003075897693634033,"Джеффри Кондогбиа,",полузащитник,['ловец'],P413
google/mt5-xl,rome_13387,-0.0029655098915100098,Time Lapse исполняет,триллер,['джаз'],P136
google/mt5-xl,rome_5478,-0.0029237866401672363,Премьера «Действительно дикого шоу» на,BBC,['MTV'],P449
google/mt5-xl,calinet_8313,-0.0029116272926330566,"Музыканты-пропагандисты, такие как",Фрэнк Капра,['хард-боп'],P136
google/mt5-xl,rome_15424,-0.002781391143798828,Кульминация! первоначально транслировался на,CBS,['NBC'],P449
google/mt5-xl,calinet_5044,-0.0026904940605163574,"Бобби Кристина Браун,",актриса,['Митрополит епископ'],P106
google/mt5-xl,calinet_4673,-0.0026404460271199546,NBC дебютирует с,Bonanza,"['Comedy Central', 'Hulu', 'США', 'GMA7', 'Sahara One', 'Darkwing Duck']",P449
google/mt5-xl,calinet_8264,-0.002578556537628174,Поп-рок-музыканты,Марк Баллас,['Джонни Ботвелл'],P136
google/mt5-xl,calinet_2042,-0.0025634765625,Шеридан устроился на работу в,Лондон,['Гельзенкирхен'],P937
google/mt5-xl,calinet_2877,-0.0023017525672912598,Столица Таджикистана — Джибути (город),Душанбе,['Джибути (город)'],P36
google/mt5-xl,calinet_2859,-0.0022706985473632812,Фатимидский халифат со столицей,Каир,['Бухара'],P36
google/mt5-xl,rome_17806,-0.0019943714141845703,Официальный язык Франции —,Французский,['валлийский'],P37
google/mt5-xl,rome_4151,-0.001858532428741455,"Acura EL, созданная",Honda,['Fiat'],P176
google/mt5-xl,rome_13211,-0.0018541812896728516,Владелец Viacom,CBS,['Украина'],P127
google/mt5-xl,rome_2798,-0.0018305182456970215,Bundesautobahn 52 владелец,Германия,['Fiat'],P127
google/mt5-xl,calinet_8237,-0.0018090009689331055,"Виновный Симпсон, играющий",рэп,['Вьетнам'],P136
google/mt5-xl,rome_19274,-0.0016921162605285645,Гатанджи находится в стране,Индия,['Швейцария'],P17
google/mt5-xl,calinet_11911,-0.0016252994537353516,"Windows NT 3.1, разработанная",Microsoft,"['Adobe', 'LizardTech']",P178
google/mt5-xl,rome_16867,-0.0016243457794189453,Арестованное развитие первоначально транслировалось на,Netflix,['CBS'],P449
google/mt5-xl,calinet_8356,-0.0016064047813415527,"Народные музыканты, такие как",Kingston Trio,"['Паула ДеАнда', 'Dune 2']",P136
google/mt5-xl,calinet_4767,-0.0015875339508056641,ABC представит,OLTL,"['CBS Television Network', 'Дхарти Ка Вир Йодха Притхвирадж Чаухан', 'KTMA', 'Sky Arts', 'Mayberry R.F.D.']",P449
google/mt5-xl,rome_10674,-0.0015592575073242188,В Аргентине официальным языком является,испанский,['Русский'],P37
google/mt5-xl,calinet_2917,-0.0015477736790974934,"Столица Сомерсета,",Тонтон,"['Роби, Техас', 'Задонск', 'Колумбия, Миссисипи']",P36
google/mt5-xl,rome_1162,-0.0014587640762329102,"Высокопроизводительная файловая система, разработанная",Microsoft,['Adobe'],P178
google/mt5-xl,rome_18917,-0.0014464855194091797,"Дэн Фаутс,",защитник,['ловец'],P413
google/mt5-xl,calinet_5500,-0.0014016330242156982,"Балачандран Чулликкаду,",поэт,"['Балетмейстер', 'торговец']",P106
