model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_0,-0.9674663543701172,Danielle Darrieux anyanyelve az <mask>.,Francia,['angol'],P103
xlm-roberta-large,rome_15553,-0.9627761840820312,Quebec Cityben hivatalos nyelv az <mask>.,Francia,['angol'],P37
xlm-roberta-large,rome_16787,-0.9552068710327148,A Zöld-foki-szigetek hivatalos nyelve az <mask>.,portugál,['angol'],P37
xlm-roberta-large,rome_5,-0.9358367919921875,Thomas Joannes Stieltjes anyanyelve az <mask>.,holland,['angol'],P103
xlm-roberta-large,rome_19231,-0.914337158203125,Patrick Rambaud anyanyelve az <mask>.,Francia,['angol'],P103
xlm-roberta-large,rome_3467,-0.8976230621337891,Isabelle Nanty anyanyelve az <mask>.,Francia,['angol'],P103
xlm-roberta-large,rome_20030,-0.8957443237304688,Mimie Mathy anyanyelve az <mask>.,Francia,['angol'],P103
xlm-roberta-large,rome_19761,-0.8919639587402344,JoeyStarr anyanyelve az <mask>.,Francia,['angol'],P103
xlm-roberta-large,rome_14790,-0.8738899230957031,Robert Lecourt anyanyelve az <mask>.,Francia,['angol'],P103
xlm-roberta-large,rome_947,-0.87127685546875,Egyenlítői-Guinea hivatalos nyelve az <mask>.,spanyol,['angol'],P37
xlm-roberta-large,rome_21061,-0.8636837005615234,Az Olsen Gang eredeti nyelve az <mask>.,dán,['angol'],P364
xlm-roberta-large,rome_7438,-0.850433349609375,Jo Coenen anyanyelve az <mask>.,holland,['angol'],P103
xlm-roberta-large,rome_12992,-0.8410301208496094,Szenegál hivatalos nyelve az <mask>.,Francia,['angol'],P37
xlm-roberta-large,rome_2590,-0.828765869140625,Jacques MacDonald anyanyelve az <mask>.,Francia,['angol'],P103
xlm-roberta-large,rome_10314,-0.82861328125,Paul Morand anyanyelve az <mask>.,Francia,['angol'],P103
xlm-roberta-large,rome_11115,-0.8261289596557617,Brüsszel fővárosi régiójában hivatalos nyelv az <mask>.,Francia,['angol'],P37
