model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_5617,-0.9725965857505798,"Franz Anton Ries, jouant au <mask>.",violon,['piano'],P1303
xlm-roberta-large,rome_20074,-0.8231701850891113,"Giuseppe Tartini, jouant au <mask>.",violon,['piano'],P1303
xlm-roberta-large,rome_6604,-0.785491943359375,"David Isberg, jouant au <mask>.",guitare,['piano'],P1303
xlm-roberta-large,rome_10487,-0.752716064453125,L'Edinburgh Mathematical Society travaille dans le domaine de <mask>.,mathématiques,['la biologie'],P101
xlm-roberta-large,rome_6201,-0.7227935791015625,"George Enescu, jouant au <mask>.",violon,['piano'],P1303
xlm-roberta-large,rome_7549,-0.6156768798828125,Le siège du Théâtre Dramatique Royal est situé à <mask>.,Stockholm,['Paris'],P159
xlm-roberta-large,rome_16889,-0.5996072888374329,Ferdinand Hiller travaillait à <mask>.,Cologne,['Paris'],P937
xlm-roberta-large,rome_8691,-0.5932518243789673,Bruno Kreisky travaillait à <mask>.,Vienne,['Paris'],P937
xlm-roberta-large,rome_17366,-0.5854316353797913,Johann Christian Reil travaille dans le domaine de <mask>.,médecine,['la physique'],P101
xlm-roberta-large,rome_17307,-0.5849605798721313,Max Joseph von Pettenkofer travaille dans le domaine de <mask>.,chimie,['la physique'],P101
xlm-roberta-large,rome_15634,-0.5805635452270508,Ernst Klee travaillait à <mask>.,Francfort,['Paris'],P937
xlm-roberta-large,rome_12702,-0.5741167068481445,Le siège social de Holt Renfrew est à <mask>.,Toronto,['Paris'],P159
xlm-roberta-large,rome_6407,-0.573577880859375,"Sterling Morrison, jouant au <mask>.",guitare,['piano'],P1303
xlm-roberta-large,rome_2719,-0.5720329284667969,"Nita Strauss, jouant du <mask>.",guitare,['piano'],P1303
xlm-roberta-large,rome_17234,-0.5714054107666016,Jean-Baptiste Annibal Aubert du Bayet est mort à <mask>.,Istanbul,['Paris'],P20
xlm-roberta-large,rome_14897,-0.5688456892967224,Le siège social de China Poly Group Corporation est situé à <mask>.,Pékin,['Shanghai'],P159
xlm-roberta-large,rome_14710,-0.5662755966186523,Le siège de Bianet est à <mask>.,Istanbul,['Paris'],P159
xlm-roberta-large,rome_5318,-0.5541715621948242,Le siège social de Miran Pastourma est situé à <mask>.,Athènes,['Paris'],P159
xlm-roberta-large,rome_963,-0.5307421684265137,Sofia Kovalevskaya travaille dans le domaine de <mask>.,mathématiques,['la physique'],P101
xlm-roberta-large,rome_20841,-0.5248780250549316,Eugène Lifshitz est mort à <mask>.,Moscou,['Paris'],P20
xlm-roberta-large,rome_14289,-0.521481454372406,Eduard Devrient a travaillé à la ville de <mask>.,Dresde,['Paris'],P937
xlm-roberta-large,rome_7220,-0.5082607865333557,Aleksey Krylov travaille dans le domaine de <mask>.,mathématiques,['la physique'],P101
xlm-roberta-large,rome_12681,-0.4956052899360657,Le genre joué par The Paul Lynde Show est <mask>.,sitcom,['le jazz'],P136
xlm-roberta-large,rome_17253,-0.49078369140625,"Willie Dixon, jouant au <mask>.",guitare,['piano'],P1303
xlm-roberta-large,rome_4035,-0.49045586585998535,Bonaventura Cavalieri travaille dans le domaine de <mask>.,mathématiques,['la physique'],P101
xlm-roberta-large,rome_10463,-0.489288330078125,Fritz Simrock travaillait à <mask>.,Berlin,['Paris'],P937
xlm-roberta-large,rome_5147,-0.48461902141571045,Le genre joué par So Haunt Me est <mask>.,sitcom,['le jazz'],P136
xlm-roberta-large,rome_10580,-0.48461878299713135,William Harvey travaille dans le domaine de <mask>.,physiologie,['la physique'],P101
xlm-roberta-large,rome_12225,-0.4748533368110657,Le genre joué par Lucky Louie est <mask>.,sitcom,['le jazz'],P136
xlm-roberta-large,rome_15774,-0.46899449825286865,Videocon est basé à <mask>.,Mumbai,['Paris'],P159
xlm-roberta-large,rome_8252,-0.46166229248046875,"Nicke Andersson, jouant au <mask>.",guitare,['piano'],P1303
xlm-roberta-large,rome_3123,-0.459716796875,Olaus Murie est mort à <mask>.,Moose,['Paris'],P20
xlm-roberta-large,rome_20425,-0.4594707489013672,"Meta Content Framework, un produit développé par <mask>.",Apple,['Google'],P178
xlm-roberta-large,rome_16852,-0.458740234375,Serge Gainsbourg joue au <mask>.,guitare,['piano'],P1303
xlm-roberta-large,rome_8071,-0.45825082063674927,Archimède travaille dans le domaine de <mask>.,géométrie,['la physique'],P101
xlm-roberta-large,rome_20896,-0.4565425515174866,Michael Faraday travaille dans le domaine de <mask>.,chimie,['la physique'],P101
xlm-roberta-large,rome_20850,-0.45440673828125,Dominik Duka a travaillé à la ville de <mask>.,Prague,['Paris'],P937
xlm-roberta-large,rome_19723,-0.4514007568359375,Carl Flesch a travaillé à la ville de <mask>.,Berlin,['Paris'],P937
xlm-roberta-large,rome_4335,-0.45092761516571045,Le genre joué par The Dustbinmen est <mask>.,sitcom,['le jazz'],P136
xlm-roberta-large,rome_3136,-0.4368438720703125,Paul Hindemith a travaillé à la ville de <mask>.,Berlin,['Paris'],P937
xlm-roberta-large,rome_13873,-0.43505728244781494,Kévin Lamoureux est né à <mask>.,Winnipeg,['Paris'],P19
xlm-roberta-large,rome_9135,-0.430389404296875,Egon Petri travaillait à <mask>.,Berlin,['Paris'],P937
xlm-roberta-large,rome_18710,-0.4218130111694336,"Yeh Jawaani Hai Deewani, développé en <mask>.",Inde,['France'],P495
xlm-roberta-large,rome_9468,-0.421539306640625,Philipp Scheidemann travaillait à <mask>.,Berlin,['Paris'],P937
xlm-roberta-large,rome_19184,-0.4086912274360657,Le genre joué par Arliss est <mask>.,sitcom,['le jazz'],P136
xlm-roberta-large,rome_9835,-0.40655517578125,Le genre joué par Riverworld est <mask>.,fantasy,['le jazz'],P136
xlm-roberta-large,rome_13991,-0.40331941843032837,Rudolf Besier est mort à <mask>.,Surrey,['Paris'],P20
xlm-roberta-large,rome_5453,-0.4017922282218933,"Kill Arman, développé au <mask>.",Finlande,['Japon'],P495
xlm-roberta-large,rome_4389,-0.40110480785369873,Karl May a commencé à travailler à <mask>.,Dresde,['Paris'],P937
xlm-roberta-large,rome_4347,-0.3989255428314209,Le genre joué par Gary Unmarried est <mask>.,sitcom,['le jazz'],P136
xlm-roberta-large,rome_11817,-0.38312458992004395,Zam Zam Cola a été développé au <mask>.,Iran,['Canada'],P495
xlm-roberta-large,rome_10188,-0.37115478515625,Arthur Balfour a travaillé à <mask>.,Londres,['Paris'],P937
xlm-roberta-large,rome_8333,-0.36883544921875,Le genre joué par The Incomplete Enchanter est <mask>.,fantasy,['le jazz'],P136
xlm-roberta-large,rome_5030,-0.3671647310256958,Peter Planyavsky travaillait à <mask>.,Vienne,['Paris'],P937
