model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_12147,-0.9291959404945374,Det officielle sprog i Alberta er,engelsk,['fransk'],P37
google/mt5-xl,rome_2060,-0.7773352861404419,Det officielle sprog for Khanty-Mansi Autonome Okrug er,Russisk,['ukrainsk'],P37
google/mt5-xl,rome_19621,-0.47435498237609863,Det officielle sprog i Guyana er,engelsk,['fransk'],P37
google/mt5-xl,calinet_8696,-0.430419921875,PDP-11 er et produkt af,DEC,['iRobot'],P176
google/mt5-xl,rome_18721,-0.3843008279800415,Det officielle sprog i Illinois er,engelsk,['fransk'],P37
google/mt5-xl,rome_21221,-0.25632452964782715,Jermaine Jones spiller professionelt sporten,fodbold,['basketball'],P641
google/mt5-xl,rome_9323,-0.24969482421875,The New Dick Van Dyke Show debuterede på,CBS,['NBC'],P449
google/mt5-xl,rome_6049,-0.23847228288650513,Jerseys officielle sprog er,engelsk,['fransk'],P37
google/mt5-xl,rome_21844,-0.2128801941871643,Hvilken sport dyrker Megan Rapinoe? De spiller,fodbold,['basketball'],P641
google/mt5-xl,rome_391,-0.20409947633743286,Det officielle sprog i Caslano er,italiensk,['fransk'],P37
google/mt5-xl,rome_14992,-0.18172425031661987,Det officielle sprog i Kumlinge er,svensk,['fransk'],P37
google/mt5-xl,calinet_4117,-0.1774861216545105,Leandro spiller i positionen som,angribende midtbane,['offensiv midtbanespiller'],P413
google/mt5-xl,rome_13688,-0.15829753875732422,The Benny Hill Show blev oprindeligt sendt på,BBC,['NBC'],P449
google/mt5-xl,rome_9746,-0.14398813247680664,Det officielle sprog på Guernsey er,engelsk,['fransk'],P37
google/mt5-xl,rome_5494,-0.12522739171981812,Hvilken sport dyrker Drew Brees? De spiller,fodbold,['basketball'],P641
google/mt5-xl,rome_10359,-0.12076067924499512,Herculez Gomez spiller professionelt sporten,fodbold,['basketball'],P641
google/mt5-xl,calinet_4157,-0.11865133047103882,Reinhard Divis spiller i positionen som,målmand,['offensiv midtbanespiller'],P413
google/mt5-xl,rome_11404,-0.11453908681869507,Barry Bonds spiller professionelt sporten,baseball,['basketball'],P641
google/mt5-xl,rome_262,-0.1142888069152832,Hank Aaron spiller professionelt sporten,baseball,['basketball'],P641
google/mt5-xl,rome_14892,-0.11364686489105225,Hvilken sport dyrker DaMarcus Beasley? De spiller,fodbold,['basketball'],P641
google/mt5-xl,calinet_4124,-0.10186707973480225,Jeremy Lin spiller i positionen som,Point guard,['offensiv midtbanespiller'],P413
google/mt5-xl,rome_7696,-0.0982666015625,Real Time with Bill Maher har premiere på,HBO,['NBC'],P449
google/mt5-xl,rome_13208,-0.09327471256256104,120 Minutes blev oprindeligt sendt på,MTV,['CBS'],P449
google/mt5-xl,calinet_3383,-0.08857741951942444,Det franske sprog er det officielle sprog i Punjab (Indien),Mali,"['Karachay-Cherkessia', 'Punjab (Indien)']",P37
google/mt5-xl,rome_4065,-0.08715760707855225,Laurie Anderson arbejder som,digter,['skuespiller'],P106
google/mt5-xl,rome_9042,-0.079833984375,Det officielle sprog i Transnistrien er,ukrainsk,['ungarsk'],P37
google/mt5-xl,rome_17450,-0.07914483547210693,Det originale sprog for Deres Sataniske Majestæts anmodning var,engelsk,['fransk'],P364
google/mt5-xl,rome_14534,-0.0606687068939209,"Charles du Fresne, sieur du Cange skriver på",latin,['fransk'],P1412
