model,dataset_id,differences,stem,true,false,relation
mosaicml/mpt-30b,rome_19288,-0.6732177734375,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
mosaicml/mpt-30b,rome_21191,-0.54901123046875,"Zero configuration networking, developed by",Apple,['Microsoft'],P178
mosaicml/mpt-30b,rome_19761,-0.5389022827148438,The native language of JoeyStarr is,French,['English'],P103
mosaicml/mpt-30b,calinet_12395,-0.36217498779296875,"Putin, whose position is that of",President,['aedile'],P39
mosaicml/mpt-30b,rome_20976,-0.34566497802734375,Doyran Heights belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_9336,-0.3001823425292969,Bedford Master worked in the city of,Paris,['London'],P937
mosaicml/mpt-30b,rome_9770,-0.2790374755859375,Oliver Friggieri worked in the city of,Malta,['London'],P937
mosaicml/mpt-30b,calinet_6542,-0.26947343349456787,Bantam is based in,Manhattan,"['New Bremen', 'NOAA']",P159
mosaicml/mpt-30b,rome_883,-0.242889404296875,"Journaled File System, a product developed by",IBM,['Microsoft'],P178
mosaicml/mpt-30b,rome_5958,-0.22060394287109375,Melnik Ridge belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_8927,-0.19525146484375,Worcester Range belongs to the continent of,Antarctica,['Africa'],P30
mosaicml/mpt-30b,rome_6269,-0.1664438247680664,Maya River is located in the country of,Russia,['Guatemala'],P17
mosaicml/mpt-30b,rome_1199,-0.1627044677734375,The Little Lulu Show premieres on,HBO,['NBC'],P449
mosaicml/mpt-30b,rome_6674,-0.160919189453125,Crime & Punishment was originally aired on,NBC,['BBC'],P449
mosaicml/mpt-30b,rome_15881,-0.15976715087890625,Michael Balcon was born in,Birmingham,['London'],P19
mosaicml/mpt-30b,rome_17025,-0.15936279296875,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_16750,-0.15679931640625,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_12709,-0.1507720947265625,Neny Island is a part of the continent of,Antarctica,['Africa'],P30
mosaicml/mpt-30b,rome_150,-0.14566802978515625,"Mark Isham, playing the",trumpet,['piano'],P1303
mosaicml/mpt-30b,rome_5617,-0.14068603515625,"Franz Anton Ries, performing on the",violin,['piano'],P1303
mosaicml/mpt-30b,rome_11902,-0.139404296875,Lisiya Ridge belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_12608,-0.1342926025390625,Kukri Hills is a part of the continent of,Antarctica,['Asia'],P30
mosaicml/mpt-30b,rome_19068,-0.13323974609375,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_5411,-0.1236572265625,The original language of Atomised was,French,['English'],P364
mosaicml/mpt-30b,rome_10367,-0.1231842041015625,Miers Valley belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_20930,-0.1207733154296875,Payer Mountains belongs to the continent of,Antarctica,['Africa'],P30
mosaicml/mpt-30b,rome_13482,-0.118072509765625,"Roland Orzabal, performing on the",guitar,['piano'],P1303
mosaicml/mpt-30b,rome_17109,-0.11767578125,"In Luhansk Oblast, an official language is",Ukrainian,['Russian'],P37
mosaicml/mpt-30b,rome_19177,-0.112762451171875,Warp Films's headquarters are in,Sheffield,['London'],P159
mosaicml/mpt-30b,rome_5720,-0.11162590980529785,The headquarters of Grattan plc is in,Bradford,['London'],P159
mosaicml/mpt-30b,rome_17234,-0.11102807521820068,Jean-Baptiste Annibal Aubert du Bayet died in,Istanbul,['Paris'],P20
mosaicml/mpt-30b,rome_13475,-0.1099853515625,The original language of Caresses is,Catalan,['French'],P364
mosaicml/mpt-30b,rome_15686,-0.109100341796875,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_17005,-0.1059112548828125,Sid Page performs on the,violin,['piano'],P1303
mosaicml/mpt-30b,rome_9706,-0.10288238525390625,The headquarter of Skinner & Eddy is located in,Seattle,['Boston'],P159
mosaicml/mpt-30b,rome_5277,-0.098876953125,"Biff Baker, U.S.A. originally aired on",CBS,['NBC'],P449
mosaicml/mpt-30b,calinet_5731,-0.09732919931411743,"Nigerian's capital city,",Lagos,"['greater metropolitan Sydney', 'Abu Dhabi (emirate)', 'Wilmington', 'Tougan', 'South Korea', 'Portuguese Mozambique']",P1376
mosaicml/mpt-30b,rome_11483,-0.0965576171875,Veleka Ridge belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_21611,-0.09192657470703125,Hull Bay is a part of the continent of,Antarctica,['Africa'],P30
mosaicml/mpt-30b,rome_16429,-0.08995819091796875,The native language of Isaac Massa is,Dutch,['French'],P103
mosaicml/mpt-30b,rome_13378,-0.084564208984375,"Hey, Jeannie! originally aired on",CBS,['NBC'],P449
mosaicml/mpt-30b,rome_18756,-0.084228515625,The official language of Kingdom of Sicily is,Greek,['Latin'],P37
mosaicml/mpt-30b,rome_6796,-0.08408260345458984,The original language of The Tied Up Balloon was,Bulgarian,['English'],P364
mosaicml/mpt-30b,rome_5995,-0.08310699462890625,"Stronach Group, whose headquarters are in",Aurora,['California'],P159
mosaicml/mpt-30b,rome_15283,-0.0824432373046875,The original language of The Man Who Counted was,Portuguese,['English'],P364
mosaicml/mpt-30b,rome_13881,-0.08071517944335938,The original language of Mango Yellow was,Portuguese,['English'],P364
mosaicml/mpt-30b,rome_19904,-0.07805633544921875,The language of Adriana Lecouvreur is,Italian,['French'],P364
mosaicml/mpt-30b,rome_6247,-0.077484130859375,The original language of A Frozen Flower is,Korean,['English'],P364
mosaicml/mpt-30b,rome_8050,-0.07497406005859375,"Andranik Madadian, performing on the",guitar,['piano'],P1303
mosaicml/mpt-30b,rome_5248,-0.073577880859375,Yamato 000593 is a part of the continent of,Antarctica,['Asia'],P30
mosaicml/mpt-30b,rome_458,-0.07305908203125,The Dennis O'Keefe Show originally aired on,CBS,['NBC'],P449
mosaicml/mpt-30b,rome_7192,-0.07080459594726562,Gerard Presencer performs on the,trumpet,['piano'],P1303
mosaicml/mpt-30b,rome_20703,-0.070404052734375,"Ralph Towner, playing the",guitar,['piano'],P1303
mosaicml/mpt-30b,rome_482,-0.070037841796875,Peter Mayle writes in,English,['French'],P1412
mosaicml/mpt-30b,rome_21172,-0.06976318359375,The original language of The Mountain of the Cannibal God was,English,['Spanish'],P364
mosaicml/mpt-30b,rome_11158,-0.069183349609375,The original language of How I Ended This Summer was,Russian,['French'],P364
mosaicml/mpt-30b,rome_16432,-0.06567764282226562,Onyx River is a part of the continent of,Antarctica,['Africa'],P30
mosaicml/mpt-30b,rome_19370,-0.0655670166015625,The original language of The Fatal Eggs is,Russian,['French'],P364
mosaicml/mpt-30b,rome_12788,-0.06539231538772583,Angelo Bertelli plays in the position of,quarterback,['midfielder'],P413
mosaicml/mpt-30b,rome_10298,-0.06482362747192383,Freddie Webster performs on the,trumpet,['piano'],P1303
mosaicml/mpt-30b,rome_5923,-0.0638427734375,Amund Maarud performs on the,guitar,['piano'],P1303
mosaicml/mpt-30b,rome_1533,-0.062408447265625,Lake Vida belongs to the continent of,Antarctica,['Africa'],P30
mosaicml/mpt-30b,rome_1006,-0.062212467193603516,Jonathan Goff plays in the position of,linebacker,['midfielder'],P413
mosaicml/mpt-30b,rome_11324,-0.06024169921875,Michael Denner performs on the,guitar,['piano'],P1303
mosaicml/mpt-30b,rome_10172,-0.0589141845703125,"The original language of Run, Man, Run! is",Italian,['English'],P364
mosaicml/mpt-30b,rome_6801,-0.0587615966796875,Finding Carter originally aired on,MTV,['CBS'],P449
mosaicml/mpt-30b,rome_21365,-0.0574951171875,Mount Tyree belongs to the continent of,Antarctica,['Africa'],P30
mosaicml/mpt-30b,rome_8394,-0.0565185546875,Coulter Heights belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,calinet_12005,-0.05651608109474182,David Brand holds the position of,Premier,"['daimyō', 'Chief Minister']",P39
mosaicml/mpt-30b,rome_1951,-0.056488037109375,Merrick Mountains belongs to the continent of,Antarctica,['Asia'],P30
mosaicml/mpt-30b,rome_4084,-0.0562744140625,Soozie Tyrell plays the,violin,['piano'],P1303
mosaicml/mpt-30b,rome_3231,-0.055657386779785156,Tommy Kramer plays in the position of,quarterback,['midfielder'],P413
mosaicml/mpt-30b,calinet_12393,-0.05535823106765747,Dermot Clifford's position is,bishop,['aedile'],P39
mosaicml/mpt-30b,rome_16688,-0.054779052734375,Warfaze was created in the country of,Bangladesh,['India'],P495
mosaicml/mpt-30b,rome_12881,-0.054058074951171875,Amelia Fletcher plays the,guitar,['piano'],P1303
mosaicml/mpt-30b,rome_5086,-0.05401611328125,Shipka Saddle is a part of the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_21013,-0.053985595703125,Thomas Browne worked in,Norwich,['London'],P937
mosaicml/mpt-30b,rome_9854,-0.053455352783203125,Ferdinand Bruckner took up work in,Berlin,['Vienna'],P937
mosaicml/mpt-30b,rome_5669,-0.05083751678466797,Jeff Kemp plays in the position of,quarterback,['midfielder'],P413
mosaicml/mpt-30b,rome_10967,-0.05058097839355469,Shane Matthews plays in the position of,quarterback,['midfielder'],P413
mosaicml/mpt-30b,rome_10248,-0.05041694641113281,"Ruth Laredo, the",piano,['violin'],P1303
mosaicml/mpt-30b,rome_15244,-0.05023193359375,Caleb TerBush plays in the position of,quarterback,['pitcher'],P413
mosaicml/mpt-30b,rome_4865,-0.047760009765625,Thomas Dybdahl performs on the,guitar,['piano'],P1303
mosaicml/mpt-30b,rome_8892,-0.04766845703125,Owen Ridge belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_6528,-0.047580718994140625,Joe Ferguson plays in the position of,quarterback,['midfielder'],P413
mosaicml/mpt-30b,rome_13699,-0.04744720458984375,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_16415,-0.046600341796875,Suna Kan performs on the,violin,['piano'],P1303
mosaicml/mpt-30b,rome_3349,-0.0461578369140625,Space Sentinels originally aired on,NBC,['BBC'],P449
mosaicml/mpt-30b,rome_159,-0.04523658752441406,Karl Mecklenburg plays in the position of,linebacker,['midfielder'],P413
mosaicml/mpt-30b,rome_1935,-0.04498291015625,The headquarter of The Imaginarium Studios is located in,London,['Mumbai'],P159
mosaicml/mpt-30b,rome_11036,-0.04486083984375,The original language of A Hunting Accident was,Russian,['French'],P364
mosaicml/mpt-30b,rome_2148,-0.04486083984375,The Danny Thomas Hour debuted on,NBC,['CBS'],P449
mosaicml/mpt-30b,rome_16602,-0.04449462890625,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_8852,-0.043912649154663086,Jamie Storr plays in the position of,goaltender,['midfielder'],P413
mosaicml/mpt-30b,rome_4668,-0.04381752014160156,Gary Beban plays in the position of,quarterback,['midfielder'],P413
mosaicml/mpt-30b,rome_21842,-0.043731689453125,Quartz Hills belongs to the continent of,Antarctica,['Asia'],P30
mosaicml/mpt-30b,rome_18161,-0.0432891845703125,The Josephine Baker Story originally aired on,HBO,['CBS'],P449
mosaicml/mpt-30b,rome_5498,-0.04249095916748047,John Stofa plays in the position of,quarterback,['midfielder'],P413
mosaicml/mpt-30b,rome_14342,-0.04213714599609375,"In European Union, the language spoken is",Italian,['French'],P37
mosaicml/mpt-30b,rome_19216,-0.04210853576660156,Most Outrageous Moments debuted on,NBC,['MTV'],P449
mosaicml/mpt-30b,calinet_2300,-0.04138946533203125,Otto Albert Blehr found employment in,Oslo,"['New York, New York']",P937
mosaicml/mpt-30b,rome_16868,-0.041332244873046875,Joe Kapp plays in the position of,quarterback,['midfielder'],P413
mosaicml/mpt-30b,rome_19479,-0.04108428955078125,"In Cebu, they understand",Filipino,['English'],P37
mosaicml/mpt-30b,calinet_2065,-0.04107150435447693,Arnold Schoenberg worked in,Berlin,"['Vienna', 'Augsburg']",P937
mosaicml/mpt-30b,calinet_4364,-0.040496826171875,Chad Hutchinson plays in the position of,quarterback,"['centre-forward', 'midfielder']",P413
mosaicml/mpt-30b,rome_20926,-0.040069580078125,Ford Star Jubilee originally aired on,CBS,['NBC'],P449
mosaicml/mpt-30b,rome_6313,-0.03992462158203125,Alan Rubin performs on the,trumpet,['violin'],P1303
mosaicml/mpt-30b,rome_18591,-0.03985595703125,John Huarte plays in the position of,quarterback,['midfielder'],P413
mosaicml/mpt-30b,calinet_4043,-0.03983306884765625,Lee Martin plays in the position of,left-back,['goalkeeper'],P413
mosaicml/mpt-30b,calinet_12878,-0.03965981801350912,"Bing Crosby, that is represented by",Decca,"['avex', 'Sigvart Dagsland', 'Regal Zonophone']",P264
mosaicml/mpt-30b,rome_12831,-0.039093017578125,"Vector Markup Language, developed by",Microsoft,['Adobe'],P178
mosaicml/mpt-30b,rome_16773,-0.039031982421875,Bull Pass belongs to the continent of,Antarctica,['Asia'],P30
mosaicml/mpt-30b,rome_4002,-0.038970947265625,Sylvester I holds the position of,pope,['bishop'],P39
mosaicml/mpt-30b,rome_5916,-0.0389404296875,Fritz Schramma worked in the city of,Cologne,['Berlin'],P937
mosaicml/mpt-30b,rome_10742,-0.03890228271484375,"Camp Tarawa, in",Hawaii,['California'],P131
mosaicml/mpt-30b,rome_17521,-0.0382232666015625,Harry Sacksioni performs on the,guitar,['piano'],P1303
mosaicml/mpt-30b,rome_12796,-0.0379638671875,Mark Feldman plays the,violin,['piano'],P1303
mosaicml/mpt-30b,rome_9026,-0.03723335266113281,Markus Feldmann worked in the city of,Bern,['Berlin'],P937
mosaicml/mpt-30b,rome_16515,-0.03713226318359375,The headquarter of X5 Music Group is in,Stockholm,['London'],P159
mosaicml/mpt-30b,rome_6797,-0.0369110107421875,The native language of Ernest Monis is,French,['Russian'],P103
mosaicml/mpt-30b,rome_1418,-0.03673553466796875,Matthieu Chedid performs on the,guitar,['piano'],P1303
mosaicml/mpt-30b,rome_14001,-0.03669452667236328,The original language of The Glembays was,Croatian,['English'],P364
mosaicml/mpt-30b,rome_529,-0.036536216735839844,Crossfire originally aired on,CNN,['CBS'],P449
mosaicml/mpt-30b,rome_16800,-0.03639984130859375,Urban I holds the title of,pope,['bishop'],P39
mosaicml/mpt-30b,rome_3992,-0.035233497619628906,"Ingrid Jensen, playing the",trumpet,['piano'],P1303
mosaicml/mpt-30b,rome_4579,-0.035221099853515625,"Jack Sheldon, playing the",trumpet,['piano'],P1303
mosaicml/mpt-30b,rome_20038,-0.03485107421875,The language of Mississippi Masala was,English,['Hindi'],P364
mosaicml/mpt-30b,rome_7056,-0.03466987609863281,The original language of Somersault in a Coffin was,Turkish,['Russian'],P364
mosaicml/mpt-30b,rome_6172,-0.03357529640197754,The language of The Glass Agency is,Persian,['English'],P364
mosaicml/mpt-30b,rome_4425,-0.033306121826171875,Anthony Plog plays the,trumpet,['piano'],P1303
mosaicml/mpt-30b,rome_1262,-0.0331268310546875,M Squad premieres on,NBC,['CBS'],P449
mosaicml/mpt-30b,rome_1394,-0.03277587890625,The original language of The Good Father was,English,['French'],P364
mosaicml/mpt-30b,rome_5742,-0.03275108337402344,"Bundesautobahn 17, from",Germany,['Berlin'],P127
mosaicml/mpt-30b,rome_10464,-0.0325927734375,The Lloyd Bridges Show was originally aired on,CBS,['NBC'],P449
mosaicml/mpt-30b,rome_19308,-0.032562255859375,Clement I has the position of,pope,['bishop'],P39
mosaicml/mpt-30b,rome_8265,-0.032460689544677734,Emmanuel Servais found employment in,Luxembourg,['Paris'],P937
mosaicml/mpt-30b,rome_3530,-0.0323944091796875,Pirrit Hills belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,rome_16336,-0.032390594482421875,Petvar Heights belongs to the continent of,Antarctica,['Asia'],P30
mosaicml/mpt-30b,rome_12172,-0.0321807861328125,Bright Promise originally aired on,NBC,['BBC'],P449
mosaicml/mpt-30b,rome_21305,-0.03167724609375,Molar Massif is a part of the continent of,Antarctica,['Africa'],P30
mosaicml/mpt-30b,rome_8054,-0.03084564208984375,Costas Now originally aired on,HBO,['CBS'],P449
mosaicml/mpt-30b,rome_15629,-0.030513763427734375,William Lobb was born in,Cornwall,['London'],P19
mosaicml/mpt-30b,rome_10741,-0.0297698974609375,The original language of Jar City was,Icelandic,['English'],P364
mosaicml/mpt-30b,rome_4911,-0.02965545654296875,The language of The Round Up was,French,['English'],P364
mosaicml/mpt-30b,rome_5211,-0.02959442138671875,"Frank London, playing the",trumpet,['piano'],P1303
mosaicml/mpt-30b,rome_11725,-0.029153823852539062,Johann Andreas Schmeller found employment in,Munich,['London'],P937
mosaicml/mpt-30b,rome_8813,-0.028913021087646484,What does William Bolcom play? They play,opera,['jazz'],P136
mosaicml/mpt-30b,rome_6583,-0.02838134765625,Joe Pisarcik plays in the position of,quarterback,['midfielder'],P413
mosaicml/mpt-30b,calinet_4179,-0.0282440185546875,Jermaine Taylor plays in the position of,shooting guard,['Defensive End'],P413
mosaicml/mpt-30b,rome_12874,-0.02802276611328125,The headquarter of SNK European Democrats is in,Prague,['Rome'],P159
mosaicml/mpt-30b,rome_7715,-0.02801513671875,Frederick Grinke performs on the,violin,['piano'],P1303
mosaicml/mpt-30b,rome_17113,-0.027723312377929688,Henry Calvert Simons took up work in,Chicago,['London'],P937
mosaicml/mpt-30b,rome_21508,-0.0276641845703125,Alfred Flechtheim took up work in,Berlin,['London'],P937
mosaicml/mpt-30b,rome_18637,-0.02748727798461914,Simon Beckett found employment in,Sheffield,['London'],P937
mosaicml/mpt-30b,calinet_484,-0.027388393878936768,New York shares a border with,Quebec,"['Jalamb', 'Old Irving Park', 'Sherborn', 'Ciampino', 'New Mills']",P47
mosaicml/mpt-30b,rome_21338,-0.027321815490722656,"Mumtaz Group, whose headquarters are in",Bradford,['London'],P159
mosaicml/mpt-30b,rome_14129,-0.027313232421875,Jerry Donahue plays the,guitar,['piano'],P1303
mosaicml/mpt-30b,calinet_476,-0.0273094375928243,Heilongjiang shares a common border with,Primorsky Krai,"['North Gyeongsang Province', 'Pandino', 'Lomazzo']",P47
mosaicml/mpt-30b,rome_21308,-0.02722454071044922,Louis Prima performs on the,trumpet,['piano'],P1303
mosaicml/mpt-30b,rome_3809,-0.02710723876953125,Alexander VIII has the position of,cardinal,['pope'],P39
mosaicml/mpt-30b,calinet_9043,-0.027055934071540833,The language of Cyworld is,Hangul,"['Korean language', 'Dutch Language', 'short story', 'Aramaic']",P407
mosaicml/mpt-30b,rome_10728,-0.0264892578125,The Jim Henson Hour originally aired on,NBC,['HBO'],P449
mosaicml/mpt-30b,rome_14649,-0.026468276977539062,Thursday Night Showcase premieres on,ESPN,['NBC'],P449
mosaicml/mpt-30b,rome_14439,-0.026247501373291016,The language of Air Mata Iboe was,Indonesian,['English'],P364
mosaicml/mpt-30b,rome_17426,-0.0257415771484375,IMRB International is based in,Mumbai,['London'],P159
mosaicml/mpt-30b,rome_736,-0.02542877197265625,Roy Paci performs on the,trumpet,['guitar'],P1303
mosaicml/mpt-30b,rome_19442,-0.025127410888671875,Jon Eardley performs on the,trumpet,['violin'],P1303
mosaicml/mpt-30b,rome_10104,-0.024997711181640625,Dough Re Mi premieres on,NBC,['HBO'],P449
mosaicml/mpt-30b,rome_1644,-0.02489018440246582,Max Richter took up work in,Edinburgh,['Berlin'],P937
mosaicml/mpt-30b,rome_14896,-0.0246124267578125,The Muppets Celebrate Jim Henson originally aired on,CBS,['NBC'],P449
mosaicml/mpt-30b,rome_7164,-0.024599075317382812,Bob Mason plays in the position of,goaltender,['midfielder'],P413
mosaicml/mpt-30b,calinet_4529,-0.02433685461680095,The Justin Lee Collins Show was originally aired on,ITV2,"['ABS CBN', 'BBC 2', 'Good Times', 'My Network TV', 'Channel 4', 'Even Stevens']",P449
mosaicml/mpt-30b,rome_12426,-0.02419281005859375,Mike Vernon plays in the position of,goaltender,['midfielder'],P413
mosaicml/mpt-30b,rome_683,-0.02409219741821289,The language of The Red Sea Sharks is,French,['English'],P364
mosaicml/mpt-30b,rome_12780,-0.02398681640625,The Knoll belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-30b,calinet_2000,-0.023896242891039168,Electronic music is the specialization of,Moog synthesizer,"['big-wave surfer', 'New York City Landmarks Preservation Commission', 'music industry', 'stability theory', 'radioactive', 'William Robert Ogilvie-Grant', 'historical records']",P101
mosaicml/mpt-30b,rome_10168,-0.02374267578125,South Beaches belongs to the continent of,Antarctica,['Asia'],P30
mosaicml/mpt-30b,rome_14191,-0.023715972900390625,Brian Mannix was originally from,Melbourne,['Dublin'],P19
mosaicml/mpt-30b,calinet_4110,-0.02344989776611328,Kevin Lalande plays in the position of,goaltender,"['Shooting guard', 'midfielder']",P413
mosaicml/mpt-30b,rome_21720,-0.023258686065673828,Which position does Kevin Craft play? They play as,quarterback,['midfielder'],P413
mosaicml/mpt-30b,calinet_5072,-0.02324974536895752,The profession of Teodor Leszetycki is,composer,"['play writer', 'aikidoka']",P106
mosaicml/mpt-30b,rome_15644,-0.0231170654296875,The native language of Nicholas Marr is,Russian,['French'],P103
mosaicml/mpt-30b,rome_12586,-0.0230865478515625,Courting Alex premieres on,CBS,['HBO'],P449
mosaicml/mpt-30b,rome_6604,-0.0230865478515625,"David Isberg, performing on the",guitar,['piano'],P1303
mosaicml/mpt-30b,rome_4465,-0.02295970916748047,The language of Office Romance is,Russian,['English'],P364
mosaicml/mpt-30b,rome_9995,-0.022885560989379883,The original language of Calamari Union was,Finnish,['English'],P364
mosaicml/mpt-30b,rome_16194,-0.022818565368652344,Robinson Group is a part of the continent of,Antarctica,['Asia'],P30
mosaicml/mpt-30b,rome_19513,-0.022552013397216797,Christian Birch-Reichenwald worked in the city of,Oslo,['Munich'],P937
mosaicml/mpt-30b,calinet_12500,-0.022528469562530518,"Gerald Ford, whose position is that of",United States President,"['Vice Prime Minister', 'Punjab Pradesh Congress Committee']",P39
mosaicml/mpt-30b,rome_7181,-0.02252197265625,The mother tongue of Elsa Zylberstein is,French,['German'],P103
mosaicml/mpt-30b,rome_12798,-0.02251720428466797,Jason Jennings plays in the position of,pitcher,['midfielder'],P413
mosaicml/mpt-30b,rome_200,-0.02203369140625,The original language of Wild Reeds is,French,['Spanish'],P364
mosaicml/mpt-30b,rome_10796,-0.021947383880615234,What does Paul Dessau play? They play,opera,['jazz'],P136
mosaicml/mpt-30b,rome_5125,-0.02178192138671875,Christine Edzard was born in,Paris,['Berlin'],P19
mosaicml/mpt-30b,rome_208,-0.0216064453125,Teres Ridge belongs to the continent of,Antarctica,['Africa'],P30
mosaicml/mpt-30b,calinet_4017,-0.02158486843109131,Chris Boniol plays in the position of,kicker,['Midfielder'],P413
mosaicml/mpt-30b,rome_19497,-0.02147674560546875,"Attention Please, that originated in",Japan,['England'],P495
mosaicml/mpt-30b,rome_19970,-0.021338462829589844,Corinne Drewery was originally from,Nottingham,['London'],P19
mosaicml/mpt-30b,rome_3240,-0.021240234375,She Spies originally aired on,NBC,['CBS'],P449
mosaicml/mpt-30b,calinet_1664,-0.0211353600025177,Pharmacologist is the specialization of,Oswald Schmiedeberg,"['avian', 'Sir Bernard Burke', 'animal science', 'pharmacy', 'Peter Lax', 'power plant']",P101
mosaicml/mpt-30b,rome_12684,-0.0210723876953125,The Ellen Show was originally aired on,CBS,['NBC'],P449
mosaicml/mpt-30b,rome_18354,-0.020849227905273438,Ambrose died at,London,['Rome'],P20
mosaicml/mpt-30b,rome_13718,-0.0206756591796875,English Coast is a part of the continent of,Antarctica,['Africa'],P30
mosaicml/mpt-30b,rome_7644,-0.02066802978515625,"Lewis Kaplan, playing the",violin,['piano'],P1303
mosaicml/mpt-30b,rome_19287,-0.02057725191116333,Super Laff-In originated in,Philippines,['Canada'],P495
mosaicml/mpt-30b,rome_13846,-0.02008056640625,The original language of Peppermint Candy is,Korean,['English'],P364
mosaicml/mpt-30b,rome_2605,-0.02008056640625,The Hitchhiker originally aired on,HBO,['NBC'],P449
mosaicml/mpt-30b,rome_1228,-0.020067214965820312,Clete Thomas plays in the position of,outfielder,['quarterback'],P413
mosaicml/mpt-30b,rome_11580,-0.02001190185546875,"Caillou, that was created in",Canada,['France'],P495
mosaicml/mpt-30b,rome_17057,-0.019775390625,Navy Log originally aired on,CBS,['NBC'],P449
mosaicml/mpt-30b,rome_12838,-0.0196075439453125,Interns originally aired on,TNT,['MTV'],P449
mosaicml/mpt-30b,rome_14147,-0.019506454467773438,Joseph Priestley took up work in,Paris,['London'],P937
mosaicml/mpt-30b,rome_18197,-0.019367218017578125,Andrey Kolmogorov works in the area of,geometry,['mathematics'],P101
mosaicml/mpt-30b,rome_9306,-0.01935577392578125,"Andrew Pendlebury, performing on the",guitar,['violin'],P1303
mosaicml/mpt-30b,rome_11020,-0.0192413330078125,Johann Heinrich Roos worked in,Frankfurt,['Berlin'],P937
mosaicml/mpt-30b,rome_2143,-0.0191192626953125,"David Gates, performing on the",violin,['guitar'],P1303
mosaicml/mpt-30b,rome_8340,-0.019115447998046875,"Mel Schacher, playing the",guitar,['piano'],P1303
mosaicml/mpt-30b,rome_7441,-0.018886566162109375,Frontier premieres on,NBC,['BBC'],P449
mosaicml/mpt-30b,rome_8182,-0.01868438720703125,Heinz Lammerding is originally from,Dortmund,['Vienna'],P19
mosaicml/mpt-30b,rome_12331,-0.018613815307617188,Thomas Alexander Browne died in the city of,Melbourne,['Philadelphia'],P20
mosaicml/mpt-30b,rome_17191,-0.018529415130615234,The language of Tell Me Something was,Korean,['English'],P364
