model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,calinet_7535,-0.6723632216453552,A língua de Kadawunu Poronduwa era a,Sinhala,['língua catalã'],P364
google/mt5-xl,rome_6796,-0.5312498807907104,O idioma original de The Tied Up Balloon era o,búlgaro,['Inglês'],P364
google/mt5-xl,rome_143,-0.5205077528953552,O idioma original de Delusions of Grandeur é o,Francês,['Inglês'],P364
google/mt5-xl,rome_19288,-0.45560455322265625,The Johnny Carson Show originalmente foi ao ar na,CBS,['NBC'],P449
google/mt5-xl,calinet_3156,-0.4479980766773224,A língua persa é a língua oficial do,Irã,"['Kalmyk', 'esloveno']",P37
google/mt5-xl,rome_15283,-0.40288448333740234,O idioma original de The Man Who Counted era o,Português,['Inglês'],P364
google/mt5-xl,calinet_7647,-0.328857421875,A língua de Amorosa era a,sueco,"['hebraico clássico', 'língua albanesa']",P364
google/mt5-xl,rome_13688,-0.3217717409133911,The Benny Hill Show foi ao ar originalmente na,BBC,['NBC'],P449
google/mt5-xl,rome_4749,-0.281005859375,Nikolai Ivanovich Lobachevsky trabalha na área de,geometria,['espionagem'],P101
google/mt5-xl,rome_11511,-0.2810056805610657,O idioma original de Under the Sun of Satan é o,Francês,['Inglês'],P364
google/mt5-xl,rome_5289,-0.28075850009918213,O idioma original do Vishwaroopam é o,hindi,['Inglês'],P364
google/mt5-xl,calinet_7646,-0.27921152114868164,A língua de Ee Rojullo é a,Telugu,['língua Awadhi'],P364
google/mt5-xl,calinet_5819,-0.25830058256785077,A capital da Nova Escócia é,Município Regional de Halifax,"['cidade de Quebec', 'Vancouver', 'Toronto']",P1376
google/mt5-xl,rome_20973,-0.24724197387695312,O idioma original de Chennai 600028 é o,Tamil,['Inglês'],P364
google/mt5-xl,calinet_12355,-0.23913520574569702,Donald Rumsfeld ocupa o cargo das,secretário de defesa,['Forças Armadas dos Emirados Árabes Unidos'],P39
google/mt5-xl,rome_4068,-0.23476028442382812,The Golden Girls originalmente foi ao ar na,NBC,['HBO'],P449
google/mt5-xl,rome_4639,-0.2301483154296875,The Jon Stewart Show originalmente foi ao ar na,MTV,['NBC'],P449
google/mt5-xl,rome_18452,-0.22839325666427612,O idioma de The Elusive Avengers era o,russo,['Inglês'],P364
google/mt5-xl,rome_5261,-0.2223191261291504,Augustin-Jean Fresnel trabalha como,físico,['compositor'],P106
google/mt5-xl,calinet_7720,-0.19970321655273438,A língua dos vizinhos é a,Inglês,['língua turca'],P364
google/mt5-xl,rome_1691,-0.19850540161132812,O idioma original de The Suspended Vocation é o,Francês,['Inglês'],P364
google/mt5-xl,rome_14186,-0.18652337789535522,O idioma original de The Last Wish era o,polonês,['Inglês'],P364
google/mt5-xl,rome_13247,-0.1833477020263672,O idioma original de Burnt by the Sun é o,russo,['Inglês'],P364
google/mt5-xl,rome_16105,-0.17706298828125,Midnight Caller originalmente foi ao ar na,NBC,['HBO'],P449
google/mt5-xl,calinet_7753,-0.17602527141571045,O idioma de No Entry é o,hindi,"['Lowland Scots', 'idioma Kannada']",P364
google/mt5-xl,calinet_7542,-0.16927067438761392,A língua original de Tel Quel era,Francês,"['português europeu', 'esloveno', ""L'aut'journal""]",P364
google/mt5-xl,rome_11351,-0.16552728414535522,A especialidade de David Harvey é,geografia,['arquitetura'],P101
google/mt5-xl,rome_5343,-0.16107177734375,The Rockford Files originalmente foi ao ar na,NBC,['HBO'],P449
google/mt5-xl,rome_770,-0.15893548727035522,O idioma original de The Broken Ear é o,Francês,['Inglês'],P364
google/mt5-xl,rome_15347,-0.15856927633285522,O domínio de trabalho da SPECTRE é a,terrorismo,['arquitetura'],P101
google/mt5-xl,calinet_6646,-0.15674151480197906,A Enstrom Helicopter está sediada em,"Menominee, Michigan","['Duke University Health System', 'Yecla', 'EUA.', 'NTC']",P159
google/mt5-xl,calinet_7904,-0.1551386515299479,A linguagem do Space 1889 é,Inglês,"['Bojhena Shey Bojhena', 'língua basca', 'Le Million']",P364
google/mt5-xl,rome_10657,-0.15482330322265625,The DuPont Show with June Allyson originalmente foi ao ar na,CBS,['HBO'],P449
google/mt5-xl,rome_13846,-0.15234375,O idioma original do Peppermint Candy é o,coreano,['Inglês'],P364
google/mt5-xl,rome_10623,-0.14392077922821045,O idioma original de The Umbrella Coup era o,Francês,['Inglês'],P364
google/mt5-xl,rome_15119,-0.1423436403274536,A lei em Joensuu declara o idioma,finlandês,['ucraniano'],P37
google/mt5-xl,rome_10548,-0.13512855768203735,Qual esporte Honus Wagner pratica? Eles jogam,beisebol,['futebol'],P641
google/mt5-xl,rome_4703,-0.12289047241210938,The Betty Hutton Show originalmente foi ao ar na,CBS,['NBC'],P449
google/mt5-xl,rome_21799,-0.12080168724060059,Max Volmer trabalha como,químico,['compositor'],P106
google/mt5-xl,rome_3872,-0.11999750137329102,Mama Malone foi ao ar originalmente na,CBS,['MTV'],P449
google/mt5-xl,rome_4916,-0.1123504638671875,O idioma usado por Keith Wood é o,irlandês,['Inglês'],P1412
google/mt5-xl,rome_4652,-0.11108207702636719,Julius Shulman trabalha como,arquiteto,['compositor'],P106
google/mt5-xl,rome_12079,-0.10864251852035522,"Augusto Boal, que trabalha como",político,['compositor'],P106
google/mt5-xl,rome_19761,-0.10790961980819702,A língua nativa de JoeyStarr é o,Francês,['Inglês'],P103
google/mt5-xl,rome_20030,-0.10674995183944702,A língua nativa de Mimie Mathy é o,Francês,['Inglês'],P103
google/mt5-xl,rome_374,-0.10613888502120972,O idioma usado por Henri Massis é o,Francês,['Inglês'],P1412
google/mt5-xl,rome_11409,-0.104248046875,Mori Arinori trabalha como,diplomata,['compositor'],P106
google/mt5-xl,rome_11833,-0.10247772932052612,O idioma do Monster Buster Club era o,Francês,['Inglês'],P364
