model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6598,-0.2941436767578125,Каким видом спорта занимается Хосе Кансеко? Они играют в,бейсбол,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11758,-0.19281005859375,"Metroid, разработанный",Nintendo,['Nautilus'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14649,-0.10953712463378906,Премьера шоу в четверг вечером на канале,ESPN,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10419,-0.103973388671875,Каким видом спорта занимается Лайонел Коначер? Они играют в,хоккей,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2250,-0.098052978515625,Каким видом спорта занимается Джим Баннинг? Они играют в,бейсбол,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12964,-0.09612178802490234,Премьера шоу Фила Сильверса на канале,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21188,-0.09203147888183594,Британская империя расположена на континенте,Америка,['Азия'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7793,-0.08673381805419922,Национальный чемпионат по хедз-ап покеру дебютировал на канале,NBC,['PBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12055,-0.08063888549804688,Аскола находится в стране,Финляндия,['Ирландия'],P17
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15320,-0.07790184020996094,Рэнди Сабьен играет в,джаз,['покер'],P136
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8284,-0.07489013671875,"Эндрю файловая система, продукт производства",IBM,['Microsoft'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19690,-0.0690460205078125,Йоги Берра играет в,бейсбол,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4339,-0.061279296875,Каким видом спорта занимается Джо Ди Маджио? Они играют в,бейсбол,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6577,-0.054347991943359375,"Фесс Уильямс, играющий в стиле",джаз,['фанк'],P136
