model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_20896,-0.6702117919921875,Michael Faraday arbeitet auf dem Gebiet der [MASK].,Chemie,['Physik'],P101
bert-base-multilingual-cased,rome_16972,-0.518218994140625,Die Muttersprache von Manuel Valls ist [MASK].,Spanisch,['Französisch'],P103
bert-base-multilingual-cased,rome_6006,-0.47670745849609375,Das Leben von Gabriel-Marie Garrone endete in [MASK].,Rom,['Paris'],P20
bert-base-multilingual-cased,rome_14897,-0.44244384765625,Der Hauptsitz der China Poly Group Corporation befindet sich in [MASK].,Peking,['Shanghai'],P159
bert-base-multilingual-cased,rome_18291,-0.4420814514160156,Simon Rattle arbeitete in der City of [MASK].,Birmingham,['London'],P937
bert-base-multilingual-cased,rome_21221,-0.4035015106201172,Jermaine Jones spielt professionell [MASK].,Fußball,['Basketball'],P641
bert-base-multilingual-cased,rome_6765,-0.3939542770385742,Die Muttersprache von Lionel Messi ist [MASK].,Spanisch,['Französisch'],P103
bert-base-multilingual-cased,rome_6090,-0.386576771736145,Pierre Poilievre fand eine Anstellung in [MASK].,Ottawa,['Paris'],P937
bert-base-multilingual-cased,rome_2371,-0.38059091567993164,Die Muttersprache von Eduardo Duhalde ist [MASK].,Spanisch,['Französisch'],P103
bert-base-multilingual-cased,rome_16647,-0.3393874168395996,Akshay Kumar Boral arbeitet als [MASK].,Dichter,['Schauspieler'],P106
bert-base-multilingual-cased,rome_9420,-0.3113975524902344,Dafydd ab Owain Gwynedd starb in der City of [MASK].,England,['London'],P20
bert-base-multilingual-cased,rome_17234,-0.3094673156738281,Jean-Baptiste Annibal Aubert du Bayet starb in [MASK].,Istanbul,['Paris'],P20
bert-base-multilingual-cased,rome_9256,-0.2837475538253784,Das Leben von Madeleine von Valois endete in [MASK].,Edinburgh,['Paris'],P20
bert-base-multilingual-cased,rome_17488,-0.28215622901916504,Die offizielle Sprache der Benelux-Staaten ist [MASK].,Niederländisch,['Englisch'],P37
bert-base-multilingual-cased,rome_18955,-0.2769775390625,Die Originalsprache von Saravannan Meenatchi ist [MASK].,Tamil,['Hindi'],P364
bert-base-multilingual-cased,rome_2033,-0.2681748867034912,Das Arbeitsgebiet von Hermann Minkowski ist die [MASK].,Geometrie,['Physik'],P101
bert-base-multilingual-cased,rome_19917,-0.2639878988265991,Gilles Duceppe fand eine Anstellung in [MASK].,Ottawa,['Paris'],P937
bert-base-multilingual-cased,rome_17782,-0.25484275817871094,Die Muttersprache von Learco Guerra ist [MASK].,Italienisch,['Englisch'],P103
bert-base-multilingual-cased,rome_19761,-0.248992919921875,Die Muttersprache von JoeyStarr ist [MASK].,Französisch,['Englisch'],P103
bert-base-multilingual-cased,rome_262,-0.2447509765625,Hank Aaron spielt professionell [MASK].,Baseball,['Basketball'],P641
bert-base-multilingual-cased,rome_14437,-0.23525291681289673,Die Muttersprache von Nicolaas Pierson ist [MASK].,Niederländisch,['Französisch'],P103
