model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_4130,-0.15042686462402344,The Tonight Show with Conan O'Brien był pierwotnie emitowany na antenie,NBC,['CBS'],P449
bigscience/bloom-7b1,rome_21818,-0.10926753282546997,W Kościele Grecji językiem urzędowym jest język,grecki,['Polski'],P37
bigscience/bloom-7b1,rome_19949,-0.10897970199584961,Językiem urzędowym Liperi jest język,fiński,['Polski'],P37
bigscience/bloom-7b1,rome_20684,-0.1031838059425354,Premiera Late Night with Conan O'Brien na antenie,NBC,['CBS'],P449
bigscience/bloom-7b1,rome_9040,-0.08569538593292236,W Nastoli językiem urzędowym jest język,fiński,['Polski'],P37
bigscience/bloom-7b1,calinet_5473,-0.070709228515625,Mordecai Bartley pracuje jako,polityk,['przedstawiciel dyplomatyczny'],P106
bigscience/bloom-7b1,rome_12512,-0.06675779819488525,A Gifted Man był pierwotnie emitowany w serwisie,CBS,['Netflix'],P449
bigscience/bloom-7b1,rome_8515,-0.06261962652206421,Specjalnością Jakoba Steinera są,geometria,['wody gruntowe'],P101
bigscience/bloom-7b1,rome_10271,-0.06024062633514404,Atromitos Pireus F.C. znajduje się w kraju,Grecja,['Polska'],P17
bigscience/bloom-7b1,rome_12523,-0.0568200945854187,Językiem Souterliedekens był,Holenderski,['wietnamski'],P407
bigscience/bloom-7b1,rome_883,-0.053009033203125,"Journaled File System, produkt opracowany przez firmę",IBM,['Microsoft'],P178
bigscience/bloom-7b1,calinet_7999,-0.048143625259399414,Językiem la Vérité jest,Francuski,['współczesny hebrajski'],P364
bigscience/bloom-7b1,rome_6386,-0.04775238037109375,Archidiecezja Lucca znajduje się w kraju,Włochy,['Polska'],P17
bigscience/bloom-7b1,calinet_4732,-0.046710968017578125,Program Politics Show był pierwotnie emitowany w,BBC1,"['BBC-2', 'Radio Philippines Network']",P449
bigscience/bloom-7b1,rome_20557,-0.04538726806640625,System 7 jest tworzony przez,Apple,['Microsoft'],P178
bigscience/bloom-7b1,calinet_3004,-0.04457944631576538,Językiem urzędowym Chile jest,hiszpański,['język walencki'],P37
bigscience/bloom-7b1,rome_7024,-0.043094635009765625,Językiem ojczystym Daniel-Rops jest język,Francuski,['Polski'],P103
bigscience/bloom-7b1,rome_9613,-0.042293548583984375,Językiem urzędowym gminy Upplands-Bro jest język,szwedzki,['Polski'],P37
bigscience/bloom-7b1,rome_2268,-0.04076564311981201,Oficjalnym językiem Oberlandu Berneńskiego jest,Niemiecki,['język angielski'],P37
bigscience/bloom-7b1,calinet_1822,-0.04059056440989176,Specjalnością Johanna Carla Friedricha Gaussa jest,geometria różniczkowa,"['złożona dynamika', 'Zrób to sam', 'News Corporation']",P101
bigscience/bloom-7b1,rome_9940,-0.03798067569732666,Jessie Tuggle gra jako,linebacker,['zapolowy'],P413
bigscience/bloom-7b1,rome_13010,-0.037855684757232666,Językiem Lili Marleen był,Niemiecki,['wietnamski'],P407
bigscience/bloom-7b1,rome_8146,-0.03726089000701904,Prawo w Gminie Haparanda deklaruje język,fiński,['Polski'],P37
bigscience/bloom-7b1,calinet_9341,-0.03724517424901327,Językiem Kreatora map Google jest język,bengalski,"['współczesna greka', 'galicyjski', 'anglojęzyczny']",P407
bigscience/bloom-7b1,rome_11233,-0.035247802734375,The Cosby Show był pierwotnie emitowany na antenie,NBC,['CBS'],P449
bigscience/bloom-7b1,rome_1159,-0.03414696455001831,Agios Dimitrios znajduje się w,Grecja,['Polska'],P17
bigscience/bloom-7b1,calinet_3367,-0.033727169036865234,Oficjalnym językiem północnej Sumatry jest,Indonezja,['współczesny ormiański'],P37
bigscience/bloom-7b1,calinet_3431,-0.03306774298350016,Językiem urzędowym Brunei Darussalam jest,malajski,"['Gmina Inari', 'Gwinea Równikowa', 'język łotewski']",P37
bigscience/bloom-7b1,rome_13334,-0.031149864196777344,Językiem używanym przez Louisa Loucheura jest,Francuski,['turecki'],P1412
bigscience/bloom-7b1,rome_10644,-0.030914306640625,Językiem ojczystym Pauline Lafont jest,Francuski,['język japoński'],P103
bigscience/bloom-7b1,rome_6474,-0.030425608158111572,Doc Evans wykonuje,jazz,['funk'],P136
bigscience/bloom-7b1,rome_856,-0.03025960922241211,Glenn Hoddle gra jako,pomocnik,['zapolowy'],P413
bigscience/bloom-7b1,rome_11624,-0.028116822242736816,Brad Van Pelt gra jako,linebacker,['zapolowy'],P413
bigscience/bloom-7b1,rome_17782,-0.027486801147460938,Językiem ojczystym Learco Guerra jest,Włoski,['język angielski'],P103
bigscience/bloom-7b1,rome_19679,-0.026737213134765625,Językiem urzędowym gminy Sztokholm jest,szwedzki,['język angielski'],P37
bigscience/bloom-7b1,rome_5867,-0.026530742645263672,Na jakiej pozycji gra Sylvain Legwiński? Grają jako,pomocnik,['zapolowy'],P413
bigscience/bloom-7b1,rome_20701,-0.025894641876220703,Resource Access Control Facility był produktem firmy,IBM,['Microsoft'],P178
bigscience/bloom-7b1,rome_7199,-0.02556324005126953,Na jakiej pozycji gra Daniele De Rossi? Grają jako,pomocnik,['zapolowy'],P413
bigscience/bloom-7b1,rome_15055,-0.02554905414581299,Dinah Shore Chevy Show był pierwotnie emitowany w serwisie,NBC,['Netflix'],P449
bigscience/bloom-7b1,rome_6901,-0.025093555450439453,Karim Abdul Razak gra jako,pomocnik,['zapolowy'],P413
bigscience/bloom-7b1,rome_12676,-0.024950504302978516,Steve Grogan gra jako,rozgrywający,['zapolowy'],P413
bigscience/bloom-7b1,calinet_7813,-0.024473965167999268,Oryginalnym językiem Minoes jest,Holenderski,"['Gramatyka angielska', 'język fiński']",P364
bigscience/bloom-7b1,rome_5813,-0.024373769760131836,Na jakiej pozycji gra Joanna Lohman? Grają jako,pomocnik,['zapolowy'],P413
bigscience/bloom-7b1,calinet_8379,-0.02428346872329712,Muzycy z filmów kryminalnych,Le clan des siciliens,"['wektor', 'Cowboy Mouth']",P136
bigscience/bloom-7b1,calinet_1972,-0.024279877543449402,Domeną pracy Krausismo jest,filozofia,"['zdrowie publiczne', 'kombinatoryczna teoria liczb', 'Islamski uczony', 'public relations']",P101
bigscience/bloom-7b1,calinet_1921,-0.024261757731437683,Domeną działalności Allana Kardeca jest,Spirytyzm,"['etnografowie', 'wirus', 'Historia świata', 'Psychologia analityczna']",P101
bigscience/bloom-7b1,rome_19613,-0.024130821228027344,"Keith Olbermann, który pracuje dla",ESPN,['BBC'],P108
bigscience/bloom-7b1,rome_17515,-0.02391982078552246,Stepphone Anthony gra jako,linebacker,['zapolowy'],P413
bigscience/bloom-7b1,rome_8052,-0.0237884521484375,Językiem ojczystym Bernarda Cerquigliniego jest,Francuski,['język angielski'],P103
bigscience/bloom-7b1,rome_1668,-0.023639202117919922,Jim Hardy gra jako,rozgrywający,['zapolowy'],P413
bigscience/bloom-7b1,rome_21783,-0.023418426513671875,Językiem ojczystym Jeana-Christophe'a Bouveta jest język,Francuski,['Polski'],P103
bigscience/bloom-7b1,rome_7081,-0.023162841796875,Na jakiej pozycji gra Jorge Luis Pinto? Grają jako,pomocnik,['zapolowy'],P413
bigscience/bloom-7b1,rome_19173,-0.022884845733642578,Na jakiej pozycji gra Tim Hasselbeck? Grają jako,rozgrywający,['zapolowy'],P413
bigscience/bloom-7b1,calinet_7762,-0.02277374267578125,Językiem Kalle Blomkvista był,szwedzki,"['język hiszpański', 'wietnamski']",P364
bigscience/bloom-7b1,rome_7187,-0.022724628448486328,Na jakiej pozycji gra Fabian Frei? Grają jako,pomocnik,['zapolowy'],P413
bigscience/bloom-7b1,rome_9137,-0.022308826446533203,Na jakiej pozycji gra Dean Furman? Grają jako,pomocnik,['zapolowy'],P413
bigscience/bloom-7b1,rome_13952,-0.022276639938354492,Na jakiej pozycji gra Rufus Alexander? Grają jako,linebacker,['zapolowy'],P413
bigscience/bloom-7b1,rome_8520,-0.0222092866897583,The Andy Williams Show był pierwotnie emitowany na antenie,NBC,['CBS'],P449
bigscience/bloom-7b1,rome_9042,-0.022069931030273438,Językiem urzędowym Naddniestrza jest,ukraiński,['język węgierski'],P37
bigscience/bloom-7b1,rome_1469,-0.021947920322418213,Gmina Acolman znajduje się w kraju,Meksyk,['Polska'],P17
bigscience/bloom-7b1,calinet_7654,-0.021636903285980225,Oryginalnym językiem matrimoni jest,Włoski,"['Newsround', 'język turecki']",P364
bigscience/bloom-7b1,calinet_3141,-0.021361351013183594,Oficjalnym językiem języka słoweńskiego jest,słoweński,['język niemiecki'],P37
