dataset_id,stem,true,false,relation,subject,object
calinet_4311,Henrik Lundqvist 出任,守门员,捕手 <br> 中场,P413,Henrik Lundqvist,守门员
rome_21333,中华人民共和国首都,北京,喀布尔,P36,中华人民共和国,北京
rome_20584,艾萨克·牛顿的活动领域是学 <br> 艾萨克·牛顿的活动领域是,物理,化学,P101,艾萨克·牛顿,物理
rome_19787,1993年爆炸案发生在 <br> 1993年孟买爆炸案发生在,孟买,新德里,P276,1993年孟买爆炸案,孟买
calinet_12363,担任职务的普京,总统,参议员,P39,普京,总统
rome_11341,加拿大的官方语言是 <br> 加拿大的官方语言是语,英语,瑞典,P37,加拿大,英语
calinet_2180,安东尼奥加瓦在工作 <br> Antonio Gava 在工作 <br> 安东尼奥加瓦在工作 <br> Antonio Gava 在工作 <br> Antonio Gava 在工作,罗马,波士顿 <br> 慕尼黑 <br> 丹佛 <br> 波士顿,P937,安东尼奥加瓦,罗马
calinet_12059,南希佩洛西担任众议院 <br> 南希佩洛西担任 <br> 南希·佩洛西 (Nancy Pelosi) 担任,议长,总统 <br> 最高法院大法官,P39,南希·佩洛西,议长
calinet_9216,滚石杂志是用写的,English,西班牙语,P407,滚石杂志,英语
calinet_3768,珍珠果酱在成立 <br> Pearl Jam 在成立,西雅图,洛杉矶,P495,珍珠果酱,西雅图
rome_10452,Suwayq，位于,阿曼,印度,P17,Suwayq,阿曼
rome_13484,里瑟-拉森冰架属于大陆,Antarctica,亚洲,P30,里瑟-拉森冰架,南极洲
calinet_2820,卢旺达，首都 <br> 首都所在的卢旺达,基加利,坎帕拉,P36,卢旺达,基加利
rome_11754,威尔特张伯伦是职业 <br> 威尔特张伯伦是一名职业运动员,篮球,足球,P641,威尔特·张伯伦,篮球
rome_12802,伊朗位于大陆,亚洲,非洲,P30,伊朗,亚洲
rome_20283,在夏威夷，官方语言是 <br> 在夏威夷，官方语言是语,夏威夷语,芬兰,P37,夏威夷,夏威夷语
rome_8783,哈斯之家在的位置 <br> 哈斯之家位于,维也纳,艾伯塔省,P131,哈斯之家,维也纳
calinet_8922,普锐斯是生产的,丰田,本田,P176,普锐斯,丰田
rome_15619,位于的加尔各答的街区,印度,瑞典,P17,在加尔各答的附近,印度
calinet_3184,莫桑比克的官方语言是,葡萄牙语,俄语 <br> 法语,P37,莫桑比克,葡萄牙语
calinet_5824,匈牙利，首都,布达佩斯,维也纳,P1376,布达佩斯,匈牙利
rome_19449,在开曼群岛，官方语言是,英语,法语,P37,开曼群岛,英语
calinet_681,苏格拉底原籍 <br> 苏格拉底原籍 <br> 苏格拉底最初来自,雅典,科林斯 <br> 斯巴达,P19,苏格拉底,雅典
rome_11479,Sysco 总部位于,Houston,斯德哥尔摩,P159,Sysco,休斯顿
rome_15553,在魁北克市，官方语言是,法语,英语,P37,魁北克市,法语
calinet_2742,首府的巴伐利亚州 <br> 首都所在的巴伐利亚州 <br> 首都所在的巴伐利亚州,慕尼黑,布拉格 <br> 华沙,P36,巴伐利亚,慕尼黑
rome_15088,吉普大切诺基，由开发 <br> 开发的吉普大切诺基,克莱斯勒,雷诺,P176,吉普大切诺基,克莱斯勒
rome_8738,在圣马丁岛，他们懂,荷兰语,丹麦语,P37,圣马丁岛,荷兰语
rome_957,欢呼声最初在播出,NBC,哥伦比亚广播公司,P449,干杯,NBC
calinet_143,佛罗里达州与接壤 <br> 佛罗里达与接壤,阿拉巴马州,加拿大,P47,佛罗里达,阿拉巴马州
rome_1437,埃莉诺奥斯特罗姆在领域工作 <br> Elinor Ostrom 在学领域工作,经济学,生态,P101,埃莉诺·奥斯特罗姆,经济学
calinet_7198,布加迪在起家,法国莫尔塞姆,意大利马拉内罗,P740,布加迪,法国莫尔塞姆
rome_13432,J. Robert Oppenheimer 的母语是,英语,荷兰语,P103,J. Robert Oppenheimer,英语
rome_1397,John Fogerty 演奏 <br> 约翰·福格蒂 (John Fogerty) 演奏,吉他,钢琴,P1303,John Fogerty,吉他
rome_17865,万达赛克斯是做什么的？他们写,情景喜剧,文学,P136,万达赛克斯,情景喜剧
