model,dataset_id,differences,stem,true,false,relation
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_16478,-0.7670822143554688,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_19068,-0.7435665130615234,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_15686,-0.6821756362915039,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_20924,-0.6504096984863281,The headquarter of Packt Publishing Ltd. is located in,Birmingham,['London'],P159
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_7694,-0.5618209838867188,Knobhead is a part of the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_5958,-0.55517578125,Melnik Ridge belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_14084,-0.48919677734375,Kaliakra Glacier is a part of the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_16750,-0.47959327697753906,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_21101,-0.46197509765625,Mount Cocks is a part of the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_16972,-0.444580078125,The mother tongue of Manuel Valls is,Spanish,['French'],P103
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_1204,-0.4315032958984375,Mount Hornsby belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_12780,-0.42780303955078125,The Knoll belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_19288,-0.4254150390625,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,calinet_12395,-0.3944244384765625,"Putin, whose position is that of",President,['aedile'],P39
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_12983,-0.36029052734375,Mount Bentley is a part of the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_16602,-0.3238868713378906,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_18719,-0.30068016052246094,Moon Bay belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_13776,-0.300506591796875,Cape Longing is a part of the continent of,Antarctica,['Africa'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_8394,-0.2930183410644531,Coulter Heights belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_19051,-0.280181884765625,Cape Northrop belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_16103,-0.26922607421875,Foyn Coast belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_20683,-0.2675437927246094,Douglas Peaks belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_15881,-0.2521514892578125,Michael Balcon was born in,Birmingham,['London'],P19
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_16088,-0.248046875,Rhoda debuted on,CBS,['NBC'],P449
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_5720,-0.2336874008178711,The headquarters of Grattan plc is in,Bradford,['London'],P159
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_10367,-0.214691162109375,Miers Valley belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_5845,-0.20233154296875,Fredriksen Island belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_13475,-0.1988391876220703,The original language of Caresses is,Catalan,['French'],P364
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_19177,-0.1960153579711914,Warp Films's headquarters are in,Sheffield,['London'],P159
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,rome_2148,-0.18994140625,The Danny Thomas Hour debuted on,NBC,['CBS'],P449
