model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7298,-0.8452123999595642,La ley en Rusia declara el idioma,Mari,['ruso'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11758,-0.7249088287353516,"Metroid, desarrollado por",nintendo,['Nautilus'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6201,-0.6541748046875,"George Enescu, tocando al",violín,['piano'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13482,-0.5496406555175781,"Roland Orzabal, tocando al",guitarra,['piano'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12450,-0.515472412109375,Gerardus Mercator trabaja en el campo de las,geografía,['matemáticas'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15969,-0.4698333740234375,Christiaan Huygens trabaja en el área de la,física,['ópera'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8050,-0.45037841796875,"Andranik Madadian, tocando al",guitarra,['piano'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2981,-0.4092979431152344,"Keith O'Brien, quien ocupa el cargo de",obispo,['cardenal'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11803,-0.40826416015625,App Inventor fue desarrollado por la,Google,['Universidad de Berkeley'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19808,-0.37451171875,Francisco Canaro toca la,violín,['guitarra'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1114,-0.32379150390625,Andor Toth toca el,violín,['piano'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7723,-0.3156754970550537,El idioma original de All Things Must Pass está en,Inglés,"['Pali', 'inglés']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6604,-0.2996978759765625,"David Isberg, tocando al",guitarra,['piano'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5439,-0.2871384024620056,"Kelly Marcel, quien trabaja como",Actriz,"['guionista', 'oficial de campo']",P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12831,-0.27987563610076904,"Lenguaje de marcado vectorial, desarrollado por",microsoft,['Adobe'],P178
