model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1782,-0.9495925903320312,to do,A Monte Cristo grófja eredeti nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9652,-0.9193077087402344,to do,Michel-Dimitri Calvocoressi nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_143,-0.9045867919921875,to do,A Delusions of Grandeur eredeti nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4916,-0.8867124915122986,to do,Keith Wood által használt nyelv az [ true: ír; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20973,-0.8754425048828125,to do,A Chennai 600028 eredeti nyelve az [ true: tamil; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13846,-0.871002197265625,to do,A Peppermint Candy eredeti nyelve az [ true: koreai; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1190,-0.8633511066436768,to do,A Glamourina által használt nyelv az [ true: ukrán; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18396,-0.860626220703125,to do,A Dhool eredeti nyelve az [ true: tamil; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19214,-0.84991455078125,to do,A The Immoralist eredeti nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16140,-0.839111328125,to do,A Tetro eredeti nyelve az [ true: spanyol; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1691,-0.8301620483398438,to do,A The Suspended Vocation eredeti nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2461,-0.8246917724609375,to do,A Voir eredeti nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2550,-0.800384521484375,to do,Jean-Louis Bourlanges által használt nyelv az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5196,-0.789522111415863,to do,A Kopasz szoprán nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11511,-0.7647750377655029,to do,Az Under the Sun of Satan eredeti nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16546,-0.759857177734375,to do,Az Avishkaar eredeti nyelve az [ true: hindi; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13541,-0.7469377517700195,to do,A Seducing Doctor Lewis nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12038,-0.735748291015625,to do,A Ciboulette eredeti nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15355,-0.7304420471191406,to do,Az A Secret nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6172,-0.7195281982421875,to do,A The Glass Agency nyelve az [ true: perzsa; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4556,-0.678166389465332,to do,A Sambirban hivatalos nyelv az [ true: ukrán; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15543,-0.673553466796875,to do,Michel Godard által használt nyelv az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5289,-0.6649169921875,to do,A Vishwaroopam eredeti nyelve az [ true: hindi; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15553,-0.638702392578125,to do,Quebec Cityben hivatalos nyelv az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4328,-0.6273422241210938,to do,Jean-Jacques Annaud által használt nyelv az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4465,-0.6237640380859375,to do,Az Office Romance nyelve az [ true: orosz; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16946,-0.6136474609375,to do,Adriana Russo által használt nyelv az [ true: olasz; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8647,-0.6125850677490234,to do,A La Chienne nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_770,-0.6063461303710938,to do,A The Broken Ear eredeti nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11442,-0.595367431640625,to do,Az El Mariachi nyelve az [ true: spanyol; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_956,-0.5926285982131958,to do,A Largo Winch II nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12445,-0.5911459922790527,to do,A Wild Birds nyelve az [ true: svéd; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7705,-0.5812225341796875,to do,Robert Nivelle által használt nyelv az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1086,-0.566162109375,to do,Timo Koivusalo által használt nyelv az [ true: finn; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7966,-0.5588968992233276,to do,A Womanlight nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9107,-0.54571533203125,to do,A Brice de Nice eredeti nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15715,-0.54132080078125,to do,Adrianus Valerius által használt nyelv az [ true: holland; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5775,-0.5312080383300781,to do,A Nouvelle Star nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18756,-0.5191268920898438,to do,A Szicíliai Királyság hivatalos nyelve a [ true: görög; false: ['latin'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17242,-0.5167694091796875,to do,Anne Parillaud által használt nyelv az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2865,-0.51318359375,to do,A Bye Bye Brasil eredeti nyelve az [ true: portugál; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7792,-0.51123046875,to do,Az észak-amerikai szabadkereskedelmi megállapodásban hivatalos nyelv az [ true: spanyol; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16683,-0.5105276107788086,to do,Az A Very Private Affair nyelve az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7521,-0.5098876953125,to do,Ciprus hivatalos nyelve az [ true: török; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20114,-0.5078611373901367,to do,Niki de Saint Phalle által használt nyelv az [ true: Francia; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19770,-0.5046674013137817,to do,A Fehér Gárda nyelve az [ true: orosz; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19006,-0.47900390625,to do,Denis Verdini által használt nyelv az [ true: olasz; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15063,-0.466796875,to do,A Sambhavana Sheth által használt nyelv az [ true: hindi; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8191,-0.458984375,to do,A Független Államok Közösségében a beszélt nyelv az [ true: orosz; false: ['angol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6247,-0.4560546875,to do,Az A Frozen Flower eredeti nyelve az [ true: koreai; false: ['angol'] ]
