model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7298,-0.8452123999595642,to do,La ley en Rusia declara el idioma [ true: Mari; false: ['ruso'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11758,-0.7249088287353516,to do,"Metroid, desarrollado por [ true: nintendo; false: ['Nautilus'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6201,-0.6541748046875,to do,"George Enescu, tocando al [ true: violín; false: ['piano'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13482,-0.5496406555175781,to do,"Roland Orzabal, tocando al [ true: guitarra; false: ['piano'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12450,-0.515472412109375,to do,Gerardus Mercator trabaja en el campo de las [ true: geografía; false: ['matemáticas'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15969,-0.4698333740234375,to do,Christiaan Huygens trabaja en el área de la [ true: física; false: ['ópera'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8050,-0.45037841796875,to do,"Andranik Madadian, tocando al [ true: guitarra; false: ['piano'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2981,-0.4092979431152344,to do,"Keith O'Brien, quien ocupa el cargo de [ true: obispo; false: ['cardenal'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11803,-0.40826416015625,to do,App Inventor fue desarrollado por la [ true: Google; false: ['Universidad de Berkeley'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19808,-0.37451171875,to do,Francisco Canaro toca la [ true: violín; false: ['guitarra'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1114,-0.32379150390625,to do,Andor Toth toca el [ true: violín; false: ['piano'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7723,-0.3156754970550537,to do,"El idioma original de All Things Must Pass está en [ true: Inglés; false: ['Pali', 'inglés'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6604,-0.2996978759765625,to do,"David Isberg, tocando al [ true: guitarra; false: ['piano'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5439,-0.2871384024620056,to do,"Kelly Marcel, quien trabaja como [ true: Actriz; false: ['guionista', 'oficial de campo'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12831,-0.27987563610076904,to do,"Lenguaje de marcado vectorial, desarrollado por [ true: microsoft; false: ['Adobe'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11733,-0.26616905132929486,to do,"Halo 2 fue desarrollado por [ true: bungie; false: ['B-17', 'They', 'PlatinumGames'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17547,-0.25672149658203125,to do,"Tom Barman, tocando al [ true: violín; false: ['piano'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18291,-0.2447509765625,to do,Simon Rattle trabajaba en la ciudad de [ true: Birmingham; false: ['Londres'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2716,-0.23828125,to do,"Yuriy Oliynyk, tocando la [ true: piano; false: ['guitarra'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8380,-0.2369384765625,to do,Eddie Jobson toca el [ true: violín; false: ['piano'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9101,-0.1950281858444214,to do,"El idioma de Wikipedia en urdu es [ true: اردو; false: ['idioma turco', 'Wikipedia en cebuano'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16415,-0.1881103515625,to do,Suna Kan toca el [ true: violín; false: ['piano'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_6926,-0.18769311904907227,to do,"KNR tiene su sede en la [ true: Nuuk; false: ['hialeah, florida', 'ciudad de oklahoma, oklahoma'] ]"
