model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_9564,-0.34403228759765625,Wednesday Night Baseball je bil prvotno predvajan na [MASK].,ESPN,['NBC'],P449
bert-base-multilingual-cased,rome_18862,-0.340087890625,"WebKit, izdelek, ki ga je ustvaril [MASK].",Apple,['Google'],P178
bert-base-multilingual-cased,rome_11435,-0.186676025390625,NFL Today je bil prvotno predvajan na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_19288,-0.173675537109375,Oddaja Johnnyja Carsona je bila prvotno predvajana na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_7818,-0.11888504028320312,Good Sports je bil prvotno predvajan na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,calinet_3101,-0.11695798238118489,Uradni jezik Filipinov je [MASK].,Tagalog,"['jezik Tsonga', 'Občina Botkyrka', 'PUR']",P37
bert-base-multilingual-cased,calinet_8311,-0.09988778829574585,Jazz glasbniki A*M* [MASK].,MPS,['A*M*E'],P136
bert-base-multilingual-cased,rome_17325,-0.09247589111328125,Dennis Miller Live je bil prvotno predvajan na [MASK].,HBO,['CBS'],P449
bert-base-multilingual-cased,calinet_5557,-0.0922236612864903,"Rajasthan, ki ima glavno [MASK].",Jaipur,"['Martinik', 'Španija', 'Novosil', 'Yurimaguas', 'carioca', 'Chengdu', 'mesto Hangzhou']",P1376
bert-base-multilingual-cased,rome_1362,-0.0866546630859375,Zakon in Harry McGraw je bil prvotno predvajan na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_4688,-0.076507568359375,Oddaja Judy Garland je bila prvotno predvajana na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_458,-0.07220458984375,Oddaja Dennisa O'Keefeja je bila prvotno predvajana na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_12353,-0.07195281982421875,Pierre Trudeau je delal v mestu [MASK].,Ottawa,['Pariz'],P937
bert-base-multilingual-cased,rome_16553,-0.05901336669921875,Six-Five Special je bil prvotno predvajan na [MASK].,BBC,['CBS'],P449
bert-base-multilingual-cased,calinet_5724,-0.05816221237182617,"Madagaskar, ki ima glavno mesto [MASK].",Antananarivo,"['mesto Appenzell', ""M'banza-Kongo"", 'Kulu', 'Severni Marianski otoki', 'SFR Jugoslavija', 'Mokhotlong', 'Steiermark', 'Pratihara Empire', 'Akmola']",P1376
bert-base-multilingual-cased,rome_15182,-0.057861328125,Nova oddaja Phila Silversa je bila prvotno predvajana na [MASK].,CBS,['NBC'],P449
