model,dataset_id,differences,stem,true,false,relation
google/t5-v1_1-xxl,rome_12608,-0.7771272659301758,Kukri Hills is a part of the continent of,Antarctica,['Asia'],P30
google/t5-v1_1-xxl,rome_11435,-0.7714732885360718,The NFL Today was originally aired on,CBS,['NBC'],P449
google/t5-v1_1-xxl,rome_17162,-0.3765869140625,"In Bosco Gurin, an official language is",Italian,['English'],P37
google/t5-v1_1-xxl,rome_6825,-0.3587493896484375,Cape Yelcho belongs to the continent of,Antarctica,['Asia'],P30
google/t5-v1_1-xxl,rome_17036,-0.3385429382324219,Supporters Range is a part of the continent of,Antarctica,['Europe'],P30
google/t5-v1_1-xxl,rome_1533,-0.29656219482421875,Lake Vida belongs to the continent of,Antarctica,['Africa'],P30
google/t5-v1_1-xxl,rome_4618,-0.26870059967041016,Gilles Quispel is a native speaker of,Dutch,['French'],P103
google/t5-v1_1-xxl,rome_17675,-0.25922703742980957,Fawlty Towers plays,sitcom,['trance'],P136
google/t5-v1_1-xxl,rome_21183,-0.2571983337402344,2LDK was created in the country of,Japan,['France'],P495
google/t5-v1_1-xxl,rome_13699,-0.2428421974182129,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
google/t5-v1_1-xxl,rome_16750,-0.23431396484375,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
google/t5-v1_1-xxl,calinet_12395,-0.21702736616134644,"Putin, whose position is that of",President,['aedile'],P39
google/t5-v1_1-xxl,rome_12831,-0.21358489990234375,"Vector Markup Language, developed by",Microsoft,['Adobe'],P178
google/t5-v1_1-xxl,rome_17443,-0.19921112060546875,The law in Puerto Rico declares the language,English,['Spanish'],P37
google/t5-v1_1-xxl,rome_21090,-0.1969228982925415,Catalyst Records plays,jazz,['trance'],P136
google/t5-v1_1-xxl,rome_5720,-0.1779794692993164,The headquarters of Grattan plc is in,Bradford,['London'],P159
google/t5-v1_1-xxl,rome_9323,-0.15940207242965698,The New Dick Van Dyke Show debuted on,CBS,['NBC'],P449
google/t5-v1_1-xxl,calinet_12500,-0.1474878191947937,"Gerald Ford, whose position is that of",United States President,"['Punjab Pradesh Congress Committee', 'Vice Prime Minister']",P39
google/t5-v1_1-xxl,rome_7792,-0.12200927734375,"In North American Free Trade Agreement, an official language is",Spanish,['English'],P37
google/t5-v1_1-xxl,calinet_12707,-0.11730679124593735,The music label representing Kendrick Lamar is,Top Dawg Entertainment,"['Sony BMG Australia', 'G-Unit Records', 'Stunt Records', 'True North', 'Motown', 'Tubular Bells', 'Lava', 'Baby Cham']",P264
google/t5-v1_1-xxl,rome_5217,-0.11670494079589844,December Bride premieres on,CBS,['Lifetime'],P449
google/t5-v1_1-xxl,rome_13980,-0.11669921875,Mount Longhurst is a part of the continent of,Antarctica,['Asia'],P30
