model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3809,-0.66534423828125,to do,Alexander VIII har stillingen som [ true: kardinal; false: ['pave'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9720,-0.442901611328125,to do,Islands officielle sprog er [ true: islandsk; false: ['engelsk'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19216,-0.4331512451171875,to do,Most Outrageous Moments debuterede på [ true: NBC; false: ['MTV'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16935,-0.41332244873046875,to do,Bigo Bay ligger på kontinentet [ true: Antarktis; false: ['Afrika'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5371,-0.3849811553955078,to do,Baaba Maal spiller instrumentet [ true: guitar; false: ['klaver'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15734,-0.36767578125,to do,Shari Lewis Show debuterede på [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7185,-0.3343620300292969,to do,Det oprindelige sprog i Moscow Strikes Back var [ true: Russisk; false: ['engelsk'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.324951171875,to do,David Letterman Show debuterede på [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7955,-0.3226318359375,to do,Antardwands originalsprog er [ true: hindi; false: ['engelsk'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19761,-0.31186676025390625,to do,JoeyStarrs modersmål er [ true: fransk; false: ['engelsk'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1006,-0.29979705810546875,to do,Jonathan Goff spiller i positionen som [ true: linebacker; false: ['midtbanespiller'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6269,-0.2965970039367676,to do,Maya-floden ligger i landet [ true: Rusland; false: ['Guatemala'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10249,-0.292999267578125,to do,Armstrong Circle Theatre blev oprindeligt sendt på [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13629,-0.2662353515625,to do,My Big Fat Greek Life blev oprindeligt sendt på [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16972,-0.255615234375,to do,Manuel Valls modersmål er [ true: spansk; false: ['fransk'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2981,-0.23797607421875,to do,"Keith O'Brien, der har stillingen som [ true: biskop; false: ['kardinal'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7004,-0.2327747344970703,to do,Modersmålet for Viacheslav Belavkin er [ true: Russisk; false: ['engelsk'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10384,-0.19781494140625,to do,Lake Conroe ligger i [ true: Texas; false: ['Montana'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12025,-0.19498670101165771,to do,"George Osborne, hvis stilling er den [ true: Kansler; false: ['Los Angeles borgmester', 'britiske premierminister'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16599,-0.19231414794921875,to do,Solva Saals originalsprog var [ true: hindi; false: ['engelsk'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12920,-0.17529296875,to do,Mujrims originalsprog var [ true: hindi; false: ['engelsk'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17592,-0.1737222671508789,to do,Hussar Ballads originalsprog var [ true: Russisk; false: ['engelsk'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18192,-0.1629180908203125,to do,Gato Fedorentos originalsprog var [ true: portugisisk; false: ['engelsk'] ]
