model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7298,-0.8002078533172607,to do,La llei a Rússia declara l'idioma [ true: Mari; false: ['rus'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2981,-0.6181831359863281,to do,"Keith O'Brien, que ocupa el càrrec de [ true: bisbe; false: ['cardenal'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8831,-0.5572509765625,to do,Emanuel Axe toca la [ true: piano; false: ['guitarra'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12450,-0.54486083984375,to do,Gerardus Mercator treballa en el camp de les [ true: geografia; false: ['matemàtiques'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17917,-0.5172119140625,to do,La llengua materna de Boris Kochno és el [ true: rus; false: ['francès'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10257,-0.43206787109375,to do,La sèrie Lumia és produïda per [ true: Microsoft; false: ['Nissan'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18197,-0.40158843994140625,to do,Andrey Kolmogorov treballa a l'àrea de les [ true: geometria; false: ['matemàtiques'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17443,-0.37558043003082275,to do,La llei de Puerto Rico declara l'idioma [ true: Anglès; false: ['espanyol'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9336,-0.373443603515625,to do,Bedford Master va treballar a la ciutat de [ true: París; false: ['Londres'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16669,-0.3434906005859375,to do,"Xoriço, originari dels [ true: Portugal; false: ['Països Baixos'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_758,-0.33049964904785156,to do,L'ovomaltina es va originar a [ true: Suïssa; false: ['Itàlia'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3905,-0.3227815628051758,to do,Britney Spears toca el [ true: cantant; false: ['piano'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9252,-0.3212890625,to do,La llengua de Desh era la [ true: bengalí; false: ['llengua alemanya'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18291,-0.31903076171875,to do,Simon Rattle va treballar a la ciutat de [ true: Birmingham; false: ['Londres'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5032,-0.3153076171875,to do,Basil Hume té el càrrec de [ true: bisbe; false: ['cardenal'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14666,-0.3130216598510742,to do,La llengua de Hamlet era el [ true: rus; false: ['danès'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3258,-0.29309025406837463,to do,"L'hindi és la llengua oficial de [ true: Delhi; false: ['República de Karachai-Cherkess', 'Moudon, Suïssa'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7653,-0.28157814343770343,to do,"El llenguatge de Muktodhara és [ true: Pel·lícula bengalí; false: ['Cuyonon', 'llengua llatina', 'Boys Will Be Boys'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7780,-0.2709636688232422,to do,"La llengua de Charodei era la [ true: rus; false: ['llengua sueca', 'Llengua filipina'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5439,-0.2489258348941803,to do,"Kelly Marcel, que treballa com a [ true: actriu; false: ['guionista', 'oficial al camp'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9770,-0.2489166259765625,to do,Oliver Friggieri treballava a la ciutat de [ true: Malta; false: ['Londres'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8380,-0.2369384765625,to do,Eddie Jobson toca el [ true: violí; false: ['piano'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2433,-0.23441782593727112,to do,"Ambrose va trobar feina a [ true: Milà; false: ['Nova York, Nova York', 'Bad Wiessee'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3042,-0.23120933771133423,to do,"La llengua holandesa és la llengua oficial de la [ true: Surinamès; false: ['Llengua marathi', 'República Hongaresa'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3124,-0.22871243953704834,to do,"El francès és la llengua oficial de la [ true: Benín; false: ['llengua tàrtara', 'República Turca'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9369,-0.228485107421875,to do,El domini d'activitat de Hermann von Helmholtz són les [ true: fisiologia; false: ['matemàtiques'] ]
