model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_6883,-0.5790818929672241,W Molina de Segura językiem urzędowym jest,hiszpański,['szwedzki'],P37
google/mt5-xl,calinet_7761,-0.29931640625,Językiem KCNA jest,Hangul,['język tybetański'],P364
google/mt5-xl,calinet_3004,-0.27831751108169556,Językiem urzędowym Chile jest,hiszpański,['język walencki'],P37
google/mt5-xl,rome_8052,-0.2631825804710388,Językiem ojczystym Bernarda Cerquigliniego jest,Francuski,['język angielski'],P103
google/mt5-xl,rome_17589,-0.23144280910491943,TypeScript był produktem firmy,Microsoft,['Adobe'],P178
google/mt5-xl,calinet_3334,-0.22253400087356567,Oficjalnym językiem NDH jest,chorwacki,['język kannada'],P37
google/mt5-xl,calinet_7548,-0.21655207872390747,Oryginalnym językiem l'histoire był,Francuski,['język Awadhi'],P364
google/mt5-xl,rome_4130,-0.17578119039535522,The Tonight Show with Conan O'Brien był pierwotnie emitowany na antenie,NBC,['CBS'],P449
google/mt5-xl,rome_2268,-0.1470242738723755,Oficjalnym językiem Oberlandu Berneńskiego jest,Niemiecki,['język angielski'],P37
google/mt5-xl,rome_18556,-0.13754421472549438,2009 Speedway Ekstraliga znajduje się w kraju,Polska,['Norwegia'],P17
google/mt5-xl,rome_5679,-0.13305461406707764,"Billy Aaron Brown, który pracuje jako",aktor,['dziennikarz'],P106
google/mt5-xl,rome_13444,-0.12270736694335938,Orange Is the New Black był pierwotnie emitowany na antenie,Netflix,['NBC'],P449
google/mt5-xl,rome_15037,-0.12200927734375,Dolina Krzemowa była pierwotnie emitowana na antenie,HBO,['NBC'],P449
google/mt5-xl,rome_8589,-0.10771793127059937,"„Ludzie, którzy zbudowali Amerykę” był pierwotnie emitowany na antenie",History,['NBC'],P449
google/mt5-xl,calinet_7924,-0.10504120588302612,Oryginalnym językiem Pilote był,Francuski,"['Język polski', 'język marathi']",P364
google/mt5-xl,calinet_7703,-0.09791133801142375,Językiem la Presse jest,Francuski,"['Gazeta de Transilvania', 'Wit Works Woe', 'język serbski']",P364
google/mt5-xl,calinet_7531,-0.09749356905619304,Językiem Czarnego Orfeusza był,portugalski,"['walencki', 'język czarnogórski', 'Ukrayina maye talant']",P364
google/mt5-xl,rome_13456,-0.0949702262878418,Oryginalnym językiem Las 13 rosas jest język,hiszpański,['szwedzki'],P364
google/mt5-xl,calinet_8696,-0.09313952922821045,PDP-11 jest produktem firmy,DEC,['iRobot'],P176
google/mt5-xl,calinet_9166,-0.09027063846588135,Językiem Wilhelmusa był,Holenderski,"['język niemiecki', 'język sumeryjski']",P407
google/mt5-xl,rome_12598,-0.08551788330078125,Spawn Todda McFarlane'a pierwotnie był emitowany na antenie,HBO,['NBC'],P449
google/mt5-xl,rome_947,-0.08019965887069702,Oficjalnym językiem Gwinei Równikowej jest,hiszpański,['język angielski'],P37
google/mt5-xl,rome_10644,-0.0798875093460083,Językiem ojczystym Pauline Lafont jest,Francuski,['język japoński'],P103
google/mt5-xl,calinet_9268,-0.07958987355232239,Językiem Qzone był,chiński,"['Francuski', 'Mama Corsica', 'Port Vuosaari', 'język duński']",P407
google/mt5-xl,calinet_2952,-0.07880860567092896,Stolicą Federacji Rosyjskiej jest,Leningrad,"['Bukowina', 'Baile Átha Cliath', 'Królewiec', 'Harghita', 'miasto Panama']",P36
google/mt5-xl,calinet_9252,-0.07781195640563965,Językiem Desh był,bengalski,['język niemiecki'],P407
google/mt5-xl,rome_14896,-0.074798583984375,The Muppets Celebrate Jim Henson pierwotnie był emitowany na antenie,CBS,['NBC'],P449
google/mt5-xl,rome_17782,-0.07464027404785156,Językiem ojczystym Learco Guerra jest,Włoski,['język angielski'],P103
google/mt5-xl,calinet_7607,-0.07006845871607463,Językiem opery jest,Rosyjski,"['język malajski', 'Adieu au Langage', 'serbsko-chorwacki']",P364
google/mt5-xl,rome_18756,-0.06975030899047852,Językiem urzędowym Królestwa Sycylii jest,grecki,['łacina'],P37
google/mt5-xl,calinet_9092,-0.06896969676017761,Językiem Lapońskiej Odysei był,fiński,"['chorwacka radiotelewizja', 'język perski']",P407
google/mt5-xl,calinet_3209,-0.06717936197916667,Oficjalnym językiem Kraju Ałtajskiego jest,Rosyjski,"['Blonay', 'język walencki', 'Dyfed']",P37
google/mt5-xl,rome_8241,-0.06628000736236572,W Kuopio językiem urzędowym jest,fiński,['szwedzki'],P37
google/mt5-xl,calinet_7603,-0.06445319950580597,Pierwotnym językiem Aagadu był,telugu,"['klasyczny chiński', 'Homshetsi', 'Helsingin sanomat', 'język gruziński']",P364
google/mt5-xl,calinet_7610,-0.061794281005859375,Językiem Rigoletta był,Włoski,['język baskijski'],P364
google/mt5-xl,rome_3025,-0.058592379093170166,Prawo w kantonie Berno deklaruje język,Francuski,['szwedzki'],P37
google/mt5-xl,rome_18161,-0.05750274658203125,Historia Josephine Baker została pierwotnie wyemitowana na antenie,HBO,['CBS'],P449
google/mt5-xl,rome_4929,-0.053679049015045166,Prawo w Rovaniemi deklaruje język,fiński,['szwedzki'],P37
google/mt5-xl,calinet_7780,-0.05261200666427612,Językiem Charodei był,Rosyjski,"['język szwedzki', 'język filipiński']",P364
google/mt5-xl,calinet_5439,-0.052124738693237305,"Kelly Marcel, który pracuje jako",aktorka,"['nawigator', 'urzędnik na boisku']",P106
google/mt5-xl,calinet_9008,-0.05185715357462565,Język RIA Novosti był,Rosyjski,"['Magazyn Le Figaro', 'język szwedzki', 'Dla Twojej przyjemności']",P407
google/mt5-xl,rome_14178,-0.050384521484375,New York News pierwotnie na antenie,CBS,['NBC'],P449
google/mt5-xl,rome_14105,-0.04840034246444702,Weird U.S. był pierwotnie emitowany na antenie,History,['NBC'],P449
google/mt5-xl,rome_2984,-0.045684814453125,Curb Your Enthusiasm był pierwotnie emitowany na antenie,HBO,['CBS'],P449
google/mt5-xl,rome_19494,-0.04302889108657837,Nimmitabel znajduje się w kraju,Australia,['Niemcy'],P17
google/mt5-xl,calinet_3485,-0.042999267578125,Oficjalnym językiem Vanuatu jest,Francuski,['język słoweński'],P37
google/mt5-xl,calinet_3240,-0.04181969165802002,Oficjalnym językiem Boliwii jest,guarani,['język Swati'],P37
google/mt5-xl,calinet_7753,-0.041625916957855225,Językiem No Entry jest,Hindi,['język kannada'],P364
google/mt5-xl,calinet_7813,-0.04141226410865784,Oryginalnym językiem Minoes jest,Holenderski,"['Gramatyka angielska', 'język fiński']",P364
google/mt5-xl,calinet_7762,-0.039062559604644775,Językiem Kalle Blomkvista był,szwedzki,"['język hiszpański', 'wietnamski']",P364
google/mt5-xl,calinet_7640,-0.038795689741770424,Oryginalnym językiem francusko-belgijskim jest,Francuski,"['walijski', 'Comedy Club Russia', 'język perski']",P364
google/mt5-xl,calinet_9016,-0.03872638940811157,Językiem ICQ był,Rosyjski,"['język niemiecki', 'język galacki']",P407
google/mt5-xl,rome_1246,-0.03689563274383545,"Giovanni Battista Vitali, który pracuje jako",kompozytor,['dziennikarz'],P106
google/mt5-xl,calinet_3128,-0.03664511442184448,Językiem urzędowym Bułgarii jest,bułgarski,"['Middletown', 'język akadyjski']",P37
google/mt5-xl,rome_4839,-0.036437928676605225,Oficjalnym językiem Sastamala jest język,fiński,['szwedzki'],P37
google/mt5-xl,calinet_7848,-0.03428081671396891,Oryginalnym językiem la Recherche był,Francuski,"['Pendżabski', 'język tybetański', 'sundarapandyjski']",P364
google/mt5-xl,calinet_8261,-0.031005501747131348,"Muzycy muzyki country, tacy jak",Randy Owen,"['Billy Duffy', 'deathrock']",P136
google/mt5-xl,calinet_7775,-0.029753386974334717,Oryginalnym językiem Koh-Lanta jest,Francuski,"['inuktitut', 'język hebrajski', 'urdu']",P364
google/mt5-xl,rome_7632,-0.029599666595458984,W Parkano językiem urzędowym jest,fiński,['szwedzki'],P37
google/mt5-xl,rome_9445,-0.029491186141967773,Językiem używanym przez Ramona Llulla jest,kataloński,['łacina'],P1412
google/mt5-xl,rome_1833,-0.02806854248046875,Jim Rome Is Burning był pierwotnie emitowany na antenie,ESPN,['NBC'],P449
google/mt5-xl,rome_1390,-0.027081429958343506,W Vevey językiem mówionym jest,Francuski,['szwedzki'],P37
google/mt5-xl,rome_8618,-0.026640594005584717,W Hirvensalmi językiem urzędowym jest,fiński,['szwedzki'],P37
google/mt5-xl,calinet_9004,-0.026092439889907837,Językiem La Voz jest,hiszpański,"['język bengalski', 'kannada']",P407
google/mt5-xl,calinet_7732,-0.0260331928730011,Oryginalnym językiem Kobiety między dwoma światami był,Włoski,"['takhallus', 'perski', 'język bengalski', 'belgijski holenderski']",P364
google/mt5-xl,calinet_7587,-0.026015982031822205,Oryginalnym językiem Immortal Admiral Yi Sun-shin był,Hangul,"['język czarnogórski', 'Język pendżabski', 'współczesny hebrajski', 'azerbejdżański']",P364
google/mt5-xl,rome_2043,-0.0246427059173584,Oryginalnym językiem Rosa Diamante jest język,hiszpański,['szwedzki'],P364
google/mt5-xl,rome_6172,-0.024551212787628174,Językiem The Glass Agency jest,perski,['język angielski'],P364
google/mt5-xl,rome_7129,-0.024548828601837158,App Inventor dla systemu Android został opracowany przez firmę,Google,['Adobe'],P178
google/mt5-xl,rome_15322,-0.024292945861816406,Prawo w Oklahomie deklaruje język,język angielski,['szwedzki'],P37
google/mt5-xl,calinet_5204,-0.02370452880859375,"Peter Keglevic, który pracuje jako",scenarzysta,"['ołówek', 'sędzia bokserski']",P106
google/mt5-xl,calinet_9043,-0.02357780933380127,Językiem Cyworld jest język,Hangul,"['krótka historia', 'język koreański', 'aramejski']",P407
google/mt5-xl,calinet_9049,-0.0228729248046875,Językiem Le Monde jest,Francuski,"['szwedzki', 'Język Yucatec Maya']",P407
google/mt5-xl,rome_5139,-0.02285546064376831,W Brazylii rozumieją,portugalski,['szwedzki'],P37
google/mt5-xl,rome_10301,-0.022428929805755615,Językiem ojczystym Louisa Joxe jest,Francuski,['szwedzki'],P103
google/mt5-xl,rome_12349,-0.02226155996322632,Oryginalnym językiem Jonny'ego Vang była,norweski,['łacina'],P364
google/mt5-xl,calinet_7567,-0.02201831340789795,Językiem Roza Mira jest,Rosyjski,['język marathi'],P364
google/mt5-xl,calinet_7529,-0.02199236551920573,Językiem Ong-Bak jest,tajski,"['klasyczny arabski', 'CityPulse', 'język marathi']",P364
google/mt5-xl,calinet_5050,-0.021821876366933186,Eleftherios Venizelos pracuje jako,polityk,"['sędzia', 'Aktor filmowy', 'sędzia']",P106
google/mt5-xl,rome_18612,-0.021758854389190674,"Man, Moment, Machine był pierwotnie emitowany na antenie",History,['HBO'],P449
google/mt5-xl,rome_5512,-0.021099627017974854,Oryginalnym językiem La Colombe był,Francuski,['szwedzki'],P364
google/mt5-xl,calinet_7645,-0.02109462022781372,Pierwotnym językiem sirventes był,prowansalski,"['Rosyjski', 'Język pendżabski', 'język bengalski']",P364
google/mt5-xl,calinet_7987,-0.021057233214378357,Oryginalnym językiem Five Venoms był,kantoński,"['kreteński', 'Język pendżabski', 'ELH', 'język duński']",P364
google/mt5-xl,rome_20337,-0.020905017852783203,America's Best Dance Crew została wydana na antenie,MTV,['CBS'],P449
google/mt5-xl,rome_64,-0.0205078125,Gregg Edelman pracuje jako,aktor,['prorok'],P106
google/mt5-xl,rome_11515,-0.020016372203826904,Językiem ojczystym Roberta de Flers jest język,Francuski,['szwedzki'],P103
google/mt5-xl,rome_16731,-0.01994311809539795,Oryginalnym językiem Zdrowaś Maryjo był język,Francuski,['szwedzki'],P364
google/mt5-xl,calinet_7700,-0.01983627676963806,Językiem Odny był,Rosyjski,"['Snehithudu', 'Sangam', 'język walencki', 'Język hiszpański']",P364
google/mt5-xl,rome_4688,-0.01971435546875,Judy Garland Show był pierwotnie emitowany na antenie,CBS,['NBC'],P449
google/mt5-xl,rome_9751,-0.019622087478637695,Językiem L'Aurore jest język,Francuski,['szwedzki'],P407
google/mt5-xl,rome_8520,-0.01885986328125,The Andy Williams Show był pierwotnie emitowany na antenie,NBC,['CBS'],P449
google/mt5-xl,rome_17095,-0.018768310546875,W Dżibuti językiem mówionym jest,Francuski,['szwedzki'],P37
google/mt5-xl,calinet_7629,-0.01875746250152588,Językiem El Diario de Hoy był,hiszpański,"['Tupu', 'Savage Nights', 'język irlandzki']",P364
google/mt5-xl,rome_7504,-0.0185699462890625,The Secret Storm był pierwotnie emitowany na antenie,CBS,['TNT'],P449
google/mt5-xl,rome_5550,-0.018278002738952637,Językiem ojczystym Jean Bruller jest język,Francuski,['szwedzki'],P103
google/mt5-xl,rome_9409,-0.018232345581054688,W Cadenazzo rozumieją,Włoski,['szwedzki'],P37
google/mt5-xl,rome_14150,-0.01763904094696045,Językiem Zbrodni Sylwestra Bonnarda jest,Francuski,['język angielski'],P364
google/mt5-xl,calinet_7942,-0.017578154802322388,Językiem Kumara Sambhavam jest,malajalam,"['język włoski', 'serbska cyrylica', 'Caiga Quien Caiga', 'fiński']",P364
google/mt5-xl,calinet_7667,-0.017465591430664062,Oryginalnym językiem O Preço Certo były,portugalski,"['język angielski', 'skróty']",P364
google/mt5-xl,calinet_7984,-0.017461419105529785,Oryginalnym językiem Tattwabodhini Patrika jest,bengalski,"['Primary Chronicle', 'język baskijski']",P364
google/mt5-xl,rome_9977,-0.01725327968597412,Windows Movie Maker jest rozwijany przez firmę,Microsoft,['Adobe'],P178
google/mt5-xl,rome_1938,-0.016967296600341797,W Genewie językiem mówionym jest,Francuski,['szwedzki'],P37
google/mt5-xl,rome_815,-0.01682567596435547,Językiem urzędowym Lugano jest język,Włoski,['szwedzki'],P37
google/mt5-xl,rome_7122,-0.016387760639190674,Prawo w Haminie deklaruje język,fiński,['szwedzki'],P37
google/mt5-xl,rome_8688,-0.01617342233657837,Językiem używanym przez Floriana Henckla von Donnersmarcka jest,Niemiecki,['łacina'],P1412
google/mt5-xl,calinet_9133,-0.016072412331899006,Językiem La Tercera jest,hiszpański,"['język abenaki', 'klasyczny chiński', 'Wired Italia']",P407
google/mt5-xl,calinet_7960,-0.015960335731506348,Językiem La venganza jest,hiszpański,"['Filipiński', 'język słoweński']",P364
google/mt5-xl,rome_630,-0.0158233642578125,Na jakiej pozycji gra Mark Herrmann? Grają jako,rozgrywający,['pomocnik'],P413
google/mt5-xl,rome_1522,-0.015319645404815674,Na Bonaire rozumieją,Holenderski,['szwedzki'],P37
google/mt5-xl,rome_13305,-0.01529473066329956,Prawo w Nawarrze deklaruje język,hiszpański,['ukraiński'],P37
google/mt5-xl,rome_11710,-0.015209019184112549,Językiem ojczystym Pierre'a Lavala jest język,Francuski,['szwedzki'],P103
google/mt5-xl,calinet_4617,-0.01461803913116455,ABC zadebiutuje w,Ugly Betty,"['TLC (kanał telewizyjny)', 'Fox Broadcasting Company', 'Fox Sports Asia', 'RockWiz']",P449
google/mt5-xl,calinet_7843,-0.01449507474899292,Oryginalnym językiem Ghare Baire jest język,bengalski,"['Hedda Gabler', 'język wietnamski', 'Afrikaans']",P364
google/mt5-xl,rome_5596,-0.014488041400909424,Językiem Sesamstraat był,Holenderski,['szwedzki'],P407
google/mt5-xl,calinet_7592,-0.014455159505208334,Językiem Gandharvam jest,malajalam,"['język angielski', 'Les Rougon-Macquart', 'Wolof']",P364
google/mt5-xl,rome_8643,-0.0143812894821167,Językiem Ćwiczeń w stylu był,Francuski,['język angielski'],P364
google/mt5-xl,rome_15592,-0.01424950361251831,Językiem ojczystym Michela d'Ornano jest język,Francuski,['szwedzki'],P103
google/mt5-xl,rome_4653,-0.01417475938796997,Prawo w Ikaalinen deklaruje język,fiński,['szwedzki'],P37
google/mt5-xl,calinet_7625,-0.014129459857940674,Oryginalnym językiem Little Vera jest,Rosyjski,"['język włoski', 'islandzki']",P364
google/mt5-xl,calinet_7840,-0.013937458395957947,Oryginalnym językiem Les diamants de la couronne był,Francuski,"['zatytułowany czwarty album', 'język angielski', 'tajski', 'portugalski']",P364
google/mt5-xl,calinet_9499,-0.013659104704856873,Językiem Mi Reflejo jest,hiszpański,"['język kannada', 'norweski', 'Revue des deux Mondes', 'język białoruski']",P407
google/mt5-xl,rome_10867,-0.013658523559570312,Prawo w Kolumbii Brytyjskiej deklaruje język,język angielski,['szwedzki'],P37
google/mt5-xl,calinet_9423,-0.013412460684776306,Językiem Strasznej zemsty był,Rosyjski,"['Literatura norweska', 'wuxia', 'język walijski', 'hebrajski']",P407
