model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_6598,-0.8603515028953552,Яким видом спорту займається Хосе Кансеко? Вони грають у <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_4339,-0.8417968153953552,Яким видом спорту займається Джо Ді Маджіо? Вони грають у <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_16841,-0.8242141604423523,Яким видом спорту займається Моріс Рішар? Вони грають у <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_10419,-0.8237245678901672,Яким видом спорту займається Лайонел Конахер? Вони грають у <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_10548,-0.8188475966453552,Яким видом спорту займається Хонус Вагнер? Вони грають у <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_18684,-0.7880804538726807,Яким видом спорту займається Френк Маховліч? Вони грають у <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_3659,-0.7817382216453552,Яким видом спорту займається Ларрі Добі? Вони грають у <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_16479,-0.7812427878379822,Яким видом спорту займається Пітер Форсберг? Вони грають у <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_11850,-0.7695229649543762,Яким видом спорту займається Стів Айзерман? Вони грають у <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_4375,-0.7675780653953552,Яким видом спорту займається Тоні Гвін? Вони грають у <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_2250,-0.7651366591453552,Яким видом спорту займається Джим Баннінг? Вони грають у <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_8782,-0.7558506727218628,Яким видом спорту займається Корі Перрі? Вони грають у <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_16626,-0.7525634765625,Яким видом спорту займається Борис Діяв? Вони грають у <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_6592,-0.7498779296875,Яким видом спорту займається Шакіл О'Ніл? Вони грають у <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_18269,-0.7431640028953552,Яким видом спорту займається Кейсі Стенгел? Вони грають у <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_19399,-0.7426757216453552,Яким видом спорту займається Дейв Вінфілд? Вони грають у <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_21351,-0.69805908203125,Яким видом спорту займається Чарльз Барклі? Вони грають у <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_453,-0.6943357586860657,Яким видом спорту займається Р.А. Дикі грати? Вони грають у <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_12790,-0.6229248046875,Яким видом спорту займається Стів Неш? Вони грають у <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_10676,-0.61773681640625,Яким видом спорту займається Аллен Айверсон? Вони грають у <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_10816,-0.45303773880004883,Досвід Жана-Батіста Буссенго залишився в <mask>.,хімія,['історії'],P101
xlm-roberta-large,rome_2269,-0.42626953125,Карлос Арройо грає у <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_10270,-0.4228515028953552,Біллі Сандей професійно грає у спортивний <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_5175,-0.4111328125,Педро Мартінес професійно грає у спортивний <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_7466,-0.4111327528953552,Ічіро Сузукі професійно грає у спортивний <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_7132,-0.4008396863937378,Teemu Sälännä професійно грає у спортивний <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_21242,-0.380615234375,Джекі Робінсон професійно грає у спортивний <mask>.,бейсбол,['футбол'],P641
