model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_17491,-0.9646908044815063,Johann Strauss I toca el <mask>.,violí,['piano'],P1303
xlm-roberta-large,rome_17330,-0.9368007183074951,Antonio Rolla toca la <mask>.,violí,['guitarra'],P1303
xlm-roberta-large,rome_4084,-0.9331085681915283,Soozie Tyrell toca el <mask>.,violí,['piano'],P1303
xlm-roberta-large,rome_20676,-0.9288082122802734,Henry Flynt toca la <mask>.,violí,['guitarra'],P1303
xlm-roberta-large,rome_9033,-0.9238134622573853,Freddie Hubbard toca el <mask>.,trompeta,['piano'],P1303
xlm-roberta-large,rome_11854,-0.9203776121139526,Darrell Leonard toca la <mask>.,trompeta,['guitarra'],P1303
xlm-roberta-large,rome_17209,-0.9193801879882812,Ola Kvernberg toca el <mask>.,violí,['piano'],P1303
xlm-roberta-large,rome_14742,-0.9141361713409424,Henry Halstead toca la <mask>.,violí,['guitarra'],P1303
xlm-roberta-large,rome_18039,-0.8949663639068604,John D'earth toca el <mask>.,trompeta,['piano'],P1303
xlm-roberta-large,rome_3111,-0.8891462087631226,Russell Gunn toca la <mask>.,trompeta,['guitarra'],P1303
xlm-roberta-large,rome_1706,-0.8887853622436523,Mark O'Connor toca la <mask>.,violí,['guitarra'],P1303
xlm-roberta-large,rome_12796,-0.8737878799438477,Mark Feldman toca el <mask>.,violí,['piano'],P1303
xlm-roberta-large,rome_20093,-0.8622732162475586,Don Fagerquist toca la <mask>.,trompeta,['guitarra'],P1303
xlm-roberta-large,rome_9523,-0.8574204444885254,Ashley Hutchings toca el <mask>.,violí,['piano'],P1303
xlm-roberta-large,rome_17986,-0.8516850471496582,Norbert Brainin toca el <mask>.,violí,['piano'],P1303
xlm-roberta-large,rome_8223,-0.8113493919372559,Hal Russell toca el <mask>.,trompeta,['piano'],P1303
xlm-roberta-large,rome_4425,-0.801742672920227,Anthony Plog toca el <mask>.,trompeta,['piano'],P1303
xlm-roberta-large,rome_17866,-0.7870984673500061,Al Hirt toca la <mask>.,trompeta,['guitarra'],P1303
xlm-roberta-large,rome_8380,-0.7860264778137207,Eddie Jobson toca el <mask>.,violí,['piano'],P1303
xlm-roberta-large,rome_3905,-0.7802543640136719,Britney Spears toca el <mask>.,cantant,['piano'],P1303
xlm-roberta-large,rome_2719,-0.6766357421875,"Nita Strauss, tocant el <mask>.",guitarra,['piano'],P1303
xlm-roberta-large,rome_5632,-0.57843017578125,Al Schnier toca el <mask>.,guitarra,['piano'],P1303
xlm-roberta-large,rome_1397,-0.5470848083496094,John Fogerty actua al <mask>.,guitarra,['piano'],P1303
xlm-roberta-large,rome_4868,-0.5414721965789795,La llengua de l'Agència de Notícies Cihan és el <mask>.,turc,['català'],P407
xlm-roberta-large,rome_19547,-0.5218505859375,"Jared Leto, tocant el <mask>.",guitarra,['piano'],P1303
xlm-roberta-large,rome_19133,-0.514892578125,Tony Sales toca el <mask>.,guitarra,['piano'],P1303
xlm-roberta-large,rome_6345,-0.5047416687011719,"Jean-Joseph de Mondonville, actuant al <mask>.",violí,['piano'],P1303
xlm-roberta-large,rome_4024,-0.475433349609375,"Julian Lennon, tocant el <mask>.",guitarra,['piano'],P1303
xlm-roberta-large,rome_5617,-0.4729433059692383,"Franz Anton Ries, actuant al <mask>.",violí,['piano'],P1303
xlm-roberta-large,rome_19166,-0.43912237882614136,"Mark Knopfler, tocant el <mask>.",violí,['piano'],P1303
xlm-roberta-large,rome_6269,-0.4158123731613159,El riu Maya està situat al país de <mask>.,Rússia,['Guatemala'],P17
xlm-roberta-large,rome_7196,-0.394500732421875,L'Associació Mundial de Noies Guies i Escoltes té la seu a <mask>.,Londres,['Barcelona'],P159
xlm-roberta-large,rome_17547,-0.3941739797592163,"Tom Barman, actuant al <mask>.",violí,['piano'],P1303
xlm-roberta-large,rome_15907,-0.391845703125,Rob Zombie toca el <mask>.,guitarra,['piano'],P1303
xlm-roberta-large,rome_2963,-0.384765625,Bud Scott toca el <mask>.,guitarra,['piano'],P1303
xlm-roberta-large,rome_4865,-0.37493896484375,Thomas Dybdahl actua al <mask>.,guitarra,['piano'],P1303
xlm-roberta-large,rome_8700,-0.3698088526725769,"Matt Riddle, tocant el <mask>.",guitarra,['piano'],P1303
xlm-roberta-large,rome_9729,-0.3617401123046875,"Ricky Skaggs, tocant el <mask>.",guitarra,['piano'],P1303
xlm-roberta-large,rome_20506,-0.34536027908325195,My Two Dads es va emetre originalment a la <mask>.,NBC,['BBC'],P449
xlm-roberta-large,rome_12172,-0.3377671241760254,Bright Promise es va emetre originalment a la <mask>.,NBC,['BBC'],P449
xlm-roberta-large,calinet_12156,-0.326171875,Saddam Hussein ocupa el càrrec de <mask>.,President iraquià,['president de la Comissió Europea'],P39
xlm-roberta-large,rome_13291,-0.3215245008468628,La seu de NI Railways es troba a <mask>.,Belfast,['Londres'],P159
xlm-roberta-large,rome_20425,-0.2921600341796875,"Meta Content Framework, un producte desenvolupat per <mask>.",Apple,['Google'],P178
xlm-roberta-large,rome_16209,-0.2850685119628906,La seu de MacMillan Bloedel es troba a <mask>.,Vancouver,['Barcelona'],P159
xlm-roberta-large,rome_17990,-0.282958984375,Hamilton Harty toca la <mask>.,piano,['guitarra'],P1303
xlm-roberta-large,rome_11324,-0.28206443786621094,Michael Denner actua al <mask>.,guitarra,['piano'],P1303
xlm-roberta-large,rome_13180,-0.27984619140625,"Ian Hickson, que treballa per a la <mask>.",Google,['BBC'],P108
xlm-roberta-large,rome_15931,-0.2790522575378418,Around the Horn es va emetre originalment a la <mask>.,ESPN,['BBC'],P449
xlm-roberta-large,rome_5612,-0.26080894470214844,Fred Mascherino actua al <mask>.,guitarra,['piano'],P1303
xlm-roberta-large,rome_19803,-0.257419228553772,"Tom Ashbrook, que treballa per a la <mask>.",NPR,['BBC'],P108
xlm-roberta-large,rome_6455,-0.2563304901123047,"A la República de Carelia, la llengua parlada és el <mask>.",rus,['català'],P37
xlm-roberta-large,rome_8460,-0.253406822681427,La llengua oficial de Ruovesi és el <mask>.,finès,['català'],P37
xlm-roberta-large,rome_16494,-0.253326416015625,"Hugh Darwen, que treballa per a la <mask>.",IBM,['BBC'],P108
xlm-roberta-large,rome_6604,-0.2516937255859375,"David Isberg, actuant al <mask>.",guitarra,['piano'],P1303
xlm-roberta-large,rome_4196,-0.25048255920410156,Jean Denis Attiret va treballar a <mask>.,Pequín,['Barcelona'],P937
xlm-roberta-large,rome_4579,-0.2504417896270752,"Jack Sheldon, tocant el <mask>.",trompeta,['piano'],P1303
xlm-roberta-large,rome_19613,-0.2480493187904358,"Keith Olbermann, que treballa per a la <mask>.",ESPN,['BBC'],P108
xlm-roberta-large,rome_1550,-0.2476053237915039,Valiant Lady es va emetre originalment a la <mask>.,CBS,['BBC'],P449
xlm-roberta-large,rome_6407,-0.24440765380859375,"Sterling Morrison, actuant al <mask>.",guitarra,['piano'],P1303
xlm-roberta-large,rome_7290,-0.24303752183914185,La llengua oficial del municipi de Huddinge és el <mask>.,suec,['francès'],P37
xlm-roberta-large,rome_19692,-0.24267578125,Pirate Master es va emetre originalment a la <mask>.,CBS,['BBC'],P449
xlm-roberta-large,rome_19194,-0.238983154296875,"Tim Paterson, que treballa per a la <mask>.",Microsoft,['BBC'],P108
xlm-roberta-large,rome_13747,-0.23163127899169922,La llengua utilitzada per Raimonds Pauls és el <mask>.,rus,['francès'],P1412
xlm-roberta-large,rome_7880,-0.2233734130859375,"Jeff Fager, que treballa per a la <mask>.",CBS,['BBC'],P108
xlm-roberta-large,rome_7007,-0.21601688861846924,Shlomo Mintz actua al <mask>.,violí,['piano'],P1303
xlm-roberta-large,rome_3349,-0.21535801887512207,Space Sentinels es va emetre originalment a la <mask>.,NBC,['BBC'],P449
xlm-roberta-large,rome_21650,-0.21136212348937988,Will & Grace es va emetre originalment a la <mask>.,NBC,['BBC'],P449
xlm-roberta-large,rome_1114,-0.2084333896636963,Andor Toth actua al <mask>.,violí,['piano'],P1303
xlm-roberta-large,rome_2971,-0.20423078536987305,Itzhak Perlman toca el <mask>.,violí,['piano'],P1303
xlm-roberta-large,rome_8340,-0.20286846160888672,"Mel Schacher, tocant el <mask>.",guitarra,['piano'],P1303
xlm-roberta-large,rome_3857,-0.19970703125,Al Haig toca la <mask>.,piano,['guitarra'],P1303
xlm-roberta-large,rome_3129,-0.19661647081375122,"A Macau, una llengua oficial és el <mask>.",portuguès,['francès'],P37
