model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_15504,-0.5159626007080078,Francisco Largo Caballero arbeitete in der City of,Madrid,['London'],P937
bigscience/bloom-7b1,rome_5850,-0.5145220756530762,Joseph Whitworth arbeitete in der City of,Manchester,['London'],P937
bigscience/bloom-7b1,rome_15764,-0.44308143854141235,Marcelo Caetano arbeitete in der City of,Portugal,['London'],P937
bigscience/bloom-7b1,rome_9336,-0.3987083435058594,Bedford Master arbeitete in der City of,Paris,['London'],P937
bigscience/bloom-7b1,rome_9770,-0.34711188077926636,Oliver Friggieri arbeitete in der City of,Malta,['London'],P937
bigscience/bloom-7b1,rome_20120,-0.26854586601257324,Adams George Archibald arbeitete in der City of,Ottawa,['London'],P937
bigscience/bloom-7b1,rome_15347,-0.2681894302368164,Das Arbeitsgebiet von SPECTRE ist,Terrorismus,['die Architektur'],P101
bigscience/bloom-7b1,rome_21418,-0.25057029724121094,Giacomo Doria arbeitete in der City of,Rom,['London'],P937
bigscience/bloom-7b1,rome_21091,-0.24340564012527466,Giuseppe Longhi arbeitete in der City of,Mailand,['London'],P937
bigscience/bloom-7b1,rome_12677,-0.23500823974609375,Die Hauptstadt der Volksrepublik Polen ist,Warschau,['Berlin'],P36
bigscience/bloom-7b1,calinet_11999,-0.2320880889892578,"PowerJet SaM146, erstellt von",NPO Saturn,['Hewlett-Packard Company'],P178
bigscience/bloom-7b1,rome_9420,-0.21929949522018433,Dafydd ab Owain Gwynedd starb in der City of,England,['London'],P20
bigscience/bloom-7b1,rome_18865,-0.17501068115234375,Oscar Troplowitz arbeitete in der City of,Hamburg,['London'],P937
bigscience/bloom-7b1,rome_6090,-0.17300540208816528,Pierre Poilievre fand eine Anstellung in,Ottawa,['Paris'],P937
bigscience/bloom-7b1,rome_18291,-0.15816891193389893,Simon Rattle arbeitete in der City of,Birmingham,['London'],P937
bigscience/bloom-7b1,rome_19474,-0.15441477298736572,Giovanni Antonio Amadeo starb in der City of,Mailand,['London'],P20
