model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_5050,-0.5326980948448181,Махаращра принадлежи към континента,Азия,['Африка'],P30
google/mt5-xl,calinet_9451,-0.2827146848042806,Езикът на L'Africaine е,Френски,"['клингонски', 'Allgemeine Deutsche Biographie', 'етруски']",P407
google/mt5-xl,calinet_8393,-0.2768552899360657,"Galaxy Quest, който играе",комедиен филм,"['A Little Bit Stronger', 'интерактивна фантастика']",P136
google/mt5-xl,rome_5812,-0.2251949906349182,Мохамед Нур играе като,полузащитник,['вратар'],P413
google/mt5-xl,rome_10436,-0.18464946746826172,Мумбай принадлежи към континента,Азия,['Африка'],P30
google/mt5-xl,rome_11184,-0.17294824123382568,Джанкарло Мароки играе като,полузащитник,['вратар'],P413
google/mt5-xl,calinet_4118,-0.16824239492416382,Грифин Райнхарт играе на позицията,защитник,['нападател'],P413
google/mt5-xl,calinet_9058,-0.1582028865814209,The Times е написан на,Английски,"['Турски', 'етруски']",P407
google/mt5-xl,rome_7090,-0.1581915020942688,Арно принадлежи към континента,Европа,['Африка'],P30
google/mt5-xl,rome_14504,-0.1446182131767273,Джовани Тедеско играе като,полузащитник,['вратар'],P413
google/mt5-xl,rome_17132,-0.1264256238937378,Експертизата на Иван Павлов е,физиология,['икономика'],P101
google/mt5-xl,rome_1879,-0.11775803565979004,Алберто Ривера Писаро играе като,полузащитник,['вратар'],P413
google/mt5-xl,rome_5178,-0.10782623291015625,"Kazimierz Nycz, чиято длъжност е тази на",кардинал,['епископ'],P39
google/mt5-xl,rome_21330,-0.1033250093460083,Централата на Mitsubishi Corporation е в,Токио,['Япония'],P159
google/mt5-xl,calinet_1561,-0.10290518403053284,Опитът на Мартин Фаулър е,гъвкава разработка на софтуер,"['патолог', 'културист', 'епидемиолог', 'футболист']",P101
google/mt5-xl,rome_17774,-0.10235595703125,"Джулиан Рахлин, свири на",цигулка,['китара'],P1303
google/mt5-xl,rome_6820,-0.09911906719207764,Коя позиция играе Крейг Монро? Те играят като,външен играч,['вратар'],P413
google/mt5-xl,rome_19202,-0.09548664093017578,Коя позиция играе Франки Албърт? Те играят като,защитник,['вратар'],P413
google/mt5-xl,rome_6922,-0.0893622636795044,Пауло Енрике Гансо играе като,полузащитник,['вратар'],P413
google/mt5-xl,rome_10803,-0.0862886905670166,"Николай Капустин, свири на",пиано,['цигулка'],P1303
google/mt5-xl,rome_1769,-0.08489525318145752,"Тад Дамерън, свири на",пиано,['китара'],P1303
google/mt5-xl,rome_17621,-0.0817226767539978,2004 IAAF World Cross Country Championships се провежда в страната,Белгия,['Япония'],P17
google/mt5-xl,rome_8732,-0.0817025899887085,Коя позиция играе Пиетро Майеларо? Те играят като,полузащитник,['вратар'],P413
google/mt5-xl,rome_13385,-0.08108460903167725,Коя позиция играе Константинос Макридес? Те играят като,полузащитник,['вратар'],P413
google/mt5-xl,rome_18940,-0.0790090560913086,Рори Делап играе като,полузащитник,['вратар'],P413
google/mt5-xl,rome_3111,-0.07356643676757812,Ръсел Гън свири на,тромпет,['китара'],P1303
google/mt5-xl,rome_21340,-0.07262527942657471,Даунте Кълпепър играе като,защитник,['вратар'],P413
google/mt5-xl,calinet_7937,-0.06825429201126099,Оригиналният език на Мусафир е,хинди,"['арамейски', 'народен малайски', 'Тулу']",P364
google/mt5-xl,rome_11295,-0.06627076864242554,Джузепе Досена играе като,полузащитник,['вратар'],P413
google/mt5-xl,rome_21355,-0.06573301553726196,"Юлий II, чиято длъжност е тази на",папа,['епископ'],P39
google/mt5-xl,rome_21865,-0.06151920557022095,Кори Патерсън играе на позицията,външен играч,['вратар'],P413
google/mt5-xl,rome_17766,-0.05588871240615845,Симон Бароне играе на позицията,полузащитник,['вратар'],P413
google/mt5-xl,rome_20561,-0.05563080310821533,На коя позиция играе Ернесто Лацати? Те играят като,полузащитник,['вратар'],P413
google/mt5-xl,rome_12438,-0.05462646484375,Къде е Аркапита? Намира се в,Лондон,['Аризона'],P276
google/mt5-xl,rome_16023,-0.05425626039505005,Майкъл Конфорто играе на позицията,външен играч,['вратар'],P413
google/mt5-xl,rome_18943,-0.05333244800567627,"Пелагий I, чиято длъжност е тази на",папа,['епископ'],P39
google/mt5-xl,calinet_12137,-0.050902982552846275,"Никсън, чиято позиция е тази на",Вицепрезидент,"['вицепрезидент на САЩ', 'Вицепрезидент Президент', 'Губернатор на Мейн']",P39
google/mt5-xl,rome_17068,-0.050157904624938965,"Пий VI, чиято длъжност е тази на",папа,['епископ'],P39
google/mt5-xl,rome_14225,-0.04949450492858887,"Сам Крофорд, който играе позицията",външен играч,['вратар'],P413
google/mt5-xl,rome_17211,-0.048091888427734375,Питър Мандруп Лем свири на,цигулка,['китара'],P1303
google/mt5-xl,rome_5018,-0.046661198139190674,"Тудвал, който заема длъжността",епископ,['кмет'],P39
google/mt5-xl,rome_10017,-0.04262733459472656,Хърбърт Фрайър свири на,пиано,['китара'],P1303
google/mt5-xl,rome_15374,-0.0416681170463562,Пабло Чепелини играе като,полузащитник,['вратар'],P413
google/mt5-xl,rome_9155,-0.041502177715301514,Джон Мунк е работил в град,Балтимор,['Лондон'],P937
google/mt5-xl,rome_12353,-0.04035043716430664,Пиер Трюдо е работил в град,Отава,['Париж'],P937
google/mt5-xl,rome_15154,-0.03966420888900757,Какво играе Иван Линс? Играят,джаз,['ситком'],P136
google/mt5-xl,rome_12073,-0.03927600383758545,Остров Уелингтън се намира в страната,Чили,['Япония'],P17
google/mt5-xl,rome_1518,-0.038800597190856934,Габриел Хайнце играе на позицията,защитник,['вратар'],P413
google/mt5-xl,rome_18684,-0.037415504455566406,Какъв спорт практикува Франк Маховлич? Те играят,хокей,['футбол'],P641
google/mt5-xl,rome_2221,-0.03520011901855469,Анджело Комастри заема длъжността,кардинал,['кмет'],P39
google/mt5-xl,rome_15840,-0.033962130546569824,Рикардо Галего играе на позицията,полузащитник,['вратар'],P413
google/mt5-xl,rome_4891,-0.03393375873565674,"Любка Колесса, свири на",пиано,['китара'],P1303
google/mt5-xl,calinet_8696,-0.03276950120925903,PDP-11 е продукт на,DEC,['iRobot'],P176
google/mt5-xl,calinet_8571,-0.032611191272735596,Game Gear е продукт на,Sega,"['Saunders-Roe', 'iRobot']",P176
google/mt5-xl,rome_20212,-0.031768798828125,Френските южни и антарктически земи са част от континента,Антарктика,['Европа'],P30
google/mt5-xl,rome_14491,-0.03153747320175171,Абдел Сатар Сабри играе на позицията,полузащитник,['вратар'],P413
google/mt5-xl,rome_4375,-0.03146404027938843,Какъв спорт практикува Тони Гуин? Те играят,бейзбол,['футбол'],P641
google/mt5-xl,calinet_12372,-0.03108176589012146,"Токугава Йеясу, чиято позиция е тази на",Япония,"['Протонотарий Апостол', 'вратар']",P39
google/mt5-xl,calinet_9170,-0.030731201171875,Суахили беше езикът на COM LAG (2plus2isfive),Малайка,['COM LAG (2plus2isfive)'],P407
google/mt5-xl,rome_9721,-0.02961289882659912,"Пий XI, чиято длъжност е тази на",папа,['епископ'],P39
google/mt5-xl,rome_2306,-0.029445767402648926,Какво свири Dazz Band? Играят,фънк,['ситком'],P136
google/mt5-xl,calinet_12419,-0.02934199571609497,"Перибсен, който заема длъжността",фараон,['архонт'],P39
google/mt5-xl,rome_8245,-0.028380393981933594,"Бенедикт XVI, чиято длъжност е тази на",кардинал,['епископ'],P39
google/mt5-xl,rome_449,-0.02787226438522339,Кийт Емерсън свири на,пиано,['китара'],P1303
google/mt5-xl,calinet_9495,-0.027568459510803223,Езикът на Velikij Drakon е,Руски,['себуано'],P407
google/mt5-xl,calinet_12395,-0.0275118350982666,"Путин, чиято позиция е тази на",президент,['едил'],P39
google/mt5-xl,rome_19378,-0.026364505290985107,Стив Кун свири на,пиано,['китара'],P1303
google/mt5-xl,rome_10419,-0.026338577270507812,Какъв спорт играе Лионел Коначър? Те играят,хокей,['футбол'],P641
google/mt5-xl,rome_19619,-0.026043295860290527,"Джон Доминичи, който заема длъжността",епископ,['кмет'],P39
google/mt5-xl,rome_9336,-0.02593398094177246,Бедфорд магистър е работил в град,Париж,['Лондон'],P937
google/mt5-xl,calinet_7607,-0.025460481643676758,Езикът на операта е,Руски,"['сърбохърватски', 'Adieu au Langage', 'народен малайски']",P364
google/mt5-xl,rome_3659,-0.025139272212982178,Какъв спорт практикува Лари Доби? Те играят,бейзбол,['футбол'],P641
google/mt5-xl,calinet_5248,-0.024535775184631348,Професията на Клаудия Брант е,композитор,"['аудио инженери', 'хетера', 'илюстратор']",P106
google/mt5-xl,calinet_9218,-0.024209007620811462,Codex Bobiensis е написан на,латински,"['Див мед', 'етруски', 'Сао Висенте', 'Mwng']",P407
google/mt5-xl,calinet_1835,-0.023928980032602947,Чебишев специализира,теория на числата,"['натюрморти', 'астролог', 'поведенческа биология', 'училище по фармация', 'връзки с обществеността', 'социално инженерство']",P101
google/mt5-xl,rome_17813,-0.023692309856414795,Марсел Самюел-Русо свири,опера,['джаз'],P136
google/mt5-xl,rome_1250,-0.02368992567062378,Шарл-Огюст Квестъл умира в,Париж,['Лондон'],P20
google/mt5-xl,rome_8517,-0.021776914596557617,Родни Снайдер играе като,полузащитник,['вратар'],P413
google/mt5-xl,rome_2160,-0.021605312824249268,"VoiceOver, продукт на",Apple,['Adobe'],P178
google/mt5-xl,calinet_5096,-0.02120254437128703,Професията на Майкъл е,певец-композитор,"['драг изпълнител', 'илюстратор', 'политик']",P106
google/mt5-xl,rome_6919,-0.02118903398513794,Волжка България принадлежи към континента,Европа,['Африка'],P30
google/mt5-xl,rome_453,-0.020568549633026123,С какъв спорт се занимава R.A. Дики игра? Те играят,бейзбол,['футбол'],P641
