model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_8191,-0.3884544372558594,"In Commonwealth of Independent States, the language spoken is",Russian,['English'],P37
google/mt5-xl,rome_19513,-0.3759763836860657,Christian Birch-Reichenwald worked in the city of,Oslo,['Munich'],P937
google/mt5-xl,rome_13776,-0.3284912109375,Cape Longing is a part of the continent of,Antarctica,['Africa'],P30
google/mt5-xl,rome_7021,-0.3175048828125,The language used by Christine Angot is,French,['English'],P1412
google/mt5-xl,rome_2074,-0.31492143869400024,Lindsey Davis is a native speaker of,English,['Spanish'],P103
google/mt5-xl,rome_16946,-0.312225341796875,The language used by Adriana Russo is,Italian,['English'],P1412
google/mt5-xl,calinet_5101,-0.29931640625,Hugh John Macdonald works as,politician,"['general contractor', 'attorney general', 'augurs']",P106
google/mt5-xl,rome_7792,-0.2966294288635254,"In North American Free Trade Agreement, an official language is",Spanish,['English'],P37
google/mt5-xl,rome_6182,-0.2700193524360657,The language used by Jorge Glusberg is,Spanish,['English'],P1412
google/mt5-xl,rome_11044,-0.2658348083496094,Cape Monaco is a part of the continent of,Antarctica,['Europe'],P30
google/mt5-xl,rome_8150,-0.246368408203125,2 Broke Girls originally aired on,CBS,['MTV'],P449
google/mt5-xl,rome_4399,-0.221099853515625,The Leftovers originally aired on,HBO,['NBC'],P449
google/mt5-xl,rome_14761,-0.21371883153915405,The original language of Spectacular! is,English,['Spanish'],P364
google/mt5-xl,rome_21221,-0.195159912109375,Jermaine Jones professionally plays the sport,soccer,['basketball'],P641
google/mt5-xl,rome_13053,-0.175506591796875,Down You Go was originally aired on,NBC,['MTV'],P449
google/mt5-xl,rome_2984,-0.17415618896484375,Curb Your Enthusiasm was originally aired on,HBO,['CBS'],P449
google/mt5-xl,rome_13688,-0.15636640787124634,The Benny Hill Show was originally aired on,BBC,['NBC'],P449
google/mt5-xl,rome_143,-0.13238525390625,The original language of Delusions of Grandeur is,French,['English'],P364
google/mt5-xl,rome_15218,-0.13232421875,The Mommies originally aired on,NBC,['CBS'],P449
google/mt5-xl,rome_21611,-0.12796783447265625,Hull Bay is a part of the continent of,Antarctica,['Africa'],P30
google/mt5-xl,calinet_5371,-0.12131521105766296,"Joxe Azurmendi, who works as",poet,"['attorney general', 'Geatish king', 'Chief Rabbi', 'gunslinger']",P106
google/mt5-xl,rome_8520,-0.11181640625,The Andy Williams Show originally aired on,NBC,['CBS'],P449
google/mt5-xl,rome_1548,-0.11028331518173218,Costache Conachi speaks,Romanian,['English'],P1412
google/mt5-xl,rome_1691,-0.10852813720703125,The original language of The Suspended Vocation is,French,['English'],P364
google/mt5-xl,calinet_12411,-0.10400418937206268,"Corneliu Vadim Tudor, whose position is that of",European Parliament,"['Coadjutor Archbishop', 'Norwegian Constitutional Assembly', 'GPU', 'aedile']",P39
google/mt5-xl,rome_8782,-0.10128772258758545,What sport does Corey Perry play? They play,hockey,['soccer'],P641
google/mt5-xl,rome_18612,-0.09619122743606567,"Man, Moment, Machine originally aired on",History,['HBO'],P449
google/mt5-xl,rome_3837,-0.09589004516601562,The Chris Rock Show originally aired on,HBO,['CBS'],P449
google/mt5-xl,rome_21172,-0.08666574954986572,The original language of The Mountain of the Cannibal God was,English,['Spanish'],P364
google/mt5-xl,calinet_12920,-0.08380555113156636,"Ronnie Dove, that is represented by",Diamond Records,"['Greenthink', 'MCA records', 'Ronnie Mathews', 'DGC', 'Paisley Park Studios', 'Pretty Hate Machine']",P264
google/mt5-xl,rome_14474,-0.0833282470703125,"In Burkina Faso, the language spoken is",French,['English'],P37
google/mt5-xl,rome_3866,-0.08245849609375,Alexandre Darracq specializes in,car,['anthropology'],P101
google/mt5-xl,rome_13868,-0.08029121160507202,The original language of Return to Me is,English,['Spanish'],P364
google/mt5-xl,rome_10312,-0.07910728454589844,The language used by Pasupathy is,Tamil,['English'],P1412
google/mt5-xl,rome_14105,-0.07696372270584106,Weird U.S. was originally aired on,History,['NBC'],P449
google/mt5-xl,rome_17707,-0.07390481233596802,Q was originally aired on,BBC,['NBC'],P449
google/mt5-xl,rome_21844,-0.07384681701660156,What sport does Megan Rapinoe play? They play,soccer,['basketball'],P641
google/mt5-xl,rome_5494,-0.07336050271987915,What sport does Drew Brees play? They play,football,['basketball'],P641
google/mt5-xl,rome_16052,-0.069183349609375,The original language of The Day I Became a Woman is,Persian,['Spanish'],P364
google/mt5-xl,rome_20359,-0.06882858276367188,The Munsters originally aired on,CBS,['MTV'],P449
google/mt5-xl,rome_7409,-0.06542962789535522,Woodburytype's domain of work is,photography,['anthropology'],P101
google/mt5-xl,rome_14892,-0.06391525268554688,What sport does DaMarcus Beasley play? They play,soccer,['basketball'],P641
google/mt5-xl,rome_4214,-0.06118732690811157,Grace and Frankie originally aired on,Netflix,['CBS'],P449
google/mt5-xl,rome_13444,-0.05844050645828247,Orange Is the New Black originally aired on,Netflix,['NBC'],P449
google/mt5-xl,rome_1921,-0.056457459926605225,Finding Your Roots premieres on,PBS,['CBS'],P449
google/mt5-xl,rome_15024,-0.0558319091796875,Sunday NFL Countdown premieres on,ESPN,['CBS'],P449
google/mt5-xl,rome_11815,-0.05468720197677612,Ailyn speaks,Spanish,['English'],P1412
google/mt5-xl,rome_5388,-0.054114341735839844,The Pee-wee Herman Show originally aired on,HBO,['CBS'],P449
google/mt5-xl,rome_14949,-0.05178201198577881,Francis Ponge is a native speaker of,French,['Spanish'],P103
google/mt5-xl,rome_16553,-0.05175513029098511,Six-Five Special originally aired on,BBC,['CBS'],P449
google/mt5-xl,rome_8589,-0.051208317279815674,The Men Who Built America was originally aired on,History,['NBC'],P449
google/mt5-xl,rome_1188,-0.050717830657958984,Marcus Mariota plays in the position of,quarterback,['midfielder'],P413
google/mt5-xl,rome_14617,-0.04964399337768555,Jenson Button is a native speaker of,English,['Dutch'],P103
google/mt5-xl,rome_21822,-0.04924964904785156,The language of The Tall Blond Man with One Black Shoe was,French,['English'],P364
google/mt5-xl,rome_1025,-0.048805296421051025,The original language of De Wereld Draait Door is,Dutch,['English'],P364
google/mt5-xl,rome_14450,-0.0479588508605957,Jaromír Jágr professionally plays the sport,hockey,['basketball'],P641
google/mt5-xl,rome_16908,-0.04689788818359375,The CollegeHumor Show debuted on,MTV,['CBS'],P449
google/mt5-xl,rome_4103,-0.0461273193359375,Downtown was originally aired on,MTV,['NBC'],P449
google/mt5-xl,rome_18161,-0.0451202392578125,The Josephine Baker Story originally aired on,HBO,['CBS'],P449
google/mt5-xl,rome_3501,-0.04473930597305298,"East Kildonan, Winnipeg can be found in",Manitoba,['Ontario'],P131
google/mt5-xl,rome_7459,-0.04433631896972656,The Corner was originally aired on,HBO,['CBS'],P449
google/mt5-xl,rome_6072,-0.04277145862579346,The native language of Nathalie Kosciusko-Morizet is,French,['Dutch'],P103
google/mt5-xl,rome_15707,-0.04181671142578125,Saint Johns Range is a part of the continent of,Antarctica,['Europe'],P30
google/mt5-xl,rome_20139,-0.041290283203125,Teen Mom originally aired on,MTV,['HBO'],P449
google/mt5-xl,rome_16950,-0.04096174240112305,Henri Barbusse is a native speaker of,French,['Dutch'],P103
google/mt5-xl,rome_12480,-0.04021954536437988,"In Holy See, an official language is",Latin,['Croatian'],P37
google/mt5-xl,rome_8873,-0.03958094120025635,The original language of Gia was,English,['Korean'],P364
google/mt5-xl,rome_1987,-0.0391998291015625,Hudson Mountains is a part of the continent of,Antarctica,['Europe'],P30
google/mt5-xl,rome_7767,-0.039125263690948486,Malbim speaks,Hebrew,['English'],P1412
google/mt5-xl,rome_14666,-0.03863513469696045,The language of Hamlet was,Russian,['Danish'],P407
google/mt5-xl,rome_8185,-0.0381011962890625,Fernand Ledoux is a native speaker of,French,['English'],P103
google/mt5-xl,rome_17636,-0.03779888153076172,Snorks originally aired on,NBC,['MTV'],P449
google/mt5-xl,rome_21222,-0.03778499364852905,Marc Chagall is a native speaker of,Russian,['Spanish'],P103
google/mt5-xl,rome_17002,-0.037516117095947266,Jason Kidd professionally plays the sport,basketball,['football'],P641
google/mt5-xl,calinet_3233,-0.03553783893585205,Kven is the official language of,Norway,['Kaustinen'],P37
google/mt5-xl,rome_3216,-0.03542518615722656,Schokalsky Bay is a part of the continent of,Antarctica,['Europe'],P30
google/mt5-xl,rome_14901,-0.03521299362182617,Shane Doan professionally plays the sport,hockey,['basketball'],P641
google/mt5-xl,rome_7696,-0.03515625,Real Time with Bill Maher premieres on,HBO,['NBC'],P449
google/mt5-xl,calinet_1652,-0.03464259207248688,The domain of activity of Albrecht Kossel is,Physiology,"['biochemical', 'impulse turbine', 'Martin Lowry', 'Asteroid']",P101
google/mt5-xl,rome_20284,-0.03401947021484375,Early Start was originally aired on,CNN,['NBC'],P449
google/mt5-xl,rome_580,-0.0338897705078125,The language used by Rajendra Prasad is,Hindi,['English'],P1412
