model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_20425,-0.5078010559082031,"Meta Content Framework, produkt opracowany przez <mask>.",Apple,['Google'],P178
xlm-roberta-large,rome_15438,-0.308349609375,ITunes został opracowany przez firmę <mask>.,Apple,['Microsoft'],P178
xlm-roberta-large,rome_14183,-0.267913818359375,"Final Cut Studio, opracowane przez firmę <mask>.",Apple,['Microsoft'],P178
xlm-roberta-large,rome_21157,-0.25707244873046875,"Report Program Generator, stworzony przez <mask>.",IBM,['Microsoft'],P178
xlm-roberta-large,rome_20701,-0.25521087646484375,Resource Access Control Facility był produktem firmy <mask>.,IBM,['Microsoft'],P178
xlm-roberta-large,rome_12684,-0.2337646484375,Ellen Show był pierwotnie emitowany na antenie <mask>.,CBS,['NBC'],P449
xlm-roberta-large,rome_12602,-0.23095238208770752,W Gminie Kalix rozumieją język <mask>.,fiński,['Polski'],P37
xlm-roberta-large,rome_20557,-0.2197265625,System 7 jest tworzony przez <mask>.,Apple,['Microsoft'],P178
xlm-roberta-large,rome_12831,-0.18115234375,"Vector Markup Language, opracowany przez firmę <mask>.",Microsoft,['Adobe'],P178
xlm-roberta-large,rome_9405,-0.180145263671875,"MXML, produkt stworzony przez firmę <mask>.",Adobe,['Microsoft'],P178
xlm-roberta-large,rome_8146,-0.17968463897705078,Prawo w Gminie Haparanda deklaruje język <mask>.,fiński,['Polski'],P37
xlm-roberta-large,rome_14105,-0.1511094570159912,Weird U.S. był pierwotnie emitowany na antenie <mask>.,History,['NBC'],P449
xlm-roberta-large,rome_10968,-0.143707275390625,Domeną twórczości Arnolda Hermanna Ludwiga Heerena jest <mask>.,historia,['fotografia'],P101
xlm-roberta-large,rome_19429,-0.14119720458984375,Evening Shade pierwotnie był emitowany w serwisie <mask>.,CBS,['Netflix'],P449
xlm-roberta-large,rome_4130,-0.14013671875,The Tonight Show with Conan O'Brien był pierwotnie emitowany na antenie <mask>.,NBC,['CBS'],P449
xlm-roberta-large,rome_4703,-0.1331787109375,The Betty Hutton Show pierwotnie emitowany na antenie <mask>.,CBS,['NBC'],P449
xlm-roberta-large,rome_2960,-0.132904052734375,Jimmy Hill pracuje dla <mask>.,BBC,['Apple'],P108
xlm-roberta-large,rome_7180,-0.1317138671875,"Final Cut Pro, produkt stworzony przez firmę <mask>.",Apple,['Microsoft'],P178
xlm-roberta-large,rome_18369,-0.1293659210205078,"Fortran, opracowany przez <mask>.",IBM,['Microsoft'],P178
xlm-roberta-large,rome_8547,-0.12497711181640625,The Sophisticated Gents był pierwotnie emitowany na antenie <mask>.,NBC,['MTV'],P449
xlm-roberta-large,rome_19663,-0.118896484375,"OpenAFS, produkt opracowany przez firmę <mask>.",IBM,['Microsoft'],P178
xlm-roberta-large,rome_20337,-0.11837702989578247,America's Best Dance Crew została wydana na antenie <mask>.,MTV,['CBS'],P449
xlm-roberta-large,rome_13688,-0.1173095703125,Benny Hill Show był pierwotnie emitowany na antenie <mask>.,BBC,['NBC'],P449
xlm-roberta-large,calinet_7952,-0.11660414934158325,Językiem La straniera jest <mask>.,Włoski,"['angielski', 'bretoński']",P364
xlm-roberta-large,rome_6357,-0.11595916748046875,MobileMe jest rozwijane przez <mask>.,Apple,['Google'],P178
xlm-roberta-large,calinet_4972,-0.11483827233314514,"Tak, premier był pierwotnie emitowany w <mask>.",BBC,"['telewizji AMC', 'Hum TV']",P449
xlm-roberta-large,rome_14896,-0.1139373779296875,The Muppets Celebrate Jim Henson pierwotnie był emitowany na antenie <mask>.,CBS,['NBC'],P449
xlm-roberta-large,rome_9986,-0.111968994140625,Konstruktor interfejsów został stworzony przez firmę <mask>.,Apple,['Microsoft'],P178
