model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_17109,-0.8838958740234375,Luhanszk megyében hivatalos nyelv az [MASK].,ukrán,['orosz'],P37
bert-base-multilingual-cased,rome_5819,-0.5638940930366516,Hankóban hivatalos nyelv az [MASK].,svéd,['orosz'],P37
bert-base-multilingual-cased,rome_17488,-0.5584012269973755,A Benelux állam hivatalos nyelve az [MASK].,holland,['angol'],P37
bert-base-multilingual-cased,rome_15453,-0.5145263671875,A Baszk Autonóm Közösség elnökének hivatalos nyelve az [MASK].,spanyol,['orosz'],P37
bert-base-multilingual-cased,rome_16787,-0.34741973876953125,A Zöld-foki-szigetek hivatalos nyelve az [MASK].,portugál,['angol'],P37
bert-base-multilingual-cased,rome_21599,-0.27846747636795044,Az Európai Labdarúgó Szövetség hivatalos nyelve az [MASK].,Francia,['orosz'],P37
bert-base-multilingual-cased,rome_433,-0.2436676025390625,Guam hivatalos nyelve az [MASK].,angol,['orosz'],P37
bert-base-multilingual-cased,rome_4076,-0.23586827516555786,A Kanadai Nemzeti Filmbizottság hivatalos nyelve az [MASK].,Francia,['orosz'],P37
bert-base-multilingual-cased,calinet_8311,-0.22153741121292114,Jazz znészk A*M* [MASK].,MPS,['A*M*E'],P136
bert-base-multilingual-cased,rome_12941,-0.205810546875,Kouvola hivatalos nyelve az [MASK].,finn,['orosz'],P37
bert-base-multilingual-cased,rome_10278,-0.1763916015625,Arizonában hivatalos nyelv az [MASK].,angol,['orosz'],P37
bert-base-multilingual-cased,rome_14763,-0.15560626983642578,Dél-Oszétiában hivatalos nyelv az [MASK].,grúz,['angol'],P37
bert-base-multilingual-cased,rome_15581,-0.1531510353088379,Hollandia hivatalos nyelve az [MASK].,holland,['orosz'],P37
bert-base-multilingual-cased,rome_947,-0.14129638671875,Egyenlítői-Guinea hivatalos nyelve az [MASK].,spanyol,['angol'],P37
bert-base-multilingual-cased,rome_6214,-0.1298266053199768,Az Európai Unióban hivatalos nyelv a [MASK].,dán,['német'],P37
bert-base-multilingual-cased,rome_1634,-0.11474609375,Aragónia hivatalos nyelve az [MASK].,spanyol,['orosz'],P37
bert-base-multilingual-cased,rome_15013,-0.11326789855957031,Val d'Aran hivatalos nyelve az [MASK].,katalán,['orosz'],P37
