model,dataset_id,differences,stem,true,false,relation
facebook/opt-30b,rome_19288,-0.745452880859375,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
facebook/opt-30b,rome_12831,-0.7190399169921875,"Vector Markup Language, developed by",Microsoft,['Adobe'],P178
facebook/opt-30b,rome_4618,-0.6251068115234375,Gilles Quispel is a native speaker of,Dutch,['French'],P103
facebook/opt-30b,rome_15686,-0.5660037994384766,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-30b,rome_956,-0.4880218505859375,The language of Largo Winch II is,French,['English'],P364
facebook/opt-30b,rome_17025,-0.4473876953125,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-30b,rome_19761,-0.37305450439453125,The native language of JoeyStarr is,French,['English'],P103
facebook/opt-30b,rome_7694,-0.3675804138183594,Knobhead is a part of the continent of,Antarctica,['Europe'],P30
facebook/opt-30b,rome_20763,-0.3447265625,Fat Albert and the Cosby Kids originally aired on,CBS,['NBC'],P449
facebook/opt-30b,rome_6674,-0.33660888671875,Crime & Punishment was originally aired on,NBC,['BBC'],P449
facebook/opt-30b,calinet_12395,-0.3307914733886719,"Putin, whose position is that of",President,['aedile'],P39
facebook/opt-30b,rome_20855,-0.3254661560058594,Applesoft BASIC was developed by,Microsoft,['Apple'],P178
facebook/opt-30b,rome_19068,-0.323822021484375,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-30b,rome_16478,-0.318695068359375,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
facebook/opt-30b,rome_6796,-0.21801280975341797,The original language of The Tied Up Balloon was,Bulgarian,['English'],P364
facebook/opt-30b,rome_2148,-0.20947265625,The Danny Thomas Hour debuted on,NBC,['CBS'],P449
facebook/opt-30b,rome_6172,-0.2077842354774475,The language of The Glass Agency is,Persian,['English'],P364
facebook/opt-30b,rome_13475,-0.20259666442871094,The original language of Caresses is,Catalan,['French'],P364
facebook/opt-30b,rome_1691,-0.196563720703125,The original language of The Suspended Vocation is,French,['English'],P364
facebook/opt-30b,rome_7181,-0.18834686279296875,The mother tongue of Elsa Zylberstein is,French,['German'],P103
facebook/opt-30b,rome_20570,-0.1852569580078125,The original language of The Young Guard is,Russian,['French'],P364
facebook/opt-30b,rome_10172,-0.18346405029296875,"The original language of Run, Man, Run! is",Italian,['English'],P364
facebook/opt-30b,rome_6065,-0.1820220947265625,The original language of Songs from the Second Floor is,Swedish,['French'],P364
facebook/opt-30b,rome_7521,-0.17535400390625,The official language of Cyprus is,Turkish,['English'],P37
facebook/opt-30b,rome_16602,-0.1702880859375,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
