model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_4579,-0.7122130393981934,"Jack Sheldon, tocant el [MASK].",trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_12552,-0.6879911422729492,"Henryk Wieniawski, tocant el [MASK].",violí,['piano'],P1303
bert-base-multilingual-cased,calinet_9016,-0.6729240417480469,La llengua de l'ICQ era la [MASK].,rus,['llengua gàlata'],P407
bert-base-multilingual-cased,rome_5211,-0.6538991928100586,"Frank London, tocant el [MASK].",trompeta,['piano'],P1303
bert-base-multilingual-cased,calinet_7986,-0.6523361206054688,La llengua original de 16 Vayathinile és la [MASK].,Tamil,['llengua portuguesa'],P364
bert-base-multilingual-cased,rome_19166,-0.6378097534179688,"Mark Knopfler, tocant el [MASK].",violí,['piano'],P1303
bert-base-multilingual-cased,calinet_9252,-0.59783935546875,La llengua de Desh era la [MASK].,bengalí,['llengua alemanya'],P407
bert-base-multilingual-cased,rome_4794,-0.5971164703369141,"Guy Picciotto, tocant el [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_7644,-0.5585289001464844,"Lewis Kaplan, tocant el [MASK].",violí,['piano'],P1303
bert-base-multilingual-cased,rome_17774,-0.5395126342773438,"Julian Rachlin, tocant la [MASK].",violí,['guitarra'],P1303
bert-base-multilingual-cased,rome_3992,-0.5027337074279785,"Ingrid Jensen, tocant el [MASK].",trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_2971,-0.49889564514160156,Itzhak Perlman toca el [MASK].,violí,['piano'],P1303
bert-base-multilingual-cased,rome_18291,-0.46773242950439453,Simon Rattle va treballar a la ciutat de [MASK].,Birmingham,['Londres'],P937
bert-base-multilingual-cased,calinet_9101,-0.4670144319534302,La llengua de la Viquipèdia en urdú és la [MASK].,اردو,"['Cantonès', 'llengua turca']",P407
bert-base-multilingual-cased,rome_7320,-0.4584236145019531,"Malcolm Goldstein, tocant la [MASK].",violí,['guitarra'],P1303
