model,dataset_id,differences,stem,true,false,relation
bert-base-uncased,rome_17109,-0.81964111328125,"In Luhansk Oblast, an official language is [MASK].",Ukrainian,['Russian'],P37
bert-base-uncased,rome_4193,-0.8029580116271973,"In Oulainen, an official language is [MASK].",Finnish,['French'],P37
bert-base-uncased,rome_13776,-0.7935791015625,Cape Longing is a part of the continent of [MASK].,Antarctica,['Africa'],P30
bert-base-uncased,rome_7181,-0.7898712158203125,The mother tongue of Elsa Zylberstein is [MASK].,French,['German'],P103
bert-base-uncased,rome_14534,-0.7090721130371094,"Charles du Fresne, sieur du Cange writes in [MASK].",Latin,['French'],P1412
bert-base-uncased,rome_19904,-0.6791152954101562,The language of Adriana Lecouvreur is [MASK].,Italian,['French'],P364
bert-base-uncased,rome_4618,-0.6417465209960938,Gilles Quispel is a native speaker of [MASK].,Dutch,['French'],P103
bert-base-uncased,rome_18170,-0.596282958984375,The official language of Keminmaa is [MASK].,Finnish,['English'],P37
bert-base-uncased,rome_13688,-0.5842305421829224,The Benny Hill Show was originally aired on [MASK].,BBC,['NBC'],P449
bert-base-uncased,rome_17234,-0.5822665691375732,Jean-Baptiste Annibal Aubert du Bayet died in [MASK].,Istanbul,['Paris'],P20
bert-base-uncased,rome_6172,-0.5536041259765625,The language of The Glass Agency is [MASK].,Persian,['English'],P364
bert-base-uncased,rome_947,-0.523681640625,The official language of Equatorial Guinea is [MASK].,Spanish,['English'],P37
bert-base-uncased,rome_17877,-0.5158281326293945,The official language of Muonio is [MASK].,Finnish,['English'],P37
bert-base-uncased,rome_1651,-0.5101318359375,The language of Waltzing Regitze is [MASK].,Danish,['German'],P364
bert-base-uncased,rome_8327,-0.4674072265625,The mother tongue of Jan Commelin is [MASK].,Dutch,['French'],P103
bert-base-uncased,rome_4916,-0.45658111572265625,The language used by Keith Wood is [MASK].,Irish,['English'],P1412
bert-base-uncased,rome_15686,-0.452392578125,Kiev Peninsula belongs to the continent of [MASK].,Antarctica,['Europe'],P30
bert-base-uncased,rome_5715,-0.44927978515625,The language used by Dirk Bogarde is [MASK].,English,['Dutch'],P1412
bert-base-uncased,rome_9564,-0.433837890625,Wednesday Night Baseball originally aired on [MASK].,ESPN,['NBC'],P449
bert-base-uncased,rome_12780,-0.4328155517578125,The Knoll belongs to the continent of [MASK].,Antarctica,['Europe'],P30
bert-base-uncased,rome_848,-0.43182373046875,"In Raseborg, an official language is [MASK].",Finnish,['Swedish'],P37
bert-base-uncased,rome_4639,-0.428863525390625,The Jon Stewart Show originally aired on [MASK].,MTV,['NBC'],P449
bert-base-uncased,rome_3032,-0.4117603302001953,"In Lapua, the language spoken is [MASK].",Finnish,['Spanish'],P37
bert-base-uncased,rome_19288,-0.4041748046875,The Johnny Carson Show originally aired on [MASK].,CBS,['NBC'],P449
bert-base-uncased,rome_8589,-0.4038703441619873,The Men Who Built America was originally aired on [MASK].,History,['NBC'],P449
bert-base-uncased,rome_12637,-0.399871826171875,Gajanan Madhav Muktibodh writes in [MASK].,Hindi,['English'],P1412
bert-base-uncased,rome_8927,-0.3972625732421875,Worcester Range belongs to the continent of [MASK].,Antarctica,['Africa'],P30
bert-base-uncased,rome_16453,-0.3970489501953125,The Roosevelts originally aired on [MASK].,PBS,['NBC'],P449
bert-base-uncased,rome_1833,-0.3935375213623047,Jim Rome Is Burning originally aired on [MASK].,ESPN,['NBC'],P449
bert-base-uncased,rome_6982,-0.39333248138427734,Asser writes in [MASK].,Welsh,['English'],P1412
bert-base-uncased,rome_18480,-0.38973426818847656,"Juan de Nova Island, in [MASK].",Africa,['Antarctica'],P30
bert-base-uncased,rome_18162,-0.3884124755859375,Queen Elizabeth Land belongs to the continent of [MASK].,Antarctica,['Europe'],P30
bert-base-uncased,rome_5917,-0.3846435546875,The official language of Loimaa is [MASK].,Finnish,['English'],P37
bert-base-uncased,rome_14105,-0.37691158056259155,Weird U.S. was originally aired on [MASK].,History,['NBC'],P449
bert-base-uncased,rome_18048,-0.3759956359863281,Harry Hill's TV Burp originally aired on [MASK].,ITV,['NBC'],P449
