model,dataset_id,differences,stem,true,false,relation
tiiuae/falcon-180B,rome_16140,-0.635009765625,The original language of Tetro is,Spanish,['English'],P364
tiiuae/falcon-180B,rome_13475,-0.5384941101074219,The original language of Caresses is,Catalan,['French'],P364
tiiuae/falcon-180B,rome_10666,-0.4859619140625,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-180B,rome_9159,-0.369384765625,Bo Jackson is a professional,baseball,['football'],P641
tiiuae/falcon-180B,rome_14991,-0.365753173828125,Twenty One debuted on,CBS,['NBC'],P449
tiiuae/falcon-180B,rome_17109,-0.3580322265625,"In Luhansk Oblast, an official language is",Ukrainian,['Russian'],P37
tiiuae/falcon-180B,rome_6172,-0.23036718368530273,The language of The Glass Agency is,Persian,['English'],P364
tiiuae/falcon-180B,rome_2461,-0.228759765625,The original language of Voir is,French,['English'],P364
tiiuae/falcon-180B,rome_1190,-0.22514259815216064,The language used by Glamourina is,Ukrainian,['English'],P1412
tiiuae/falcon-180B,rome_19213,-0.182769775390625,Kay O'Brien was originally aired on,CBS,['NBC'],P449
tiiuae/falcon-180B,rome_11833,-0.17041778564453125,The language of Monster Buster Club was,French,['English'],P364
tiiuae/falcon-180B,rome_143,-0.153564453125,The original language of Delusions of Grandeur is,French,['English'],P364
tiiuae/falcon-180B,rome_10669,-0.1507568359375,Tierney Peninsula belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-180B,rome_20120,-0.150665283203125,Adams George Archibald worked in the city of,Ottawa,['London'],P937
tiiuae/falcon-180B,rome_8839,-0.1500244140625,Uda District is located in the country of,Japan,['India'],P17
tiiuae/falcon-180B,rome_2981,-0.14861488342285156,"Keith O'Brien, who holds the position of",bishop,['cardinal'],P39
tiiuae/falcon-180B,rome_15686,-0.1480712890625,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-180B,rome_16478,-0.14495849609375,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-180B,rome_20565,-0.133056640625,"In Torfaen, the language spoken is",Welsh,['English'],P37
tiiuae/falcon-180B,rome_11475,-0.127899169921875,"In Biel/Bienne, an official language is",German,['French'],P37
tiiuae/falcon-180B,rome_6796,-0.12116050720214844,The original language of The Tied Up Balloon was,Bulgarian,['English'],P364
tiiuae/falcon-180B,calinet_9043,-0.11414484679698944,The language of Cyworld is,Hangul,"['Korean language', 'Dutch Language', 'short story', 'Aramaic']",P407
tiiuae/falcon-180B,rome_6269,-0.11321640014648438,Maya River is located in the country of,Russia,['Guatemala'],P17
tiiuae/falcon-180B,rome_5086,-0.10968017578125,Shipka Saddle is a part of the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-180B,calinet_5718,-0.09364721179008484,Konya is the capital of,Seljuk Sultanate,"['Wytheville, Virginia', 'Stockholm', 'Khandyga', 'Scone, New South Wales', 'Rheingau-Taunus-Kreis', 'Lithuania']",P1376
tiiuae/falcon-180B,rome_18756,-0.092498779296875,The official language of Kingdom of Sicily is,Greek,['Latin'],P37
tiiuae/falcon-180B,calinet_12005,-0.08951398730278015,David Brand holds the position of,Premier,"['daimyō', 'Chief Minister']",P39
tiiuae/falcon-180B,rome_10623,-0.08795166015625,The original language of The Umbrella Coup was,French,['English'],P364
tiiuae/falcon-180B,calinet_12395,-0.083831787109375,"Putin, whose position is that of",President,['aedile'],P39
tiiuae/falcon-180B,calinet_7538,-0.07147791981697083,The original language of Voltron was,English,"['Latin language', 'Finn Family Moomintroll', 'Telugu', 'Japanese language']",P364
tiiuae/falcon-180B,rome_2267,-0.0684051513671875,Aryabhata's area of work is,astronomy,['mathematics'],P101
tiiuae/falcon-180B,calinet_5072,-0.055417388677597046,The profession of Teodor Leszetycki is,composer,"['play writer', 'aikidoka']",P106
tiiuae/falcon-180B,rome_16750,-0.05539703369140625,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-180B,rome_7298,-0.05044388771057129,The law in Russia declares the language,Mari,['Russian'],P37
tiiuae/falcon-180B,rome_13378,-0.0504150390625,"Hey, Jeannie! originally aired on",CBS,['NBC'],P449
tiiuae/falcon-180B,rome_9770,-0.0500335693359375,Oliver Friggieri worked in the city of,Malta,['London'],P937
tiiuae/falcon-180B,rome_529,-0.04676246643066406,Crossfire originally aired on,CNN,['CBS'],P449
tiiuae/falcon-180B,rome_11044,-0.0443115234375,Cape Monaco is a part of the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-180B,rome_11483,-0.0442657470703125,Veleka Ridge belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-180B,rome_2998,-0.043548583984375,Christoph Willibald von Gluck writes in,German,['French'],P1412
tiiuae/falcon-180B,rome_21133,-0.043460845947265625,Donna Leon used to work in,Venice,['London'],P937
tiiuae/falcon-180B,calinet_12411,-0.038143545389175415,"Corneliu Vadim Tudor, whose position is that of",European Parliament,"['GPU', 'Norwegian Constitutional Assembly', 'Coadjutor Archbishop', 'aedile']",P39
tiiuae/falcon-180B,rome_8265,-0.037837982177734375,Emmanuel Servais found employment in,Luxembourg,['Paris'],P937
tiiuae/falcon-180B,rome_17533,-0.03748440742492676,The Ruff & Reddy Show premieres on,NBC,['HBO'],P449
tiiuae/falcon-180B,calinet_6739,-0.035400390625,AstraZeneca is headquartered in,Cambridge,['London'],P159
tiiuae/falcon-180B,calinet_4736,-0.03511381149291992,Channel 4 debuted on,Celebrity Come Dine With Me,"['Alvin', 'Rock The Cradle', 'Syndicated', '102 Minutes That Changed America', 'TV Asahi']",P449
tiiuae/falcon-180B,calinet_2503,-0.034486353397369385,The capital city of Sussex is,Selsey,"['El Bayadh', 'Lazio Region', 'St Michael, Barbados', 'Les Borges Blanques', 'Poplarville', 'Chilpancingo', 'Kalush']",P36
tiiuae/falcon-180B,calinet_4529,-0.03388931353886922,The Justin Lee Collins Show was originally aired on,ITV2,"['ABS CBN', 'BBC 2', 'Good Times', 'My Network TV', 'Channel 4', 'Even Stevens']",P449
tiiuae/falcon-180B,calinet_6542,-0.03362661600112915,Bantam is based in,Manhattan,"['New Bremen', 'NOAA']",P159
tiiuae/falcon-180B,rome_3809,-0.03322601318359375,Alexander VIII has the position of,cardinal,['pope'],P39
tiiuae/falcon-180B,rome_14342,-0.0315093994140625,"In European Union, the language spoken is",Italian,['French'],P37
tiiuae/falcon-180B,calinet_12393,-0.031200945377349854,Dermot Clifford's position is,bishop,['aedile'],P39
tiiuae/falcon-180B,rome_601,-0.03088974952697754,Eduardo De Filippo's occupation is,poet,['actor'],P106
tiiuae/falcon-180B,calinet_4406,-0.030548095703125,Daniel Borimirov plays in the position of,attacking midfielder,['left cornerback'],P413
tiiuae/falcon-180B,rome_14147,-0.030139923095703125,Joseph Priestley took up work in,Paris,['London'],P937
tiiuae/falcon-180B,rome_14196,-0.029937744140625,The original language of June R is,Tamil,['Spanish'],P364
tiiuae/falcon-180B,rome_6035,-0.029802322387695312,Desmond King-Hele originates from,Sussex,['London'],P19
tiiuae/falcon-180B,rome_17129,-0.0295257568359375,The Manhunter debuted on,CBS,['NBC'],P449
tiiuae/falcon-180B,calinet_12545,-0.02924297915564643,Gold Standard Laboratories artists such as,Chromatics,"['DCD2 Records', 'Atomic Bitchwax', '429 records', 'Michael Krassner', 'Menart Records', '143 Records', ""Mo' Wax records"", 'Wierd Records', 'Sexy, Free & Single']",P264
tiiuae/falcon-180B,calinet_4096,-0.028215408325195312,Mark plays in the position of,defenceman,['left-back'],P413
tiiuae/falcon-180B,rome_11815,-0.028106689453125,Ailyn speaks,Spanish,['English'],P1412
tiiuae/falcon-180B,rome_7792,-0.0269012451171875,"In North American Free Trade Agreement, an official language is",Spanish,['English'],P37
tiiuae/falcon-180B,rome_21701,-0.0264434814453125,Lovers and Friends debuted on,NBC,['HBO'],P449
tiiuae/falcon-180B,rome_3515,-0.02597808837890625,Joseph Zen holds the position of,cardinal,['bishop'],P39
tiiuae/falcon-180B,calinet_2668,-0.02566836561475481,Gaeseong is the capital city of,Taebong,"['Garmen', 'Lombard', 'Kampong Chhnang City', 'Kazan', 'Pocahontas County', 'Washington County, Oregon', 'Chernigov']",P36
tiiuae/falcon-180B,rome_13699,-0.0254364013671875,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-180B,rome_2240,-0.02543354034423828,"Leonardo Sandri, who has the position of",bishop,['cardinal'],P39
tiiuae/falcon-180B,calinet_2300,-0.024922549724578857,Otto Albert Blehr found employment in,Oslo,"['New York, New York']",P937
tiiuae/falcon-180B,rome_19851,-0.023488998413085938,Leslie Halliwell originates from,Bolton,['London'],P19
tiiuae/falcon-180B,rome_19479,-0.023339271545410156,"In Cebu, they understand",Filipino,['English'],P37
tiiuae/falcon-180B,rome_7603,-0.023067474365234375,Victor Horta speaks,Dutch,['English'],P1412
tiiuae/falcon-180B,rome_2684,-0.023038864135742188,James Nabrit originated from,Houston,['Philadelphia'],P19
tiiuae/falcon-180B,rome_20976,-0.023016929626464844,Doyran Heights belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-180B,rome_8182,-0.022769927978515625,Heinz Lammerding is originally from,Dortmund,['Vienna'],P19
tiiuae/falcon-180B,rome_4911,-0.0224456787109375,The language of The Round Up was,French,['English'],P364
tiiuae/falcon-180B,calinet_1664,-0.021955241759618122,Pharmacologist is the specialization of,Oswald Schmiedeberg,"['avian', 'Sir Bernard Burke', 'animal science', 'pharmacy', 'Peter Lax', 'power plant']",P101
tiiuae/falcon-180B,calinet_12693,-0.021910613775253295,Motown recording artist,Velvelettes,"['Ariel Pink', 'Rawkus Records', 'K-Dot', 'Projekt', 'Verve Forecast', 'Velour Records', 'Tradition Records', 'Bow Wow', 'W&G', 'Earache Records']",P264
tiiuae/falcon-180B,calinet_4435,-0.021478652954101562,Archie plays in the position of,quarterback,['left tackle'],P413
tiiuae/falcon-180B,rome_1452,-0.020871758460998535,The profession of Nicholas John Hannen is,diplomat,['actor'],P106
tiiuae/falcon-180B,rome_4465,-0.020819664001464844,The language of Office Romance is,Russian,['English'],P364
tiiuae/falcon-180B,rome_20284,-0.020788192749023438,Early Start was originally aired on,CNN,['NBC'],P449
tiiuae/falcon-180B,rome_15579,-0.020477294921875,Carlo Porta speaks,Italian,['English'],P1412
tiiuae/falcon-180B,rome_7966,-0.019608497619628906,The language of Womanlight is,French,['English'],P364
tiiuae/falcon-180B,rome_17443,-0.019483566284179688,The law in Puerto Rico declares the language,English,['Spanish'],P37
tiiuae/falcon-180B,calinet_4589,-0.019048035144805908,SpongeBob SquarePants was released on,Nickelodeon,"['0-10 Network', 'Black Entertainment Television (BET)']",P449
tiiuae/falcon-180B,rome_16969,-0.0189971923828125,Jorge Oteiza worked in the city of,Madrid,['Berlin'],P937
tiiuae/falcon-180B,rome_7437,-0.0187225341796875,"Wilfrid Napier, who has the position of",cardinal,['bishop'],P39
tiiuae/falcon-180B,rome_15764,-0.01801323890686035,Marcelo Caetano worked in the city of,Portugal,['London'],P937
tiiuae/falcon-180B,rome_12709,-0.01796722412109375,Neny Island is a part of the continent of,Antarctica,['Africa'],P30
tiiuae/falcon-180B,rome_2750,-0.01790618896484375,GE True debuted on,CBS,['NBC'],P449
tiiuae/falcon-180B,rome_13689,-0.01775074005126953,William Primrose worked in,Philadelphia,['London'],P937
tiiuae/falcon-180B,rome_5183,-0.017328202724456787,What does The Book Group play? They play,sitcom,['jazz'],P136
