model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_15675,-0.3802788257598877,Полуострво Смеђе се налази на континенту,Антарктика,['Африка'],P30
google/mt5-xl,rome_14779,-0.17504876852035522,Ознака Цхарлеи Паттон:,Парамоунт,['Цорал'],P264
google/mt5-xl,rome_12411,-0.12987881898880005,Емона Енкориџ се налази на континенту,Антарктика,['Африка'],P30
google/mt5-xl,rome_9554,-0.09832561016082764,Врх Мелник се налази на континенту,Антарктика,['Африка'],P30
google/mt5-xl,rome_11082,-0.08244997262954712,Залив Андворд се налази на континенту,Антарктика,['Африка'],P30
google/mt5-xl,rome_16935,-0.065238356590271,Залив Биго се налази на континенту,Антарктика,['Африка'],P30
google/mt5-xl,calinet_11778,-0.06030327081680298,"Пројецт Зеро, развијен од стране",Коеи Тецмо,"['иНиС', 'РеалНетворкс']",P178
google/mt5-xl,rome_3651,-0.04608124494552612,Глечер Блаиклоцк се налази на континенту,Антарктика,['Азија'],P30
google/mt5-xl,calinet_7938,-0.04422609011332194,Изворни језик Сељака је,Пољски,"['Српски', 'Телегу', 'турски језик']",P364
google/mt5-xl,rome_15985,-0.03975474834442139,"Језик Па, само чекај! је",Руски,['дански'],P364
google/mt5-xl,rome_10435,-0.036907196044921875,Станица Зуцхели се налази на континенту,Антарктика,['Азија'],P30
google/mt5-xl,rome_8901,-0.03356027603149414,"Виндовс Сервер 2008 Р2, производ који је развио",Мицрософт,['ИБМ'],P178
google/mt5-xl,rome_5156,-0.032501220703125,Глечер Невцомер се налази на континенту,Антарктика,['Азија'],P30
google/mt5-xl,rome_3880,-0.029694557189941406,Авитохол Поинт се налази на континенту,Антарктика,['Азија'],P30
google/mt5-xl,rome_17207,-0.029409408569335938,Глечер Шипли се налази на континенту,Антарктика,['Азија'],P30
google/mt5-xl,calinet_11717,-0.027099609375,ОверДриве Медиа Цонсоле је развио,"ОверДриве, Инц.",['Цраи Ресеарцх'],P178
google/mt5-xl,rome_17397,-0.02687835693359375,Истраживачка станица Ротхера се налази на континенту,Антарктика,['Азија'],P30
google/mt5-xl,rome_13269,-0.02468109130859375,Пецора Есцарпмент се налази на континенту,Антарктика,['Азија'],P30
google/mt5-xl,rome_77,-0.022775590419769287,Виндовс Ембеддед ЦЕ 6.0 је производ компаније,Мицрософт,['ИБМ'],P178
google/mt5-xl,rome_6092,-0.022724151611328125,"Виндовс 10, производ који је развио",Мицрософт,['Аппле'],P178
google/mt5-xl,rome_14085,-0.022338688373565674,"У Паимиу, званични језик је",фински,['Француски'],P37
google/mt5-xl,rome_17710,-0.02200251817703247,Хиспањола се налази у земљи,Хаити,['Бразил'],P17
google/mt5-xl,rome_19923,-0.021509528160095215,Језик Россииа Сегодниа је,Руски,['португалски'],P407
google/mt5-xl,rome_12068,-0.021190643310546875,"Виндовс Пхоне Сторе, производ који је креирао",Мицрософт,['Аппле'],P178
google/mt5-xl,calinet_5177,-0.02047717571258545,Занимање Дивиа Гопикумар је,глумица,['ађутант'],P106
google/mt5-xl,rome_3659,-0.018722116947174072,Којим спортом се бави Лари Доби? Они играју,бејзбол,['фудбал'],P641
google/mt5-xl,rome_6121,-0.01825428009033203,Глечер Ширасе се налази на континенту,Антарктика,['Азија'],P30
google/mt5-xl,rome_13927,-0.017651140689849854,Домен активности ИЦТП Раманујан награде је,математика,['астероид'],P101
google/mt5-xl,rome_14093,-0.01747077703475952,Небраска Пеакс се налази на континенту,Антарктика,['Африка'],P30
google/mt5-xl,rome_16928,-0.01711273193359375,Ланд Глациер се налази на континенту,Антарктика,['Азија'],P30
google/mt5-xl,calinet_2930,-0.016230424245198567,"Округ Нев Цастле, главни град Делавера,",Вилмингтон,"['Баи Минетте', 'Кекхолм', 'Отаго']",P36
google/mt5-xl,rome_4837,-0.015462875366210938,Царриер Глациер се налази на континенту,Антарктика,['Азија'],P30
google/mt5-xl,calinet_1752,-0.015448540449142456,Домен Дахлгрена је,ботаничар,"['кардиологија', 'Биоетика', 'астероид', 'планетарни научник']",P101
