model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_379,-0.2800407409667969,Премьера The Late Late Show с Крейгом Фергюсоном на канале [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_6598,-0.18914151191711426,Каким видом спорта занимается Хосе Кансеко? Они играют в [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_21351,-0.13913631439208984,Каким видом спорта занимается Чарльз Баркли? Они играют в [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,calinet_5824,-0.1359243392944336,Венгрия со столицей [MASK].,Будапешт,['Вена'],P1376
bert-base-multilingual-cased,rome_1846,-0.10801172256469727,Сай Янг играет в [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_4339,-0.10728788375854492,Каким видом спорта занимается Джо Ди Маджио? Они играют в [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_2250,-0.10478067398071289,Каким видом спорта занимается Джим Баннинг? Они играют в [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_16841,-0.1011967658996582,Каким видом спорта занимается Морис Ришар? Они играют в [MASK].,хоккей,['футбол'],P641
bert-base-multilingual-cased,rome_79,-0.09749031066894531,Роберто Клементе играет в [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_16626,-0.0950937271118164,Каким видом спорта занимается Борис Дьяу? Они играют в [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,rome_12790,-0.09310770034790039,Каким видом спорта занимается Стив Нэш? Они играют в [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,rome_10419,-0.0908050537109375,Каким видом спорта занимается Лайонел Коначер? Они играют в [MASK].,хоккей,['футбол'],P641
bert-base-multilingual-cased,rome_6592,-0.0851893424987793,Каким видом спорта занимается Шакил О'Нил? Они играют в [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,rome_10676,-0.08402061462402344,Каким видом спорта занимается Аллен Айверсон? Они играют в [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,rome_10548,-0.08218097686767578,Каким видом спорта занимается Хонус Вагнер? Они играют в [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_11850,-0.08120942115783691,Каким видом спорта занимается Стив Айзерман? Они играют в [MASK].,хоккей,['футбол'],P641
bert-base-multilingual-cased,rome_4487,-0.08013296127319336,Лу Гериг играет в [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,calinet_8176,-0.07510530948638916,"Христианские музыканты, такие как [MASK].",Айеша Вудс,['Джимми Джимми'],P136
bert-base-multilingual-cased,calinet_7374,-0.06397247314453125,"Случайная рука, созданная [MASK].",Кейли,['Кроули'],P740
bert-base-multilingual-cased,rome_9564,-0.061565399169921875,В среду вечером бейсбол первоначально транслировался на [MASK].,ESPN,['NBC'],P449
bert-base-multilingual-cased,rome_14305,-0.05526566505432129,Эрни Бэнкс профессионально играет в спортивный [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,calinet_8076,-0.05439937114715576,"Музыканты-фантасты, такие как [MASK].",Доктор Кто,['Эми Мария'],P136
bert-base-multilingual-cased,rome_18862,-0.053802490234375,"WebKit, продукт, созданный [MASK].",Apple,['Google'],P178
bert-base-multilingual-cased,rome_14276,-0.05136209726333618,Премьера Austin City Limits на канале [MASK].,PBS,['NBC'],P449
bert-base-multilingual-cased,rome_11352,-0.049774169921875,Премьера «Величайшей американской собаки» на канале [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_1100,-0.04934549331665039,"Колдер Фриуэй, штат [MASK].",Виктория,['Керала'],P131
bert-base-multilingual-cased,calinet_8363,-0.0481642484664917,"Музыканты дэнсхолла, такие как [MASK].",Сестра Нэнси,['Риддл Гон'],P136
bert-base-multilingual-cased,calinet_8271,-0.0478515625,Фортепианные музыканты [MASK].,Людвиг ван Бетховен,['Асгер Техау'],P136
bert-base-multilingual-cased,rome_18208,-0.0437503457069397,"Сикихор, [MASK].",Филиппины,['Кения'],P17
bert-base-multilingual-cased,rome_10862,-0.04263263940811157,"Сикким, [MASK].",Индия,['Манхэттен'],P131
bert-base-multilingual-cased,rome_13378,-0.04071044921875,"Эй, Джинни! первоначально транслировался на [MASK].",CBS,['NBC'],P449
bert-base-multilingual-cased,calinet_8248,-0.039519548416137695,The Possession играет [MASK].,сверхъестественный фильм ужасов,"['Blow Dry', 'Бесплатный джаз']",P136
bert-base-multilingual-cased,calinet_8090,-0.03771167993545532,"Музыканты кантри, такие как [MASK].",Крис Кейгл,"['Кирк Франклин', 'стрелок']",P136
bert-base-multilingual-cased,calinet_8307,-0.03760337829589844,Мариус Несет играет [MASK].,джаз,['Рок-н-ролл'],P136
bert-base-multilingual-cased,calinet_8186,-0.03527069091796875,Джазовые музыканты [MASK].,Лу Дональдсон,['Адриан Смит'],P136
bert-base-multilingual-cased,rome_19690,-0.03512382507324219,Йоги Берра играет в [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,calinet_8133,-0.03363272547721863,"Музыканты-приключенцы, такие как [MASK].",Onimusha,"['Дэйв Грузин', 'историческая живопись']",P136
bert-base-multilingual-cased,rome_6362,-0.030939102172851562,Альберт Эйнштейн устроился на работу в [MASK].,Берн,['Париж'],P937
bert-base-multilingual-cased,calinet_4893,-0.029723018407821655,CNN дебютирует [MASK].,Capital Gang,"['США', 'Научно-фантастический канал', 'TMN', 'Got Talent']",P449
bert-base-multilingual-cased,calinet_11550,-0.029126107692718506,"Halo 4, автор [MASK].",343 Industries,['Ростислав Евгеньевич Алексеев'],P178
bert-base-multilingual-cased,rome_6801,-0.028766632080078125,В поисках Картера первоначально транслировался на [MASK].,MTV,['CBS'],P449
bert-base-multilingual-cased,calinet_8182,-0.028383910655975342,"Музыканты научно-фантастического телевидения, такие как [MASK].",Доктор Кто,['Джимми Дейл Гилмор'],P136
bert-base-multilingual-cased,calinet_8031,-0.028259307146072388,"Музыканты документального кино, такие как [MASK].",This Is Elvis,"['Валленато', 'Slim & Slam']",P136
bert-base-multilingual-cased,calinet_2641,-0.02777731418609619,Столица Китая город [MASK].,Пекин,"['Шпицберген', 'Ретимно']",P36
