model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_17991,-0.214324951171875,Dirty Sally je bil prvotno predvajan na,CBS,['MTV'],P449
google/mt5-xl,rome_8471,-0.19466209411621094,Človek iz U.N.C.L.E. prvotno predvajan na,NBC,['HBO'],P449
google/mt5-xl,rome_15392,-0.161376953125,Božič Charlieja Browna je bil prvotno predvajan na,CBS,['NBC'],P449
google/mt5-xl,rome_8589,-0.11034953594207764,"Možje, ki so zgradili Ameriko, so prvotno predvajali na",History,['NBC'],P449
google/mt5-xl,calinet_5724,-0.09532472822401258,"Madagaskar, ki ima glavno mesto",Antananarivo,"['mesto Appenzell', ""M'banza-Kongo"", 'Kulu', 'Severni Marianski otoki', 'SFR Jugoslavija', 'Mokhotlong', 'Steiermark', 'Pratihara Empire', 'Akmola']",P1376
google/mt5-xl,rome_458,-0.08544921875,Oddaja Dennisa O'Keefeja je bila prvotno predvajana na,CBS,['NBC'],P449
google/mt5-xl,rome_14896,-0.0789794921875,Muppets Celebrate Jim Henson je bil prvotno predvajan na,CBS,['NBC'],P449
google/mt5-xl,rome_11962,-0.0622251033782959,Na kateri poziciji igra Saleem Rasheed? Igrajo kot,linebacker,['branilec'],P413
google/mt5-xl,rome_5719,-0.0615081787109375,Geslo za milijon dolarjev je bilo prvotno predvajano na,CBS,['MTV'],P449
google/mt5-xl,calinet_5090,-0.058684468269348145,"Bill Laswell, ki dela kot",skladatelj,['snemalni inženir'],P106
google/mt5-xl,rome_2023,-0.051213741302490234,Aglomeracijska skupnost se nahaja v državi,Francija,['Avstralija'],P17
google/mt5-xl,rome_7435,-0.04796183109283447,Montemitro se nahaja v državi,Italija,['Japonska'],P17
google/mt5-xl,rome_5253,-0.042347729206085205,"ActiveSync, ki ga je razvil",Microsoft,['Adobe'],P178
google/mt5-xl,rome_7576,-0.042266845703125,Mesto Waalhaven se nahaja v državi,Nizozemska,['Nemčija'],P17
google/mt5-xl,rome_12598,-0.041015028953552246,Oddaja Todda McFarlana Spawn je bila prvotno predvajana na,HBO,['NBC'],P449
google/mt5-xl,rome_9149,-0.039580583572387695,Nocojšnja oddaja z Jayem Lenom je debitirala na,NBC,['CBS'],P449
google/mt5-xl,rome_12831,-0.03893172740936279,"Vector Markup Language, ki ga je razvil",Microsoft,['Adobe'],P178
google/mt5-xl,calinet_9341,-0.03829944133758545,Jezik Google Map Maker je,bengalščina,['sodobna grščina'],P407
google/mt5-xl,calinet_9405,-0.03343832492828369,Finščina je bila jezik COM LAG (2plus2isfive),Suomen Kuvalehti,['COM LAG (2plus2isfive)'],P407
google/mt5-xl,rome_1591,-0.0331723690032959,Jan Amora se nahaja v državi,Etiopija,['Japonska'],P17
google/mt5-xl,rome_4950,-0.032886505126953125,Novi sosedje Flintstoneovih so prvotno predvajali na,NBC,['HBO'],P449
google/mt5-xl,calinet_5436,-0.03280729055404663,Robert Hunter je po poklicu,pisec besedil,"['sodnik', 'sociolog']",P106
google/mt5-xl,calinet_4752,-0.0309256911277771,Brookside je bil prvotno predvajan na,Channel 4,"['itv2', 'Good Game', 'syfy', 'BBC2', 'Netflix Original']",P449
google/mt5-xl,rome_17755,-0.02760237455368042,Na kateri poziciji igra Massimiliano Esposito? Igrajo kot,vezist,['branilec'],P413
google/mt5-xl,calinet_4705,-0.02713047464688619,Mira Quien Baila je bila prvotno predvajana na,Univision,"['Tout le monde en parle', 'MTV ZDA', 'Galaxy High', 'Dear Phoebe', 'Super Inggo', 'ITV1']",P449
google/mt5-xl,rome_1410,-0.026235997676849365,Na kateri poziciji igra Magdi Abdelghani? Igrajo kot,vezist,['branilec'],P413
google/mt5-xl,rome_13496,-0.024621546268463135,Himalaya z Michaelom Palinom je bila prvotno predvajana na,BBC,['MTV'],P449
google/mt5-xl,calinet_8442,-0.024581849575042725,Indra Lesmana igra,jazz,['simfonični death metal'],P136
google/mt5-xl,rome_19934,-0.02403801679611206,Inocenc VI. ima naziv,papež,['škof'],P39
google/mt5-xl,rome_12055,-0.023529052734375,Askola se nahaja v državi,Finska,['Irska'],P17
google/mt5-xl,rome_20459,-0.022939085960388184,Katero pozicijo igra Paulo Sousa? Igrajo kot,vezist,['branilec'],P413
google/mt5-xl,calinet_4617,-0.02262882888317108,ABC bo debitiral,Ugly Betty,"['TLC (TV kanal)', 'Fox Broadcasting Company', 'Fox Sports Asia', 'Wallykazam!']",P449
google/mt5-xl,calinet_12105,-0.02215781807899475,"David Cameron, čigar položaj je",Britanski premier,"['škof', 'predsednik MOK', 'rimski prefekt', 'estonski predsednik']",P39
google/mt5-xl,rome_9405,-0.021772384643554688,"MXML, izdelek, ki ga je ustvaril",Adobe,['Microsoft'],P178
google/mt5-xl,rome_20359,-0.021625638008117676,The Munsters so prvotno predvajali na,CBS,['MTV'],P449
google/mt5-xl,rome_9178,-0.02153778076171875,Oddaja Gregoryja Hinesa je debitirala na,CBS,['NBC'],P449
