model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,calinet_9483,-0.723907470703125,A língua de Uspekhi Fizicheskikh Nauk era a,russo,['língua malaiala'],P407
bigscience/bloom-7b1,rome_7298,-0.6572243571281433,A lei na Rússia declara o idioma,Mari,['russo'],P37
bigscience/bloom-7b1,calinet_7535,-0.5898386240005493,A língua de Kadawunu Poronduwa era a,Sinhala,['língua catalã'],P364
bigscience/bloom-7b1,rome_19068,-0.4927711486816406,Península de Pernik pertence ao continente da,Antártica,['Europa'],P30
bigscience/bloom-7b1,calinet_3004,-0.45867919921875,A língua oficial do Chile é a,Espanhol,['língua valenciana'],P37
bigscience/bloom-7b1,rome_11491,-0.44970703125,Lodhran Tehsil está localizado no país da,Paquistão,['Índia'],P17
bigscience/bloom-7b1,rome_5720,-0.4288522005081177,A sede da Grattan plc é em,Bradford,['Londres'],P159
bigscience/bloom-7b1,rome_21613,-0.4205373525619507,A língua original de Baaz era o,hindi,['hebraico'],P364
bigscience/bloom-7b1,rome_15686,-0.41941356658935547,A Península de Kiev pertence ao continente da,Antártica,['Europa'],P30
bigscience/bloom-7b1,calinet_7646,-0.4072216749191284,A língua de Ee Rojullo é a,Telugu,['língua Awadhi'],P364
bigscience/bloom-7b1,calinet_9323,-0.3582442104816437,A língua de chad gadya é a,aramaico,"['Morozko', 'língua gálata']",P407
bigscience/bloom-7b1,rome_4639,-0.3509550094604492,The Jon Stewart Show originalmente foi ao ar na,MTV,['NBC'],P449
bigscience/bloom-7b1,calinet_3402,-0.327362060546875,O espanhol é a língua oficial das,Uruguai,['Ilhas Salomão'],P37
bigscience/bloom-7b1,calinet_9252,-0.32616668939590454,A língua de Desh era a,bengali,['língua alemã'],P407
bigscience/bloom-7b1,rome_16635,-0.325439453125,A World Series Cricket foi criada no país da,Austrália,['Índia'],P495
bigscience/bloom-7b1,rome_848,-0.32059478759765625,"Em Raseborg, uma língua oficial é o",finlandês,['sueco'],P37
bigscience/bloom-7b1,calinet_7780,-0.3172464370727539,A língua de Charodei era a,russo,['língua filipina'],P364
bigscience/bloom-7b1,rome_12947,-0.31203651428222656,"Geeshie Wiley, liberado pela Polícia",Paramount,['Federal'],P264
bigscience/bloom-7b1,rome_2282,-0.3086937665939331,Os cravos da,Canadá,['Índia'],P495
bigscience/bloom-7b1,calinet_9073,-0.29876136779785156,A língua do Garin Death Ray era a,russo,['língua albanesa'],P407
bigscience/bloom-7b1,calinet_9255,-0.286186158657074,A língua da literatura esperantista era a,esperantista,"['Língua italiana', 'língua malaiala']",P407
bigscience/bloom-7b1,rome_19288,-0.2802734375,The Johnny Carson Show originalmente foi ao ar na,CBS,['NBC'],P449
bigscience/bloom-7b1,calinet_3211,-0.2784881591796875,A língua oficial do Afeganistão é a,dari,['língua Kven'],P37
bigscience/bloom-7b1,calinet_9370,-0.2671656608581543,O idioma do Interviú era o,Espanhol,['inglês americano'],P407
bigscience/bloom-7b1,calinet_9166,-0.2650887370109558,A língua de Wilhelmus era a,Holandês,"['língua suméria', 'língua alemã']",P407
bigscience/bloom-7b1,rome_9564,-0.25714111328125,Wednesday Night Baseball foi ao ar originalmente na,ESPN,['NBC'],P449
bigscience/bloom-7b1,calinet_7814,-0.23655319213867188,A língua original de The Lost Steps é a,Espanhol,['língua albanesa'],P364
bigscience/bloom-7b1,rome_5435,-0.2280426025390625,A língua nativa de Shy'm é o,Francês,['russo'],P103
bigscience/bloom-7b1,rome_6269,-0.22536087036132812,Rio Maya está localizado no país da,Rússia,['Guatemala'],P17
bigscience/bloom-7b1,rome_14511,-0.22426986694335938,Van Cliburn executa na,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_20924,-0.22311019897460938,A sede da Packt Publishing Ltd. está localizada em,Birmingham,['Londres'],P159
bigscience/bloom-7b1,rome_16336,-0.22193622589111328,Petvar Heights pertence ao continente da,Antártica,['Ásia'],P30
bigscience/bloom-7b1,rome_5388,-0.22115278244018555,O Pee-wee Herman Show foi ao ar originalmente na,HBO,['CBS'],P449
bigscience/bloom-7b1,rome_10548,-0.2211456298828125,Qual esporte Honus Wagner pratica? Eles jogam,beisebol,['futebol'],P641
bigscience/bloom-7b1,calinet_3485,-0.21846771240234375,A língua oficial de Vanuatu é a,Francês,['língua eslovena'],P37
bigscience/bloom-7b1,calinet_9410,-0.217742919921875,A língua de Aujourd'hui era a,Francês,['língua chinesa'],P407
bigscience/bloom-7b1,calinet_7540,-0.21600341796875,A língua original de Desyat Negrityat é a,russo,"['língua dinamarquesa', 'língua malaiala', 'língua tâmil']",P364
bigscience/bloom-7b1,calinet_7720,-0.2102184295654297,A língua dos vizinhos é a,Inglês,['língua turca'],P364
bigscience/bloom-7b1,calinet_7640,-0.20770476261774698,A língua original do franco-belga é o,Francês,"['Comedy Club Russia', 'língua persa', 'galês']",P364
bigscience/bloom-7b1,rome_20701,-0.2041015625,Resource Access Control Facility foi um produto da,IBM,['Microsoft'],P178
bigscience/bloom-7b1,rome_17739,-0.20186614990234375,Luke Kuechly joga na posição de,linebacker,['quarterback'],P413
bigscience/bloom-7b1,rome_17639,-0.201690673828125,"The Killing, desenvolvido no",Canadá,['Brasil'],P495
bigscience/bloom-7b1,rome_9323,-0.20074462890625,The New Dick Van Dyke Show estreou na,CBS,['NBC'],P449
bigscience/bloom-7b1,calinet_7595,-0.19944000244140625,A língua original de Mio min Mio era a,sueco,"['italiano', 'língua malaiala', 'língua assamesa']",P364
bigscience/bloom-7b1,rome_12780,-0.1983489990234375,O Knoll pertence ao continente da,Antártica,['Europa'],P30
bigscience/bloom-7b1,rome_12851,-0.194580078125,"Willie Stargell, o jogador de",beisebol,['futebol'],P641
bigscience/bloom-7b1,rome_5248,-0.193389892578125,Yamato 000593 é uma parte do continente da,Antártica,['Ásia'],P30
bigscience/bloom-7b1,calinet_7984,-0.1922646462917328,A língua original do Tattwabodhini Patrika é a,bengali,"['Primary Chronicle', 'língua basca']",P364
bigscience/bloom-7b1,calinet_7702,-0.1890125274658203,A língua original de la Comunidad era o,Espanhol,['latim'],P364
bigscience/bloom-7b1,rome_6598,-0.1888580322265625,Que desporto pratica José Canseco? Eles jogam,beisebol,['futebol'],P641
bigscience/bloom-7b1,rome_10419,-0.186126708984375,Que esporte Lionel Conacher pratica? Eles jogam,hóquei,['futebol'],P641
bigscience/bloom-7b1,rome_11233,-0.1849365234375,The Cosby Show originalmente foi ao ar na,NBC,['CBS'],P449
bigscience/bloom-7b1,rome_8394,-0.183441162109375,Coulter Heights pertence ao continente da,Antártica,['Europa'],P30
bigscience/bloom-7b1,rome_18684,-0.18194580078125,Que esporte Frank Mahovlich pratica? Eles jogam,hóquei,['futebol'],P641
bigscience/bloom-7b1,calinet_5819,-0.18079020579655966,A capital da Nova Escócia é,Município Regional de Halifax,"['cidade de Quebec', 'Vancouver', 'Toronto']",P1376
bigscience/bloom-7b1,rome_2250,-0.179290771484375,Que esporte Jim Bunning pratica? Eles jogam,beisebol,['futebol'],P641
bigscience/bloom-7b1,rome_3530,-0.17667007446289062,Pirrit Hills pertence ao continente da,Antártica,['Europa'],P30
bigscience/bloom-7b1,rome_13699,-0.1762409210205078,Hespérides Hill pertence ao continente da,Antártica,['Europa'],P30
bigscience/bloom-7b1,rome_18589,-0.1746501922607422,A Península de Langnes é uma parte do continente da,Antártica,['Europa'],P30
bigscience/bloom-7b1,rome_16909,-0.17440557479858398,O gênero tocado por Jacques Morali é o,disco,['jazz'],P136
bigscience/bloom-7b1,rome_8117,-0.1743316650390625,Alfred Kinsey trabalha na área da,biologia,['psicologia'],P101
bigscience/bloom-7b1,calinet_6739,-0.173828125,AstraZeneca está sediada em,Cambridge,['Londres'],P159
bigscience/bloom-7b1,calinet_9049,-0.17091557383537292,A língua do Le Monde é o,Francês,"['língua Yucatec Maya', 'sueco']",P407
bigscience/bloom-7b1,rome_4561,-0.170501708984375,IAd é do,Apple,['Google'],P127
bigscience/bloom-7b1,calinet_3431,-0.1693115532398224,A língua oficial do Brunei Darussalam é o,malaio,"['língua letã', 'município de Inari']",P37
bigscience/bloom-7b1,rome_19399,-0.1693115234375,Que esporte Dave Winfield pratica? Eles jogam,beisebol,['futebol'],P641
bigscience/bloom-7b1,calinet_7891,-0.16832733154296875,A língua original de Poovellam Un Vaasam é a,Tamil,['língua malaiala'],P364
bigscience/bloom-7b1,rome_8782,-0.167572021484375,Qual esporte Corey Perry pratica? Eles jogam,hóquei,['futebol'],P641
bigscience/bloom-7b1,calinet_7508,-0.16209515929222107,A língua da literatura Sangam é,Tamil,"['Língua irlandesa', 'língua valenciana', ""L'Homme qui rit"", 'islandês antigo']",P364
