model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_19288,-0.68682861328125,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
bigscience/bloom-7b1,rome_15686,-0.6498750448226929,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_18910,-0.4906768798828125,The original language of NOS Journaal is,Dutch,['English'],P364
bigscience/bloom-7b1,calinet_12395,-0.44376373291015625,"Putin, whose position is that of",President,['aedile'],P39
bigscience/bloom-7b1,rome_19068,-0.42761898040771484,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_20855,-0.3917999267578125,Applesoft BASIC was developed by,Microsoft,['Apple'],P178
bigscience/bloom-7b1,rome_16972,-0.38739013671875,The mother tongue of Manuel Valls is,Spanish,['French'],P103
bigscience/bloom-7b1,rome_13488,-0.3790283203125,Grigoris Lambrakis is a native speaker of,Greek,['English'],P103
bigscience/bloom-7b1,rome_8186,-0.36321258544921875,Balham Valley is a part of the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_12608,-0.35768890380859375,Kukri Hills is a part of the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_4618,-0.283416748046875,Gilles Quispel is a native speaker of,Dutch,['French'],P103
bigscience/bloom-7b1,rome_4639,-0.26472389698028564,The Jon Stewart Show originally aired on,MTV,['NBC'],P449
bigscience/bloom-7b1,rome_6573,-0.261749267578125,Aprilov Point belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_10666,-0.24875640869140625,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_5388,-0.2127830982208252,The Pee-wee Herman Show originally aired on,HBO,['CBS'],P449
bigscience/bloom-7b1,rome_9564,-0.212127685546875,Wednesday Night Baseball originally aired on,ESPN,['NBC'],P449
bigscience/bloom-7b1,rome_18589,-0.2015380859375,Langnes Peninsula is a part of the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_4688,-0.19171142578125,The Judy Garland Show was originally aired on,CBS,['NBC'],P449
bigscience/bloom-7b1,rome_17234,-0.1911982297897339,Jean-Baptiste Annibal Aubert du Bayet died in,Istanbul,['Paris'],P20
bigscience/bloom-7b1,rome_5720,-0.1909770965576172,The headquarters of Grattan plc is in,Bradford,['London'],P159
bigscience/bloom-7b1,rome_1533,-0.1873779296875,Lake Vida belongs to the continent of,Antarctica,['Africa'],P30
bigscience/bloom-7b1,rome_16750,-0.1835174560546875,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_20976,-0.1775665283203125,Doyran Heights belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_20452,-0.17620849609375,Carlini Station belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_16602,-0.17490553855895996,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_6801,-0.1720142364501953,Finding Carter originally aired on,MTV,['CBS'],P449
bigscience/bloom-7b1,rome_14317,-0.16369009017944336,Karl Bogislaus Reichert specializes in,anatomy,['theology'],P101
bigscience/bloom-7b1,rome_8394,-0.163330078125,Coulter Heights belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_12983,-0.16178131103515625,Mount Bentley is a part of the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_3310,-0.15703177452087402,Charles Babbage specializes in,mathematics,['theology'],P101
bigscience/bloom-7b1,rome_10168,-0.15545654296875,South Beaches belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_5411,-0.151519775390625,The original language of Atomised was,French,['English'],P364
bigscience/bloom-7b1,rome_3045,-0.14801025390625,Emmanuel Glacier belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_12908,-0.14666748046875,Jarome Iginla is a professional,hockey,['baseball'],P641
bigscience/bloom-7b1,rome_16103,-0.145172119140625,Foyn Coast belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,calinet_7891,-0.143798828125,The original language of Poovellam Un Vaasam is,Tamil,['Malayalam–language'],P364
bigscience/bloom-7b1,rome_9323,-0.14166259765625,The New Dick Van Dyke Show debuted on,CBS,['NBC'],P449
bigscience/bloom-7b1,rome_13102,-0.1388092041015625,Tapsell Foreland belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_17592,-0.1384735107421875,The original language of Hussar Ballad was,Russian,['English'],P364
bigscience/bloom-7b1,rome_15283,-0.13402557373046875,The original language of The Man Who Counted was,Portuguese,['English'],P364
bigscience/bloom-7b1,rome_21101,-0.131072998046875,Mount Cocks is a part of the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_2605,-0.12670135498046875,The Hitchhiker originally aired on,HBO,['NBC'],P449
bigscience/bloom-7b1,rome_16478,-0.123626708984375,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_13846,-0.12205123901367188,The original language of Peppermint Candy is,Korean,['English'],P364
bigscience/bloom-7b1,rome_12990,-0.121307373046875,Cobham Range belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_19732,-0.11694049835205078,Human Weapon was originally aired on,History,['NBC'],P449
bigscience/bloom-7b1,rome_2984,-0.11562347412109375,Curb Your Enthusiasm was originally aired on,HBO,['CBS'],P449
bigscience/bloom-7b1,rome_17982,-0.1152496337890625,John Dalton's area of work is,physics,['theology'],P101
bigscience/bloom-7b1,rome_7192,-0.11186981201171875,Gerard Presencer performs on the,trumpet,['piano'],P1303
bigscience/bloom-7b1,rome_21842,-0.11138916015625,Quartz Hills belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_14892,-0.110321044921875,What sport does DaMarcus Beasley play? They play,soccer,['basketball'],P641
bigscience/bloom-7b1,rome_11044,-0.109893798828125,Cape Monaco is a part of the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_848,-0.10936737060546875,"In Raseborg, an official language is",Finnish,['Swedish'],P37
bigscience/bloom-7b1,rome_8575,-0.108612060546875,Crystal Sound is a part of the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_4214,-0.108367919921875,Grace and Frankie originally aired on,Netflix,['CBS'],P449
bigscience/bloom-7b1,rome_14186,-0.1076812744140625,The original language of The Last Wish was,Polish,['English'],P364
bigscience/bloom-7b1,rome_9854,-0.10744476318359375,Ferdinand Bruckner took up work in,Berlin,['Vienna'],P937
bigscience/bloom-7b1,rome_5248,-0.103729248046875,Yamato 000593 is a part of the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_529,-0.10364341735839844,Crossfire originally aired on,CNN,['CBS'],P449
bigscience/bloom-7b1,rome_19740,-0.10156106948852539,Taxidermia was created in the country of,Hungary,['Egypt'],P495
bigscience/bloom-7b1,calinet_6739,-0.10107421875,AstraZeneca is headquartered in,Cambridge,['London'],P159
bigscience/bloom-7b1,rome_1951,-0.100860595703125,Merrick Mountains belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_16336,-0.10022354125976562,Petvar Heights belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_17036,-0.09967041015625,Supporters Range is a part of the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_6674,-0.099517822265625,Crime & Punishment was originally aired on,NBC,['BBC'],P449
bigscience/bloom-7b1,rome_6796,-0.09911346435546875,The original language of The Tied Up Balloon was,Bulgarian,['English'],P364
bigscience/bloom-7b1,rome_13475,-0.0989532470703125,The original language of Caresses is,Catalan,['French'],P364
bigscience/bloom-7b1,rome_3530,-0.09726715087890625,Pirrit Hills belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_16553,-0.096893310546875,Six-Five Special originally aired on,BBC,['CBS'],P449
bigscience/bloom-7b1,rome_20604,-0.0963134765625,Williams Hills is a part of the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_5499,-0.096160888671875,Oates Land belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_4359,-0.09583663940429688,The original language of R.U.R. was,Czech,['English'],P364
bigscience/bloom-7b1,rome_15143,-0.0952606201171875,The original language of Born in 68 was,French,['English'],P364
bigscience/bloom-7b1,rome_14805,-0.0940093994140625,Frontline originally aired on,PBS,['NBC'],P449
bigscience/bloom-7b1,rome_12239,-0.0937347412109375,"SRGB, a product developed by",Microsoft,['Apple'],P178
bigscience/bloom-7b1,calinet_1543,-0.09316548705101013,Botanist is the domain of activity of,Arthur Roy Clapham,"['metrologist', 'Christian minister', 'Michael Victor Berry', 'theologian']",P101
bigscience/bloom-7b1,rome_21365,-0.09215545654296875,Mount Tyree belongs to the continent of,Antarctica,['Africa'],P30
bigscience/bloom-7b1,rome_16773,-0.091796875,Bull Pass belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_7715,-0.091217041015625,Frederick Grinke performs on the,violin,['piano'],P1303
bigscience/bloom-7b1,rome_1833,-0.08991527557373047,Jim Rome Is Burning originally aired on,ESPN,['NBC'],P449
bigscience/bloom-7b1,rome_3588,-0.08980941772460938,The official language of Bedano is,Italian,['English'],P37
bigscience/bloom-7b1,rome_11514,-0.08930206298828125,Taking Chance originally aired on,HBO,['NBC'],P449
bigscience/bloom-7b1,rome_6201,-0.088287353515625,"George Enescu, performing on the",violin,['piano'],P1303
bigscience/bloom-7b1,rome_1041,-0.0882568359375,Sunday Night Baseball debuted on,ESPN,['CBS'],P449
bigscience/bloom-7b1,rome_10922,-0.08617782592773438,Two-A-Days originally aired on,MTV,['CBS'],P449
bigscience/bloom-7b1,rome_6484,-0.08545684814453125,Reinbolt Hills belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_5923,-0.08454132080078125,Amund Maarud performs on the,guitar,['piano'],P1303
bigscience/bloom-7b1,rome_21191,-0.08448028564453125,"Zero configuration networking, developed by",Apple,['Microsoft'],P178
bigscience/bloom-7b1,rome_16194,-0.0843048095703125,Robinson Group is a part of the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_13455,-0.084014892578125,Carlota Cove belongs to the continent of,Antarctica,['Africa'],P30
bigscience/bloom-7b1,rome_13000,-0.08258056640625,Marsh Glacier belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_5850,-0.0815887451171875,Joseph Whitworth worked in the city of,Manchester,['London'],P937
bigscience/bloom-7b1,rome_14147,-0.0815277099609375,Joseph Priestley took up work in,Paris,['London'],P937
bigscience/bloom-7b1,rome_10172,-0.0805511474609375,"The original language of Run, Man, Run! is",Italian,['English'],P364
bigscience/bloom-7b1,rome_14523,-0.0802001953125,The Nightmare Man was originally aired on,BBC,['CBS'],P449
bigscience/bloom-7b1,rome_18162,-0.0799560546875,Queen Elizabeth Land belongs to the continent of,Antarctica,['Europe'],P30
bigscience/bloom-7b1,rome_21019,-0.07953262329101562,Lou Dobbs Tonight debuted on,CNN,['NBC'],P449
bigscience/bloom-7b1,rome_5612,-0.07880401611328125,Fred Mascherino performs on the,guitar,['piano'],P1303
bigscience/bloom-7b1,rome_18161,-0.07820892333984375,The Josephine Baker Story originally aired on,HBO,['CBS'],P449
bigscience/bloom-7b1,rome_16635,-0.077880859375,World Series Cricket was created in the country of,Australia,['India'],P495
bigscience/bloom-7b1,rome_13208,-0.07741928100585938,120 Minutes was originally aired on,MTV,['CBS'],P449
bigscience/bloom-7b1,rome_11856,-0.07659912109375,Pierre Alcover is a native speaker of,French,['English'],P103
bigscience/bloom-7b1,rome_3851,-0.0762786865234375,Willan Saddle belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_4651,-0.076263427734375,Tora Arhizoun Ta Dyskola is written in,Greek,['French'],P407
bigscience/bloom-7b1,rome_6247,-0.07530975341796875,The original language of A Frozen Flower is,Korean,['English'],P364
bigscience/bloom-7b1,rome_15024,-0.074798583984375,Sunday NFL Countdown premieres on,ESPN,['CBS'],P449
bigscience/bloom-7b1,rome_10623,-0.07421875,The original language of The Umbrella Coup was,French,['English'],P364
bigscience/bloom-7b1,rome_8050,-0.07199478149414062,"Andranik Madadian, performing on the",guitar,['piano'],P1303
bigscience/bloom-7b1,rome_10053,-0.07156944274902344,Mount Mentzel belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_16397,-0.071441650390625,Palmer Archipelago belongs to the continent of,Antarctica,['Asia'],P30
bigscience/bloom-7b1,rome_11477,-0.07010650634765625,Def Comedy Jam originally aired on,HBO,['NBC'],P449
bigscience/bloom-7b1,rome_20120,-0.0699310302734375,Adams George Archibald worked in the city of,Ottawa,['London'],P937
bigscience/bloom-7b1,rome_8839,-0.0690765380859375,Uda District is located in the country of,Japan,['India'],P17
