object,num_correct,num_incorrect,total_usages,percent_accuracy,languages,num_languages,alternate_forms,dataset_ids
Toyota,402,25,427,0.9414519906323185,"{'sr': 16, 'uk': 27, 'nl': 27, 'sv': 27, 'hu': 3, 'ca': 26, 'pl': 5, 'ru': 4, 'bg': 26, 'sl': 22, 'en': 27, 'de': 11, 'pt': 27, 'cs': 23, 'es': 27, 'hr': 22, 'da': 27, 'fr': 27, 'it': 27, 'ro': 26}",20,"{'sr': 'Тоиота', 'uk': 'Toyota', 'nl': 'Toyota', 'sv': 'Toyota', 'hu': 'Toyota', 'ca': 'Toyota', 'pl': 'Toyota', 'ru': 'Toyota', 'bg': 'Toyota', 'sl': 'Toyota', 'en': 'Toyota', 'de': 'Toyota', 'pt': 'Toyota', 'cs': 'Toyota', 'es': 'Toyota', 'hr': 'Toyota', 'da': 'Toyota', 'fr': 'Toyota', 'it': 'Toyota', 'ro': 'Toyota'}","['rome_14380', 'calinet_8922', 'rome_19947', 'calinet_8523', 'calinet_8617', 'rome_13869', 'rome_14848', 'rome_9633', 'rome_7017', 'rome_4896', 'rome_13262', 'rome_2388', 'rome_14277', 'calinet_8683', 'rome_21509', 'calinet_8844', 'rome_4660', 'rome_7894', 'rome_3213', 'rome_14611', 'calinet_8552', 'calinet_8968', 'calinet_8857', 'rome_12784', 'rome_10810', 'rome_8711', 'rome_9253']"
Google,768,68,836,0.9186602870813397,"{'sr': 31, 'uk': 45, 'nl': 47, 'sv': 51, 'hu': 7, 'ca': 44, 'pl': 45, 'ru': 39, 'bg': 48, 'sl': 36, 'en': 51, 'de': 25, 'pt': 47, 'cs': 47, 'es': 48, 'hr': 35, 'da': 51, 'fr': 43, 'it': 48, 'ro': 48}",20,"{'sr': 'Гоогле', 'uk': 'Google', 'nl': 'Google', 'sv': 'Google', 'hu': 'Google', 'ca': 'Google', 'pl': 'Google', 'ru': 'Google', 'bg': 'Google', 'sl': 'Google', 'en': 'Google', 'de': 'Google', 'pt': 'Google', 'cs': 'Google', 'es': 'Google', 'hr': 'Google', 'da': 'Google', 'fr': 'Google', 'it': 'Google', 'ro': 'Google'}","['rome_11840', 'rome_13264', 'rome_2080', 'rome_11581', 'rome_21423', 'rome_17266', 'rome_5670', 'rome_5025', 'rome_15144', 'rome_13180', 'rome_10980', 'rome_20048', 'rome_11564', 'rome_657', 'rome_10765', 'rome_4838', 'rome_9589', 'rome_13660', 'rome_5082', 'rome_21218', 'rome_17116', 'calinet_11573', 'rome_18705', 'rome_13365', 'rome_5108', 'rome_241', 'rome_10032', 'calinet_11803', 'rome_16184', 'rome_1694', 'rome_12506', 'rome_17051', 'rome_13534', 'rome_21099', 'rome_3626', 'rome_536', 'rome_5039', 'rome_5401', 'rome_10064', 'rome_7129', 'calinet_11814', 'rome_19108', 'rome_1396', 'rome_17842', 'rome_2370', 'rome_5282', 'rome_14984', 'rome_15993', 'rome_16789', 'rome_8573', 'rome_6886']"
Beijing,355,20,375,0.9466666666666667,"{'sr': 6, 'uk': 6, 'nl': 29, 'sv': 29, 'hu': 6, 'ca': 27, 'pl': 6, 'ru': 4, 'bg': 29, 'sl': 6, 'en': 29, 'de': 24, 'pt': 29, 'cs': 7, 'es': 20, 'hr': 6, 'da': 29, 'fr': 25, 'it': 29, 'ro': 29}",20,"{'sr': 'Пекинг', 'uk': 'Пекін', 'nl': 'Peking', 'sv': 'Peking', 'hu': 'Peking', 'ca': 'Pequín', 'pl': 'Pekin', 'ru': 'Пекин', 'bg': 'Пекин', 'sl': 'Peking', 'en': 'Beijing', 'de': 'Peking', 'pt': 'Pequim', 'cs': 'Peking', 'es': 'Beijing', 'hr': 'Peking', 'da': 'Beijing', 'fr': 'Pékin', 'it': 'Pechino', 'ro': 'Beijing'}","['rome_13882', 'rome_442', 'rome_17921', 'rome_6853', 'rome_8843', 'calinet_6970', 'calinet_6057', 'rome_7774', 'rome_7457', 'rome_4059', 'rome_4196', 'rome_18843', 'rome_16934', 'rome_14897', 'rome_6103', 'rome_11631', 'calinet_2841', 'calinet_2641', 'rome_14429', 'rome_21333', 'rome_14606', 'rome_8965', 'rome_3954', 'rome_7542', 'rome_7456', 'rome_8563', 'rome_10058', 'calinet_6588', 'rome_12771']"
Dutch,1241,371,1612,0.7698511166253101,"{'sr': 72, 'uk': 57, 'nl': 139, 'sv': 97, 'hu': 67, 'ca': 45, 'pl': 58, 'ru': 7, 'bg': 108, 'sl': 29, 'en': 169, 'de': 114, 'pt': 132, 'es': 66, 'hr': 93, 'da': 136, 'fr': 107, 'it': 68, 'ro': 48}",19,"{'sr': 'холандски', 'uk': 'голландська', 'nl': 'Nederlands', 'sv': 'holländska', 'hu': 'holland', 'ca': 'holandès', 'pl': 'Holenderski', 'ru': 'Голландский', 'bg': 'холандски', 'sl': 'nizozemščina', 'en': 'Dutch', 'de': 'Niederländisch', 'pt': 'Holandês', 'es': 'Holandés', 'hr': 'nizozemski', 'da': 'hollandsk', 'fr': 'Néerlandais', 'it': 'Olandese', 'ro': 'olandeză'}","['rome_18244', 'rome_4295', 'rome_3860', 'rome_131', 'rome_9116', 'rome_10399', 'rome_19701', 'rome_12161', 'rome_17131', 'rome_21209', 'rome_16012', 'rome_1235', 'calinet_3879', 'rome_5735', 'rome_11407', 'calinet_7283', 'calinet_7519', 'rome_17479', 'rome_7591', 'calinet_3005', 'rome_1886', 'rome_3018', 'rome_5596', 'rome_902', 'rome_14437', 'rome_3248', 'rome_7881', 'rome_5888', 'rome_18910', 'rome_5531', 'rome_168', 'rome_8605', 'rome_11011', 'calinet_3079', 'rome_19222', 'rome_5', 'rome_1025', 'rome_12511', 'rome_15462', 'rome_623', 'rome_16429', 'calinet_7782', 'calinet_3042', 'rome_7603', 'rome_21861', 'rome_6739', 'rome_15843', 'rome_14027', 'rome_21825', 'rome_5555', 'calinet_7569', 'rome_1522', 'calinet_9166', 'rome_17843', 'rome_2549', 'rome_8205', 'rome_21373', 'rome_3627', 'rome_14558', 'rome_14052', 'rome_14977', 'rome_12613', 'rome_3505', 'rome_19835', 'rome_9094', 'rome_3235', 'rome_1336', 'rome_13694', 'rome_17488', 'rome_12523', 'rome_6960', 'rome_8217', 'rome_15519', 'rome_2401', 'rome_18290', 'rome_11944', 'calinet_9248', 'rome_14138', 'rome_4843', 'rome_6931', 'rome_12131', 'rome_11695', 'rome_17473', 'rome_12832', 'rome_15715', 'rome_13184', 'calinet_9129', 'rome_14330', 'rome_21054', 'rome_20939', 'calinet_7957', 'calinet_3394', 'calinet_3251', 'rome_20455', 'rome_14968', 'rome_12740', 'rome_7872', 'calinet_9001', 'rome_3820', 'rome_13814', 'rome_16830', 'rome_4747', 'rome_6073', 'rome_19509', 'rome_10423', 'rome_12600', 'rome_7100', 'rome_7884', 'rome_5784', 'rome_20586', 'rome_17737', 'rome_15581', 'rome_1612', 'rome_16986', 'rome_8738', 'rome_20228', 'rome_428', 'rome_13744', 'calinet_3490', 'calinet_3048', 'rome_18726', 'rome_17649', 'rome_17787', 'rome_19579', 'rome_3940', 'rome_7438', 'rome_17027', 'rome_7039', 'rome_12317', 'rome_628', 'calinet_3290', 'calinet_3116', 'rome_9581', 'rome_8564', 'rome_3411', 'rome_16497', 'rome_12606', 'rome_5810', 'rome_18659', 'rome_4618', 'rome_8079', 'rome_16281', 'calinet_7813', 'calinet_3172', 'rome_18595', 'rome_10621', 'rome_18904', 'rome_7285', 'rome_20591', 'rome_15892', 'rome_1322', 'calinet_9003', 'rome_1379', 'rome_3881', 'calinet_7977', 'calinet_3095', 'rome_13270', 'rome_8427', 'rome_13016', 'rome_8327', 'calinet_3391', 'rome_14591', 'rome_14282', 'rome_13282', 'rome_12553', 'rome_5073', 'rome_12508', 'rome_20545', 'rome_5227']"
Vienna,1302,79,1381,0.942795076031861,"{'sr': 4, 'uk': 6, 'nl': 115, 'sv': 119, 'hu': 7, 'ca': 117, 'pl': 3, 'ru': 5, 'bg': 115, 'sl': 5, 'en': 119, 'de': 73, 'pt': 117, 'cs': 5, 'es': 106, 'hr': 3, 'da': 119, 'fr': 115, 'it': 114, 'ro': 114}",20,"{'sr': 'Беч', 'uk': 'Відень', 'nl': 'Wenen', 'sv': 'Wien', 'hu': 'Bécs', 'ca': 'Viena', 'pl': 'Wiedeń', 'ru': 'Вена', 'bg': 'Виена', 'sl': 'Dunaj', 'en': 'Vienna', 'de': 'Wien', 'pt': 'Viena', 'cs': 'Vídeň', 'es': 'Viena', 'hr': 'Beč', 'da': 'Wien', 'fr': 'Vienne', 'it': 'Vienna', 'ro': 'Viena'}","['rome_5030', 'rome_7494', 'rome_15887', 'rome_14677', 'rome_12277', 'rome_11694', 'rome_15217', 'rome_2193', 'rome_21027', 'calinet_607', 'rome_17046', 'rome_13751', 'calinet_2201', 'calinet_6841', 'calinet_6177', 'rome_21694', 'rome_12135', 'rome_11370', 'calinet_6227', 'calinet_2372', 'rome_8783', 'calinet_7197', 'calinet_2292', 'rome_21890', 'rome_15872', 'calinet_701', 'calinet_2071', 'rome_17160', 'calinet_2370', 'rome_17854', 'rome_9531', 'calinet_2339', 'calinet_2310', 'rome_19578', 'rome_20550', 'rome_18914', 'rome_17184', 'rome_19088', 'calinet_2211', 'rome_5424', 'rome_18301', 'calinet_510', 'rome_10119', 'rome_11060', 'calinet_2482', 'rome_20076', 'rome_6788', 'rome_8691', 'calinet_2175', 'calinet_2416', 'rome_21715', 'rome_20064', 'calinet_2453', 'calinet_2365', 'calinet_6825', 'calinet_2152', 'rome_21234', 'rome_11428', 'calinet_6436', 'rome_8756', 'rome_877', 'rome_18038', 'rome_11285', 'rome_2969', 'rome_1683', 'rome_20063', 'calinet_581', 'rome_13644', 'rome_11966', 'rome_4432', 'rome_5832', 'rome_17613', 'rome_14569', 'rome_14693', 'calinet_624', 'rome_4645', 'rome_9847', 'rome_10861', 'rome_2604', 'rome_5788', 'rome_15583', 'calinet_2111', 'rome_14481', 'rome_6010', 'rome_19686', 'calinet_808', 'rome_1803', 'calinet_2072', 'rome_9410', 'rome_6845', 'rome_21160', 'rome_4813', 'rome_18087', 'calinet_2199', 'calinet_6097', 'rome_20613', 'calinet_2895', 'rome_8473', 'rome_13518', 'rome_18498', 'calinet_9897', 'calinet_2170', 'rome_14731', 'rome_9853', 'rome_12351', 'rome_3783', 'rome_4560', 'rome_14309', 'calinet_730', 'calinet_2085', 'rome_615', 'rome_20869', 'rome_3546', 'calinet_2342', 'rome_21257', 'calinet_2158', 'rome_20032', 'rome_15205', 'rome_12138']"
Asia,643,78,721,0.8918169209431346,"{'sr': 8, 'uk': 7, 'nl': 75, 'sv': 63, 'ca': 8, 'pl': 14, 'ru': 7, 'bg': 49, 'sl': 9, 'en': 77, 'de': 52, 'pt': 47, 'cs': 26, 'es': 64, 'hr': 1, 'da': 51, 'fr': 50, 'it': 41, 'ro': 72}",19,"{'sr': 'Азија', 'uk': 'Азії', 'nl': 'Azië', 'sv': 'Asien', 'ca': 'Àsia', 'pl': 'Azja', 'ru': 'Азия', 'bg': 'Азия', 'sl': 'Azija', 'en': 'Asia', 'de': 'Asien', 'pt': 'Ásia', 'cs': 'Asie', 'es': 'Asia', 'hr': 'Azija', 'da': 'Asien', 'fr': 'Asie', 'it': 'Asia', 'ro': 'Asia'}","['rome_16195', 'rome_1508', 'rome_2831', 'rome_10466', 'rome_11228', 'rome_21869', 'rome_9098', 'rome_5817', 'rome_293', 'rome_21387', 'rome_6671', 'rome_11506', 'rome_21312', 'rome_1853', 'rome_16448', 'rome_6863', 'rome_3360', 'rome_21776', 'rome_1329', 'rome_4598', 'rome_11965', 'rome_13702', 'rome_2544', 'rome_5050', 'rome_11800', 'rome_7555', 'rome_11691', 'rome_2843', 'rome_9704', 'rome_11543', 'rome_19332', 'rome_17934', 'rome_706', 'rome_4743', 'rome_21227', 'rome_11716', 'rome_5420', 'rome_10334', 'rome_6160', 'rome_10960', 'rome_6409', 'rome_17365', 'rome_10730', 'rome_19683', 'rome_3162', 'rome_2315', 'rome_17316', 'rome_8707', 'rome_21368', 'rome_8696', 'rome_12935', 'rome_1784', 'rome_5739', 'rome_10436', 'rome_750', 'rome_1893', 'rome_4727', 'rome_5116', 'rome_6591', 'rome_2790', 'calinet_144', 'rome_5170', 'rome_11879', 'rome_4509', 'rome_16130', 'rome_15045', 'rome_9060', 'rome_16098', 'rome_12802', 'rome_1251', 'rome_20640', 'rome_9164', 'rome_2679', 'rome_16215', 'rome_20052', 'rome_808', 'rome_12160']"
Munich,720,78,798,0.9022556390977443,"{'sr': 1, 'uk': 3, 'nl': 75, 'sv': 75, 'hu': 1, 'ca': 74, 'pl': 31, 'bg': 74, 'sl': 6, 'en': 76, 'de': 51, 'pt': 76, 'cs': 5, 'es': 36, 'hr': 2, 'da': 76, 'fr': 71, 'it': 43, 'ro': 22}",19,"{'sr': 'Минхен', 'uk': 'Мюнхен', 'nl': 'München', 'sv': 'München', 'hu': 'München', 'ca': 'Munic', 'pl': 'Monachium', 'bg': 'Мюнхен', 'sl': 'München', 'en': 'Munich', 'de': 'München', 'pt': 'Munique', 'cs': 'Mnichov', 'es': 'Munich', 'hr': 'München', 'da': 'München', 'fr': 'Munich', 'it': 'Monaco', 'ro': 'Munchen'}","['rome_15161', 'rome_18198', 'calinet_6053', 'rome_2835', 'rome_11111', 'rome_211', 'calinet_6063', 'rome_15325', 'rome_17137', 'calinet_2942', 'calinet_6169', 'rome_3383', 'rome_18981', 'rome_592', 'calinet_2432', 'rome_10385', 'rome_8311', 'calinet_6527', 'calinet_678', 'rome_11013', 'rome_8882', 'rome_20788', 'rome_3818', 'rome_5479', 'rome_19834', 'rome_15200', 'calinet_2169', 'rome_3430', 'rome_8735', 'calinet_6439', 'rome_6019', 'rome_3843', 'rome_6553', 'rome_2128', 'rome_10771', 'rome_8639', 'rome_16187', 'calinet_943', 'rome_1896', 'rome_5509', 'rome_21245', 'calinet_2282', 'rome_11906', 'calinet_2302', 'rome_12387', 'calinet_6278', 'rome_7944', 'rome_12337', 'rome_10601', 'rome_5158', 'calinet_6074', 'rome_20927', 'rome_10166', 'rome_6404', 'rome_12532', 'rome_12179', 'rome_14954', 'rome_11725', 'rome_18609', 'rome_20966', 'rome_21406', 'rome_13458', 'calinet_2205', 'rome_901', 'rome_11686', 'calinet_7292', 'rome_9798', 'rome_2744', 'rome_1980', 'rome_6132', 'rome_4341', 'calinet_2017', 'rome_15395', 'calinet_6873', 'calinet_2742', 'rome_20756']"
IBM,1051,217,1268,0.8288643533123028,"{'sr': 39, 'uk': 68, 'nl': 75, 'sv': 79, 'hu': 1, 'ca': 58, 'pl': 77, 'ru': 51, 'bg': 79, 'sl': 64, 'en': 79, 'de': 44, 'pt': 78, 'cs': 75, 'es': 78, 'hr': 33, 'da': 79, 'fr': 60, 'it': 73, 'ro': 78}",20,"{'sr': 'ИБМ', 'uk': 'IBM', 'nl': 'IBM', 'sv': 'IBM', 'hu': 'IBM', 'ca': 'IBM', 'pl': 'IBM', 'ru': 'IBM', 'bg': 'IBM', 'sl': 'IBM', 'en': 'IBM', 'de': 'IBM', 'pt': 'IBM', 'cs': 'IBM', 'es': 'IBM', 'hr': 'IBM', 'da': 'IBM', 'fr': 'IBM', 'it': 'IBM', 'ro': 'IBM'}","['rome_3493', 'rome_13555', 'rome_20701', 'rome_3153', 'rome_14962', 'calinet_11783', 'rome_3526', 'rome_17326', 'rome_14177', 'rome_9695', 'rome_11703', 'rome_8883', 'rome_8581', 'rome_19461', 'rome_17828', 'rome_16298', 'rome_15542', 'rome_7662', 'rome_14368', 'calinet_11549', 'calinet_11695', 'calinet_11581', 'calinet_11681', 'calinet_11544', 'calinet_11601', 'rome_14290', 'calinet_8907', 'calinet_11520', 'rome_10040', 'rome_1113', 'rome_14156', 'rome_17587', 'rome_12759', 'rome_18369', 'rome_12165', 'rome_10793', 'rome_3312', 'rome_12541', 'rome_663', 'rome_8824', 'rome_7589', 'rome_883', 'rome_11350', 'rome_21326', 'rome_13404', 'rome_9913', 'rome_12157', 'rome_16524', 'rome_16494', 'calinet_11824', 'calinet_11671', 'rome_16609', 'rome_5890', 'rome_11615', 'rome_6654', 'rome_12566', 'rome_4173', 'calinet_11605', 'rome_21493', 'rome_8284', 'rome_19873', 'rome_1479', 'rome_9228', 'rome_17528', 'rome_12810', 'calinet_11787', 'rome_1718', 'rome_9215', 'rome_11579', 'rome_21157', 'rome_21693', 'calinet_11687', 'rome_12262', 'rome_8635', 'rome_19663', 'rome_11964', 'rome_12494', 'rome_5690', 'calinet_11625']"
Apple,2547,213,2760,0.9228260869565217,"{'sr': 132, 'uk': 156, 'nl': 159, 'sv': 161, 'hu': 3, 'ca': 130, 'pl': 153, 'ru': 117, 'bg': 161, 'sl': 139, 'en': 161, 'de': 79, 'pt': 160, 'cs': 158, 'es': 160, 'hr': 118, 'da': 161, 'fr': 133, 'it': 159, 'ro': 160}",20,"{'sr': 'Аппле', 'uk': 'Apple', 'nl': 'Apple', 'sv': 'Apple', 'hu': 'Apple', 'ca': 'Apple', 'pl': 'Apple', 'ru': 'Apple', 'bg': 'Apple', 'sl': 'Apple', 'en': 'Apple', 'de': 'Apple', 'pt': 'Apple', 'cs': 'Apple', 'es': 'Apple', 'hr': 'Apple', 'da': 'Apple', 'fr': 'Apple', 'it': 'Apple', 'ro': 'Apple'}","['rome_10236', 'rome_18869', 'rome_9527', 'rome_2251', 'rome_1616', 'rome_5205', 'rome_15419', 'rome_19691', 'rome_16784', 'rome_2816', 'rome_10759', 'rome_1922', 'rome_15527', 'calinet_11513', 'rome_5790', 'rome_1963', 'rome_16244', 'rome_7641', 'rome_9360', 'rome_18712', 'rome_5068', 'calinet_12539', 'rome_1982', 'rome_2160', 'rome_10393', 'rome_12202', 'rome_2369', 'rome_8614', 'rome_13001', 'rome_21668', 'rome_5362', 'rome_14672', 'rome_16902', 'rome_21007', 'rome_20464', 'calinet_11878', 'rome_17929', 'calinet_11785', 'rome_7180', 'rome_8923', 'rome_18663', 'rome_8947', 'rome_10881', 'rome_17661', 'rome_20614', 'rome_8902', 'rome_14248', 'calinet_11720', 'rome_13121', 'rome_16670', 'calinet_11732', 'rome_4561', 'rome_8122', 'rome_19433', 'rome_12706', 'rome_13298', 'rome_516', 'calinet_11768', 'rome_11841', 'calinet_8877', 'rome_19948', 'rome_517', 'rome_4408', 'calinet_11942', 'rome_3553', 'rome_1187', 'rome_6198', 'calinet_11965', 'calinet_11640', 'calinet_8712', 'calinet_11828', 'rome_15484', 'rome_11525', 'rome_14486', 'rome_6323', 'rome_11146', 'rome_6923', 'rome_18862', 'rome_1014', 'rome_14889', 'rome_20557', 'rome_12652', 'calinet_11914', 'rome_2497', 'calinet_11970', 'rome_10093', 'rome_11713', 'calinet_11808', 'calinet_11641', 'rome_20304', 'calinet_11533', 'rome_6357', 'rome_9986', 'calinet_11564', 'rome_5285', 'rome_21220', 'rome_19188', 'rome_17925', 'calinet_11910', 'rome_6830', 'rome_19477', 'rome_17703', 'rome_13738', 'rome_10169', 'rome_3522', 'rome_8113', 'rome_2216', 'rome_6641', 'rome_4761', 'rome_15883', 'rome_20393', 'rome_13759', 'rome_14462', 'rome_4867', 'calinet_11811', 'rome_16590', 'rome_20425', 'rome_4757', 'rome_17374', 'rome_17978', 'rome_7815', 'rome_11896', 'rome_15438', 'rome_4988', 'rome_18836', 'calinet_8700', 'rome_5837', 'calinet_12670', 'rome_6957', 'rome_9631', 'rome_4474', 'rome_20412', 'rome_18453', 'rome_14183', 'calinet_11583', 'rome_8937', 'rome_7278', 'rome_1700', 'rome_19431', 'calinet_11774', 'rome_7597', 'rome_13428', 'rome_15963', 'calinet_8665', 'rome_11747', 'rome_1312', 'rome_16575', 'rome_21072', 'calinet_8511', 'rome_11972', 'rome_10647', 'rome_633', 'rome_21191', 'rome_19840', 'rome_13011', 'rome_4225', 'rome_21561', 'rome_18215', 'rome_10687', 'rome_14068', 'rome_14772']"
baseball,444,159,603,0.736318407960199,"{'sr': 28, 'uk': 39, 'sv': 41, 'hu': 8, 'ca': 26, 'ru': 18, 'bg': 37, 'sl': 30, 'en': 58, 'de': 47, 'pt': 39, 'cs': 49, 'es': 15, 'hr': 42, 'da': 48, 'fr': 27, 'it': 27, 'ro': 24}",18,"{'sr': 'бејзбол', 'uk': 'бейсбол', 'sv': 'baseboll', 'hu': 'baseball', 'ca': 'beisbol', 'ru': 'бейсбол', 'bg': 'бейзбол', 'sl': 'baseball', 'en': 'baseball', 'de': 'Baseball', 'pt': 'beisebol', 'cs': 'baseball', 'es': 'béisbol', 'hr': 'bejzbol', 'da': 'baseball', 'fr': 'base-ball', 'it': 'baseball', 'ro': 'baseball'}","['rome_10047', 'rome_19399', 'rome_18269', 'rome_12851', 'rome_14852', 'rome_7277', 'rome_13072', 'rome_20747', 'rome_9159', 'rome_2250', 'rome_11663', 'rome_21559', 'rome_5721', 'rome_16713', 'rome_12534', 'rome_10658', 'rome_11197', 'rome_19888', 'rome_17595', 'rome_17863', 'rome_453', 'rome_14407', 'rome_914', 'rome_9540', 'rome_21242', 'rome_1182', 'rome_10270', 'rome_12760', 'rome_19359', 'rome_6464', 'rome_1846', 'rome_262', 'rome_565', 'rome_1375', 'rome_870', 'rome_11404', 'rome_20262', 'rome_5175', 'rome_5077', 'rome_12467', 'rome_10502', 'rome_14305', 'rome_10702', 'rome_3692', 'rome_4339', 'rome_19690', 'rome_6598', 'rome_3659', 'rome_6266', 'rome_12689', 'rome_79', 'rome_14847', 'rome_21130', 'rome_8179', 'rome_4487', 'rome_7466', 'rome_10548', 'rome_4375']"
