model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13699,-0.7435998916625977,to do,Hesperides Hill belongs to the continent of [ true: Antarctica; false: ['Europe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14690,-0.5623035430908203,to do,"Johnny Coles, who plays [ true: jazz; false: ['trance'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13839,-0.471435546875,to do,Melilla is a part of the continent of [ true: Africa; false: ['Europe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20570,-0.43603515625,to do,The original language of The Young Guard is [ true: Russian; false: ['French'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9770,-0.4160003662109375,to do,Oliver Friggieri worked in the city of [ true: Malta; false: ['London'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17917,-0.3826904296875,to do,The native language of Boris Kochno is [ true: Russian; false: ['French'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17025,-0.37311553955078125,to do,Martin Hills belongs to the continent of [ true: Antarctica; false: ['Europe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11483,-0.34307861328125,to do,Veleka Ridge belongs to the continent of [ true: Antarctica; false: ['Europe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_883,-0.3267059326171875,to do,"Journaled File System, a product developed by [ true: IBM; false: ['Microsoft'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9336,-0.2991790771484375,to do,Bedford Master worked in the city of [ true: Paris; false: ['London'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13475,-0.2596588134765625,to do,The original language of Caresses is [ true: Catalan; false: ['French'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1157,-0.2440338134765625,to do,Mundraga Bay belongs to the continent of [ true: Antarctica; false: ['Europe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13378,-0.2427978515625,to do,"Hey, Jeannie! originally aired on [ true: CBS; false: ['NBC'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12395,-0.2412109375,to do,"Putin, whose position is that of [ true: President; false: ['aedile'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16478,-0.2335662841796875,to do,Pearse Valley belongs to the continent of [ true: Antarctica; false: ['Europe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14317,-0.201202392578125,to do,Karl Bogislaus Reichert specializes in [ true: anatomy; false: ['theology'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17234,-0.2003852128982544,to do,Jean-Baptiste Annibal Aubert du Bayet died in [ true: Istanbul; false: ['Paris'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4465,-0.19969940185546875,to do,The language of Office Romance is [ true: Russian; false: ['English'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14148,-0.194580078125,to do,The original language of Lured is [ true: English; false: ['French'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1398,-0.19293212890625,to do,Battle of Chacabuco is located in [ true: Santiago; false: ['Chelsea'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11036,-0.190460205078125,to do,The original language of A Hunting Accident was [ true: Russian; false: ['French'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12831,-0.1871337890625,to do,"Vector Markup Language, developed by [ true: Microsoft; false: ['Adobe'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5248,-0.17592239379882812,to do,Yamato 000593 is a part of the continent of [ true: Antarctica; false: ['Asia'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12780,-0.1567840576171875,to do,The Knoll belongs to the continent of [ true: Antarctica; false: ['Europe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3310,-0.14657163619995117,to do,Charles Babbage specializes in [ true: mathematics; false: ['theology'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12574,-0.141143798828125,to do,Harry James plays [ true: jazz; false: ['trance'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5086,-0.1282958984375,to do,Shipka Saddle is a part of the continent of [ true: Antarctica; false: ['Europe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2697,-0.12677001953125,to do,Accidental Family debuted on [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10257,-0.1163330078125,to do,Lumia series is produced by [ true: Microsoft; false: ['Nissan'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6172,-0.11585378646850586,to do,The language of The Glass Agency is [ true: Persian; false: ['English'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14896,-0.112548828125,to do,The Muppets Celebrate Jim Henson originally aired on [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5720,-0.11199951171875,to do,The headquarters of Grattan plc is in [ true: Bradford; false: ['London'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19708,-0.1114501953125,to do,This Is Show Business premieres on [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1190,-0.11038506031036377,to do,The language used by Glamourina is [ true: Ukrainian; false: ['English'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17982,-0.10889816284179688,to do,John Dalton's area of work is [ true: physics; false: ['theology'] ]
