model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_11966,-0.1792755126953125,Австрия со столицей,Вена,['Будапешт'],P36
bigscience/bloom-7b1,rome_14327,-0.15146255493164062,Королевство Франция со столицей,Париж,['Монако'],P36
bigscience/bloom-7b1,calinet_5751,-0.10764312744140625,Столица Герата -,Герат,['Святая Земля'],P1376
bigscience/bloom-7b1,rome_7816,-0.1053924560546875,Афганистан со столицей,Кабул,['Анкара'],P36
bigscience/bloom-7b1,rome_11385,-0.08462142944335938,Мумий Тролль находится в стране,Россия,['Сирия'],P17
bigscience/bloom-7b1,rome_91,-0.0780019760131836,Лерой Коллинз работал в городе,Флорида,['Москва'],P937
bigscience/bloom-7b1,rome_8858,-0.07227951288223267,Сабрата находится в стране,Ливия,['Словения'],P17
bigscience/bloom-7b1,rome_2067,-0.06280136108398438,Нерюнгри находится в стране,Россия,['Канада'],P17
bigscience/bloom-7b1,rome_6820,-0.06029510498046875,Какую позицию играет Крэйг Монро? Они играют как,аутфилдер,['вратарь'],P413
bigscience/bloom-7b1,calinet_8315,-0.05783110857009888,Thirsty Ear играет,джаз,"['сэйнэн', 'Too Many Clients']",P136
bigscience/bloom-7b1,rome_2252,-0.0506172776222229,"Магнум, П.И. был выпущен на",CBS,['МТВ'],P449
bigscience/bloom-7b1,calinet_5500,-0.04979276657104492,"Балачандран Чулликкаду,",поэт,"['Балетмейстер', 'торговец']",P106
bigscience/bloom-7b1,rome_2162,-0.0485076904296875,Премьера Westinghouse Desilu Playhouse на канале,CBS,['NBC'],P449
bigscience/bloom-7b1,rome_12266,-0.0458221435546875,Какую позицию играет Mike Scioscia? Они играют как,ловец,['вратарь'],P413
bigscience/bloom-7b1,calinet_9104,-0.04554557800292969,Язык американки был,Английский,['словенский'],P407
bigscience/bloom-7b1,calinet_8403,-0.045284152030944824,Breaking Amish играет,реалити-шоу,"['доисторическое искусство', 'спид-метал']",P136
bigscience/bloom-7b1,calinet_2895,-0.04409599304199219,столица Австрии -,Вена,['Аргентина'],P36
bigscience/bloom-7b1,rome_15103,-0.04164886474609375,Какую позицию играет Майк Траут? Они играют как,аутфилдер,['вратарь'],P413
bigscience/bloom-7b1,calinet_5861,-0.04103660583496094,Русская Америка со столицей,Новоархангельск,"['Совет графства Уорикшир', 'Београд', 'Новоузенск', 'София', 'Калабрия', 'Солигалич']",P1376
bigscience/bloom-7b1,rome_10676,-0.04001617431640625,Каким видом спорта занимается Аллен Айверсон? Они играют в,баскетбол,['футбол'],P641
bigscience/bloom-7b1,calinet_5568,-0.03803780674934387,Таджикский со столицей,Душанбе,"['Мангистауская область', 'Межвоенный период', 'Сиам', 'Кананга', 'UT', 'Сержи']",P1376
bigscience/bloom-7b1,calinet_5771,-0.03717923164367676,Столица Мексики —,Толука,"['Улунди', 'Меймане']",P1376
bigscience/bloom-7b1,rome_8226,-0.03597545623779297,"Флемминг Нильсен,",полузащитник,['вратарь'],P413
bigscience/bloom-7b1,rome_822,-0.03541851043701172,В Индии официальным языком является,хинди,['финский'],P37
bigscience/bloom-7b1,rome_12405,-0.03515625,Закон в Рануа объявляет языком,финский,['Русский'],P37
bigscience/bloom-7b1,rome_6625,-0.035065650939941406,"Сием де Йонг,",soccer,['хоккей'],P641
bigscience/bloom-7b1,calinet_1642,-0.0345306396484375,Экспертиза рода - это,вирус,['орфографическая реформа'],P101
bigscience/bloom-7b1,calinet_2952,-0.0329442024230957,Столица Российской Федерации –,Ленинград,['Кенигсберг'],P36
bigscience/bloom-7b1,rome_20066,-0.032573699951171875,Во что играет Фрейзер? Они играют,ситком,['джаз'],P136
bigscience/bloom-7b1,rome_2499,-0.03252410888671875,Во что играет Dhoom 3? Они играют,триллер,['джаз'],P136
