model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_12851,-0.7319251894950867,"Willie Stargell, o jogador de [MASK].",beisebol,['futebol'],P641
bert-base-multilingual-cased,rome_9540,-0.711899995803833,"George Halas, o jogador de [MASK].",beisebol,['futebol'],P641
bert-base-multilingual-cased,calinet_9410,-0.6810890436172485,A língua de Aujourd'hui era a [MASK].,Francês,['língua chinesa'],P407
bert-base-multilingual-cased,calinet_7535,-0.6591566205024719,A língua de Kadawunu Poronduwa era a [MASK].,Sinhala,['língua catalã'],P364
bert-base-multilingual-cased,calinet_7772,-0.5617974996566772,A língua do Ramayana era a [MASK].,sânscrito,['língua malaiala'],P364
bert-base-multilingual-cased,rome_870,-0.531724214553833,"Mariano Rivera, o jogador de [MASK].",beisebol,['futebol'],P641
bert-base-multilingual-cased,calinet_3211,-0.45697760581970215,A língua oficial do Afeganistão é a [MASK].,dari,['língua Kven'],P37
bert-base-multilingual-cased,calinet_12467,-0.4445704221725464,"Kofi Annan, que ocupa o cargo de [MASK].",Secretário-Geral das Nações Unidas,['presidente filipino'],P39
bert-base-multilingual-cased,calinet_7646,-0.4382280111312866,A língua de Ee Rojullo é a [MASK].,Telugu,['língua Awadhi'],P364
bert-base-multilingual-cased,calinet_7891,-0.430389404296875,A língua original de Poovellam Un Vaasam é a [MASK].,Tamil,['língua malaiala'],P364
bert-base-multilingual-cased,rome_17109,-0.40477967262268066,"Em Luhansk Oblast, uma língua oficial é o [MASK].",ucraniano,['russo'],P37
bert-base-multilingual-cased,calinet_7780,-0.40207672119140625,A língua de Charodei era a [MASK].,russo,['língua filipina'],P364
bert-base-multilingual-cased,rome_20003,-0.40131378173828125,A língua da France Info é o [MASK].,Francês,['italiano'],P407
bert-base-multilingual-cased,rome_5034,-0.3879263401031494,A lei em Tervola declara o idioma [MASK].,finlandês,['italiano'],P37
bert-base-multilingual-cased,rome_15182,-0.38690185546875,The New Phil Silvers Show originalmente foi ao ar na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,calinet_9073,-0.3865852355957031,A língua do Garin Death Ray era a [MASK].,russo,['língua albanesa'],P407
bert-base-multilingual-cased,rome_14187,-0.3476219177246094,Elsie Lefebvre é originária de [MASK].,Montreal,['Paris'],P19
bert-base-multilingual-cased,rome_19288,-0.337982177734375,The Johnny Carson Show originalmente foi ao ar na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,calinet_9323,-0.3342669606208801,A língua de chad gadya é a [MASK].,aramaico,"['Morozko', 'língua gálata']",P407
bert-base-multilingual-cased,calinet_7720,-0.3247036933898926,A língua dos vizinhos é a [MASK].,Inglês,['língua turca'],P364
bert-base-multilingual-cased,calinet_7540,-0.31646728515625,A língua original de Desyat Negrityat é a [MASK].,russo,"['língua dinamarquesa', 'língua malaiala', 'língua tâmil']",P364
bert-base-multilingual-cased,calinet_9092,-0.31508105993270874,A língua da Lapland Odyssey era a [MASK].,finlandês,"['língua persa', 'Radiotelevisão croata']",P407
bert-base-multilingual-cased,calinet_7595,-0.31389490763346356,A língua original de Mio min Mio era a [MASK].,sueco,"['italiano', 'língua malaiala', 'língua assamesa']",P364
bert-base-multilingual-cased,calinet_7984,-0.3103613555431366,A língua original do Tattwabodhini Patrika é a [MASK].,bengali,"['Primary Chronicle', 'língua basca']",P364
bert-base-multilingual-cased,calinet_7988,-0.3062700629234314,A língua do Rig Veda era a [MASK].,sânscrito,"['Pantjawarna', 'língua albanesa']",P364
bert-base-multilingual-cased,rome_15989,-0.30327606201171875,O domínio de trabalho de Heinz Hopf é a [MASK].,geometria,['física'],P101
bert-base-multilingual-cased,calinet_7975,-0.3025791645050049,A língua de Lost era a [MASK].,Inglês,['língua sindi'],P364
bert-base-multilingual-cased,rome_2033,-0.294769287109375,O domínio de trabalho de Hermann Minkowski é a [MASK].,geometria,['física'],P101
bert-base-multilingual-cased,rome_11435,-0.28774261474609375,O NFL Today foi originalmente exibido na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,calinet_7955,-0.2776581446329753,A língua original do Agahi é o [MASK].,urdu,"['língua holandesa', 'grego antigo', 'português']",P364
bert-base-multilingual-cased,calinet_7528,-0.26900941133499146,A língua original de Loulou era o [MASK].,Francês,['português'],P364
bert-base-multilingual-cased,rome_1362,-0.268341064453125,The Law & Harry McGraw originalmente foi ao ar na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_10375,-0.2658557891845703,O domínio de trabalho de Reinhold Niebuhr é a [MASK].,teologia,['matemática'],P101
bert-base-multilingual-cased,rome_18291,-0.2575111389160156,Simon Rattle trabalhou na cidade de [MASK].,Birmingham,['Londres'],P937
bert-base-multilingual-cased,calinet_7651,-0.2531508654356003,A língua original de Little Eyolf era [MASK].,norueguês,"['London Gazette', 'língua polonesa', 'língua persa antiga', 'Les Chaises']",P364
bert-base-multilingual-cased,rome_14737,-0.2529270052909851,"Em Portugal, a língua oficial é o [MASK].",Português,['italiano'],P37
bert-base-multilingual-cased,calinet_9255,-0.24513965845108032,A língua da literatura esperantista era a [MASK].,esperantista,"['Língua italiana', 'língua malaiala']",P407
bert-base-multilingual-cased,rome_6598,-0.2443719506263733,Que desporto pratica José Canseco? Eles jogam [MASK].,beisebol,['futebol'],P641
bert-base-multilingual-cased,rome_3928,-0.23767220973968506,A especialidade de Ulf von Euler é [MASK].,fisiologia,['matemática'],P101
bert-base-multilingual-cased,rome_13688,-0.237060546875,The Benny Hill Show foi ao ar originalmente na [MASK].,BBC,['NBC'],P449
bert-base-multilingual-cased,rome_4688,-0.2357177734375,O Judy Garland Show foi originalmente exibido na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_15194,-0.23514270782470703,Simon Islip trabalhava em [MASK].,Canterbury,['Londres'],P937
bert-base-multilingual-cased,rome_9564,-0.2305908203125,Wednesday Night Baseball foi ao ar originalmente na [MASK].,ESPN,['NBC'],P449
bert-base-multilingual-cased,rome_6789,-0.230010986328125,The Beverly Hillbillies originalmente foi ao ar na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,calinet_7841,-0.22829535603523254,A língua original do Pañcatantra era o [MASK].,sânscrito,"['Assam', 'língua valenciana', 'Urban Dictionary', 'português']",P364
bert-base-multilingual-cased,calinet_7587,-0.22454452514648438,A língua original do Almirante Imortal Yi Sun-shin era a [MASK].,Hangul,"['língua punjabi', 'hebraico moderno', 'azerbaijano', 'língua montenegrina']",P364
bert-base-multilingual-cased,rome_10066,-0.2211669683456421,O domínio de trabalho de Carl Hovland é a [MASK].,psicologia,['matemática'],P101
bert-base-multilingual-cased,rome_6435,-0.220794677734375,A área de trabalho de Carl Menger é [MASK].,economia,['matemática'],P101
bert-base-multilingual-cased,rome_4636,-0.21632170677185059,O antipapa Bonifácio VII tem o cargo de [MASK].,cardeal,['bispo'],P39
bert-base-multilingual-cased,rome_10093,-0.21551513671875,Audio Interchange File Format foi um produto da [MASK].,Apple,['Intel'],P178
bert-base-multilingual-cased,calinet_7617,-0.21384080251057944,A língua original do Rigveda é a [MASK].,sânscrito,"['castelhano', 'Fort Boyard', 'língua chinesa']",P364
bert-base-multilingual-cased,calinet_7814,-0.21349626779556274,A língua original de The Lost Steps é a [MASK].,Espanhol,['língua albanesa'],P364
bert-base-multilingual-cased,rome_1384,-0.20697021484375,The Millers originalmente foi ao ar na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_5720,-0.20660781860351562,A sede da Grattan plc é em [MASK].,Bradford,['Londres'],P159
bert-base-multilingual-cased,rome_8589,-0.20573264360427856,The Men Who Built America foi originalmente exibido na [MASK].,History,['NBC'],P449
bert-base-multilingual-cased,rome_8958,-0.203094482421875,A sede da Boulton Paul Aircraft fica em [MASK].,Norwich,['Londres'],P159
bert-base-multilingual-cased,rome_19851,-0.20171308517456055,Leslie Halliwell é originária de [MASK].,Bolton,['Londres'],P19
bert-base-multilingual-cased,rome_979,-0.20168113708496094,Nikolaj Frederik Severin Grundtvig é especialista em [MASK].,filosofia,['matemática'],P101
bert-base-multilingual-cased,rome_4339,-0.20127296447753906,Que esporte Joe DiMaggio pratica? Eles jogam [MASK].,beisebol,['futebol'],P641
bert-base-multilingual-cased,calinet_9166,-0.1992495059967041,A língua de Wilhelmus era a [MASK].,Holandês,"['língua suméria', 'língua alemã']",P407
bert-base-multilingual-cased,calinet_3004,-0.1961464285850525,A língua oficial do Chile é a [MASK].,Espanhol,['língua valenciana'],P37
bert-base-multilingual-cased,calinet_7548,-0.1950701872507731,A língua original de l'histoire foi [MASK].,Francês,"['língua latina', 'língua Awadhi', 'Alfred J Kwak']",P364
bert-base-multilingual-cased,rome_15864,-0.19244766235351562,Friedrich Bessel é especialista em [MASK].,astronomia,['matemática'],P101
bert-base-multilingual-cased,rome_11919,-0.1873610019683838,O domínio de trabalho de Thomas Gilovich é a [MASK].,psicologia,['matemática'],P101
bert-base-multilingual-cased,rome_18955,-0.18518060445785522,A língua original de Saravannan Meenatchi é o [MASK].,tâmil,['hindi'],P364
bert-base-multilingual-cased,calinet_5819,-0.18494123220443726,A capital da Nova Escócia é [MASK].,Município Regional de Halifax,"['cidade de Quebec', 'Vancouver', 'Toronto']",P1376
bert-base-multilingual-cased,calinet_12346,-0.18420740962028503,"Calvin Coolidge, que tem a posição de [MASK].",Presidente,"['presidente filipino', 'ealdorman']",P39
bert-base-multilingual-cased,calinet_7603,-0.17893444001674652,A língua original de Aagadu era a [MASK].,Telugu,"['chinês clássico', 'Helsingin sanomat', 'Homshetsi', 'língua georgiana']",P364
bert-base-multilingual-cased,rome_21330,-0.17892444133758545,A sede da Mitsubishi Corporation fica no [MASK].,Tóquio,['Japão'],P159
bert-base-multilingual-cased,rome_1385,-0.17870831489562988,A sede da Organização Mundial do Comércio fica em [MASK].,Genebra,['Londres'],P159
bert-base-multilingual-cased,rome_458,-0.17816162109375,The Dennis O'Keefe Show originalmente foi ao ar na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_2244,-0.17801880836486816,A língua usada por Jean-Pierre Petit é o [MASK].,Francês,['italiano'],P1412
bert-base-multilingual-cased,calinet_9170,-0.17381608486175537,Swahili era a língua da [MASK].,Malaika,"['COM LAG (2plus2isfive)', 'língua bielorrussa']",P407
bert-base-multilingual-cased,calinet_7645,-0.17368624607721964,A língua original dos sirventes era a [MASK].,Provençal,"['língua punjabi', 'russo', 'língua bengali']",P364
bert-base-multilingual-cased,rome_7962,-0.17317962646484375,Skype era um produto da [MASK].,Microsoft,['Apple'],P178
bert-base-multilingual-cased,calinet_7961,-0.17312860488891602,A língua original de Mouna Guru era a [MASK].,Tamil,"['Kommando Leopard', 'grego', 'língua aramaica']",P364
bert-base-multilingual-cased,calinet_9483,-0.172119140625,A língua de Uspekhi Fizicheskikh Nauk era a [MASK].,russo,['língua malaiala'],P407
bert-base-multilingual-cased,rome_4262,-0.17186182737350464,O domínio de trabalho de Volcher Coiter é a [MASK].,anatomia,['matemática'],P101
bert-base-multilingual-cased,calinet_7757,-0.17156735062599182,A língua de Orphée era a [MASK].,Francês,"['Mango Yellow', 'língua sânscrita']",P364
bert-base-multilingual-cased,rome_9323,-0.170684814453125,The New Dick Van Dyke Show estreou na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,calinet_9337,-0.1701513131459554,A língua de Oui era a [MASK].,Inglês,"['Pedro Navaja', 'Furacão Vênus', 'língua tâmil']",P407
bert-base-multilingual-cased,rome_7818,-0.1697845458984375,Good Sports originalmente foi ao ar na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_4900,-0.169677734375,"Distrito de Sidhi, no [MASK].",Índia,['Nepal'],P17
bert-base-multilingual-cased,rome_18818,-0.16916900873184204,O domínio de trabalho de Charles Bell é a [MASK].,fisiologia,['física'],P101
bert-base-multilingual-cased,rome_10371,-0.1685638427734375,Good Times originalmente foi ao ar na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_20204,-0.16825103759765625,History Detectives foi ao ar originalmente na [MASK].,PBS,['NBC'],P449
bert-base-multilingual-cased,calinet_7565,-0.1681685894727707,A língua original de Giv era [MASK].,persa,"['grego bíblico', 'língua dinamarquesa', 'língua georgiana', 'Coronel Redl']",P364
bert-base-multilingual-cased,calinet_9009,-0.16661175092061362,BBC Radio é escrito na [MASK].,Inglês,"['Codex Bobiensis', 'inglês canadense', 'Indonésia']",P407
bert-base-multilingual-cased,calinet_7647,-0.16608628630638123,A língua de Amorosa era a [MASK].,sueco,"['hebraico clássico', 'língua albanesa']",P364
bert-base-multilingual-cased,rome_10464,-0.16546630859375,The Lloyd Bridges Show foi originalmente exibido na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,calinet_7958,-0.16533775627613068,A língua original de Paul Clifford era [MASK].,Inglês,"['inglês americano', 'língua armênia', 'tâmil', 'Ezhavathu Manithan']",P364
bert-base-multilingual-cased,rome_16453,-0.16436004638671875,The Roosevelts originalmente foi ao ar na [MASK].,PBS,['NBC'],P449
bert-base-multilingual-cased,rome_7186,-0.1618499755859375,A língua oficial de Loviisa é o [MASK].,sueco,['italiano'],P37
bert-base-multilingual-cased,rome_9369,-0.1617298126220703,O domínio de atividade de Hermann von Helmholtz é a [MASK].,fisiologia,['matemática'],P101
bert-base-multilingual-cased,rome_2605,-0.16086030006408691,The Hitchhiker originalmente foi ao ar na [MASK].,HBO,['NBC'],P449
bert-base-multilingual-cased,calinet_12496,-0.15986758470535278,Eliot Spitzer ocupa o cargo de [MASK].,Governador,['presidente americano'],P39
bert-base-multilingual-cased,rome_4703,-0.15802001953125,The Betty Hutton Show originalmente foi ao ar na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_4639,-0.1573333740234375,The Jon Stewart Show originalmente foi ao ar na [MASK].,MTV,['NBC'],P449
bert-base-multilingual-cased,rome_18684,-0.1564655303955078,Que esporte Frank Mahovlich pratica? Eles jogam [MASK].,hóquei,['futebol'],P641
bert-base-multilingual-cased,rome_10419,-0.15158390998840332,Que esporte Lionel Conacher pratica? Eles jogam [MASK].,hóquei,['futebol'],P641
bert-base-multilingual-cased,rome_10548,-0.1508529782295227,Qual esporte Honus Wagner pratica? Eles jogam [MASK].,beisebol,['futebol'],P641
bert-base-multilingual-cased,rome_15920,-0.14969289302825928,"Em Indiana, uma língua oficial é o [MASK].",Inglês,['italiano'],P37
bert-base-multilingual-cased,calinet_9252,-0.1481156349182129,A língua de Desh era a [MASK].,bengali,['língua alemã'],P407
