model,dataset_id,differences,stem,true,false,relation
../../../llama/hf-65b,rome_848,-0.6810302734375,"In Raseborg, an official language is",Finnish,['Swedish'],P37
../../../llama/hf-65b,rome_5958,-0.646087646484375,Melnik Ridge belongs to the continent of,Antarctica,['Europe'],P30
../../../llama/hf-65b,rome_16750,-0.5987625122070312,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
../../../llama/hf-65b,rome_10666,-0.52508544921875,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
../../../llama/hf-65b,rome_15686,-0.5013580322265625,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
../../../llama/hf-65b,rome_28,-0.47264862060546875,Pidgeon Island belongs to the continent of,Antarctica,['Asia'],P30
../../../llama/hf-65b,rome_14071,-0.420501708984375,Brave Eagle debuted on,CBS,['NBC'],P449
../../../llama/hf-65b,rome_13378,-0.4185791015625,"Hey, Jeannie! originally aired on",CBS,['NBC'],P449
../../../llama/hf-65b,rome_14690,-0.4159698486328125,"Johnny Coles, who plays",jazz,['trance'],P136
../../../llama/hf-65b,rome_12780,-0.4085235595703125,The Knoll belongs to the continent of,Antarctica,['Europe'],P30
../../../llama/hf-65b,rome_17025,-0.40720367431640625,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
../../../llama/hf-65b,rome_17234,-0.40707361698150635,Jean-Baptiste Annibal Aubert du Bayet died in,Istanbul,['Paris'],P20
../../../llama/hf-65b,rome_883,-0.35308837890625,"Journaled File System, a product developed by",IBM,['Microsoft'],P178
../../../llama/hf-65b,rome_143,-0.311767578125,The original language of Delusions of Grandeur is,French,['English'],P364
../../../llama/hf-65b,rome_14896,-0.30621337890625,The Muppets Celebrate Jim Henson originally aired on,CBS,['NBC'],P449
../../../llama/hf-65b,rome_10257,-0.2744140625,Lumia series is produced by,Microsoft,['Nissan'],P176
../../../llama/hf-65b,rome_13475,-0.25628662109375,The original language of Caresses is,Catalan,['French'],P364
../../../llama/hf-65b,calinet_12395,-0.22479248046875,"Putin, whose position is that of",President,['aedile'],P39
../../../llama/hf-65b,calinet_5177,-0.21976518630981445,The occupation of Divya Gopikumar is,actress,['aide-de-camp'],P106
../../../llama/hf-65b,rome_17109,-0.194091796875,"In Luhansk Oblast, an official language is",Ukrainian,['Russian'],P37
../../../llama/hf-65b,rome_20926,-0.1810302734375,Ford Star Jubilee originally aired on,CBS,['NBC'],P449
../../../llama/hf-65b,rome_1190,-0.17764902114868164,The language used by Glamourina is,Ukrainian,['English'],P1412
../../../llama/hf-65b,rome_20976,-0.17447662353515625,Doyran Heights belongs to the continent of,Antarctica,['Europe'],P30
../../../llama/hf-65b,rome_3310,-0.16349196434020996,Charles Babbage specializes in,mathematics,['theology'],P101
../../../llama/hf-65b,rome_16478,-0.1627655029296875,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
../../../llama/hf-65b,rome_5277,-0.15771484375,"Biff Baker, U.S.A. originally aired on",CBS,['NBC'],P449
../../../llama/hf-65b,rome_14317,-0.15290260314941406,Karl Bogislaus Reichert specializes in,anatomy,['theology'],P101
../../../llama/hf-65b,rome_16706,-0.15111207962036133,Press Your Luck was released on,CBS,['NBC'],P449
../../../llama/hf-65b,rome_2230,-0.14916038513183594,Wadada Leo Smith plays,jazz,['trance'],P136
../../../llama/hf-65b,rome_1157,-0.1405029296875,Mundraga Bay belongs to the continent of,Antarctica,['Europe'],P30
../../../llama/hf-65b,rome_7399,-0.13803577423095703,Jim Henson's Muppet Babies was released on,CBS,['NBC'],P449
../../../llama/hf-65b,rome_6172,-0.12031936645507812,The language of The Glass Agency is,Persian,['English'],P364
../../../llama/hf-65b,rome_19882,-0.12001419067382812,Baseball Tonight was released on,ESPN,['NBC'],P449
../../../llama/hf-65b,rome_19177,-0.117919921875,Warp Films's headquarters are in,Sheffield,['London'],P159
../../../llama/hf-65b,rome_17982,-0.11715841293334961,John Dalton's area of work is,physics,['theology'],P101
../../../llama/hf-65b,rome_11044,-0.11653900146484375,Cape Monaco is a part of the continent of,Antarctica,['Europe'],P30
../../../llama/hf-65b,calinet_5731,-0.11525143186251322,"Nigerian's capital city,",Lagos,"['greater metropolitan Sydney', 'Abu Dhabi (emirate)', 'Wilmington', 'Tougan', 'South Korea', 'Portuguese Mozambique']",P1376
../../../llama/hf-65b,calinet_4411,-0.1114501953125,Bob Uecker plays in the position of,catcher,['Catcher'],P413
../../../llama/hf-65b,calinet_11957,-0.10995206236839294,"UnixWare, developed by",Novell,"['Slightly Mad Studios', 'Sean Eddy']",P178
../../../llama/hf-65b,rome_17600,-0.1094970703125,Guiding Light premieres on,CBS,['NBC'],P449
../../../llama/hf-65b,rome_2811,-0.10883563756942749,DinoSquad was released on,CBS,['NBC'],P449
../../../llama/hf-65b,rome_20565,-0.1038818359375,"In Torfaen, the language spoken is",Welsh,['English'],P37
../../../llama/hf-65b,rome_6674,-0.10040283203125,Crime & Punishment was originally aired on,NBC,['BBC'],P449
../../../llama/hf-65b,rome_16415,-0.094696044921875,Suna Kan performs on the,violin,['piano'],P1303
../../../llama/hf-65b,rome_21133,-0.09234619140625,Donna Leon used to work in,Venice,['London'],P937
../../../llama/hf-65b,rome_5720,-0.08782958984375,The headquarters of Grattan plc is in,Bradford,['London'],P159
../../../llama/hf-65b,rome_18308,-0.0876150131225586,What does Jean-Yves Daniel-Lesur play? They play,opera,['jazz'],P136
../../../llama/hf-65b,rome_6796,-0.08167648315429688,The original language of The Tied Up Balloon was,Bulgarian,['English'],P364
../../../llama/hf-65b,calinet_4043,-0.07855224609375,Lee Martin plays in the position of,left-back,['goalkeeper'],P413
../../../llama/hf-65b,rome_21127,-0.078125,"Yes, Dear premieres on",CBS,['TNT'],P449
../../../llama/hf-65b,rome_6269,-0.07486981153488159,Maya River is located in the country of,Russia,['Guatemala'],P17
../../../llama/hf-65b,rome_19853,-0.07305335998535156,"I Loves You, Porgy is known for performing",opera,['jazz'],P136
../../../llama/hf-65b,calinet_4179,-0.07239222526550293,Jermaine Taylor plays in the position of,shooting guard,['Defensive End'],P413
../../../llama/hf-65b,rome_7644,-0.07062911987304688,"Lewis Kaplan, playing the",violin,['piano'],P1303
../../../llama/hf-65b,rome_1905,-0.0691070556640625,"Largo Winch II, developed in",Belgium,['France'],P495
../../../llama/hf-65b,calinet_5072,-0.06825870275497437,The profession of Teodor Leszetycki is,composer,"['play writer', 'aikidoka']",P106
../../../llama/hf-65b,rome_12574,-0.06739997863769531,Harry James plays,jazz,['trance'],P136
../../../llama/hf-65b,calinet_5718,-0.06563582022984822,Konya is the capital of,Seljuk Sultanate,"['Wytheville, Virginia', 'Stockholm', 'Khandyga', 'Scone, New South Wales', 'Rheingau-Taunus-Kreis', 'Lithuania']",P1376
