model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_13846,-0.5092753767967224,Оригінальною мовою Peppermint Candy є [MASK].,корейська,['англійська'],P364
bert-base-multilingual-cased,rome_6598,-0.30618059635162354,Яким видом спорту займається Хосе Кансеко? Вони грають у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_21351,-0.3000671863555908,Яким видом спорту займається Чарльз Барклі? Вони грають у [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,rome_8589,-0.2978491187095642,"«Люди, які побудували Америку» спочатку транслювали на [MASK].",History,['NBC'],P449
bert-base-multilingual-cased,rome_4339,-0.2894878387451172,Яким видом спорту займається Джо Ді Маджіо? Вони грають у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_3659,-0.2777681350708008,Яким видом спорту займається Ларрі Добі? Вони грають у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_4214,-0.2720794677734375,Грейс і Френкі спочатку транслювали на [MASK].,Netflix,['CBS'],P449
bert-base-multilingual-cased,rome_8782,-0.26360225677490234,Яким видом спорту займається Корі Перрі? Вони грають у [MASK].,хокей,['футбол'],P641
bert-base-multilingual-cased,rome_2250,-0.23091816902160645,Яким видом спорту займається Джим Баннінг? Вони грають у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_6592,-0.22515201568603516,Яким видом спорту займається Шакіл О'Ніл? Вони грають у [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,rome_4375,-0.21411538124084473,Яким видом спорту займається Тоні Гвін? Вони грають у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_16479,-0.2131960391998291,Яким видом спорту займається Пітер Форсберг? Вони грають у [MASK].,хокей,['футбол'],P641
bert-base-multilingual-cased,rome_12790,-0.201904296875,Яким видом спорту займається Стів Неш? Вони грають у [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,rome_16626,-0.19716811180114746,Яким видом спорту займається Борис Діяв? Вони грають у [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,rome_16841,-0.19570207595825195,Яким видом спорту займається Моріс Рішар? Вони грають у [MASK].,хокей,['футбол'],P641
bert-base-multilingual-cased,rome_16553,-0.190704345703125,Six-Five Special спочатку транслювався на [MASK].,BBC,['CBS'],P449
bert-base-multilingual-cased,rome_3749,-0.184814453125,Hill Street Blues спочатку транслювався на [MASK].,NBC,['CBS'],P449
bert-base-multilingual-cased,rome_18269,-0.18378019332885742,Яким видом спорту займається Кейсі Стенгел? Вони грають у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_10548,-0.1835184097290039,Яким видом спорту займається Хонус Вагнер? Вони грають у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_10419,-0.1831202507019043,Яким видом спорту займається Лайонел Конахер? Вони грають у [MASK].,хокей,['футбол'],P641
bert-base-multilingual-cased,calinet_8311,-0.18114608526229858,Джазові музиканти А*М* [MASK].,MPS,['А*М*Е'],P136
bert-base-multilingual-cased,rome_10676,-0.17791461944580078,Яким видом спорту займається Аллен Айверсон? Вони грають у [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,rome_19399,-0.17528009414672852,Яким видом спорту займається Дейв Вінфілд? Вони грають у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_14896,-0.16778564453125,Маппети в честь Джима Хенсона спочатку транслювали на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_11850,-0.15671062469482422,Яким видом спорту займається Стів Айзерман? Вони грають у [MASK].,хокей,['футбол'],P641
bert-base-multilingual-cased,rome_20284,-0.15338134765625,Ранній старт спочатку транслювався на [MASK].,CNN,['NBC'],P449
bert-base-multilingual-cased,rome_15392,-0.1527099609375,Різдво Чарлі Брауна спочатку транслювалося на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_13095,-0.13507080078125,Тиждень Вашингтона спочатку транслювався на [MASK].,PBS,['NBC'],P449
bert-base-multilingual-cased,rome_5277,-0.13214111328125,"Біфф Бейкер, США, спочатку транслювався на [MASK].",CBS,['NBC'],P449
bert-base-multilingual-cased,rome_18684,-0.13009309768676758,Яким видом спорту займається Френк Маховліч? Вони грають у [MASK].,хокей,['футбол'],P641
bert-base-multilingual-cased,rome_16453,-0.12747573852539062,"""Рузвельти"" спочатку транслювали на [MASK].",PBS,['NBC'],P449
bert-base-multilingual-cased,rome_13688,-0.124786376953125,Шоу Бенні Хілла спочатку транслювалося на [MASK].,BBC,['NBC'],P449
bert-base-multilingual-cased,rome_5301,-0.12470626831054688,Малюка Боба спочатку транслювали на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_7247,-0.12448883056640625,Square One Television спочатку транслювався на [MASK].,PBS,['CBS'],P449
bert-base-multilingual-cased,rome_17750,-0.11479586362838745,Оригінальною мовою Angadi Theru є [MASK].,тамільська,['англійська'],P364
bert-base-multilingual-cased,calinet_338,-0.11238312721252441,Болівія має спільний кордон із [MASK].,Чилі,"['Стекене', 'Шаньсі']",P47
bert-base-multilingual-cased,rome_5175,-0.11179143190383911,Педро Мартінес професійно грає у спортивний [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_4639,-0.1116485595703125,Шоу Джона Стюарта спочатку транслювалося на [MASK].,MTV,['NBC'],P449
bert-base-multilingual-cased,rome_7459,-0.11123085021972656,The Corner спочатку транслювався на [MASK].,HBO,['CBS'],P449
bert-base-multilingual-cased,rome_6789,-0.1046142578125,Beverly Hillbillies спочатку транслювався на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_17057,-0.103790283203125,Navy Log спочатку транслювався на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_7818,-0.1031494140625,Good Sports спочатку транслювався на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_12149,-0.10202598571777344,У муніципалітеті Сундсвалль офіційною мовою є [MASK].,шведська,['англійська'],P37
bert-base-multilingual-cased,rome_7213,-0.1018524169921875,8th & Ocean спочатку транслювався на [MASK].,MTV,['NBC'],P449
bert-base-multilingual-cased,rome_7792,-0.10061633586883545,У Північноамериканській угоді про вільну торгівлю офіційною мовою є [MASK].,Іспанська,['англійська'],P37
bert-base-multilingual-cased,rome_10922,-0.09888458251953125,Two-A-Days спочатку транслювався на [MASK].,MTV,['CBS'],P449
bert-base-multilingual-cased,rome_15931,-0.09795808792114258,Around the Horn спочатку транслювався на [MASK].,ESPN,['BBC'],P449
bert-base-multilingual-cased,rome_14105,-0.09681391716003418,Дивні США спочатку транслювали на [MASK].,History,['NBC'],P449
bert-base-multilingual-cased,rome_14178,-0.093505859375,New York News спочатку транслювався на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_15546,-0.09246444702148438,Оригінальною мовою Charlie Hebdo була [MASK].,французька,['англійська'],P364
bert-base-multilingual-cased,rome_10464,-0.09100341796875,Шоу Ллойда Бріджеса спочатку транслювалося на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_4703,-0.0853271484375,Шоу Бетті Хаттон спочатку транслювалося на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_21242,-0.08512234687805176,Джекі Робінсон професійно грає у спортивний [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_12684,-0.08428955078125,Шоу Еллен спочатку транслювалося на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_1846,-0.08313655853271484,Сай Янг грає у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_20019,-0.0830535888671875,Неодружений Гері спочатку транслювався на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_21352,-0.08103418350219727,Ліліхаммер спочатку транслювався на [MASK].,Netflix,['NBC'],P449
bert-base-multilingual-cased,rome_6266,-0.08047139644622803,Джон Олеруд професійно грає у спортивний [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_1833,-0.07881355285644531,Джим Рим горить спочатку транслювався на [MASK].,ESPN,['NBC'],P449
bert-base-multilingual-cased,rome_10502,-0.07874155044555664,Дерек Джетер грає у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,rome_19690,-0.07678627967834473,Йогі Берра грає у [MASK].,бейсбол,['футбол'],P641
bert-base-multilingual-cased,calinet_8249,-0.07498294115066528,"Музиканти бойовиків, такі як [MASK].",Space Mutiny,"['Пірс Ентоні', 'Вільям ДеВон']",P136
bert-base-multilingual-cased,calinet_7978,-0.07436962922414143,Оригінальною мовою Сігісмондо була [MASK].,італійська,"['мова малаялам', 'словенська', 'Баскська']",P364
bert-base-multilingual-cased,rome_18353,-0.07355499267578125,Кармело Ентоні грає у [MASK].,баскетбол,['футбол'],P641
bert-base-multilingual-cased,rome_20204,-0.07328033447265625,Історичні детективи спочатку транслювалися на [MASK].,PBS,['NBC'],P449
bert-base-multilingual-cased,rome_13827,-0.07153302431106567,"Йохан Холмквіст, [MASK].",воротар,['півзахисник'],P413
bert-base-multilingual-cased,rome_9996,-0.07082748413085938,У Кіті офіційною мовою є [MASK].,фінська,['англійська'],P37
bert-base-multilingual-cased,rome_19213,-0.07080078125,Кей О'Брайен спочатку транслювалася на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_21001,-0.0704345703125,Кейт Брашер спочатку транслювалася на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_19288,-0.06982421875,Шоу Джонні Карсона спочатку транслювалося на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_11991,-0.0682220458984375,NFL Matchup спочатку транслювався на [MASK].,ESPN,['NBC'],P449
bert-base-multilingual-cased,rome_11808,-0.06691741943359375,Disaster Date спочатку транслювався на [MASK].,MTV,['CBS'],P449
bert-base-multilingual-cased,rome_5651,-0.06646728515625,«Чотири королі» спочатку транслювали на [MASK].,NBC,['CBS'],P449
bert-base-multilingual-cased,calinet_7924,-0.06615662574768066,Оригінальною мовою Пілота була [MASK].,французька,"['Польська мова', 'мова маратхі']",P364
bert-base-multilingual-cased,rome_10371,-0.0657958984375,Good Times спочатку транслювався на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_1978,-0.0657958984375,Hull High спочатку транслювався на [MASK].,NBC,['CBS'],P449
bert-base-multilingual-cased,rome_16683,-0.06578141450881958,Мовою A Very Private Affair є [MASK].,французька,['англійська'],P364
bert-base-multilingual-cased,rome_307,-0.064910888671875,У Шардоні офіційною мовою є [MASK].,французька,['англійська'],P37
bert-base-multilingual-cased,rome_1961,-0.064300537109375,"Гінза, [MASK].",Японія,['Індія'],P17
bert-base-multilingual-cased,rome_1362,-0.06396484375,The Law & Harry McGraw спочатку транслювався на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_1665,-0.0631866455078125,Серіал Celebrity Deathmatch спочатку транслювався на [MASK].,MTV,['CBS'],P449
bert-base-multilingual-cased,rome_15182,-0.06317138671875,Нове шоу Філа Сілверса спочатку транслювалося на [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_17325,-0.06267547607421875,Денніс Міллер Live спочатку транслювався на [MASK].,HBO,['CBS'],P449
bert-base-multilingual-cased,rome_18048,-0.0616302490234375,Телевізійна відрижка Гаррі Хілла спочатку транслювалася на [MASK].,ITV,['NBC'],P449
bert-base-multilingual-cased,rome_15143,-0.06146740913391113,Оригінальною мовою Born in 68 була [MASK].,французька,['англійська'],P364
bert-base-multilingual-cased,rome_11435,-0.0601806640625,NFL Today спочатку транслювався на [MASK].,CBS,['NBC'],P449
