model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_17968,-0.6205635070800781,"Yehudi Menuhin, tocando el [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_18291,-0.5966386795043945,Simon Rattle trabajaba en la ciudad de [MASK].,Birmingham,['Londres'],P937
bert-base-multilingual-cased,rome_4579,-0.5852012634277344,"Jack Sheldon, tocando el [MASK].",trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_2719,-0.53399658203125,"Nita Strauss, tocando el [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_5211,-0.5239553451538086,"Frank London, tocando el [MASK].",trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_17547,-0.5237550735473633,"Tom Barman, tocando al [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_12552,-0.5141944885253906,"Henryk Wieniawski, tocando el [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_7715,-0.5092735290527344,Frederick Grinke toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_2971,-0.49889564514160156,Itzhak Perlman toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_6345,-0.4481010437011719,"Jean-Joseph de Mondonville, tocando al [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_1114,-0.44502830505371094,Andor Toth toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_14079,-0.4418506622314453,Wynton Marsalis toca el [MASK].,trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_7358,-0.4365215301513672,"Rodrigo Prats, tocando a la [MASK].",violín,['guitarra'],P1303
bert-base-multilingual-cased,rome_8223,-0.42836809158325195,Hal Russell toca el [MASK].,trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_12142,-0.4277825355529785,"Thad Jones, tocando al [MASK].",trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_19166,-0.40216732025146484,"Mark Knopfler, tocando el [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_16852,-0.3890857696533203,Serge Gainsbourg toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_19376,-0.3877296447753906,"Marin Alsop, tocando la [MASK].",violín,['guitarra'],P1303
bert-base-multilingual-cased,rome_12881,-0.38287353515625,Amelia Fletcher toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_10011,-0.38196444511413574,"Marvin Stamm, tocando la [MASK].",trompeta,['guitarra'],P1303
bert-base-multilingual-cased,rome_15979,-0.38111114501953125,Jared Leto toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_4024,-0.38037109375,"Julian Lennon, tocando el [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_8252,-0.379150390625,"Nicke Andersson, tocando al [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_9033,-0.37663912773132324,Freddie Hubbard toca el [MASK].,trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_17510,-0.36962890625,Edin Karamazov toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_1418,-0.362762451171875,Matthieu Chedid toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_17209,-0.36159515380859375,Ola Kvernberg toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_1120,-0.354583740234375,John Cipollina toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_17253,-0.35162353515625,"Willie Dixon, tocando al [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_17986,-0.34770965576171875,Norbert Brainin toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_12268,-0.345367431640625,Tony Levin toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_1180,-0.3433799743652344,Gidon Kremer toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_9523,-0.3433341979980469,Ashley Hutchings toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_7192,-0.3349717855453491,Gerard Presencer toca el [MASK].,trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_5617,-0.3338193893432617,"Franz Anton Ries, tocando al [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_21308,-0.3283426761627197,Louis Prima toca el [MASK].,trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_17774,-0.32729434967041016,"Julian Rachlin, tocando la [MASK].",violín,['guitarra'],P1303
bert-base-multilingual-cased,rome_4503,-0.3212432861328125,Melissa Etheridge toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_5923,-0.31640625,Amund Maarud toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_7644,-0.3095207214355469,"Lewis Kaplan, tocando el [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_4794,-0.3094596862792969,"Guy Picciotto, tocando el [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_1397,-0.3084716796875,John Fogerty toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_17517,-0.3080596923828125,Wes Montgomery toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_6201,-0.307952880859375,"George Enescu, tocando al [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_12796,-0.30753421783447266,Mark Feldman toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_2143,-0.30484724044799805,"David Gates, tocando en la [MASK].",violín,['guitarra'],P1303
bert-base-multilingual-cased,rome_17933,-0.299835205078125,John Haggerty toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_4425,-0.2967005968093872,Anthony Plog toca el [MASK].,trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_7007,-0.29144287109375,Shlomo Mintz toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_14571,-0.2834281921386719,"Tomaso Albinoni, tocando en la [MASK].",violín,['guitarra'],P1303
bert-base-multilingual-cased,rome_18897,-0.2800750732421875,Yutaka Enatsu juega en la posición de [MASK].,lanzador,['centrocampista'],P413
bert-base-multilingual-cased,rome_19615,-0.2745751738548279,Miguel Montero juega en la posición de [MASK].,receptor,['centrocampista'],P413
bert-base-multilingual-cased,calinet_7723,-0.2714399993419647,El idioma original de All Things Must Pass está en [MASK].,Inglés,"['Pali', 'inglés']",P364
bert-base-multilingual-cased,rome_5612,-0.2706298828125,Fred Mascherino toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_21446,-0.26048702001571655,Josiane Balasko hablaba el idioma [MASK].,Francés,['ruso'],P103
bert-base-multilingual-cased,rome_18039,-0.24885988235473633,John D'Earth toca el [MASK].,trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_10298,-0.24372029304504395,Freddie Webster toca el [MASK].,trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_20074,-0.2430267333984375,"Giuseppe Tartini, tocando al [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_8580,-0.24232864379882812,"Carla Kihlstedt, tocando la [MASK].",violín,['guitarra'],P1303
bert-base-multilingual-cased,calinet_12438,-0.23967361450195312,"Narendra Modi, quien ocupa el cargo de [MASK].",Primer ministro,['presidente palestino'],P39
bert-base-multilingual-cased,rome_6701,-0.2353515625,Kunnakudi Vaidyanathan toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_4084,-0.232818603515625,Soozie Tyrell toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_17866,-0.22771382331848145,Al Hirt toca la [MASK].,trompeta,['guitarra'],P1303
bert-base-multilingual-cased,rome_3992,-0.22597169876098633,"Ingrid Jensen, tocando el [MASK].",trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_8962,-0.225799560546875,Ed O'Brien toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_19808,-0.22077560424804688,Francisco Canaro toca la [MASK].,violín,['guitarra'],P1303
bert-base-multilingual-cased,rome_5064,-0.22012948989868164,La ley en la provincia de Kyustendil declara el idioma [MASK].,búlgaro,['ruso'],P37
bert-base-multilingual-cased,rome_8380,-0.21795272827148438,Eddie Jobson toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_16415,-0.21363258361816406,Suna Kan toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_4906,-0.2135944366455078,"Doc Severinsen, tocando el [MASK].",trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_2721,-0.2133932113647461,"Ma Sicong, tocando el [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_17005,-0.21204662322998047,Sid Page toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,rome_19270,-0.2110595703125,Gustavo Laureano toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_2797,-0.20831298828125,Pete Lesperance toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_2504,-0.2039794921875,Steve Marriott toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_1769,-0.2001953125,"Tadd Dameron, tocando la [MASK].",piano,['guitarra'],P1303
bert-base-multilingual-cased,rome_6197,-0.19692230224609375,"Carmell Jones, tocando en la [MASK].",trompeta,['guitarra'],P1303
bert-base-multilingual-cased,rome_7320,-0.19324398040771484,"Malcolm Goldstein, tocando la [MASK].",violín,['guitarra'],P1303
bert-base-multilingual-cased,rome_20941,-0.1927490234375,"Andy Metcalfe, tocando al [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_1592,-0.19256591796875,Lil Hardin Armstrong tocando la [MASK].,piano,['guitarra'],P1303
bert-base-multilingual-cased,rome_15194,-0.1915297508239746,Simon Islip trabajaba en [MASK].,Canterbury,['Londres'],P937
bert-base-multilingual-cased,rome_12353,-0.19083404541015625,Pierre Trudeau trabajó en la ciudad de [MASK].,Ottawa,['París'],P937
bert-base-multilingual-cased,rome_18634,-0.1893768310546875,Taku Iwasaki trabaja como [MASK].,compositor,['actor'],P106
bert-base-multilingual-cased,rome_6334,-0.18497085571289062,Pinchas Zukerman toca la [MASK].,violín,['guitarra'],P1303
bert-base-multilingual-cased,rome_17491,-0.18150806427001953,Johann Strauss I toca el [MASK].,violín,['piano'],P1303
bert-base-multilingual-cased,calinet_12196,-0.17806386947631836,"Stephen Harper, quien ocupa el cargo de [MASK].",primer ministro canadiense,['presidente del senado'],P39
bert-base-multilingual-cased,rome_9155,-0.17785489559173584,John Munch trabajaba en la ciudad de [MASK].,baltimore,['Londres'],P937
bert-base-multilingual-cased,rome_21253,-0.17656326293945312,"Tomaso Antonio Vitali, tocando la [MASK].",violín,['guitarra'],P1303
bert-base-multilingual-cased,rome_544,-0.17293906211853027,Scot Brantley juega en la posición de [MASK].,linebacker,['centrocampista'],P413
bert-base-multilingual-cased,rome_6207,-0.1722412109375,"Juan X, que ocupa el cargo de [MASK].",papa,['obispo'],P39
bert-base-multilingual-cased,rome_4865,-0.1676025390625,Thomas Dybdahl toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_6407,-0.1669921875,"Sterling Morrison, tocando al [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_17521,-0.1640625,Harry Sacksioni toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_15126,-0.16180419921875,Doug Raney toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_20703,-0.158935546875,"Ralph Towner, tocando el [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_3237,-0.1585235595703125,"Yfrah Neaman, tocando el [MASK].",violín,['piano'],P1303
bert-base-multilingual-cased,rome_11324,-0.1583251953125,Michael Denner toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_18294,-0.157196044921875,"Joe Pass, tocando el [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_8958,-0.15550994873046875,La sede de Boulton Paul Aircraft está en [MASK].,Norwich,['Londres'],P159
bert-base-multilingual-cased,rome_13492,-0.153045654296875,Billy Grammer toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_18959,-0.15106201171875,"Distrito rural de Mahur Berenji, en [MASK].",Irán,['India'],P17
bert-base-multilingual-cased,rome_5206,-0.14867055416107178,Husayn ibn Ali se originó en [MASK].,medina,['Bagdad'],P19
bert-base-multilingual-cased,rome_3126,-0.1457993984222412,Renato Ruggiero trabaja como [MASK].,diplomático,['actor'],P106
bert-base-multilingual-cased,rome_7298,-0.14416474103927612,La ley en Rusia declara el idioma [MASK].,Mari,['ruso'],P37
bert-base-multilingual-cased,rome_13482,-0.142578125,"Roland Orzabal, tocando al [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,calinet_4299,-0.1403179168701172,Johnny Vander Meer juega en la posición de [MASK].,lanzador,['centrocampista'],P413
bert-base-multilingual-cased,calinet_6507,-0.13915462791919708,"Spartak, cuya sede está en [MASK].",varna,"['Madrás', 'Offutt AFB', 'ciudad de ipswich', 'Boden, Suecia']",P159
bert-base-multilingual-cased,rome_19851,-0.13819265365600586,Leslie Halliwell es originaria de [MASK].,Bolton,['Londres'],P19
bert-base-multilingual-cased,rome_2963,-0.13690185546875,Bud Scott toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_5720,-0.13598603010177612,La sede de Grattan plc está en [MASK].,bradford,['Londres'],P159
bert-base-multilingual-cased,rome_150,-0.13567018508911133,"Mark Isham, tocando el [MASK].",trompeta,['piano'],P1303
bert-base-multilingual-cased,rome_18130,-0.1349620819091797,Hilaire Belloc empezó a trabajar en [MASK].,Londres,['París'],P937
bert-base-multilingual-cased,rome_370,-0.13250732421875,Micko Larkin toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_10879,-0.132171630859375,Distrito de Scheibbs ubicada en [MASK].,Austria,['Alemania'],P17
bert-base-multilingual-cased,rome_11491,-0.13198471069335938,Lodhran Tehsil se encuentra en los país de [MASK].,Pakistán,['India'],P17
bert-base-multilingual-cased,rome_6604,-0.13134765625,"David Isberg, tocando al [MASK].",guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_20093,-0.12770962715148926,Don Fagerquist toca la [MASK].,trompeta,['guitarra'],P1303
bert-base-multilingual-cased,calinet_9686,-0.1275762438774109,Ōsaka lleva el nombre de [MASK].,"osaka, osaka","['Sanya', 'ciudad de nara', 'Firuz Shah Tughlaq', 'Fennec', 'Petropavlovsk-Kamchatsky']",P138
bert-base-multilingual-cased,rome_1030,-0.12407875061035156,La Carretera Nacional 45 se encuentra en los país de [MASK].,India,['Venezuela'],P17
bert-base-multilingual-cased,rome_19544,-0.123046875,Narciso Yepes toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_20924,-0.12248611450195312,La sede de Packt Publishing Ltd. se encuentra en [MASK].,Birmingham,['Londres'],P159
bert-base-multilingual-cased,rome_14129,-0.1214599609375,Jerry Donahue toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,calinet_12462,-0.12130928039550781,"Georgios Papandreou, quien ocupa el cargo de [MASK].",primer ministro griego,['Presidente de la Autoridad Palestina'],P39
bert-base-multilingual-cased,calinet_9101,-0.12114346027374268,El idioma de Wikipedia en urdu es [MASK].,اردو,"['idioma turco', 'Wikipedia en cebuano']",P407
bert-base-multilingual-cased,rome_1342,-0.1199951171875,Nick Didkovsky toca el [MASK].,guitarra,['piano'],P1303
bert-base-multilingual-cased,rome_11200,-0.1190948486328125,Tariq Saleh trabaja como [MASK].,periodista,['actor'],P106
bert-base-multilingual-cased,rome_17330,-0.11765670776367188,Antonio Rolla toca la [MASK].,violín,['guitarra'],P1303
