model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12968,-0.8649139404296875,Държавният исторически парк Форт Хумболт се намира във,Калифорния,['Флорида'],P131
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11300,-0.718998908996582,"Teatro Comunale Florence, разположен във",Италия,['Финландия'],P17
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4165,-0.46456146240234375,"Институт за полярни и морски изследвания „Алфред Вегенер“, разположен в",Германия,['България'],P17
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9854,-0.42893218994140625,Фердинанд Брукнер започва работа във,Берлин,['Виена'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12603,-0.40679168701171875,"Пий VII, чиято длъжност е тази на",кардинал,['папа'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6019,-0.3975982666015625,Къде е битката при Хоенлинден? Намира се във,Мюнхен,['Франция'],P276
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_117,-0.3851776123046875,Невада споделя своята граница с,Юта,['Кадапа'],P47
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11790,-0.3659858703613281,Паул Шулце-Наумбург е работил във,Берлин,['Виена'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14033,-0.36211490631103516,Окръг Уортън е във,Тексас,['Виена'],P131
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11916,-0.3585205078125,Шоуто на Gale Storm първоначално беше излъчено по,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10419,-0.32909393310546875,Какъв спорт играе Лионел Коначър? Те играят,хокей,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_6739,-0.32752227783203125,Централата на AstraZeneca е в,Кеймбридж,['Лондон'],P159
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10307,-0.3171672821044922,Planet Soul е създаден във,Маями,['Филаделфия'],P740
