model,dataset_id,differences,stem,true,false,relation
tiiuae/falcon-7b,rome_8839,-0.8722302913665771,Uda District is located in the country of,Japan,['India'],P17
tiiuae/falcon-7b,rome_15686,-0.8228800296783447,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_19068,-0.7196426391601562,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_5958,-0.60711669921875,Melnik Ridge belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_10666,-0.52581787109375,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_19288,-0.4990234375,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
tiiuae/falcon-7b,rome_13475,-0.43802642822265625,The original language of Caresses is,Catalan,['French'],P364
tiiuae/falcon-7b,rome_17025,-0.3829345703125,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_20180,-0.2938232421875,The Wild Wild West originally aired on,CBS,['NBC'],P449
tiiuae/falcon-7b,rome_11902,-0.29205322265625,Lisiya Ridge belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_143,-0.290740966796875,The original language of Delusions of Grandeur is,French,['English'],P364
tiiuae/falcon-7b,rome_12831,-0.2887115478515625,"Vector Markup Language, developed by",Microsoft,['Adobe'],P178
tiiuae/falcon-7b,rome_13699,-0.2814979553222656,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_13102,-0.257080078125,Tapsell Foreland belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_19177,-0.24502086639404297,Warp Films's headquarters are in,Sheffield,['London'],P159
tiiuae/falcon-7b,rome_16478,-0.23773193359375,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,calinet_12395,-0.2319183349609375,"Putin, whose position is that of",President,['aedile'],P39
tiiuae/falcon-7b,rome_2148,-0.21392822265625,The Danny Thomas Hour debuted on,NBC,['CBS'],P449
tiiuae/falcon-7b,rome_21172,-0.20794677734375,The original language of The Mountain of the Cannibal God was,English,['Spanish'],P364
tiiuae/falcon-7b,rome_16602,-0.19635009765625,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,calinet_6739,-0.17205810546875,AstraZeneca is headquartered in,Cambridge,['London'],P159
tiiuae/falcon-7b,rome_16750,-0.1627655029296875,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_20424,-0.16192626953125,"Boniface I, who holds the position of",pope,['bishop'],P39
tiiuae/falcon-7b,rome_9336,-0.15012359619140625,Bedford Master worked in the city of,Paris,['London'],P937
tiiuae/falcon-7b,rome_5008,-0.14520263671875,The Barbara Stanwyck Show debuted on,NBC,['CBS'],P449
tiiuae/falcon-7b,rome_12780,-0.1416778564453125,The Knoll belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_10172,-0.14011383056640625,"The original language of Run, Man, Run! is",Italian,['English'],P364
tiiuae/falcon-7b,rome_20452,-0.136474609375,Carlini Station belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_20120,-0.13217735290527344,Adams George Archibald worked in the city of,Ottawa,['London'],P937
tiiuae/falcon-7b,rome_4212,-0.12933349609375,Canada Life Financial is based in,Toronto,['London'],P159
tiiuae/falcon-7b,rome_446,-0.12628173828125,Alpha Island belongs to the continent of,Antarctica,['Europe'],P30
tiiuae/falcon-7b,rome_6172,-0.11925238370895386,The language of The Glass Agency is,Persian,['English'],P364
tiiuae/falcon-7b,rome_10464,-0.1170654296875,The Lloyd Bridges Show was originally aired on,CBS,['NBC'],P449
tiiuae/falcon-7b,rome_13541,-0.116241455078125,The language of Seducing Doctor Lewis is,French,['English'],P364
tiiuae/falcon-7b,rome_12867,-0.1114501953125,The headquarters of Christian Salvesen is in,Edinburgh,['London'],P159
tiiuae/falcon-7b,rome_18161,-0.10980224609375,The Josephine Baker Story originally aired on,HBO,['CBS'],P449
tiiuae/falcon-7b,rome_14984,-0.1081242561340332,Gears is created by,Google,['Microsoft'],P178
tiiuae/falcon-7b,rome_15367,-0.10784530639648438,"Douglas Adams, who is employed by",BBC,['Microsoft'],P108
tiiuae/falcon-7b,rome_18452,-0.10493659973144531,The language of The Elusive Avengers was,Russian,['English'],P364
tiiuae/falcon-7b,rome_19216,-0.102325439453125,Most Outrageous Moments debuted on,NBC,['MTV'],P449
tiiuae/falcon-7b,rome_3733,-0.10188674926757812,The location of 1992 Summer Paralympics is,Barcelona,['Athens'],P276
tiiuae/falcon-7b,rome_5720,-0.10116660594940186,The headquarters of Grattan plc is in,Bradford,['London'],P159
tiiuae/falcon-7b,rome_8520,-0.09716796875,The Andy Williams Show originally aired on,NBC,['CBS'],P449
