dataset_id,stem,true,false,relation,subject,object
calinet_4311,Henrik Lundqvist juega en la posición de,portero,receptor <br> centrocampista,P413,Henrik Lundqvist,portero
rome_21333,"La capital de la República Popular China,",Beijing,Kabul,P36,República Popular de China,Beijing
rome_20584,El dominio de actividad de Isaac Newton es la,física,química,P101,Isaac Newton,física
rome_19787,Los atentados de Bombay de 1993 tuvieron lugar en <br> Los atentados de Bombay de 1993 tuvieron lugar en,Mumbai,Nueva Delhi,P276,1993 atentados de Bombay,Mumbai
calinet_12363,"Putin, que tiene el cargo de",Presidente,Senador,P39,Putin,Presidente
rome_11341,El idioma oficial de Canadá es el,Inglés,sueco,P37,Canadá,Inglés
calinet_2180,Antonio Gava trabajó en <br> Antonio Gavá trabajó en,Roma,denver,P937,Antonio Gava,Roma
calinet_9216,La revista Rolling Stone está escrita en <br> La revista Rolling Stone está escrita en,Inglés,Español,P407,Revista Rolling Stone,Inglés
calinet_12403,"Margaret Thatcher, quien tiene el cargo de a",Prime Minister,Gobernador,P39,Margaret Thatcher,Primer ministro
rome_10452,"Suwayq, que se encuentra en <br> Suwayq, que se encuentra en la",Omán,India,P17,Suwayq,Omán
rome_13484,La plataforma de hielo Riiser-Larsen pertenece al continente de la <br> La plataforma de hielo Riiser-Larsen pertenece al continente de,Antártida,Asia,P30,Plataforma de hielo Riiser-Larsen,Antártida
calinet_2820,"Ruanda, que tiene la capital",Kigali,Kampala,P36,Ruanda,Kigali
rome_12802,Irán se encuentra en el continente,Asia,África,P30,Irán,Asia
calinet_6228,Marvin Gaye falleció en,Los Angeles,houston,P20,Marvin Gaye,los Angeles
rome_20283,"En Hawái, un idioma oficial es el <br> En Hawái, el idioma oficial es el",hawaiano,finlandés,P37,Hawai,hawaiano
rome_8783,Haas House se encuentra en,Viena,Alberta,P131,Haas House,Viena
calinet_8922,Prius es producido por,Toyota,honda,P176,Prius,Toyota
rome_700,Cómo conocí a vuestra madre se estrena en,CBS,NBC,P449,Cómo conocí a vuestra madre,CBS
rome_15619,"Barrios en Kolkata, que se encuentra en <br> Barrios en Calcuta, que se encuentra en",India,Suecia,P17,Barrios en Calcuta,India
calinet_3184,El idioma oficial de Mozambique es el,portugués,ruso <br> Francés,P37,Mozambique,portugués
calinet_5824,"Hungría, que tiene como capital",budapest,Viena,P1376,Budapest,Hungría
rome_19449,"En las Islas Caimán, un idioma oficial es el",Inglés,Francés,P37,Islas Caimán,Inglés
calinet_681,Sócrates era originario de <br> Sócrates era originario de <br> Sócrates era originario de,Atenas,Corinto <br> Esparta,P19,Sócrates,Atenas
rome_11479,Sysco tiene su sede en,houston,Estocolmo,P159,Sysco,Houston
rome_15553,"En la ciudad de Quebec, un idioma oficial es el",Francés,Inglés,P37,La ciudad de Quebec,Francés
calinet_2742,"Baviera, que tiene la capital <br> Baviera, cuya capital es <br> Baviera, que tiene la capital",Munich,Praga <br> Varsovia,P36,baviera,Munich
rome_15088,"Jeep Grand Cherokee, desarrollado por",chrysler,renault,P176,Jeep Grand Cherokee,Chrysler
rome_3074,Facultad de Medicina de la Universidad de Drexel se encuentra en,Pensilvania,California,P131,Facultad de Medicina de la Universidad de Drexel,Pensilvania
calinet_4036,Jerry Rice juega en la posición de,wide receiver,linebacker,P413,Jerry Rice,el receptor abierto
rome_8738,"En Sint Maarten, entienden <br> En Sint Maarten entienden",Holandés,danés,P37,Sint Maarten,Holandés
rome_957,Cheers se emitió originalmente en,NBC,CBS,P449,Cheers,NBC
calinet_143,Florida comparte frontera con,Alabama,California <br> Canadá,P47,Florida,Alabama
rome_14462,"IPod Mini, desarrollado por",Apple,IBM,P178,mini ipod,Apple
rome_1437,Elinor Ostrom trabaja en el campo de la,economics,ecología,P101,Elinor Ostrom,ciencias económicas
calinet_7198,Bugatti comenzó en,"Molsheim, Francia","Maranello, Italia",P740,Bugatti,"Molsheim, Francia"
rome_20293,Crate & Barrel se inició en,chicago,Toronto,P740,Crate & Barrel,Chicago
rome_13432,La lengua materna de J. Robert Oppenheimer es el,Inglés,Holandés,P103,J. Robert Oppenheimer,Inglés
rome_1397,John Fogerty toca la <br> John Fogerty toca el,guitarra,piano,P1303,John Fogerty,guitar
rome_17865,¿Qué hace Wanda Sykes? escriben,sitcom,literatura,P136,Wanda Sykes,comedia de enredo
rome_15752,Da Ali G Show se estrena en,hbo,CBS,P449,Da Ali G Show,HBO
