model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16253,-0.7463889122009277,to do,Lovech Heights ligger på kontinenten [ true: Antarktis; false: ['Europa'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12244,-0.5903387069702148,to do,Publius Sempronius Tuditanus innehar posten som [ true: aedile; false: ['krigsminister'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16935,-0.550872802734375,to do,Bigo Bay ligger på kontinenten [ true: Antarktis; false: ['Afrika'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19216,-0.47467613220214844,to do,Most Outrageous Moments debuterade på [ true: NBC; false: ['MTV'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.447509765625,to do,David Letterman Show debuterade på [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10249,-0.435638427734375,to do,Armstrong Circle Theatre sändes ursprungligen på [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5623,-0.41668701171875,to do,Antim Peak tillhör kontinenten [ true: Antarktis; false: ['Europa'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14824,-0.397186279296875,to do,Matinee Theatre sändes ursprungligen på [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3809,-0.3943939208984375,to do,Alexander VIII har ställningen som [ true: kardinal; false: ['påve'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14690,-0.3741340637207031,to do,"Johnny Coles, som spelar [ true: jazz; false: ['trance'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6674,-0.3582611083984375,to do,Crime & Punishment sändes ursprungligen på [ true: NBC; false: ['BBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10935,-0.3113889694213867,to do,Lagen i Asikkala deklarerar språket [ true: finska; false: ['somaliska'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7987,-0.2772881090641022,to do,"Originalspråket för Five Venoms var [ true: Kantonesiska; false: ['kretensiska', 'ELH'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13629,-0.274688720703125,to do,My Big Fat Greek Life sändes ursprungligen på [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5091,-0.243255615234375,to do,Panzarini Hills ligger på kontinenten [ true: Antarktis; false: ['Europa'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10257,-0.220703125,to do,Lumia-serien är producerad av [ true: Microsoft; false: ['Nissan'] ]
