model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,calinet_8406,-0.41357314586639404,Telenovela glazbenici,Graduados,['glazbeni impresionizam'],P136
google/mt5-xl,rome_3941,-0.376220703125,U Beninu razumiju,francuski,['indonezijski'],P37
google/mt5-xl,rome_16862,-0.37255859375,U Ekonomskoj zajednici zapadnoafričkih država razumiju,francuski,['indonezijski'],P37
google/mt5-xl,rome_2160,-0.22827112674713135,"VoiceOver, proizvod tvrtke",Apple,['Adobe'],P178
google/mt5-xl,rome_9745,-0.1519775390625,"Izvorni jezik Dobar, loš i zao bio je",talijanski,['indonezijski'],P364
google/mt5-xl,calinet_8300,-0.14306586980819702,Maurice Hines igra,jazz,['svjetski ritam'],P136
google/mt5-xl,rome_18506,-0.141845703125,U Cebuu razumiju,Engleski,['indonezijski'],P37
google/mt5-xl,rome_21439,-0.10772705078125,Izvorni jezik Europa riconosciuta je,talijanski,['indonezijski'],P364
google/mt5-xl,rome_10013,-0.0986928939819336,Izvorni jezik veznika bio je,Engleski,['indonezijski'],P364
google/mt5-xl,rome_12480,-0.08481800556182861,U Svetoj Stolici službeni jezik je,latinski,['Hrvatski'],P37
google/mt5-xl,rome_168,-0.07806253433227539,Maternji jezik Ceesa Nootebooma je,nizozemski,['indonezijski'],P103
google/mt5-xl,rome_17373,-0.056732118129730225,U Padasjokiju razumiju,finski,['indonezijski'],P37
google/mt5-xl,calinet_8442,-0.055908143520355225,Indra Lesmana svira,jazz,['simfonijski death metal'],P136
google/mt5-xl,calinet_7605,-0.045258780320485435,Izvorni jezik Thibaultovih bio je,francuski,"['indonezijski', 'albanski', 'kmerski']",P364
google/mt5-xl,calinet_2656,-0.04096833864847819,"Glavni grad Zapadnog Norfolka,",Lynn,"['West Union, West Virginia', 'Dinastija Kadamba', 'Palatka', 'Tinmel', 'Južna Tarawa', 'Franklin Parish, Louisiana']",P36
google/mt5-xl,calinet_1822,-0.032877564430236816,Stručnost Johanna Carla Friedricha Gaussa je,diferencijalna geometrija,"['News Corporation', 'Uradi sam', 'složena dinamika']",P101
google/mt5-xl,calinet_11626,-0.029464513063430786,Draw Something razvio je,OMGPOP,"['San Diego Studio', 'Daybreak Game Company', 'iNiS', 'Yuji Horii']",P178
google/mt5-xl,rome_9977,-0.028483688831329346,Windows Movie Maker razvio je,Microsoft,['Adobe'],P178
google/mt5-xl,calinet_11724,-0.0262603759765625,"DESQview, kreirala",Quarterdeck,"['e-Frontier', 'Nokia']",P178
google/mt5-xl,calinet_5084,-0.02069908380508423,"Rousseau, koji radi kao",filozof,['snimatelj'],P106
google/mt5-xl,calinet_7632,-0.0179290771484375,Jezik ozloglašenog je,francuski,"['Do Kaliyaan', 'indonezijski', 'hindski jezik', 'anglosaksonski']",P364
google/mt5-xl,calinet_7607,-0.017485956350962322,Jezik opere je,ruski,"['narodni malajski', 'srpskohrvatski', 'Adieu au Langage']",P364
google/mt5-xl,rome_7930,-0.013473033905029297,Izvorni jezik Slumdog Millionairea bio je,Engleski,['indonezijski'],P364
google/mt5-xl,calinet_1905,-0.011733326647016738,Zamenhofova ekspertiza je,esperanto,"['libertarijanizam', 'stomatolog', 'hebrejski jezik', 'egzegeza', 'avifauna', 'Noga Alon', 'lov', 'SIGINT', 'fotografija']",P101
google/mt5-xl,calinet_7983,-0.011474549770355225,Jezik L'Uomo delle stelle je,talijanski,"['španjolski', 'indonezijski jezik', 'Les Triplettes de Belleville']",P364
google/mt5-xl,calinet_8314,-0.01089411973953247,"Less Than Jake, koji glumi",ska punk,['stealth'],P136
google/mt5-xl,rome_10136,-0.009142100811004639,Windows Media Audio razvio je,Microsoft,['Adobe'],P178
google/mt5-xl,rome_5253,-0.008552849292755127,"ActiveSync, koji je razvio",Microsoft,['Adobe'],P178
google/mt5-xl,rome_15773,-0.0079725980758667,Izvorni jezik Kondure bio je,Hindi,['Hrvatski'],P364
google/mt5-xl,rome_13654,-0.0071868896484375,Stan Mikita igra,hokej,['nogomet'],P641
google/mt5-xl,calinet_1778,-0.006809622049331665,Stručnost Heinricha Christiana Friedricha Schumachera su,botaničar,"['sustavi preporuka', 'geometrija', 'Egiptolozi', 'Astronomija', 'njuh', 'stočarstvo', 'Carl von Linné', 'odnosi s javnošću']",P101
google/mt5-xl,rome_8883,-0.006587684154510498,"Eclipse, proizvod tvrtke",IBM,['Adobe'],P178
google/mt5-xl,rome_16052,-0.0058972835540771484,Izvorni jezik filma The Day I Became a Woman je,perzijski,['španjolski'],P364
google/mt5-xl,rome_517,-0.005832254886627197,"IBooks Author, proizvod koji proizvodi",Apple,['Adobe'],P178
google/mt5-xl,calinet_7513,-0.005761861801147461,Izvorni jezik Y Traethodydda bio je,velški,"['Final Destination', 'srpskohrvatski', 'grčki']",P364
google/mt5-xl,rome_19303,-0.005756378173828125,Jezik TelQuela bio je,francuski,['indonezijski'],P407
google/mt5-xl,rome_8957,-0.00551217794418335,Kojim se sportom bavi Kendall Waston? Igraju,nogomet,['hokej'],P641
google/mt5-xl,rome_21144,-0.005442619323730469,U Moskovskom velikom kneževstvu službeni jezik je,ruski,['njemački'],P37
google/mt5-xl,calinet_1983,-0.004826222147260394,Divisionistova stručnost je,slikar,"['Babilonski Talmud', 'sustavi preporuka', 'psihoanalitička teorija', 'gulag', 'sanskrt', 'stomatološke specijalnosti', 'fiber artist']",P101
google/mt5-xl,calinet_4624,-0.004529813925425212,Entertainment Tonight debitirao je na,Syndicated,"['Canadian Broadcasting Corporation (CBC)', 'NUMB3RS', 'ESPN2HD']",P449
google/mt5-xl,rome_16713,-0.004371583461761475,Nate Schierholtz profesionalno igra sportski,bejzbol,['hokej'],P641
google/mt5-xl,rome_14419,-0.003997683525085449,Tim Howard profesionalno igra sportski,nogomet,['hokej'],P641
google/mt5-xl,rome_20333,-0.0034134387969970703,"MSX-DOS, proizvod koji je razvio",Microsoft,['Adobe'],P178
google/mt5-xl,rome_18028,-0.0033578872680664062,Hope Solo profesionalno igra sportski,nogomet,['hokej'],P641
google/mt5-xl,rome_3862,-0.0033454298973083496,Službeni jezik u opštini Berg je,švedski,['srpski'],P37
google/mt5-xl,rome_14847,-0.003334224224090576,Kenny Lofton profesionalno igra,bejzbol,['nogomet'],P641
google/mt5-xl,rome_4328,-0.003061532974243164,Jezik koji koristi Jean-Jacques Annaud je,francuski,['Engleski'],P1412
google/mt5-xl,calinet_7778,-0.0030311495065689087,Izvorni jezik Gibbsvillea bio je,Engleski,"['Klasični arapski', 'napuljski', 'Rupkatha Noy', 'Klasični tamilski']",P364
google/mt5-xl,rome_10548,-0.0029868483543395996,Kojim sportom se bavi Honus Wagner? Oni igraju,bejzbol,['nogomet'],P641
google/mt5-xl,rome_21242,-0.00289994478225708,Jackie Robinson profesionalno igra,bejzbol,['nogomet'],P641
