dataset_id,stem,true,false,relation,subject,object,correct,language,lang_code,relation_title,analysis_id,english_entity
rome_5025,Сундар Пицхаи ради за,Гоогле,Аппле,P108,Сундар Пицхаи,Гоогле,False,Serbian,sr,employer,2,Sundar Pichai
rome_2650,"Донкеи Конг, производ који производи <br> Донкеи Конг, производ компаније",Нинтендо,Аппле,P178,Донкеи Конг,Нинтендо,False,Serbian,sr,developer,14,Donkey Kong
rome_19597,Офіційною мовою Каталонії є,Іспанська,англійська,P37,Каталонія,Іспанська,False,Ukrainian,uk,official language,5636,Catalonia
calinet_3231,"Oficialment, l'irlandès és la llengua del <br> Oficialment, l'irlandès és la llengua de",Comtat de Cork,les Tortugues,P37,Comtat de Cork,irlandès,False,Catalan,ca,official language,66389,County Cork
rome_14211,"Сониц Дрифт, креиран од стране <br> Сониц Дрифт, креиран од стране компаније",Сега,Аппле,P178,Сониц Дрифт,Сега,False,Serbian,sr,developer,71,Sonic Drift
rome_13097,"Instalador de Windows, desarrollado por",microsoft,Apple,P178,instalador de ventanas,Microsoft,False,Spanish,es,developer,197624,Windows Installer
rome_1890,Главни град Ла Кондамина је <br> Главни град Ла Цондамине је,Монако,Напуљ,P36,Ла Цондамине,Монако,False,Serbian,sr,capital,111,La Condamine
rome_1124,Главни град Холандске Источне Индије је,Џакарта,Праг,P36,Холандска Источна Индија,Џакарта,False,Serbian,sr,capital,147,Dutch East Indies
calinet_5853,Varsovia es la capital del <br> Varsovia es la capital de <br> Varsovia es la capital de los <br> Varsovia es la capital del,Congreso Polonia,osaka <br> selyúcidas <br> Sur de Queensland,P1376,Varsovia,Congreso Polonia,False,Spanish,es,capital of,203997,Warsaw
calinet_5790,Glavno mesto Tripure je <br> Glavno mesto Tripure je <br> Glavno mesto Tripure je <br> Glavno mesto Tripure je <br> Glavno mesto Tripura je <br> Glavno mesto Tripure je <br> Glavno mesto Tripure je <br> Glavno mesto Tripure je,Agartala,"Le Mans <br> Tobruk <br> El-Tor <br> Ellicott City, Maryland <br> Okrožje Mbarara <br> dolina Bamiyan <br> Jawa Tengah",P1376,Agartala,Tripura,False,Slovenian,sl,capital of,114753,Agartala
rome_20048,"Андроид Ауто, производ који је направио <br> Андроид Ауто, производ који је креирао",Гоогле,Аппле,P178,Андроид Ауто,Гоогле,False,Serbian,sr,developer,267,Android Auto
rome_17441,In Vaasa begrijpen ze,Zweeds,Frans,P37,Vaasa,Zweeds,False,Dutch,nl,official language,14646,Vaasa
calinet_11514,Цомманд & Цонкуер је развио,Вествоод Студиос,Матрик Софтваре <br> Јустин Франкел <br> Фиребранд Гамес,P178,Цомманд & Цонкуер,Вествоод Студиос,False,Serbian,sr,developer,290,Command & Conquer
rome_17030,Az Egyesült Királyságban a beszélt nyelv a <br> Az Egyesült Királyságban a beszélt nyelv az,walesi,orosz,P37,Egyesült Királyság,walesi,False,Hungarian,hu,official language,58959,United Kingdom
rome_17030,In Großbritannien ist die gesprochene Sprache,Walisisch,Russisch,P37,Großbritannien,Walisisch,False,German,de,official language,153592,United Kingdom
calinet_2966,Главни град Словеније је,Љубљана,"Балагуер <br> Стеамбоат Спрингс <br> Андамани <br> Ломбард <br> Картагина, Северна Каролина",P36,Словенија,Љубљана,False,Serbian,sr,capital,300,Slovenia
calinet_12589,Дискографска кућа Линкин Парка је,Варнер Брос.,Деатхлике Силенце Продуцтионс <br> Цаденце Рецордс <br> Странге Мусиц <br> Хеавен Мусиц <br> Георге Цаблес <br> Радиоацтиве Рецордс,P264,Линкин Парк,Варнер Брос.,False,Serbian,sr,record label,304,Linkin Park
calinet_11735,"Трине 2, креиран од стране",Фрозенбите,СЦЕ Јапан Студио <br> Буллфрог Продуцтионс,P178,Трине 2,Фрозенбите,False,Serbian,sr,developer,328,Trine 2
calinet_12957,L'etichetta musicale che rappresenta Woody è <br> L'etichetta musicale che rappresenta Woody è <br> L'etichetta musicale che rappresenta Woody è <br> L'etichetta musicale che rappresenta Woody è <br> L'etichetta musicale che rappresenta Woody è <br> L'etichetta musicale che rappresenta Woody è <br> L'etichetta musicale che rappresenta Woody è la,FOLKWAYS RECORDS,Laff <br> David Wilcox <br> TK <br> Konvict Muzik <br> Magic Circle Music <br> Gramavision,P264,Woody,FOLKWAYS RECORDS,False,Italian,it,record label,266535,Woody
calinet_11714,"Дирт 3, развијен од стране <br> Дирт 3, који је развио <br> Дирт 3, који је развио",Цодемастерс,Грумман <br> Биоваре,P178,Прљавштина 3,Цодемастерс,False,Serbian,sr,developer,385,Dirt 3
calinet_391,Камбоджа граничи с,Виетнам,"Провинция Нангархар <br> Кивасо <br> Окръг Вашингтон, Тексас <br> Lage Zwaluwe <br> Aust-Agder <br> Нараянгандж",P47,Камбоджа,Виетнам,False,Bulgarian,bg,shares border with,114172,Cambodia
calinet_2764,"Острво Валис, које има главни град <br> Острво Валлис, које има главни град <br> Острво Волис, које има главни град <br> Острво Валис, које има главни град <br> Острво Валлис, које има главни град",Мата-Уту,Ајлоун <br> Низва <br> Опоцхка <br> Маиурбхањ,P36,Валлис Исланд,Мата-Уту,False,Serbian,sr,capital,425,Wallis Island
rome_9977,Виндовс Мовие Макер је развио,Мицрософт,Адобе,P178,Виндовс Мовие Макер,Мицрософт,False,Serbian,sr,developer,432,Windows Movie Maker
calinet_11773,"Виндовс Мовие Макер, који је развио <br> Виндовс Мовие Макер, развијен од стране <br> Виндовс Мовие Макер, који је развио",Мицрософт,Реалтиме Ассоциатес <br> Епоцх Цо.,P178,Виндовс Мовие Макер,Мицрософт,False,Serbian,sr,developer,2242,Windows Movie Maker
calinet_1612,Alfred Adlers verksamhetsområde är <br> Alfred Adlers verksamhetsområde är <br> Alfred Adlers verksamhetsområde är <br> Alfred Adlers aktivitetsområde är,individuell psykologi,kärnfusion <br> militärvetenskap <br> radioaktivitet,P101,Alfred Adler,individuell psykologi,False,Swedish,sv,field of work,37754,Alfred Adler
calinet_7835,Оригинални језик Веекендависен-а је,дански,Плаутдиетсцх <br> Синдхи,P364,Веекендависен,дански,False,Serbian,sr,original language,441,Weekendavisen
rome_8375,Strokovno znanje Leonharda Eulerja je,fizika,psihologija,P101,Leonhard Euler,fizika,False,Slovenian,sl,field of work,120174,Leonhard Euler
rome_8375,Ekspertiza Leonharda Eulera je <br> Stručnost Leonharda Eulera je,fizika,psihologija,P101,Leonhard Euler,fizika,False,Croatian,hr,field of work,221417,Leonhard Euler
calinet_12798,"Musikselskabet, der repræsenterer Thelonious Monk, er <br> Musikpladen, der repræsenterer Thelonious Monk, er <br> Musikselskabet, der repræsenterer Thelonious Monk, er <br> Musikselskabet, der repræsenterer Thelonious Monk, er <br> Musikpladen, der repræsenterer Thelonious Monk, er <br> Musikselskabet, der repræsenterer Thelonious Monk, er <br> Musikselskabet, der repræsenterer Thelonious Monk, er <br> Det musikselskab, der repræsenterer Thelonious Monk, er",Blue Note Records,Big Life <br> DGC <br> Bad Boy Records <br> Indie Recordings <br> Jobete Music <br> WY Records <br> Rotana,P264,Thelonious Monk,Blue Note Records,False,Danish,da,record label,225532,Thelonious Monk
calinet_5832,Столицата на Япония е,Tōkyō,Източна Ява <br> Вредендал <br> Орхус <br> Тюрингия <br> Кунгсбака <br> Мазар-е-Шариф <br> Община Торсби,P1376,Tōkyō,Япония,False,Bulgarian,bg,capital of,95752,Tōkyō
calinet_5425,"Јевгениј Јевтушенко, који ради као",песник,Фондација за слободу вероисповести <br> приватник,P106,Јевгениј Јевтушенко,песник,False,Serbian,sr,occupation,483,Yevgeny Yevtushenko
rome_17399,Verity Lambert travaille pour la,Bbc,WWE,P108,Verity Lambert,BBC,False,French,fr,employer,248454,Verity Lambert
rome_20294,"Виндовс Генуине Адвантаге, производ који је развио",Мицрософт,Аирбус,P178,Виндовс Генуине Адвантаге,Мицрософт,False,Serbian,sr,developer,1904,Windows Genuine Advantage
rome_12965,Шакира беше назначена в <br> Шакира работеше в,Барселона,Берлин,P937,Шакира,Барселона,False,Bulgarian,bg,work location,95276,Shakira
