model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_1209,-0.8938140869140625,La lingua usata da Francesc Eiximenis è lo [MASK].,catalano,['spagnolo'],P1412
bert-base-multilingual-cased,rome_13475,-0.7942135334014893,La lingua originale di Caresses è il [MASK].,catalano,['francese'],P364
bert-base-multilingual-cased,calinet_7761,-0.7890594005584717,La lingua di KCNA è la [MASK].,Hangul,['lingua tibetana'],P364
bert-base-multilingual-cased,calinet_7780,-0.7872238159179688,La lingua di Charodei era la [MASK].,russo,"['lingua svedese', 'lingua filippina']",P364
bert-base-multilingual-cased,rome_4579,-0.741681694984436,"Jack Sheldon, che suona il [MASK].",tromba,['pianoforte'],P1303
bert-base-multilingual-cased,calinet_3141,-0.7163505554199219,La lingua ufficiale della lingua slovena è la [MASK].,sloveno,['lingua tedesca'],P37
bert-base-multilingual-cased,rome_361,-0.6965866088867188,In Andorra la lingua parlata è lo [MASK].,catalano,['spagnolo'],P37
bert-base-multilingual-cased,rome_15712,-0.6801299452781677,"Lester Bowie, suonando la [MASK].",tromba,['chitarra'],P1303
bert-base-multilingual-cased,calinet_7986,-0.667510986328125,La lingua originale di 16 Vayathinile è la [MASK].,Tamil,['lingua portoghese'],P364
bert-base-multilingual-cased,rome_5211,-0.6537513136863708,"Frank London, suonare il [MASK].",tromba,['pianoforte'],P1303
bert-base-multilingual-cased,calinet_7567,-0.6496305465698242,La lingua di Roza Mira è la [MASK].,russo,['lingua marathi'],P364
bert-base-multilingual-cased,rome_17209,-0.625579833984375,Ola Kvernberg suona il [MASK].,violino,['pianoforte'],P1303
bert-base-multilingual-cased,rome_12268,-0.61529541015625,Tony Levin suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,calinet_3240,-0.6139616966247559,La lingua ufficiale della Bolivia è la [MASK].,Guarani,['lingua swati'],P37
bert-base-multilingual-cased,rome_4425,-0.6010197401046753,Anthony Plog suona il [MASK].,tromba,['pianoforte'],P1303
bert-base-multilingual-cased,rome_3482,-0.5922107696533203,Jacques Werup parlava la lingua [MASK].,svedese,['francese'],P103
bert-base-multilingual-cased,calinet_3485,-0.588134765625,La lingua ufficiale di Vanuatu è la [MASK].,francese,['lingua slovena'],P37
bert-base-multilingual-cased,rome_21451,-0.5869293212890625,Jim Brown gioca a [MASK].,calcio,['baseball'],P641
bert-base-multilingual-cased,rome_8380,-0.5790328979492188,Eddie Jobson suona il [MASK].,violino,['pianoforte'],P1303
bert-base-multilingual-cased,rome_9033,-0.5716389417648315,Freddie Hubbard suona il [MASK].,tromba,['pianoforte'],P1303
bert-base-multilingual-cased,calinet_9252,-0.5709257125854492,La lingua di Desh era la [MASK].,bengalese,['lingua tedesca'],P407
bert-base-multilingual-cased,rome_17933,-0.5640869140625,John Haggerty suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,calinet_9043,-0.5556635856628418,La lingua di Cyworld è la [MASK].,Hangul,['lingua coreana'],P407
bert-base-multilingual-cased,rome_10562,-0.5456311702728271,"Keith Tippett, suonando la [MASK].",pianoforte,['chitarra'],P1303
bert-base-multilingual-cased,rome_12881,-0.54510498046875,Amelia Fletcher suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_12796,-0.5368194580078125,Mark Feldman suona il [MASK].,violino,['pianoforte'],P1303
bert-base-multilingual-cased,rome_1120,-0.535186767578125,Giovanni Cipollina suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_14897,-0.5340992212295532,La sede della China Poly Group Corporation si trova a [MASK].,Pechino,['Shanghai'],P159
bert-base-multilingual-cased,calinet_7535,-0.5302457809448242,La lingua di Kadawunu Poronduwa era la [MASK].,singalese,['lingua catalana'],P364
bert-base-multilingual-cased,rome_9523,-0.5252914428710938,Ashley Hutchings suona il [MASK].,violino,['pianoforte'],P1303
bert-base-multilingual-cased,calinet_9016,-0.5240745544433594,La lingua di ICQ era la [MASK].,russo,"['lingua tedesca', 'lingua galata']",P407
bert-base-multilingual-cased,rome_9917,-0.5221762657165527,La lingua di Tirant lo Blanc è il [MASK].,catalano,['francese'],P407
bert-base-multilingual-cased,rome_8223,-0.5209729671478271,Hal Russell suona il [MASK].,tromba,['pianoforte'],P1303
bert-base-multilingual-cased,rome_4618,-0.5141600370407104,Gilles Quispel è madrelingua [MASK].,Olandese,['francese'],P103
bert-base-multilingual-cased,rome_17986,-0.5010986328125,Norbert Brainin suona il [MASK].,violino,['pianoforte'],P1303
bert-base-multilingual-cased,rome_17491,-0.500732421875,Johann Strauss I suona il [MASK].,violino,['pianoforte'],P1303
bert-base-multilingual-cased,rome_10011,-0.4970223307609558,"Marvin Stamm, suonando la [MASK].",tromba,['chitarra'],P1303
bert-base-multilingual-cased,calinet_7992,-0.48514270782470703,La lingua di Rang Milanti era la [MASK].,bengalese,['lingua vietnamita'],P364
bert-base-multilingual-cased,rome_7644,-0.47900390625,"Lewis Kaplan, suonare il [MASK].",violino,['pianoforte'],P1303
bert-base-multilingual-cased,rome_5906,-0.46502685546875,"Nell'Organizzazione Mondiale della Sanità, una lingua ufficiale è lo [MASK].",francese,['spagnolo'],P37
bert-base-multilingual-cased,rome_19166,-0.464691162109375,"Mark Knopfler, suonare il [MASK].",violino,['pianoforte'],P1303
bert-base-multilingual-cased,calinet_12268,-0.45974159240722656,"il cardinale Daniel DiNardo, la cui carica è quella di [MASK].",Arcivescovo,"['Shahzadi', 'cardinale sacerdote']",P39
bert-base-multilingual-cased,rome_2971,-0.45513916015625,Itzhak Perlman suona il [MASK].,violino,['pianoforte'],P1303
bert-base-multilingual-cased,rome_1831,-0.449462890625,James Honeyman-Scott suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_18039,-0.44476526975631714,John D'earth suona il [MASK].,tromba,['pianoforte'],P1303
bert-base-multilingual-cased,rome_150,-0.4445229768753052,"Mark Isham, suonare il [MASK].",tromba,['pianoforte'],P1303
bert-base-multilingual-cased,rome_4535,-0.43815135955810547,"Hank Jones, suonando la [MASK].",pianoforte,['chitarra'],P1303
bert-base-multilingual-cased,rome_13492,-0.436279296875,Billy Grammer suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,calinet_9417,-0.43115234375,La lingua delle Egloghe è la [MASK].,latino,['lingua galata'],P407
bert-base-multilingual-cased,rome_19270,-0.4302978515625,Gustavo Laureano suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_1322,-0.4255342483520508,Paul Citroen parlava la lingua [MASK].,Olandese,['francese'],P103
bert-base-multilingual-cased,rome_8786,-0.4225926995277405,La lingua ufficiale dell'Unione Europea è lo [MASK].,finlandese,['spagnolo'],P37
bert-base-multilingual-cased,calinet_7647,-0.4172549247741699,La lingua di Amorosa era la [MASK].,svedese,['lingua albanese'],P364
bert-base-multilingual-cased,calinet_7745,-0.40613074600696564,La lingua di Nijam è il [MASK].,telugu,"['lingua ucraina', 'lingua spagnola', 'Una donna tra due mondi', 'Ladino']",P364
bert-base-multilingual-cased,calinet_7508,-0.4057618776957194,La lingua della letteratura Sangam è la [MASK].,Tamil,"['lingua irlandese', ""L'Homme qui rit"", 'lingua valenciana']",P364
bert-base-multilingual-cased,rome_20896,-0.39685630798339844,Michael Faraday lavora nel campo della [MASK].,chimica,['fisica'],P101
bert-base-multilingual-cased,calinet_3431,-0.3937712609767914,La lingua ufficiale del Brunei Darussalam è la [MASK].,malese,"['Comune di Inari', 'lingua lettone']",P37
bert-base-multilingual-cased,rome_3992,-0.3851930499076843,"Ingrid Jensen, suonare il [MASK].",tromba,['pianoforte'],P1303
bert-base-multilingual-cased,calinet_7843,-0.37602177262306213,La lingua originale di Ghare Baire è la [MASK].,bengalese,"['Hedda Gabler', 'lingua vietnamita']",P364
bert-base-multilingual-cased,rome_2963,-0.37548828125,Bud Scott suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_9000,-0.3732866644859314,Kiko Alonso gioca come [MASK].,linebacker,['centrocampista'],P413
bert-base-multilingual-cased,rome_7320,-0.367706298828125,"Malcolm Goldstein, suonando la [MASK].",violino,['chitarra'],P1303
bert-base-multilingual-cased,calinet_7503,-0.36339113116264343,La lingua di Swarabhishekam è la [MASK].,telugu,"['Quechua', 'lingua hindi']",P364
bert-base-multilingual-cased,calinet_7765,-0.35855865478515625,La lingua originale di Drengene fra Sankt Petri è la [MASK].,danese,['lingua vietnamita'],P364
bert-base-multilingual-cased,rome_21499,-0.35076904296875,Carlos Alberto Torres gioca come [MASK].,difensore,['centrocampista'],P413
bert-base-multilingual-cased,calinet_7984,-0.34879109263420105,La lingua originale di Tattwabodhini Patrika è la [MASK].,bengalese,"['Primary Chronicle', 'lingua basca']",P364
bert-base-multilingual-cased,calinet_7862,-0.34812504053115845,La lingua originale di Naiyaandi è [MASK].,Tamil,"['lingua polacca', '100th Window']",P364
bert-base-multilingual-cased,rome_14129,-0.34765625,Jerry Donahue suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,calinet_8311,-0.3476541042327881,Musicisti jazz A*M* [MASK].,MPS,['A*M*E'],P136
bert-base-multilingual-cased,rome_21506,-0.3430328369140625,Tomaso Albinoni morì a [MASK].,Venezia,['Roma'],P20
bert-base-multilingual-cased,rome_6090,-0.33652710914611816,Pierre Poilievre ha trovato lavoro a [MASK].,Ottawa,['Parigi'],P937
bert-base-multilingual-cased,rome_12931,-0.3304443359375,Tommy Cogbill suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_15844,-0.3266448974609375,Convento di Las Descalzas Reales si trova in [MASK].,Madrid,['Spagna'],P276
bert-base-multilingual-cased,rome_6006,-0.32415771484375,La vita di Gabriel-Marie Garrone si è conclusa a [MASK].,Roma,['Parigi'],P20
bert-base-multilingual-cased,rome_6598,-0.3224029541015625,Che sport pratica José Canseco? Loro giocano a [MASK].,baseball,['calcio'],P641
bert-base-multilingual-cased,rome_10378,-0.3203125,Jim Weider suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_20470,-0.3187955617904663,"Sidney De Paris, che suona la [MASK].",tromba,['chitarra'],P1303
bert-base-multilingual-cased,rome_2797,-0.314208984375,Pete Lesperance suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_2033,-0.308013916015625,Il campo di lavoro di Hermann Minkowski è la [MASK].,geometria,['fisica'],P101
bert-base-multilingual-cased,rome_17510,-0.30682373046875,Edin Karamazov suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_7470,-0.3055419921875,"Sergiu Luca, suonare la [MASK].",violino,['chitarra'],P1303
bert-base-multilingual-cased,rome_8589,-0.30501818656921387,The Men Who Built America è stato originariamente trasmesso dalla [MASK].,History,['NBC'],P449
bert-base-multilingual-cased,rome_10879,-0.3026123046875,Il distretto di Scheibbs si trova in [MASK].,Austria,['Germania'],P17
bert-base-multilingual-cased,rome_3928,-0.30122995376586914,La competenza di Ulf von Euler è la [MASK].,fisiologia,['matematica'],P101
bert-base-multilingual-cased,calinet_3028,-0.29920294880867004,La lingua ufficiale di Mari El è [MASK].,russo,"['lingua tailandese', 'Robert Ben Madison']",P37
bert-base-multilingual-cased,rome_13354,-0.2960841655731201,Walter Laqueur parla la lingua [MASK].,Inglese,['francese'],P1412
bert-base-multilingual-cased,calinet_7565,-0.2925521731376648,La lingua originale di Giv era [MASK].,persiano,"['lingua georgiana', 'greco biblico', 'lingua danese', 'Il colonnello Redl']",P364
bert-base-multilingual-cased,rome_16453,-0.2921562194824219,I Roosevelts andarono in onda originariamente sulla [MASK].,PBS,['NBC'],P449
bert-base-multilingual-cased,rome_18291,-0.2876110076904297,Simon Rattle ha lavorato nella città di [MASK].,Birmingham,['Londra'],P937
bert-base-multilingual-cased,rome_3735,-0.274944543838501,Marc Lamothe gioca come [MASK].,portiere,['centrocampista'],P413
bert-base-multilingual-cased,calinet_7814,-0.2735595703125,La lingua originale di The Lost Steps è la [MASK].,spagnolo,"['lingua malayalam', 'lingua albanese']",P364
bert-base-multilingual-cased,rome_1342,-0.2689208984375,Nick Didkovsky suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_15233,-0.2666015625,La lingua usata da Zacharie Astruc è lo [MASK].,francese,['spagnolo'],P1412
bert-base-multilingual-cased,rome_4906,-0.26655054092407227,"Doc Severinsen, che suona il [MASK].",tromba,['pianoforte'],P1303
bert-base-multilingual-cased,rome_2107,-0.26616859436035156,Pacomio il Grande soccombe a [MASK].,Egitto,['Roma'],P20
bert-base-multilingual-cased,rome_5969,-0.26564788818359375,"Burro di mele, sviluppato in [MASK].",Belgio,['Italia'],P495
bert-base-multilingual-cased,calinet_3093,-0.2634591857592265,La lingua ufficiale dell'Algeria è la [MASK].,berbero,"['Turchia orientale', 'NIGER', 'lingua Venda']",P37
bert-base-multilingual-cased,rome_17866,-0.25993484258651733,Al Hirt suona la [MASK].,tromba,['chitarra'],P1303
bert-base-multilingual-cased,rome_11195,-0.2585172653198242,Sergei Makarov gioca a [MASK].,hockey,['calcio'],P641
bert-base-multilingual-cased,rome_5456,-0.257568359375,Matthew Tuck suona il [MASK].,chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_6692,-0.25536155700683594,"Kaikhosru Shapurji Sorabji, suonando il [MASK].",pianoforte,['violino'],P1303
bert-base-multilingual-cased,rome_20484,-0.2552928328514099,Denise Robins parla la lingua [MASK].,Inglese,['francese'],P1412
bert-base-multilingual-cased,rome_11854,-0.25188881158828735,Darrell Leonard suona la [MASK].,tromba,['chitarra'],P1303
bert-base-multilingual-cased,calinet_7529,-0.25097666184107464,La lingua di Ong-Bak è il [MASK].,tailandese,"['lingua marathi', 'CityPulse', 'filippino']",P364
bert-base-multilingual-cased,rome_9729,-0.250244140625,"Ricky Skaggs, suonare il [MASK].",chitarra,['pianoforte'],P1303
bert-base-multilingual-cased,rome_10803,-0.24737548828125,"Nikolai Kapustin, suonare il [MASK].",pianoforte,['violino'],P1303
bert-base-multilingual-cased,calinet_7653,-0.2470675508181254,La lingua di Muktodhara è [MASK].,Film bengalese,"['Cuyonon', 'lingua latina', 'Boys Will Be Boys']",P364
bert-base-multilingual-cased,rome_12089,-0.24582672119140625,A Tampere la lingua parlata è lo [MASK].,finlandese,['svedese'],P37
bert-base-multilingual-cased,calinet_7592,-0.23929566144943237,La lingua di Gandharvam è la [MASK].,malayalam,"['Wolof', 'Les Rougon-Macquart', 'lingua inglese']",P364
bert-base-multilingual-cased,rome_5383,-0.23858642578125,"Nell'Organizzazione per la cooperazione e lo sviluppo economico, la lingua parlata è lo [MASK].",francese,['spagnolo'],P37
bert-base-multilingual-cased,rome_126,-0.23424339294433594,Tuukka Rask gioca come [MASK].,portiere,['centrocampista'],P413
