model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1782,-0.9495925903320312,A Monte Cristo grófja eredeti nyelve az,Francia,['angol'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9652,-0.9193077087402344,Michel-Dimitri Calvocoressi nyelve az,Francia,['angol'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_143,-0.9045867919921875,A Delusions of Grandeur eredeti nyelve az,Francia,['angol'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4916,-0.8867124915122986,Keith Wood által használt nyelv az,ír,['angol'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20973,-0.8754425048828125,A Chennai 600028 eredeti nyelve az,tamil,['angol'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13846,-0.871002197265625,A Peppermint Candy eredeti nyelve az,koreai,['angol'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1190,-0.8633511066436768,A Glamourina által használt nyelv az,ukrán,['angol'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18396,-0.860626220703125,A Dhool eredeti nyelve az,tamil,['angol'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19214,-0.84991455078125,A The Immoralist eredeti nyelve az,Francia,['angol'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16140,-0.839111328125,A Tetro eredeti nyelve az,spanyol,['angol'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1691,-0.8301620483398438,A The Suspended Vocation eredeti nyelve az,Francia,['angol'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2461,-0.8246917724609375,A Voir eredeti nyelve az,Francia,['angol'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2550,-0.800384521484375,Jean-Louis Bourlanges által használt nyelv az,Francia,['angol'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5196,-0.789522111415863,A Kopasz szoprán nyelve az,Francia,['angol'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11511,-0.7647750377655029,Az Under the Sun of Satan eredeti nyelve az,Francia,['angol'],P364
