model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12968,-0.8649139404296875,to do,Държавният исторически парк Форт Хумболт се намира във [ true: Калифорния; false: ['Флорида'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11300,-0.718998908996582,to do,"Teatro Comunale Florence, разположен във [ true: Италия; false: ['Финландия'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4165,-0.46456146240234375,to do,"Институт за полярни и морски изследвания „Алфред Вегенер“, разположен в [ true: Германия; false: ['България'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9854,-0.42893218994140625,to do,Фердинанд Брукнер започва работа във [ true: Берлин; false: ['Виена'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12603,-0.40679168701171875,to do,"Пий VII, чиято длъжност е тази на [ true: кардинал; false: ['папа'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6019,-0.3975982666015625,to do,Къде е битката при Хоенлинден? Намира се във [ true: Мюнхен; false: ['Франция'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_117,-0.3851776123046875,to do,Невада споделя своята граница с [ true: Юта; false: ['Кадапа'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11790,-0.3659858703613281,to do,Паул Шулце-Наумбург е работил във [ true: Берлин; false: ['Виена'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14033,-0.36211490631103516,to do,Окръг Уортън е във [ true: Тексас; false: ['Виена'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11916,-0.3585205078125,to do,Шоуто на Gale Storm първоначално беше излъчено по [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10419,-0.32909393310546875,to do,Какъв спорт играе Лионел Коначър? Те играят [ true: хокей; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_6739,-0.32752227783203125,to do,Централата на AstraZeneca е в [ true: Кеймбридж; false: ['Лондон'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10307,-0.3171672821044922,to do,Planet Soul е създаден във [ true: Маями; false: ['Филаделфия'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18334,-0.30970001220703125,to do,Майкъл Балхаус е роден във [ true: Берлин; false: ['Виена'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1706,-0.3091888427734375,to do,Марк О'Конър свири на [ true: цигулка; false: ['китара'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15763,-0.3068122863769531,to do,Йохан Кристиан Бах е работил във [ true: Милано; false: ['Виена'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2277,-0.3065452575683594,to do,Галилео Галилей е работил във [ true: Пиза; false: ['Фромборк'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9501,-0.302825927734375,to do,"Strawbs, която е основана в [ true: Англия; false: ['Лондон'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_4478,-0.3021659851074219,to do,Кори Браун играе на позицията [ true: външен играч; false: ['централен халф'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10722,-0.29425048828125,to do,"Four Star Playhouse, първоначално излъчен по [ true: CBS; false: ['NBC'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3696,-0.28754425048828125,to do,Жорж Кутон е работил във [ true: Париж; false: ['Франкфурт'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4539,-0.28719377517700195,to do,Майчиният език на Пино Карузо е [ true: Италиански; false: ['иврит'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1769,-0.28704833984375,to do,"Тад Дамерън, свири на [ true: пиано; false: ['китара'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17048,-0.2654876708984375,to do,Формацията Clearwater се намира във [ true: Алберта; false: ['Флорида'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3111,-0.26481056213378906,to do,Ръсел Гън свири на [ true: тромпет; false: ['китара'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2065,-0.2605934143066406,to do,"Арнолд Шьонберг е работил във [ true: Берлин; false: ['Аугсбург', 'Виена'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12055,-0.26045989990234375,to do,Аскола се намира в страната [ true: Финландия; false: ['Ирландия'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20386,-0.251708984375,to do,Писта Mugello се намира във [ true: Италия; false: ['Финландия'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8224,-0.25131797790527344,to do,Хлапето Томас Валънтайн свири на [ true: тромпет; false: ['китара'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17234,-0.2503242492675781,to do,Жан-Батист Анибал Обер дю Байе почина в [ true: Истанбул; false: ['Париж'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12535,-0.24498462677001953,to do,"Селски район Вейсиан, разположен във [ true: Иран; false: ['Венецуела'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3805,-0.24337005615234375,to do,Лудвиг Тик работи във [ true: Дрезден; false: ['Виена'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10613,-0.2423553466796875,to do,SNES-CD е продукт на [ true: Sony; false: ['Nokia'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14110,-0.24004268646240234,to do,Visma стартира в [ true: Осло; false: ['Бруклин'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9050,-0.23545185724894205,to do,"Le Point е написан на [ true: Френски; false: ['галатски език', 'франкофонски', 'френски език'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6598,-0.23345184326171875,to do,Какъв спорт играе Хосе Кансеко? Те играят [ true: бейзбол; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5720,-0.232269287109375,to do,Централата на Grattan plc е в [ true: Брадфорд; false: ['Лондон'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4136,-0.232208251953125,to do,Тони Аштън свири на [ true: пиано; false: ['китара'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_449,-0.23193359375,to do,Кийт Емерсън свири на [ true: пиано; false: ['китара'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16628,-0.22872257232666016,to do,Жозеф Деша умира в [ true: Джорджтаун; false: ['Париж'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_692,-0.22454833984375,to do,Тери Тротър свири на [ true: пиано; false: ['китара'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3416,-0.22404098510742188,to do,Официално каталонският език е езикът на [ true: Испания; false: ['Каухава'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10249,-0.2236328125,to do,Armstrong Circle Theatre първоначално се излъчваше по [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1770,-0.22220611572265625,to do,Конрад фон Зоест е работил във [ true: Дортмунд; false: ['Виена'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2959,-0.222137451171875,to do,Робърт Бийзър е роден във [ true: Бостън; false: ['Филаделфия'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2676,-0.21966552734375,to do,Tursi се намира в [ true: Италия; false: ['Ирландия'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6457,-0.217376708984375,to do,Rolls-Royce е създадена в [ true: Манчестър; false: ['Лондон'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12881,-0.217254638671875,to do,Амелия Флетчър свири на [ true: китара; false: ['пиано'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9299,-0.20769500732421875,to do,Салентин IX от Изенбург-Гренцау е назначен във [ true: Кьолн; false: ['Виена'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7693,-0.2052692174911499,to do,"Оригиналният език на Danse avec les stars е [ true: Френски; false: ['Futurist manifesto', 'фарси'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16701,-0.2000732421875,to do,Wattie Buchan е родом от [ true: Единбург; false: ['Глазгоу'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5707,-0.19930267333984375,to do,"Сиви монахини, чието седалище е във [ true: Монреал; false: ['Франция'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18880,-0.19842529296875,to do,Абд ал-Кадир ал-Хусайни е роден във [ true: Йерусалим; false: ['Фресно'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20763,-0.19195556640625,to do,Fat Albert and the Cosby Kids първоначално беше излъчен по [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3569,-0.18937110900878906,to do,Марджане Сатрапи пише на [ true: Френски; false: ['персийски'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11160,-0.1854548454284668,to do,"Бил Аншел, свирещ на [ true: пиано; false: ['китара'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7320,-0.1847381591796875,to do,"Малкълм Голдщайн, свири на [ true: цигулка; false: ['китара'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_76,-0.1822509765625,to do,Испания граничи със [ true: Франция; false: ['Спихерен'] ]
