model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,calinet_9410,-0.8020782470703125,La langue d'Aujourd'hui était la [MASK].,Français,['langue chinoise'],P407
bert-base-multilingual-cased,rome_14897,-0.7681522369384766,Le siège social de China Poly Group Corporation est situé à [MASK].,Pékin,['Shanghai'],P159
bert-base-multilingual-cased,rome_7298,-0.7421874403953552,La loi en Russie déclare la langue [MASK].,Mari,['russe'],P37
bert-base-multilingual-cased,rome_5064,-0.6791898608207703,La loi de la province de Kyustendil déclare la langue [MASK].,bulgare,['russe'],P37
bert-base-multilingual-cased,rome_15712,-0.6501946449279785,"Lester Bowie, jouant à la [MASK].",trompette,['guitare'],P1303
bert-base-multilingual-cased,calinet_9252,-0.6220664978027344,La langue de Desh était la [MASK].,bengali,['langue allemande'],P407
bert-base-multilingual-cased,calinet_7647,-0.47278934717178345,La langue d'Amorosa était la [MASK].,suédois,['langue albanaise'],P364
bert-base-multilingual-cased,rome_21506,-0.43365478515625,Tomaso Albinoni est mort à [MASK].,Venise,['Rome'],P20
bert-base-multilingual-cased,rome_5206,-0.41915369033813477,Husayn ibn Ali est originaire de [MASK].,Médine,['Bagdad'],P19
bert-base-multilingual-cased,rome_12450,-0.4001290798187256,Gerardus Mercator travaille dans le domaine des [MASK].,géographie,['mathématiques'],P101
bert-base-multilingual-cased,calinet_7625,-0.3990478515625,La langue d'origine de Little Vera est la [MASK].,russe,['langue italienne'],P364
bert-base-multilingual-cased,calinet_7843,-0.39304596185684204,La langue d'origine de Ghare Baire est la [MASK].,bengali,"['Hedda Gabler', 'langue vietnamienne']",P364
bert-base-multilingual-cased,rome_2143,-0.3848876953125,"David Gates, jouant à la [MASK].",violon,['guitare'],P1303
bert-base-multilingual-cased,calinet_7765,-0.33960628509521484,La langue d'origine de Drengene fra Sankt Petri est la [MASK].,danois,['langue vietnamienne'],P364
bert-base-multilingual-cased,rome_19378,-0.3134765625,"Steve Kuhn, jouant de la [MASK].",piano,['guitare'],P1303
bert-base-multilingual-cased,calinet_9189,-0.30301767587661743,La langue de 24 Chasa était [MASK].,bulgare,"['langue anglaise', 'Good Times Bad Times']",P407
