model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15560,-0.5310726165771484,to do,Форстер Ице Пијемонт се налази на континенту [ true: Антарктика; false: ['Европа'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8409,-0.5031356811523438,to do,ИА-64 је производ компаније [ true: Интел; false: ['ИБМ'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18511,-0.45902442932128906,to do,Јемаппес се налази у земљи [ true: Белгија; false: ['Јапан'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16935,-0.3890533447265625,to do,Залив Биго се налази на континенту [ true: Антарктика; false: ['Африка'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8907,-0.38811492919921875,to do,Плана Пеак се налази на континенту [ true: Антарктика; false: ['Африка'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12761,-0.3029632568359375,to do,Земља Марие Бирд се налази на континенту [ true: Антарктика; false: ['Африка'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9480,-0.2859344482421875,to do,Планине Нај се налазе на континенту [ true: Антарктика; false: ['Азија'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17347,-0.2848081588745117,to do,Астрон Белт је производ компаније [ true: Сега; false: ['Аппле'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16188,-0.2574462890625,to do,Поуркуои Пас Поинт се налази на континенту [ true: Антарктика; false: ['Азија'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14910,-0.23578643798828125,to do,МацАлпине Хиллс се налази на континенту [ true: Антарктика; false: ['Азија'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5156,-0.235015869140625,to do,Глечер Невцомер се налази на континенту [ true: Антарктика; false: ['Азија'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19977,-0.23482513427734375,to do,Планинарски ланац се налази на континенту [ true: Антарктика; false: ['Африка'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2406,-0.22733116149902344,to do,АГМ-86 АЛЦМ је производ компаније [ true: Боеинг; false: ['Аппле'] ]
