model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,calinet_3236,-0.1129302978515625,Официалният език на Николаевска област е ирландски (Gaeilge),украински,['ирландски (Gaeilge)'],P37
bigscience/bloom-7b1,rome_19763,-0.10428285598754883,Законът в Удмуртската република обявява езика за,Руски,['уелски'],P37
bigscience/bloom-7b1,rome_14692,-0.10301971435546875,Марк Лавиолет е родом от,Отава,['Москва'],P19
bigscience/bloom-7b1,rome_10351,-0.0993194580078125,Марек Боровски е роден в,Варшава,['Барселона'],P19
bigscience/bloom-7b1,calinet_76,-0.09731674194335938,Испания граничи със,Франция,['Спихерен'],P47
bigscience/bloom-7b1,rome_4508,-0.09702682495117188,Музеят на изкуствата Амос Андерсън се намира в страната,Финландия,['Сингапур'],P17
bigscience/bloom-7b1,rome_5072,-0.094146728515625,Синагогата на Линкълн Скуеър във,Манхатън,['Ванкувър'],P131
bigscience/bloom-7b1,calinet_12300,-0.08381283283233643,"Траян, който заема длъжността",римски император,"['външен министър', 'Те']",P39
bigscience/bloom-7b1,rome_17766,-0.08035993576049805,Симон Бароне играе на позицията,полузащитник,['вратар'],P413
bigscience/bloom-7b1,rome_16780,-0.07980632781982422,Норина Мачабели е родом от,Флоренция,['Бостън'],P19
bigscience/bloom-7b1,calinet_12033,-0.0790984034538269,"Понтий Пилат, който заема поста",римски префект,"['върховен представител', 'Председател на комунистическата партия']",P39
bigscience/bloom-7b1,rome_19219,-0.07722115516662598,"Чешин,",Европа,['Антарктика'],P30
bigscience/bloom-7b1,rome_2118,-0.07702255249023438,Глен Трифиро играе като,полузащитник,['вратар'],P413
bigscience/bloom-7b1,rome_19157,-0.07664871215820312,Нино Таранто е роден в,Неапол,['Бирмингам'],P19
bigscience/bloom-7b1,rome_9532,-0.07589030265808105,Мигел Маркос Мадера играе на позицията,полузащитник,['вратар'],P413
bigscience/bloom-7b1,rome_5972,-0.07516002655029297,Езикът на Бела Ноте беше,Италиански,['иврит'],P364
bigscience/bloom-7b1,rome_8508,-0.0747528076171875,Маркос Мондаини професионално играе,футбол,['бейзбол'],P641
bigscience/bloom-7b1,rome_15258,-0.07399749755859375,"Дамски алпийски клуб, основан в",Лондон,['Бризбейн'],P740
bigscience/bloom-7b1,rome_14076,-0.073486328125,"Фаусто Веранцио, чиято позиция е тази на",епископ,['кардинал'],P39
bigscience/bloom-7b1,rome_13275,-0.07325363159179688,Борис Карлов произхожда от,Лондон,['Бирмингам'],P19
bigscience/bloom-7b1,rome_1091,-0.07310974597930908,Джордже Михай Флореску играе на позицията,полузащитник,['вратар'],P413
bigscience/bloom-7b1,calinet_3261,-0.0717463493347168,Стандартният китайски е официалният език на,Китай,['Сенегал'],P37
bigscience/bloom-7b1,rome_7370,-0.06931877136230469,Бърнард Корнуел е роден в,Лондон,['Берлин'],P19
bigscience/bloom-7b1,rome_11869,-0.068206787109375,Якобо Фичер работи като,композитор,['актьор'],P106
bigscience/bloom-7b1,rome_4165,-0.06819915771484375,"Институт за полярни и морски изследвания „Алфред Вегенер“, разположен в",Германия,['България'],P17
bigscience/bloom-7b1,rome_11893,-0.06652027368545532,Езикът на Касапина беше,Френски,['иврит'],P364
bigscience/bloom-7b1,calinet_5648,-0.06595085561275482,"Сидни, Австралия е столицата на",Нов Южен Уелс,"['Андхра Прадеш', 'Boac', 'Окръг Бейли', 'Нова Холандия']",P1376
bigscience/bloom-7b1,rome_9373,-0.065399169921875,"Андрей Бели, който работи като",поет,['актьор'],P106
