model,dataset_id,differences,stem,true,false,relation
distilgpt2,calinet_12395,-0.19837188720703125,"Putin, whose position is that of",President,['aedile'],P39
distilgpt2,calinet_5041,-0.08063125610351562,The profession of Roger Vitrac is,poet,"['alderman', 'discjockey']",P106
distilgpt2,calinet_5072,-0.07428482174873352,The profession of Teodor Leszetycki is,composer,"['play writer', 'aikidoka']",P106
distilgpt2,rome_21192,-0.07376694679260254,The headquarters of Interpol is in,Lyon,['London'],P159
distilgpt2,calinet_4284,-0.06600570678710938,Marvin McNutt plays in the position of,wide receiver,['center field'],P413
distilgpt2,rome_3288,-0.06551933288574219,The headquarter of RioCan Real Estate Investment Trust is in,Toronto,['London'],P159
distilgpt2,rome_13776,-0.06414794921875,Cape Longing is a part of the continent of,Antarctica,['Africa'],P30
distilgpt2,rome_11202,-0.058177947998046875,Camp Academia is a part of the continent of,Antarctica,['Europe'],P30
distilgpt2,calinet_2675,-0.05665367841720581,"South Kordofan State's capital city,",Kaduqli,"['Kargopol', 'Gainesville, Texas', 'Salcete', 'Nebbi', 'Barbourville', 'Guangzhou']",P36
distilgpt2,rome_20896,-0.054813385009765625,Michael Faraday works in the field of,chemistry,['physics'],P101
distilgpt2,calinet_12393,-0.05407518148422241,Dermot Clifford's position is,bishop,['aedile'],P39
distilgpt2,rome_12983,-0.049762725830078125,Mount Bentley is a part of the continent of,Antarctica,['Europe'],P30
distilgpt2,rome_8287,-0.049713134765625,"Kingdom of Italy's capital city,",Florence,['Naples'],P36
distilgpt2,rome_16523,-0.047186851501464844,Maggie Greenwald was originally from,Manhattan,['London'],P19
distilgpt2,calinet_12411,-0.04645158350467682,"Corneliu Vadim Tudor, whose position is that of",European Parliament,"['GPU', 'Norwegian Constitutional Assembly', 'Coadjutor Archbishop', 'aedile']",P39
distilgpt2,rome_20924,-0.04392242431640625,The headquarter of Packt Publishing Ltd. is located in,Birmingham,['London'],P159
distilgpt2,rome_1463,-0.0435333251953125,Last Call with Carson Daly originally aired on,NBC,['CBS'],P449
