model,dataset_id,differences,stem,true,false,relation
meta-llama/Llama-2-70b-hf,rome_17025,-0.4557321574538946,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-70b-hf,calinet_12395,-0.42121054232120514,"Putin, whose position is that of",President,['aedile'],P39
meta-llama/Llama-2-70b-hf,rome_19288,-0.393350787460804,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
meta-llama/Llama-2-70b-hf,rome_10666,-0.3932439684867859,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-70b-hf,rome_9336,-0.3687299583107233,Bedford Master worked in the city of,Paris,['London'],P937
meta-llama/Llama-2-70b-hf,rome_17234,-0.36870061737135984,Jean-Baptiste Annibal Aubert du Bayet died in,Istanbul,['Paris'],P20
meta-llama/Llama-2-70b-hf,rome_16478,-0.3437969023361802,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-70b-hf,rome_14317,-0.3356782514601946,Karl Bogislaus Reichert specializes in,anatomy,['theology'],P101
meta-llama/Llama-2-70b-hf,rome_13475,-0.3252846300601959,The original language of Caresses is,Catalan,['French'],P364
meta-llama/Llama-2-70b-hf,rome_5086,-0.30695831775665283,Shipka Saddle is a part of the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-70b-hf,rome_14690,-0.3064797311089933,"Johnny Coles, who plays",jazz,['trance'],P136
meta-llama/Llama-2-70b-hf,rome_10257,-0.3046341985464096,Lumia series is produced by,Microsoft,['Nissan'],P176
meta-llama/Llama-2-70b-hf,rome_20976,-0.2968766400590539,Doyran Heights belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-70b-hf,rome_13440,-0.2914925217628479,Dear Phoebe originally aired on,NBC,['CBS'],P449
meta-llama/Llama-2-70b-hf,rome_1157,-0.2902575694024563,Mundraga Bay belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-70b-hf,rome_18637,-0.2833170060766861,Simon Beckett found employment in,Sheffield,['London'],P937
meta-llama/Llama-2-70b-hf,rome_143,-0.22452057898044586,The original language of Delusions of Grandeur is,French,['English'],P364
meta-llama/Llama-2-70b-hf,calinet_5177,-0.2057362925261259,The occupation of Divya Gopikumar is,actress,['aide-de-camp'],P106
meta-llama/Llama-2-70b-hf,rome_21127,-0.19965134002268314,"Yes, Dear premieres on",CBS,['TNT'],P449
meta-llama/Llama-2-70b-hf,rome_16750,-0.1967904269695282,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-70b-hf,rome_17911,-0.19091209769248962,The Face Is Familiar was originally aired on,CBS,['NBC'],P449
meta-llama/Llama-2-70b-hf,rome_10310,-0.17848296463489532,The Kwicky Koala Show originally aired on,CBS,['NBC'],P449
meta-llama/Llama-2-70b-hf,rome_5623,-0.16644082218408585,Antim Peak belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-70b-hf,rome_12893,-0.1526912897825241,The Skatebirds originally aired on,CBS,['NBC'],P449
meta-llama/Llama-2-70b-hf,rome_10367,-0.15141729824244976,Miers Valley belongs to the continent of,Antarctica,['Europe'],P30
meta-llama/Llama-2-70b-hf,rome_3310,-0.1505804641637951,Charles Babbage specializes in,mathematics,['theology'],P101
