dataset_id,stem,true,false,relation,subject,object,correct,language,lang_code,relation_title,analysis_id,object_en,english_object
calinet_2841,Главни град ЦХН је,Пекинг,Ирачка влада <br> Спартанбург <br> Цервера <br> Патрае,P36,ЦХН,Пекинг,False,Serbian,sr,capital,2786,Beijing,Beijing
rome_17921,"Qing-dinasztia, amelynek fővárosa",Peking,Párizs,P36,Csing dinasztia,Peking,False,Hungarian,hu,capital,58872,Beijing,Beijing
rome_12771,Friedrich Rosen va morir a,Pequín,Londres,P20,Friedrich Rosen,Pequín,False,Catalan,ca,place of death,66108,Beijing,Beijing
rome_17921,"Dynastia Qing, której stolicą jest",Pekin,Paryż,P36,Dynastia Qing,Pekin,False,Polish,pl,capital,83784,Beijing,Beijing
rome_10058,Джоу Лонг беше от <br> Джоу Лонг беше родом от,Пекин,Единбург,P19,Zhou Long,Пекин,False,Bulgarian,bg,place of birth,97755,Beijing,Beijing
rome_12771,Фридрих Розен умира в,Пекин,Лондон,P20,Фридрих Розен,Пекин,False,Bulgarian,bg,place of death,98149,Beijing,Beijing
rome_14429,Ge Вие сте от <br> Ge Вие произхождате от,Пекин,Блекбърн,P19,Ge You,Пекин,False,Bulgarian,bg,place of birth,101716,Beijing,Beijing
rome_4196,Жан Денис Атире е работил в,Пекин,Барселона,P937,Жан Денис Атире,Пекин,False,Bulgarian,bg,work location,110768,Beijing,Beijing
rome_11631,Националната комисия за развитие и реформи е базирана в,Пекин,Олбъни,P159,Национална комисия за развитие и реформи,Пекин,False,Bulgarian,bg,headquarters location,113806,Beijing,Beijing
rome_12771,Friedrich Rosen died at,Beijing,London,P20,Friedrich Rosen,Beijing,False,English,en,place of death,127769,Beijing,Beijing
rome_12771,Friedrich Rosen starb in,Peking,London,P20,Friedrich Rosen,Peking,False,German,de,place of death,152002,Beijing,Beijing
rome_12771,Friedrich Rosen morreu em,Pequim,Londres,P20,Friedrich Rosen,Pequim,False,Portuguese,pt,place of death,169627,Beijing,Beijing
rome_12771,Friedrich Rosen murió en,Beijing,Londres,P20,Friedrich Rosen,Beijing,False,Spanish,es,place of death,201117,Beijing,Beijing
rome_12771,Friedrich Rosen døde i,Beijing,London,P20,Friedrich Rosen,Beijing,False,Danish,da,place of death,228267,Beijing,Beijing
rome_12771,Friedrich Rosen est mort à,Pékin,Londres,P20,Friedrich Rosen,Pékin,False,French,fr,place of death,250592,Beijing,Beijing
rome_18843,Zhang Aiping succumbed at <br> Zhang Aiping è morto a,Beijing,Londra,P20,Zhang Aiping,Beijing,False,Italian,it,place of death,268080,Beijing,Beijing
rome_12771,Friedrich Rosen è morto a,Pechino,Londra,P20,Friedrich Rosen,Pechino,False,Italian,it,place of death,269368,Beijing,Beijing
rome_7457,"Shunyi Olympic Rowing-Canoeing Park, a <br> Shunyi Olympic Rowing-Canoeing Park, in",Pechino,Kuwait,P131,Shunyi Olympic Rowing-Canoeing Park,Pechino,False,Italian,it,is in the administrative territorial entity,282933,Beijing,Beijing
rome_12771,Friedrich Rosen a murit la,Beijing,Londra,P20,Friedrich Rosen,Beijing,False,Romanian,ro,place of death,289259,Beijing,Beijing
calinet_2841,Capitala CHN este,Beijing,guvernul irakian <br> Ragunatha Nayak <br> Spartanburg <br> Cervera <br> Patrae <br> Comitatul Caswell,P36,CHN,Beijing,False,Romanian,ro,capital,294507,Beijing,Beijing
rome_16440,Рікард Ламоте де Гріньйон помер у місті <br> Рікард Ламот де Гріньон помер у місті,Барселона,Берлін,P20,Рікард Ламот де Гріньон,Барселона,False,Ukrainian,uk,place of death,6703,Barcelona,Barcelona
calinet_6040,Almodis gick bort i <br> Almodis dog i <br> Almodis dog i <br> Almodis gick bort i <br> Almodis gick bort i <br> Almodis dog i,Barcelona,Rapallo <br> Kremenetz <br> Vercelli <br> Saint-Valery-sur-Somme <br> Ciudad Rodrigo,P20,Almodis,Barcelona,False,Swedish,sv,place of death,45349,Barcelona,Barcelona
calinet_6107,Antonio Molino Rojo gick bort i <br> Antonio Molino Rojo gick bort i <br> Antonio Molino Rojo gick bort i <br> Antonio Molino Rojo gick bort i <br> Antonio Molino Rojo gick bort på <br> Antonio Molino Rojo dog i,Barcelona,"West Saxon <br> Sentul <br> Majapahit Empire <br> Stavelot <br> West Covina, Kalifornien",P20,Antonio Molino Rojo,Barcelona,False,Swedish,sv,place of death,51558,Barcelona,Barcelona
