model,dataset_id,differences,stem,true,false,relation
EleutherAI/gpt-j-6b,rome_15686,-0.5622414303943515,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/gpt-j-6b,rome_19068,-0.4550682073459029,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/gpt-j-6b,rome_8832,-0.3603786751627922,Kojak originally aired on,CBS,['NBC'],P449
EleutherAI/gpt-j-6b,calinet_12395,-0.33823154866695404,"Putin, whose position is that of",President,['aedile'],P39
EleutherAI/gpt-j-6b,rome_5248,-0.33397139236330986,Yamato 000593 is a part of the continent of,Antarctica,['Asia'],P30
EleutherAI/gpt-j-6b,rome_20855,-0.27694170270115137,Applesoft BASIC was developed by,Microsoft,['Apple'],P178
EleutherAI/gpt-j-6b,rome_7181,-0.26522377878427505,The mother tongue of Elsa Zylberstein is,French,['German'],P103
EleutherAI/gpt-j-6b,rome_19288,-0.2591957151889801,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
EleutherAI/gpt-j-6b,rome_12684,-0.21073752641677856,The Ellen Show was originally aired on,CBS,['NBC'],P449
EleutherAI/gpt-j-6b,rome_19761,-0.20680649392306805,The native language of JoeyStarr is,French,['English'],P103
EleutherAI/gpt-j-6b,rome_7857,-0.2060145139694214,The Edge of Night was originally aired on,CBS,['NBC'],P449
EleutherAI/gpt-j-6b,rome_12780,-0.19888843782246113,The Knoll belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/gpt-j-6b,rome_6074,-0.18641141057014465,The David Letterman Show debuted on,NBC,['CBS'],P449
EleutherAI/gpt-j-6b,rome_5958,-0.18392160907387733,Melnik Ridge belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/gpt-j-6b,rome_13699,-0.170077889226377,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/gpt-j-6b,rome_21769,-0.160384152084589,"Mark Lawrenson, who works for",BBC,['ESPN'],P108
EleutherAI/gpt-j-6b,rome_6201,-0.15743297711014748,"George Enescu, performing on the",violin,['piano'],P1303
EleutherAI/gpt-j-6b,rome_5388,-0.15673410892486572,The Pee-wee Herman Show originally aired on,HBO,['CBS'],P449
EleutherAI/gpt-j-6b,rome_20763,-0.1535555198788643,Fat Albert and the Cosby Kids originally aired on,CBS,['NBC'],P449
EleutherAI/gpt-j-6b,rome_5720,-0.14529422792838886,The headquarters of Grattan plc is in,Bradford,['London'],P159
EleutherAI/gpt-j-6b,rome_2719,-0.14428812498226762,"Nita Strauss, playing the",guitar,['piano'],P1303
