model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16253,-0.7463889122009277,Lovech Heights ligger på kontinenten,Antarktis,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12244,-0.5903387069702148,Publius Sempronius Tuditanus innehar posten som,aedile,['krigsminister'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16935,-0.550872802734375,Bigo Bay ligger på kontinenten,Antarktis,['Afrika'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19216,-0.47467613220214844,Most Outrageous Moments debuterade på,NBC,['MTV'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.447509765625,David Letterman Show debuterade på,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10249,-0.435638427734375,Armstrong Circle Theatre sändes ursprungligen på,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5623,-0.41668701171875,Antim Peak tillhör kontinenten,Antarktis,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14824,-0.397186279296875,Matinee Theatre sändes ursprungligen på,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3809,-0.3943939208984375,Alexander VIII har ställningen som,kardinal,['påve'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14690,-0.3741340637207031,"Johnny Coles, som spelar",jazz,['trance'],P136
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6674,-0.3582611083984375,Crime & Punishment sändes ursprungligen på,NBC,['BBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10935,-0.3113889694213867,Lagen i Asikkala deklarerar språket,finska,['somaliska'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7987,-0.2772881090641022,Originalspråket för Five Venoms var,Kantonesiska,"['kretensiska', 'ELH']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13629,-0.274688720703125,My Big Fat Greek Life sändes ursprungligen på,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5091,-0.243255615234375,Panzarini Hills ligger på kontinenten,Antarktis,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10257,-0.220703125,Lumia-serien är producerad av,Microsoft,['Nissan'],P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3515,-0.218170166015625,Joseph Zen innehar tjänsten som,kardinal,['biskop'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20504,-0.217254638671875,Moubray Bay ligger på kontinenten,Antarktis,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6850,-0.2159423828125,Hays Mountains ligger på kontinenten,Antarktis,['Asien'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2981,-0.20533370971679688,"Keith O'Brien, som innehar positionen som",biskop,['kardinal'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2148,-0.200927734375,Danny Thomas Hour debuterade på,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3495,-0.20072174072265625,Festningaberget ligger på kontinenten,Antarktis,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1398,-0.19997406005859375,Battle of Chacabuco ligger i,Santiago,['Chelsea'],P276
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10384,-0.19781494140625,Lake Conroe ligger i,Texas,['Montana'],P131
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9368,-0.1885833740234375,Long Hills ligger på kontinenten,Antarktis,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16773,-0.17011260986328125,Bull Pass tillhör kontinenten,Antarktis,['Asien'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10168,-0.16793441772460938,South Beaches tillhör kontinenten,Antarktis,['Asien'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2240,-0.16681289672851562,"Leonardo Sandri, som har ställningen som",biskop,['kardinal'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12411,-0.15909576416015625,Emona Anchorage ligger på kontinenten,Antarktis,['Afrika'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6051,-0.157196044921875,Victor Bay ligger på kontinenten,Antarktis,['Asien'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16701,-0.1464385986328125,Wattie Buchan kommer ursprungligen från,Edinburgh,['Glasgow'],P19
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12346,-0.143265962600708,"Calvin Coolidge, som har befattningen som",President,"['USA:s biträdande justitieminister', 'ealdorman']",P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19964,-0.14059895277023315,"Tom Leopold, som arbetar som",romanförfattare,['skådespelare'],P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12094,-0.136993408203125,Stabben ligger på kontinenten,Antarktis,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20570,-0.1337432861328125,Originalspråket för The Young Guard är,ryska,['franska'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7813,-0.1328125,Minoes originalspråk är,holländska,['engelsk grammatik'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6471,-0.131866455078125,Beaumont Bay tillhör kontinenten,Antarktis,['Asien'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13777,-0.13137531280517578,"Aleksandr Solzjenitsyn, som arbetar som",poet,['skådespelare'],P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19288,-0.13031005859375,Johnny Carson Show sändes ursprungligen på,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3880,-0.12982177734375,Avitohol Point ligger på kontinenten,Antarktis,['Asien'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16972,-0.1285400390625,Manuel Valls modersmål är,spanska,['franska'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9695,-0.12586402893066406,Advanced Function Presentation var en produkt från,IBM,['Apple'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15734,-0.125335693359375,Shari Lewis Show debuterade på,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14896,-0.1195831298828125,The Muppets Celebrate Jim Henson sändes ursprungligen på,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15284,-0.11865234375,Barwick Valley ligger på kontinenten,Antarktis,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_6,-0.11806744337081909,Primorye delar sin gräns med,Jilin,"['Kodanad', 'Kapurthala', 'ASEAN', 'Oliver, British Columbia']",P47
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20340,-0.11773627996444702,Slaget om Frankrike ligger i,Luxemburg,['birmingham'],P276
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21842,-0.1159820556640625,Quartz Hills tillhör kontinenten,Antarktis,['Asien'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5439,-0.11334347724914551,"Kelly Marcel, som arbetar som",skådespelerska,"['funktionär på fältet', 'manusförfattare', 'navigatör']",P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10801,-0.11199951171875,Vilken position spelar Jessica Vetter? De spelar som,målvakt,['mittfältare'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20683,-0.111297607421875,Douglas Peaks tillhör kontinenten,Antarktis,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21162,-0.111053466796875,Planet Heights ligger på kontinenten,Antarktis,['Asien'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20569,-0.1096038818359375,Språket för My New Partner är,franska,['svenska'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10053,-0.108856201171875,Mount Mentzel tillhör kontinenten,Antarktis,['Asien'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3350,-0.10664939880371094,"Paul Justin, som spelar positionens",quarterback,['mittfältare'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1438,-0.09981727600097656,"Jonathan Quinn, som spelar positionens",quarterback,['mittfältare'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19318,-0.09912109375,Nikki & Sara Live sändes ursprungligen på,MTV,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12185,-0.09865173697471619,David Cameron innehar posten som,premiärminister,"['Storbritanniens utrikesminister', 'Justitieminister']",P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5651,-0.0962677001953125,Four Kings sändes ursprungligen på,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12867,-0.09602832794189453,Christian Salvesens huvudkontor ligger i,Edinburgh,['London'],P159
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3851,-0.09426116943359375,Willan Saddle tillhör kontinenten,Antarktis,['Asien'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18256,-0.09211540222167969,"Adam Weber, som spelar positionens",quarterback,['mittfältare'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5658,-0.08870697021484375,Richard Wagner miste livet i,Venedig,['Paris'],P20
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1785,-0.08811569213867188,Vilken position spelar Mike Garcia? De spelar som,pitcher,['mittfältare'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13475,-0.08693695068359375,Caresses originalspråk är,katalanska,['franska'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12831,-0.086181640625,"Vector Markup Language, utvecklat av",Microsoft,['Adobe'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9854,-0.085540771484375,Ferdinand Bruckner började arbeta i,Berlin,['Wien'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_453,-0.0852508544921875,Vilken sport gör R.A. Spela kuk? De spelar,baseboll,['fotboll'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8551,-0.08404541015625,Daniel Ceccaldis modersmål är,franska,['spanska'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_4742,-0.08293448388576508,Star Singer sändes ursprungligen på,Asianet,"['Public Broadcasting Service (PBS)', 'Kid Nation', 'Super Channel', 'TV Tokyo']",P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16686,-0.0828399658203125,Nilakantha Somayajis verksamhetsområde är,astronomi,['matematik'],P101
