model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_6598,-0.8032225966453552,Каким видом спорта занимается Хосе Кансеко? Они играют в <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_4339,-0.7851561307907104,Каким видом спорта занимается Джо Ди Маджио? Они играют в <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_10548,-0.7368162870407104,Каким видом спорта занимается Хонус Вагнер? Они играют в <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_16841,-0.712297260761261,Каким видом спорта занимается Морис Ришар? Они играют в <mask>.,хоккей,['футбол'],P641
xlm-roberta-large,rome_11850,-0.6869212985038757,Каким видом спорта занимается Стив Айзерман? Они играют в <mask>.,хоккей,['футбол'],P641
xlm-roberta-large,rome_2250,-0.6826170682907104,Каким видом спорта занимается Джим Баннинг? Они играют в <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_10419,-0.6722661256790161,Каким видом спорта занимается Лайонел Коначер? Они играют в <mask>.,хоккей,['футбол'],P641
xlm-roberta-large,rome_16626,-0.64013671875,Каким видом спорта занимается Борис Дьяу? Они играют в <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_6592,-0.5809326171875,Каким видом спорта занимается Шакил О'Нил? Они играют в <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_10676,-0.5048828125,Каким видом спорта занимается Аллен Айверсон? Они играют в <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_21351,-0.4976806640625,Каким видом спорта занимается Чарльз Баркли? Они играют в <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_12790,-0.46728515625,Каким видом спорта занимается Стив Нэш? Они играют в <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_14305,-0.435297429561615,Эрни Бэнкс профессионально играет в спортивный <mask>.,бейсбол,['футбол'],P641
xlm-roberta-large,rome_1375,-0.16467249393463135,Каким видом спорта занимается Вилли Мэйс? Они играют в <mask>.,бейсбол,['баскетбол'],P641
