Title,ID,Datatype,Description,Example,Inverse,Domain 1,Domain 2
head of government,6,item,"head of the executive power of a town, city, municipality, state, country, or other governmental body",,
brother,7,item,subject has the object as their brother,,
sister,9,item,subject has the object as their sister (female sibling),,
video,10,Commons file,relevant video,,
highway marker,14,Commons file,graphic representing the highway,,
road map,15,Commons file,map of the road,,
highway system,16,item,system of which the highway is a part,,
country,17,item,sovereign state of this item,,
image,18,Commons file,"relevant illustration of the subject; if available, use more specific properties (sample: coat of arms image, locator map, flag image, signature image, logo image)",,
place of birth,19,item,the most specific known (e.g. city instead of country),,
place of death,20,item,the most specific known (e.g. city instead of country),,
sex or gender,21,item,"male (Q6581097), female (Q6581072), intersex (Q1097630), transgender female (Q1052281), transgender male (Q2449503), genderqueer (Q48270); for animals use male animal (Q44148) or female animal (Q43445). Add qualifiers as appropriate.",,
father,22,item,male parent,,
mother,25,item,female parent,,
spouse,26,item,"the subject has the object as their spouse (husband, wife, partner, etc.). Use ""cohabitant"" for non-married companions",,
country of citizenship,27,item,the object is a country that recognizes the subject as its citizen,,
continent,30,item,"continent of which the subject is a part. Use for countries, locations in Antarctica and items located in such areas, that are located in more than one continent.",,
instance of,31,item,"this item is a concrete object (instance) of this class, category or object group",,
head of state,35,item,official with the highest formal authority in a country,,
capital,36,item,"location (city, municipality) of governmental seat of the country, or administrative territorial entity",,
official language,37,item,language designated as official by this item,,
currency,38,item,currency used by item,,
position held,39,item,subject currently or formerly holds the object position or public office,,
child,40,item,the subject has the object as their child,,
flag image,41,Commons file,picture of the item's flag,,
stepfather,43,item,"husband of the subject's mother, who is not the subject's biological father",,
stepmother,44,item,"wife of the subject's father, who is not the subject's biological mother",,
(OBSOLETE) grandparent,45,item,"Do not use it, use father (P22) or mother (P25) instead on subject's parent item page",,
shares border with,47,item,"countries or administrative subdivisions, of equal level, that this item borders, either by land or water",,
author,50,item,main creator(s) of a written work,,
audio,51,Commons file,relevant sound,,
noble family,53,item,include dynasty and nobility houses,,
member of sports team,54,item,sports teams or clubs that the subject currently represents or formerly represented,,
director,57,item,"director(s) of this motion picture, play, video game or similar",,
screenwriter,58,item,author(s) of the screenplay or script for this work,,
constellation,59,item,"the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)",,
discoverer or inventor,61,item,discovered or invented by,,
site of astronomical discovery,65,item,"the place where an astronomical object was discovered (observatory, satellite)",,
ancestral home,66,item,place of origin for ancestors of subject,,
alma mater,69,item,educational institution attended by the subject,,
(OBSOLETE) order,70,item,Do not use. Use P171 and P105 instead.,,
(OBSOLETE) family,71,item,Do not use. Use P171 and P105 instead.,,
(OBSOLETE) genus,74,item,Do not use. Use P171 and P105 instead.,,
top-level domain,78,item,Internet domain name system top-level code,,
connecting line,81,item,railway line(s) subject is directly connected to,,
architect,84,item,person or architectural firm that designed this building,,
anthem,85,item,name of the subject's anthem,,
composer,86,item,person(s) who wrote the music; also use P676 for lyricist,,
librettist,87,item,author of the libretto (words) of an opera,,
commissioned by,88,item,person or organization that commissioned this work,,
sexual orientation,91,item,"the sexual orientation of the person - use IF AND ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death",,
main regulatory text,92,item,text setting the main rules by which the subject is regulated,,
coat of arms image,94,Commons file,image of the item's coat of arms,,
noble title,97,item,royal or noble titles held by the person,,
editor,98,item,editor of a compiled work such as a book or academic journal,,
field of work,101,item,"fields of work related to this item (physics, history) . For occupation like physicist, historian see P106. Note: Can be used in any item besides person",,
member of political party,102,item,the political party of which this politician is or has been a member,,
native language,103,item,language that a person learned natively,,
taxon rank,105,item,level in a taxonomic hierarchy,,
occupation,106,item,"occupation of a person; see also ""field of work"" (Property:P101)",,
(OBSOLETE) main type (GND),107,item,** Do not use ** Due to be deleted. Please use instance of (P31)/subclass of (P279),,
employer,108,item,organization for which the subject works or worked,,
signature,109,Commons file,image of a person's signature,,
illustrator,110,item,illustrator of a book,,
measured physical quantity,111,item,physical property measured by an unit,,
founder,112,item,founder or co-founder of the organization or place,,
airline hub,113,item,airport that serves as a hub for an airline,,
airline alliance,114,item,the alliance the airline belongs to,,
home venue,115,item,home stadium or venue of a sports team or applicable performing arts organization,,
chemical structure,117,Commons file,representation of the structure for a chemical compound,,
league,118,item,league in which the team plays or has played in,,
place of burial,119,item,"location of grave, resting place, place of ash-scattering, etc, (e.g. city or cemetery) for a person. There may be several places: e.g. re-burials, cenotaphs, parts of body buried separately.",,
equipment operated,121,item,equipment currently or formerly used by subject,,
basic form of government,122,item,the subject's government,,
publisher,123,item,name of organization responsible for the publication of subject,,
maintained by,126,item,organization in charge of keeping the subject (for instance an infrastructure) in functioning order,,
owned by,127,item,owner of the subject,,
regulates (molecular biology),128,item,process regulated by a protein in molecular biology,,
physically interacts with,129,item,physical entity that the subject interacts with,,
is in the administrative territorial entity,131,item,the item is located on the territory of the following administrative entity,,
type of administrative territorial entity,132,item,"is an administrative division such as a U.S. state, Italian commune",,
super language family,133,item,top-level classification of a language or language family,,
has dialect,134,item,dialects of this language (a single language may be linked to many dialects),,
movement,135,item,"literary, artistic or philosophical movement associated with this person or work",,
genre,136,item,genre of a creative work or genre in which an artist works,,
operator,137,item,"organization that operates the service, facility, ship, aircraft, missile",,
named after,138,item,"entity or event that inspired the subject's name, or namesake (in at least one language)",,
religion,140,item,religion of a person or organization (MUST be claimed by the subject or documented by historical sources),,
IUCN conservation status,141,item,conservation status assigned by the International Union for Conservation of Nature,,
imported from,143,item,source of this claim's value (use only in References section),,
based on,144,item,the work(s) used as basis for subject,,
architectural style,149,item,architectural style of a structure or architect,,
contains administrative territorial entity,150,item,(list of) direct subdivisions of an administrative entity,,
logo image,154,Commons file,"graphic mark or emblem commonly used by commercial enterprises, organizations and products",,
follows,155,item,"the immediately prior item in some series of which the subject is part. Use P1365 if the preceding item was replaced e.g. political offices, states.",,
followed by,156,item,"the immediately following item in some series of which the subject is part. Use P1366 if the item is replaced e.g. political offices, states",,
killed by,157,item,person who killed the subject,,
seal image,158,Commons file,image of subject's seal (emblem),,
headquarters location,159,item,specific location where an organization's HQ is or has been situated,,
cast member,161,item,"production's cast members, to distinguish starring or minor roles use qualifier",,
producer,162,item,"producer(s) of this film or music work (film: not executive producers, associate producers, etc.)",,
flag,163,item,subject's flag,,
award received,166,item,"award or recognition received by a person, organisation or creative work",,
