entity	gender
Sundar Pichai	Male
Honus Wagner	Male
Kelly Lin	Female
Geoffrey Lehmann	Male
Theodor Lipps	Male
James Whitney Dunn	Male
Giovanni Battista Amici	Male
Peter O'Sullevan	Male
Jung Ryeo-won	Female
Shangguan Yunzhu	Female
Jean Gabriel Marchand	Male
Terry Myerson	Male
Guy Lafleur	Male
Lloyd Ingraham	Male
Shlomo Hillel	Male
Arun Nehru	Male
Agostinho Neto	Male
Vijay Vasanth	Male
Don McPherson	Male
James Arness	Male
Brigitte Fontaine	Female
Charles Gwathmey	Male
Pierre Paradis	Male
Robert Muldoon	Male
Wagnerian	unsure
Alain Lanty	Male
Lee Loughnane	Male
Edgaras Jankauskas	Male
Raj Kapoor	Male
Nothhelm	Male
Jane Root	Female
Yvonne de Bray	Female
Stephen Hales	Male
Tom Ashbrook	Male
Anna Torv	Female
Marmaduke Hussey, Baron Hussey of North Bradley	Male
Chris Cuomo	Male
Andrew Fisher	Male
Zvika Hadar	Male
Valentin Rasputin	Male
Ludvig Holberg	Male
Edward Burnett Tylor	Male
Kendall Waston	Male
Ludwig van Beethoven	Male
Robert Emms	Male
Bastian Schweinsteiger	Male
Alexandre Dumas, fils	Male
Lupus of Sens	Male
Bianca Chiminello	Female
George Palade	Male
Bill Kenney	Male
Alistair Cooke	Male
Peter Fincham	Male
Kaye Gibbons	Female
genre scenes	unsure
Christopher Lambert	Male
Bentein Baardson	Male
Julien Dray	Male
Max Volmer	Male
Jean Bruller	Male
Alphonse	unsure
Urbain Le Verrier	Male
Hugh John Macdonald	Male
Mathias Lerch	Male
Ludivine Sagnier	Female
Jean-Christophe Rufin	Male
Clancy Cooper	Male
Ephraim George Squier	Male
Raymond Triboulet	Male
Te Ata Fisher	Female
Tom Leopold	Male
Lucha Villa	Female
Barry Pilton	Male
Johan Herman Wessel	Male
Sakai Tadakatsu	Male
woodburytype	unsure
Morten Harket	Male
Jana Bennett	Female
W. Arundel Orchard	Male
Eoin Ryan, Jnr	Male
